CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.772    % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    260.21      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    241121 300  183500-184000   00     274.52  890.6    260.70     0.19    -0.07
CALGARY    241121 300  184000-184500   00     276.80  890.4    262.53     0.89     0.62
CALGARY    241121 300  184500-185000   00     276.52  890.3    262.16     0.75     0.47
CALGARY    241121 300  185000-185500   00     279.14  890.3    264.63     1.70     1.41
CALGARY    241121 300  185500-190000   00     279.92  890.3    265.39     1.99     1.69
CALGARY    241121 300  190000-190500   00     279.91  890.3    265.34     1.97     1.66
CALGARY    241121 300  190500-191000   00     279.23  890.2    264.53     1.66     1.34
CALGARY    241121 300  191000-191500   00     278.60  890.3    264.11     1.50     1.17
CALGARY    241121 300  191500-192000   00     280.39  890.4    265.90     2.19     1.84
CALGARY    241121 300  192000-192500   00     282.83  890.3    268.01     3.00     2.64
CALGARY    241121 300  192500-193000   00     279.57  890.1    264.61     1.69     1.33
CALGARY    241121 300  193000-193500   00     279.94  890.0    264.81     1.77     1.40
CALGARY    241121 300  193500-194000   00     275.48  890.1    260.67     0.18    -0.20
CALGARY    241121 300  194000-194500   00     279.30  890.1    264.29     1.57     1.18
CALGARY    241121 300  194500-195000   00     275.66  890.1    260.90     0.26    -0.13
CALGARY    241121 300  195000-195500   00     275.78  890.1    261.04     0.32    -0.09
CALGARY    241121 300  195500-200000   00     278.67  890.1    263.75     1.36     0.95
CALGARY    241121 300  200000-200500   00     278.07  890.0    262.96     1.06     0.64
CALGARY    241121 300  200500-201000   00     275.99  890.0    260.90     0.27    -0.16
CALGARY    241121 300  201000-201500   00     278.34  890.0    263.28     1.18     0.75
CALGARY    241121 300  201500-202000   00     279.13  889.9    263.81     1.39     0.95
CALGARY    241121 300  202000-202500   00     280.17  889.9    264.78     1.76     1.31
CALGARY    241121 300  202500-203000   00     279.70  889.8    264.14     1.51     1.06
