CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     68.88      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      241121 300  184500-185000   00      71.16  932.5     68.99     0.17     0.46
CALMA      241121 300  185000-185500   00      70.48  932.5     68.35    -0.76    -0.46
CALMA      241121 300  185500-190000   00      71.57  932.5     69.41     0.78     1.08
CALMA      241121 300  190000-190500   00      71.70  932.4     69.49     0.90     1.20
CALMA      241121 300  190500-191000   00      69.57  932.4     67.41    -2.13    -1.81
CALMA      241121 300  191000-191500   00      69.45  932.3     67.26    -2.35    -2.03
CALMA      241121 300  191500-192000   00      70.58  932.3     68.34    -0.77    -0.45
CALMA      241121 300  192000-192500   00      68.35  932.3     66.18    -3.91    -3.58
CALMA      241121 300  192500-193000   00      70.22  932.2     67.98    -1.30    -0.96
CALMA      241121 300  193000-193500   00      71.16  932.2     68.87    -0.01     0.33
CALMA      241121 300  193500-194000   00      69.04  932.1     66.79    -3.03    -2.67
CALMA      241121 300  194000-194500   00      69.23  932.2     66.99    -2.73    -2.37
CALMA      241121 300  194500-195000   00      68.86  932.2     66.65    -3.23    -2.86
CALMA      241121 300  195000-195500   00      72.69  932.2     70.34     2.13     2.50
CALMA      241121 300  195500-200000   00      70.22  932.1     67.93    -1.37    -0.99
CALMA      241121 300  200000-200500   00      71.97  932.0     69.58     1.02     1.41
CALMA      241121 300  200500-201000   00      71.51  932.1     69.15     0.40     0.80
CALMA      241121 300  201000-201500   00      70.49  932.1     68.18    -1.01    -0.61
CALMA      241121 300  201500-202000   00      71.24  932.0     68.88     0.00     0.41
CALMA      241121 300  202000-202500   00      71.97  932.2     69.65     1.12     1.54
CALMA      241121 300  202500-203000   00      70.23  932.2     67.98    -1.30    -0.88
CALMA      241121 300  203000-203500   00      72.01  932.3     69.74     1.25     1.68
CALMA      241121 300  203500-204000   00      68.80  932.3     66.65    -3.23    -2.80
CALMA      241121 300  204000-204500   00      69.64  932.4     67.50    -2.00    -1.56
CALMA      241121 300  204500-205000   00      68.59  932.4     66.46    -3.51    -3.07
CALMA      241121 300  205000-205500   00      70.98  932.3     68.76    -0.16     0.29
CALMA      241121 300  205500-210000   00      72.08  932.3     69.81     1.36     1.82
CALMA      241121 300  210000-210500   00      69.99  932.3     67.78    -1.59    -1.13
CALMA      241121 300  210500-211000   00      71.33  932.3     69.09     0.31     0.78
CALMA      241121 300  211000-211500   00      69.57  932.2     67.37    -2.19    -1.71
CALMA      241121 300  211500-212000   00      71.21  932.2     68.95     0.11     0.59
CALMA      241121 300  212000-212500   00      71.59  932.3     69.32     0.65     1.14
CALMA      241121 300  212500-213000   00      72.03  932.3     69.76     1.28     1.78
CALMA      241121 300  213000-213500   00      69.00  932.3     66.82    -2.99    -2.48
CALMA      241121 300  213500-214000   00      71.20  932.3     68.96     0.13     0.64
CALMA      241121 300  214000-214500   00      69.90  932.3     67.71    -1.69    -1.17
CALMA      241121 300  214500-215000   00      69.91  932.4     67.74    -1.65    -1.12
CALMA      241121 300  215000-215500   00      69.22  932.3     67.04    -2.66    -2.13
