OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     95.08      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       241121 300  185500-190000   00     111.78  980.3     96.83     1.84     1.77
OULU       241121 300  190000-190500   00     109.32  980.3     94.65    -0.46    -0.53
OULU       241121 300  190500-191000   00     109.52  980.3     94.80    -0.30    -0.37
OULU       241121 300  191000-191500   00     109.03  980.2     94.38    -0.74    -0.81
OULU       241121 300  191500-192000   00     109.85  980.2     95.08     0.00    -0.07
OULU       241121 300  192000-192500   00     108.30  980.2     93.73    -1.42    -1.49
OULU       241121 300  192500-193000   00     110.10  980.2     95.30     0.23     0.16
OULU       241121 300  193000-193500   00     110.47  980.3     95.63     0.58     0.51
OULU       241121 300  193500-194000   00     111.35  980.3     96.42     1.40     1.34
OULU       241121 300  194000-194500   00     109.18  980.3     94.55    -0.56    -0.62
OULU       241121 300  194500-195000   00     110.63  980.3     95.82     0.77     0.71
OULU       241121 300  195000-195500   00     110.15  980.3     95.38     0.32     0.26
OULU       241121 300  195500-200000   00     110.33  980.3     95.55     0.49     0.44
OULU       241121 300  200000-200500   00     110.27  980.2     95.43     0.37     0.32
OULU       241121 300  200500-201000   00     111.88  980.1     96.77     1.77     1.72
OULU       241121 300  201000-201500   00     110.38  980.1     95.48     0.42     0.38
OULU       241121 300  201500-202000   00     108.97  980.1     94.23    -0.89    -0.93
OULU       241121 300  202000-202500   00     110.97  980.0     95.92     0.88     0.84
OULU       241121 300  202500-203000   00     109.07  980.0     94.25    -0.88    -0.91
OULU       241121 300  203000-203500   00     110.73  980.1     95.77     0.72     0.69
OULU       241121 300  203500-204000   00     110.78  980.2     95.87     0.82     0.80
OULU       241121 300  204000-204500   00     109.80  980.1     94.98    -0.11    -0.13
OULU       241121 300  204500-205000   00     109.70  980.1     94.85    -0.25    -0.26
OULU       241121 300  205000-205500   00     110.53  980.1     95.55     0.49     0.48
OULU       241121 300  205500-210000   00     108.88  980.0     94.10    -1.03    -1.04
OULU       241121 300  210000-210500   00     109.25  979.9     94.35    -0.77    -0.77
OULU       241121 300  210500-211000   00     109.12  980.0     94.27    -0.86    -0.86
OULU       241121 300  211000-211500   00     110.07  980.0     95.12     0.04     0.04
OULU       241121 300  211500-212000   00     110.10  980.0     95.13     0.05     0.07
OULU       241121 300  212000-212500   00     111.37  979.9     96.15     1.12     1.14
OULU       241121 300  212500-213000   00     112.90  979.9     97.50     2.54     2.57
OULU       241121 300  213000-213500   00     109.38  980.0     94.50    -0.61    -0.58
OULU       241121 300  213500-214000   00     111.10  979.9     95.97     0.93     0.96
OULU       241121 300  214000-214500   00     109.95  979.9     94.92    -0.18    -0.13
OULU       241121 300  214500-215000   00     109.77  979.8     94.73    -0.37    -0.32
OULU       241121 300  215000-215500   00     110.07  979.8     94.98    -0.11    -0.05
OULU       241121 300  215500-220000   00     109.02  979.8     94.05    -1.09    -1.03
OULU       241121 300  220000-220500   00     109.07  979.8     94.08    -1.05    -0.98
OULU       241121 300  220500-221000   00     110.63  979.8     95.42     0.35     0.43
OULU       241121 300  221000-221500   00     108.32  979.8     93.43    -1.74    -1.65
OULU       241121 300  221500-222000   00     110.27  979.7     95.08     0.00     0.09
OULU       241121 300  222000-222500   00     110.08  979.7     94.92    -0.18    -0.08
OULU       241121 300  222500-223000   00     109.87  979.8     94.77    -0.33    -0.23
OULU       241121 300  223000-223500   00     109.92  979.8     94.82    -0.28    -0.17
OULU       241121 300  223500-224000   00     109.47  979.8     94.43    -0.68    -0.56
OULU       241121 300  224000-224500   00     108.70  979.8     93.77    -1.38    -1.26
OULU       241121 300  224500-225000   00     109.60  979.8     94.55    -0.56    -0.42
OULU       241121 300  225000-225500   00     110.00  979.8     94.90    -0.19    -0.05
OULU       241121 300  225500-230000   00     110.70  979.8     95.52     0.46     0.61
OULU       241121 300  230000-230500   00     110.55  979.8     95.38     0.32     0.48
OULU       241121 300  230500-231000   00     109.13  979.8     94.15    -0.98    -0.81
OULU       241121 300  231000-231500   00     109.55  979.7     94.47    -0.65    -0.47
OULU       241121 300  231500-232000   00     111.23  979.6     95.83     0.79     0.98
OULU       241121 300  232000-232500   00     110.87  979.5     95.48     0.42     0.62
OULU       241121 300  232500-233000   00     109.98  979.5     94.70    -0.40    -0.19
OULU       241121 300  233000-233500   00     109.70  979.5     94.40    -0.72    -0.50
OULU       241121 300  233500-234000   00     110.47  979.4     95.05    -0.04     0.19
OULU       241121 300  234000-234500   00     109.98  979.4     94.58    -0.53    -0.29
OULU       241121 300  234500-235000   00     109.58  979.3     94.18    -0.95    -0.70
OULU       241121 300  235000-235500   00     112.07  979.3     96.32     1.30     1.56
OULU       241121 300  235500-240000   00     110.50  979.3     94.98    -0.11     0.16
OULU       241122 300  000000-000500   00     109.78  979.3     94.37    -0.75    -0.47
OULU       241122 300  000500-001000   00     110.27  979.3     94.77    -0.33    -0.04
OULU       241122 300  001000-001500   00     110.85  979.3     95.27     0.19     0.50
OULU       241122 300  001500-002000   00     109.00  979.2     93.67    -1.49    -1.18
OULU       241122 300  002000-002500   00     111.28  979.2     95.60     0.54     0.87
OULU       241122 300  002500-003000   00     110.35  979.2     94.78    -0.32     0.02
OULU       241122 300  003000-003500   00     109.83  979.2     94.35    -0.77    -0.42
OULU       241122 300  003500-004000   00     110.20  979.2     94.68    -0.42    -0.06
OULU       241122 300  004000-004500   00     109.97  979.2     94.45    -0.67    -0.29
OULU       241122 300  004500-005000   00     110.05  979.2     94.50    -0.61    -0.23
OULU       241122 300  005000-005500   00     110.73  979.2     95.10     0.02     0.41
OULU       241122 300  005500-010000   00     110.68  979.2     95.07    -0.02     0.39
OULU       241122 300  010000-010500   00     110.23  979.2     94.68    -0.42     0.00
OULU       241122 300  010500-011000   00     110.63  979.2     95.03    -0.05     0.38
OULU       241122 300  011000-011500   00     108.92  979.2     93.53    -1.63    -1.18
OULU       241122 300  011500-012000   00     109.57  979.1     94.07    -1.07    -0.61
OULU       241122 300  012000-012500   00     109.77  979.1     94.25    -0.88    -0.40
OULU       241122 300  012500-013000   00     110.03  979.2     94.50    -0.61    -0.13
OULU       241122 300  013000-013500   00     110.50  979.2     94.88    -0.21     0.29
OULU       241122 300  013500-014000   00     110.58  979.1     94.95    -0.14     0.38
OULU       241122 300  014000-014500   00     109.83  979.1     94.28    -0.84    -0.31
OULU       241122 300  014500-015000   00     109.07  979.1     93.60    -1.56    -1.02
OULU       241122 300  015000-015500   00     111.73  979.0     95.87     0.82     1.38
OULU       241122 300  015500-020000   00     109.35  979.1     93.83    -1.31    -0.74
OULU       241122 3600 020000-030000   00     110.50  978.8     94.63    -0.47    -9999
OULU       241122 3600 030000-040000   00     110.43  978.4     94.30    -0.82    -9999
OULU       241122 3600 040000-050000   00     110.22  978.1     93.88    -1.26    -9999
OULU       241122 3600 050000-060000   00     110.95  978.0     94.43    -0.68    -9999
OULU       241122 3600 060000-070000   00     111.77  977.7     94.95    -0.14    -9999
OULU       241122 3600 070000-080000   00     111.90  977.5     94.93    -0.16    -9999
OULU       241122 3600 080000-090000   00     111.60  977.7     94.80    -0.30    -9999
OULU       241122 3600 090000-100000   00     111.47  977.8     94.75    -0.35    -9999
