ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,217.52      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 241121 300  174000-174500   00    1140.46  679.7   1214.18    -0.27    -0.22
ALMA-ATA-B 241121 300  174500-175000   00    1147.20  679.7   1221.34     0.31     0.37
ALMA-ATA-B 241121 300  175000-175500   00    1142.80  679.7   1216.78    -0.06     0.00
ALMA-ATA-B 241121 300  175500-180000   00    1143.94  679.6   1217.72     0.02     0.08
ALMA-ATA-B 241121 300  180000-180500   00    1139.32  679.7   1212.88    -0.38    -0.32
ALMA-ATA-B 241121 300  180500-181000   00    1143.82  679.7   1218.08     0.05     0.11
ALMA-ATA-B 241121 300  181000-181500   00    1140.36  679.7   1214.58    -0.24    -0.17
ALMA-ATA-B 241121 300  181500-182000   00    1147.72  679.7   1222.02     0.37     0.44
ALMA-ATA-B 241121 300  182000-182500   00    1144.14  679.7   1217.98     0.04     0.11
ALMA-ATA-B 241121 300  182500-183000   00    1141.84  679.6   1215.54    -0.16    -0.09
ALMA-ATA-B 241121 300  183000-183500   00    1136.32  679.6   1209.46    -0.66    -0.59
ALMA-ATA-B 241121 300  183500-184000   00    1150.72  679.6   1224.46     0.57     0.64
ALMA-ATA-B 241121 300  184000-184500   00    1134.94  679.6   1207.84    -0.80    -0.72
ALMA-ATA-B 241121 300  184500-185000   00    1148.40  679.6   1221.76     0.35     0.42
ALMA-ATA-B 241121 300  185000-185500   00    1145.62  679.5   1218.28     0.06     0.13
ALMA-ATA-B 241121 300  185500-190000   00    1144.06  679.5   1216.38    -0.09    -0.02
ALMA-ATA-B 241121 300  190000-190500   00    1132.98  679.5   1204.50    -1.07    -1.00
ALMA-ATA-B 241121 300  190500-191000   00    1150.40  679.5   1223.10     0.46     0.53
ALMA-ATA-B 241121 300  191000-191500   00    1132.86  679.5   1204.48    -1.07    -1.00
ALMA-ATA-B 241121 300  191500-192000   00    1139.42  679.5   1211.68    -0.48    -0.41
ALMA-ATA-B 241121 300  192000-192500   00    1134.22  679.5   1205.90    -0.95    -0.89
ALMA-ATA-B 241121 300  192500-193000   00    1147.76  679.5   1220.18     0.22     0.28
ALMA-ATA-B 241121 300  193000-193500   00    1138.32  679.5   1210.62    -0.57    -0.51
ALMA-ATA-B 241121 300  193500-194000   00    1142.26  679.6   1215.18    -0.19    -0.13
ALMA-ATA-B 241121 300  194000-194500   00    1141.20  679.6   1214.10    -0.28    -0.23
ALMA-ATA-B 241121 300  194500-195000   00    1144.26  679.5   1217.20    -0.03     0.03
ALMA-ATA-B 241121 300  195000-195500   00    1143.24  679.5   1215.60    -0.16    -0.11
ALMA-ATA-B 241121 300  195500-200000   00    1139.80  679.4   1211.40    -0.50    -0.46
ALMA-ATA-B 241121 300  200000-200500   00    1145.34  679.4   1217.30    -0.02     0.02
