DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     15.81      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       241120 3600 000000-010000   00      17.78  637.3     15.60    -1.35    -9999
DOMC       241120 3600 010000-020000   00      17.88  637.3     15.68    -0.82    -9999
DOMC       241120 3600 020000-030000   00      17.63  637.3     15.47    -2.19    -9999
DOMC       241120 3600 030000-040000   00      17.67  637.4     15.52    -1.88    -9999
DOMC       241120 3600 040000-050000   00      17.95  637.5     15.77    -0.29    -9999
DOMC       241120 3600 050000-060000   00      17.87  637.5     15.68    -0.82    -9999
DOMC       241120 3600 060000-070000   00      17.68  637.6     15.53    -1.77    -9999
DOMC       241120 3600 070000-080000   00      17.82  637.6     15.65    -1.03    -9999
DOMC       241120 3600 080000-090000   00      17.88  637.7     15.72    -0.61    -9999
DOMC       241120 3600 090000-100000   00      18.05  637.7     15.88     0.44    -9999
DOMC       241120 3600 100000-110000   00      17.92  637.8     15.78    -0.19    -9999
DOMC       241120 3600 110000-120000   00      17.65  637.9     15.55    -1.66    -9999
DOMC       241120 3600 120000-130000   00      17.78  638.0     15.68    -0.82    -9999
DOMC       241120 3600 130000-140000   00      17.93  638.0     15.80    -0.08    -9999
DOMC       241120 3600 140000-150000   00      17.72  638.0     15.62    -1.24    -9999
DOMC       241120 3600 150000-160000   00      17.72  638.0     15.62    -1.24    -9999
DOMC       241120 3600 160000-170000   00      17.68  638.1     15.60    -1.35    -9999
DOMC       241120 3600 170000-180000   00      17.73  638.2     15.65    -1.03    -9999
DOMC       241120 3600 180000-190000   00      17.75  638.4     15.70    -0.72    -9999
DOMC       241120 3600 190000-200000   00      17.88  638.5     15.83     0.13    -9999
DOMC       241120 3600 200000-210000   00      17.63  638.5     15.60    -1.35    -9999
DOMC       241120 3600 210000-220000   00      17.58  638.5     15.57    -1.56    -9999
DOMC       241120 3600 220000-230000   00      17.90  638.5     15.85     0.23    -9999
DOMC       241120 3600 230000-240000   00      17.93  638.6     15.88     0.44    -9999
DOMC       241121 3600 000000-010000   00      17.90  638.7     15.87     0.34    -9999
DOMC       241121 3600 010000-020000   00      17.83  638.8     15.83     0.13    -9999
DOMC       241121 3600 020000-030000   00      17.78  638.9     15.78    -0.19    -9999
DOMC       241121 3600 030000-040000   00      17.82  638.8     15.82     0.02    -9999
DOMC       241121 3600 040000-050000   00      17.85  638.9     15.85     0.23    -9999
DOMC       241121 3600 050000-060000   00      17.75  639.0     15.78    -0.19    -9999
DOMC       241121 3600 060000-070000   00      17.82  639.2     15.87     0.34    -9999
DOMC       241121 3600 070000-080000   00      17.75  639.4     15.82     0.02    -9999
DOMC       241121 3600 080000-090000   00      17.62  639.5     15.72    -0.61    -9999
DOMC       241121 3600 090000-100000   00      17.77  639.7     15.88     0.44    -9999
DOMC       241121 3600 100000-110000   00      17.63  640.0     15.78    -0.19    -9999
DOMC       241121 3600 110000-120000   00      17.72  640.2     15.90     0.55    -9999
DOMC       241121 3600 120000-130000   00      17.53  640.4     15.75    -0.40    -9999
DOMC       241121 3600 130000-140000   00      17.62  640.5     15.83     0.13    -9999
DOMC       241121 3600 140000-150000   00      17.43  640.9     15.72    -0.61    -9999
DOMC       241121 3600 150000-160000   00      17.17  641.2     15.52    -1.88    -9999
DOMC       241121 300  160000-160500   00      17.42  641.4     15.75    -0.40    -0.42
DOMC       241121 300  160500-161000   00      17.45  641.4     15.80    -0.08    -0.10
DOMC       241121 300  161000-161500   00      16.97  641.4     15.35    -2.93    -2.95
DOMC       241121 300  161500-162000   00      17.57  641.5     15.90     0.55     0.54
DOMC       241121 300  162000-162500   00      17.22  641.5     15.58    -1.45    -1.46
DOMC       241121 300  162500-163000   00      17.30  641.5     15.68    -0.82    -0.83
DOMC       241121 300  163000-163500   00      17.33  641.6     15.72    -0.61    -0.61
DOMC       241121 300  163500-164000   00      17.55  641.7     15.92     0.65     0.65
DOMC       241121 300  164000-164500   00      17.65  641.7     16.02     1.29     1.29
DOMC       241121 300  164500-165000   00      17.45  641.7     15.83     0.13     0.13
DOMC       241121 300  165000-165500   00      17.47  641.8     15.85     0.23     0.24
DOMC       241121 300  165500-170000   00      17.57  641.8     15.95     0.87     0.88
DOMC       241121 300  170000-170500   00      17.37  641.8     15.77    -0.29    -0.28
DOMC       241121 300  170500-171000   00      17.40  641.9     15.80    -0.08    -0.07
DOMC       241121 300  171000-171500   00      17.83  641.9     16.20     2.45     2.47
DOMC       241121 300  171500-172000   00      17.37  642.0     15.78    -0.19    -0.17
DOMC       241121 300  172000-172500   00      16.88  642.0     15.35    -2.93    -2.90
DOMC       241121 300  172500-173000   00      17.45  642.0     15.87     0.34     0.37
DOMC       241121 300  173000-173500   00      17.25  642.1     15.70    -0.72    -0.68
DOMC       241121 300  173500-174000   00      17.48  642.2     15.93     0.76     0.80
DOMC       241121 300  174000-174500   00      17.53  642.2     15.97     0.97     1.01
DOMC       241121 300  174500-175000   00      17.62  642.2     16.05     1.50     1.54
DOMC       241121 300  175000-175500   00      17.48  642.3     15.93     0.76     0.80
DOMC       241121 300  175500-180000   00      17.37  642.3     15.82     0.02     0.07
DOMC       241121 300  180000-180500   00      17.15  642.3     15.63    -1.14    -1.09
DOMC       241121 300  180500-181000   00      17.18  642.4     15.67    -0.93    -0.87
DOMC       241121 300  181000-181500   00      16.98  642.5     15.50    -1.98    -1.92
DOMC       241121 300  181500-182000   00      17.25  642.5     15.75    -0.40    -0.34
DOMC       241121 300  182000-182500   00      17.27  642.6     15.77    -0.29    -0.23
DOMC       241121 300  182500-183000   00      17.48  642.6     15.97     0.97     1.04
DOMC       241121 300  183000-183500   00      17.15  642.6     15.67    -0.93    -0.86
DOMC       241121 300  183500-184000   00      17.80  642.7     16.27     2.87     2.94
DOMC       241121 300  184000-184500   00      18.03  642.7     16.48     4.24     4.31
DOMC       241121 300  184500-185000   00      17.97  642.7     16.43     3.92     4.00
DOMC       241121 300  185000-185500   00      17.67  642.7     16.15     2.13     2.21
DOMC       241121 300  185500-190000   00      18.05  642.8     16.50     4.34     4.43
DOMC       241121 300  190000-190500   00      18.22  642.8     16.67     5.40     5.48
DOMC       241121 300  190500-191000   00      18.48  642.9     16.92     6.98     7.07
DOMC       241121 300  191000-191500   00      18.13  642.9     16.62     5.08     5.17
DOMC       241121 300  191500-192000   00      18.08  643.0     16.58     4.87     4.97
DOMC       241121 300  192000-192500   00      18.40  643.1     16.88     6.77     6.87
DOMC       241121 300  192500-193000   00      17.65  643.1     16.20     2.45     2.55
DOMC       241121 300  193000-193500   00      17.80  643.1     16.33     3.29     3.40
DOMC       241121 300  193500-194000   00      17.77  643.2     16.30     3.08     3.19
DOMC       241121 300  194000-194500   00      18.03  643.2     16.55     4.66     4.77
DOMC       241121 300  194500-195000   00      17.92  643.2     16.45     4.03     4.14
