JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    143.59      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   241121 300  180500-181000   00     181.24  630.0    142.77    -0.57    -0.33
JUNGFRAU   241121 300  181000-181500   00     182.55  629.7    143.64     0.04     0.29
JUNGFRAU   241121 300  181500-182000   00     183.25  629.7    144.08     0.34     0.61
JUNGFRAU   241121 300  182000-182500   00     180.16  629.6    141.64    -1.35    -1.07
JUNGFRAU   241121 300  182500-183000   00     181.17  630.2    142.91    -0.47    -0.17
JUNGFRAU   241121 300  183000-183500   00     181.28  630.6    143.54    -0.03     0.27
JUNGFRAU   241121 300  183500-184000   00     181.47  630.7    143.75     0.11     0.43
JUNGFRAU   241121 300  184000-184500   00     180.40  630.6    142.75    -0.59    -0.26
JUNGFRAU   241121 300  184500-185000   00     181.06  630.1    142.76    -0.58    -0.23
JUNGFRAU   241121 300  185000-185500   00     181.48  630.4    143.50    -0.06     0.29
JUNGFRAU   241121 300  185500-190000   00     180.98  630.3    142.90    -0.48    -0.12
JUNGFRAU   241121 300  190000-190500   00     182.46  629.9    143.66     0.05     0.42
JUNGFRAU   241121 300  190500-191000   00     181.82  629.9    143.28    -0.21     0.17
JUNGFRAU   241121 300  191000-191500   00     179.85  630.1    141.82    -1.23    -0.84
JUNGFRAU   241121 300  191500-192000   00     185.26  630.2    146.25     1.86     2.26
JUNGFRAU   241121 300  192000-192500   00     180.33  630.0    142.16    -0.99    -0.58
JUNGFRAU   241121 300  192500-193000   00     181.58  630.1    143.29    -0.21     0.21
JUNGFRAU   241121 300  193000-193500   00     181.48  630.3    143.28    -0.21     0.21
JUNGFRAU   241121 300  193500-194000   00     179.89  630.5    142.30    -0.90    -0.47
JUNGFRAU   241121 300  194000-194500   00     180.68  630.0    142.37    -0.85    -0.41
JUNGFRAU   241121 300  194500-195000   00     182.37  630.3    144.06     0.33     0.77
JUNGFRAU   241121 300  195000-195500   00     181.64  629.2    142.35    -0.86    -0.41
JUNGFRAU   241121 300  195500-200000   00     180.48  630.2    142.47    -0.78    -0.32
