JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978     MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    237.53      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  241121 300  180500-181000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  181000-181500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  181500-182000   00     250.20  972.5    239.00     0.62     0.62
JANG-BOGO  241121 300  182000-182500   00     246.53  972.5    235.53    -0.84    -0.84
JANG-BOGO  241121 300  182500-183000   00     248.65  972.5    237.60     0.03     0.03
JANG-BOGO  241121 300  183000-183500   00     254.75  972.5    243.55     2.53     2.53
JANG-BOGO  241121 300  183500-184000   00     249.90  972.5    238.80     0.53     0.53
JANG-BOGO  241121 300  184000-184500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  184500-185000   00     255.50  972.3    244.00     2.72     2.72
JANG-BOGO  241121 300  185000-185500   00     253.65  972.3    242.15     1.94     1.94
JANG-BOGO  241121 300  185500-190000   00     250.35  972.3    239.10     0.66     0.66
JANG-BOGO  241121 300  190000-190500   00     246.40  972.5    235.40    -0.90    -0.90
JANG-BOGO  241121 300  190500-191000   00     251.67  972.3    240.30     1.17     1.17
JANG-BOGO  241121 300  191000-191500   00     253.20  972.3    241.80     1.80     1.80
JANG-BOGO  241121 300  191500-192000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  192000-192500   00     253.20  972.3    241.70     1.76     1.76
JANG-BOGO  241121 300  192500-193000   00     247.40  972.3    236.30    -0.52    -0.52
JANG-BOGO  241121 300  193000-193500   00     252.75  972.4    241.40     1.63     1.63
JANG-BOGO  241121 300  193500-194000   00     250.60  972.5    239.40     0.79     0.79
JANG-BOGO  241121 300  194000-194500   00     250.35  972.3    239.10     0.66     0.66
JANG-BOGO  241121 300  194500-195000   00     253.25  972.4    241.85     1.82     1.82
JANG-BOGO  241121 300  195000-195500   00     251.85  972.5    240.65     1.31     1.31
JANG-BOGO  241121 300  195500-200000   00     253.90  972.3    242.50     2.09     2.09
JANG-BOGO  241121 300  200000-200500   00     252.15  972.5    240.90     1.42     1.42
JANG-BOGO  241121 300  200500-201000   00     246.90  972.3    235.80    -0.73    -0.73
JANG-BOGO  241121 300  201000-201500   00     252.00  972.3    240.63     1.31     1.31
JANG-BOGO  241121 300  201500-202000   00     250.65  972.3    239.30     0.75     0.75
JANG-BOGO  241121 300  202000-202500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  202500-203000   00     253.90  972.5    242.60     2.13     2.13
JANG-BOGO  241121 300  203000-203500   00     250.03  972.5    239.00     0.62     0.62
JANG-BOGO  241121 300  203500-204000   00     250.80  972.5    239.67     0.90     0.90
JANG-BOGO  241121 300  204000-204500   00     249.30  972.5    238.23     0.30     0.30
JANG-BOGO  241121 300  204500-205000   00     251.40  972.5    240.20     1.12     1.12
JANG-BOGO  241121 300  205000-205500   00     244.60  972.5    233.70    -1.61    -1.61
JANG-BOGO  241121 300  205500-210000   00     252.73  972.5    241.53     1.69     1.69
JANG-BOGO  241121 300  210000-210500   00     255.00  972.5    243.80     2.64     2.64
JANG-BOGO  241121 300  210500-211000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  211000-211500   00     249.30  972.5    238.25     0.30     0.30
JANG-BOGO  241121 300  211500-212000   00     251.20  972.5    240.10     1.08     1.08
JANG-BOGO  241121 300  212000-212500   00     248.73  972.5    237.67     0.06     0.06
JANG-BOGO  241121 300  212500-213000   00     249.20  972.5    238.07     0.23     0.23
JANG-BOGO  241121 300  213000-213500   00     247.05  972.5    236.07    -0.61    -0.61
JANG-BOGO  241121 300  213500-214000   00     246.60  972.3    235.50    -0.85    -0.85
JANG-BOGO  241121 300  214000-214500   00     251.85  972.5    240.60     1.29     1.29
JANG-BOGO  241121 300  214500-215000   00     246.00  972.5    235.00    -1.07    -1.07
JANG-BOGO  241121 300  215000-215500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  215500-220000   00     246.90  972.5    236.00    -0.64    -0.64
JANG-BOGO  241121 300  220000-220500   00     251.85  972.5    240.70     1.33     1.33
JANG-BOGO  241121 300  220500-221000   00     242.30  972.5    231.50    -2.54    -2.54
JANG-BOGO  241121 300  221000-221500   00     251.90  972.3    240.50     1.25     1.25
JANG-BOGO  241121 300  221500-222000   00     252.30  972.3    240.90     1.42     1.42
JANG-BOGO  241121 300  222000-222500   00     251.00  972.3    239.65     0.89     0.89
JANG-BOGO  241121 300  222500-223000   00     248.50  972.3    237.20    -0.14    -0.14
JANG-BOGO  241121 300  223000-223500   00     246.30  972.3    235.10    -1.02    -1.02
JANG-BOGO  241121 300  223500-224000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG-BOGO  241121 300  224000-224500   00     245.85  972.2    234.45    -1.30    -1.30
JANG-BOGO  241121 300  224500-225000   00     247.60  972.2    236.00    -0.64    -0.64
JANG-BOGO  241121 300  225000-225500   00     251.20  972.2    239.50     0.83     0.83
JANG-BOGO  241121 300  225500-230000   00     249.75  972.2    238.25     0.30     0.30
JANG-BOGO  241121 300  230000-230500   00     250.20  972.2    238.60     0.45     0.45
