ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     MB     COEFFICIENT   -0.7      % / MB
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     50.95      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ATHENS     241121 300  183500-184000   00      53.77  976.0     52.00     2.06     2.07
ATHENS     241121 300  184000-184500   00      53.10  976.0     51.86     1.77     1.79
ATHENS     241121 300  184500-185000   00      52.75  976.0     51.17     0.42     0.44
ATHENS     241121 300  185000-185500   00      52.85  976.2     51.15     0.38     0.42
ATHENS     241121 300  185500-190000   00      53.07  976.3     51.39     0.85     0.89
ATHENS     241121 300  190000-190500   00      52.73  976.3     51.98     2.01     2.05
ATHENS     241121 300  190500-191000   00      52.32  976.3     50.82    -0.27    -0.22
ATHENS     241121 300  191000-191500   00      52.21  976.3     51.49     1.05     1.10
ATHENS     241121 300  191500-192000   00      52.24  976.4     51.42     0.91     0.97
ATHENS     241121 300  192000-192500   00      52.14  976.5     49.43    -2.99    -2.93
ATHENS     241121 300  192500-193000   00      53.19  976.5     52.75     3.52     3.58
ATHENS     241121 300  193000-193500   00      52.64  976.5     51.28     0.64     0.71
ATHENS     241121 300  193500-194000   00      53.43  976.5     51.98     2.02     2.10
ATHENS     241121 300  194000-194500   00      52.49  976.7     51.83     1.72     1.81
ATHENS     241121 300  194500-195000   00      52.47  976.8     50.01    -1.85    -1.76
ATHENS     241121 300  195000-195500   00      52.18  976.6     49.59    -2.68    -2.59
ATHENS     241121 300  195500-200000   00      51.55  976.6     51.86     1.77     1.87
ATHENS     241121 300  200000-200500   00      51.60  976.8     51.05     0.19     0.29
ATHENS     241121 300  200500-201000   00      51.58  976.8     49.37    -3.11    -3.00
ATHENS     241121 300  201000-201500   00      52.08  976.8     51.19     0.46     0.57
ATHENS     241121 300  201500-202000   00      51.01  977.0     48.82    -4.18    -4.07
ATHENS     241121 300  202000-202500   00      52.80  977.0     51.66     1.38     1.50
ATHENS     241121 300  202500-203000   00      52.93  976.9     52.13     2.31     2.44
