NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.91      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       241121 300  183500-184000   00     169.08 1031.3    195.09     1.65     1.65
NAIN       241121 300  184000-184500   00     167.44 1031.3    193.20     0.67     0.67
NAIN       241121 300  184500-185000   00     168.10 1031.3    193.94     1.06     1.06
NAIN       241121 300  185000-185500   00     169.03 1031.3    194.99     1.60     1.60
NAIN       241121 300  185500-190000   00     166.29 1031.3    191.82    -0.05    -0.05
NAIN       241121 300  190000-190500   00     166.61 1031.3    192.14     0.12     0.12
NAIN       241121 300  190500-191000   00     169.96 1031.2    195.87     2.06     2.06
NAIN       241121 300  191000-191500   00     168.91 1031.1    194.56     1.38     1.38
NAIN       241121 300  191500-192000   00     168.06 1031.1    193.51     0.83     0.83
NAIN       241121 300  192000-192500   00     169.66 1031.0    195.33     1.78     1.78
NAIN       241121 300  192500-193000   00     170.65 1031.0    196.47     2.38     2.38
NAIN       241121 300  193000-193500   00     166.10 1031.0    191.24    -0.35    -0.35
NAIN       241121 300  193500-194000   00     167.12 1031.0    192.43     0.27     0.27
NAIN       241121 300  194000-194500   00     166.40 1031.0    191.52    -0.20    -0.20
NAIN       241121 300  194500-195000   00     168.27 1031.0    193.61     0.88     0.88
NAIN       241121 300  195000-195500   00     169.68 1031.0    195.30     1.76     1.76
NAIN       241121 300  195500-200000   00     168.51 1031.0    193.98     1.08     1.08
NAIN       241121 300  200000-200500   00     167.67 1031.0    192.95     0.54     0.54
NAIN       241121 300  200500-201000   00     169.59 1030.9    195.06     1.64     1.64
