Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    190.56      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort-SMITH 241120 3600 000000-010000   00     196.49 1009.4    191.73     0.61    -9999
Fort-SMITH 241120 3600 010000-020000   00     196.07 1009.9    192.09     0.80    -9999
Fort-SMITH 241120 3600 020000-030000   00     195.83 1010.6    192.87     1.21    -9999
Fort-SMITH 241120 3600 030000-040000   00     193.70 1011.1    191.53     0.51    -9999
Fort-SMITH 241120 3600 040000-050000   00     193.80 1011.4    192.06     0.78    -9999
Fort-SMITH 241120 3600 050000-060000   00     193.15 1011.8    191.94     0.72    -9999
Fort-SMITH 241120 3600 060000-070000   00     191.62 1012.1    190.81     0.13    -9999
Fort-SMITH 241120 3600 070000-080000   00     191.96 1012.1    191.14     0.30    -9999
Fort-SMITH 241120 3600 080000-090000   00     191.81 1012.3    191.40     0.44    -9999
Fort-SMITH 241120 3600 090000-100000   00     190.76 1012.5    190.52    -0.02    -9999
Fort-SMITH 241120 3600 100000-110000   00     190.53 1012.7    190.59     0.01    -9999
Fort-SMITH 241120 3600 110000-120000   00     190.49 1013.2    191.25     0.36    -9999
Fort-SMITH 241120 3600 120000-130000   00     190.56 1013.5    191.81     0.66    -9999
Fort-SMITH 241120 3600 130000-140000   00     189.94 1013.5    191.17     0.32    -9999
Fort-SMITH 241120 3600 140000-150000   00     190.11 1013.5    191.30     0.39    -9999
Fort-SMITH 241120 3600 150000-160000   00     190.45 1013.4    191.52     0.50    -9999
Fort-SMITH 241120 3600 160000-170000   00     190.88 1013.7    192.44     0.99    -9999
Fort-SMITH 241120 3600 170000-180000   00     190.82 1013.6    192.16     0.84    -9999
Fort-SMITH 241120 3600 180000-190000   00     192.59 1013.0    193.13     1.35    -9999
Fort-SMITH 241120 3600 190000-200000   00     192.76 1012.7    192.86     1.21    -9999
Fort-SMITH 241120 3600 200000-210000   00     193.51 1012.3    193.08     1.32    -9999
Fort-SMITH 241120 3600 210000-220000   00     192.73 1012.8    193.04     1.30    -9999
Fort-SMITH 241120 3600 220000-230000   00     192.24 1013.3    193.13     1.35    -9999
Fort-SMITH 241120 3600 230000-240000   00     192.30 1013.5    193.53     1.56    -9999
Fort-SMITH 241121 3600 000000-010000   00     191.41 1013.2    192.22     0.87    -9999
Fort-SMITH 241121 3600 010000-020000   00     191.12 1012.9    191.58     0.53    -9999
Fort-SMITH 241121 3600 020000-030000   00     191.35 1012.5    191.12     0.29    -9999
Fort-SMITH 241121 3600 030000-040000   00     192.06 1012.0    191.13     0.30    -9999
Fort-SMITH 241121 3600 040000-050000   00     192.68 1011.5    191.10     0.28    -9999
Fort-SMITH 241121 3600 050000-060000   00     193.30 1011.2    191.27     0.37    -9999
Fort-SMITH 241121 3600 060000-070000   00     193.65 1011.0    191.26     0.37    -9999
Fort-SMITH 241121 3600 070000-080000   00     193.58 1010.6    190.59     0.02    -9999
Fort-SMITH 241121 3600 080000-090000   00     194.58 1010.2    191.09     0.28    -9999
Fort-SMITH 241121 3600 090000-100000   00     194.26 1010.0    190.50    -0.03    -9999
Fort-SMITH 241121 3600 100000-110000   00     195.23 1009.8    191.06     0.26    -9999
Fort-SMITH 241121 3600 110000-120000   00     195.55 1009.1    190.41    -0.08    -9999
Fort-SMITH 241121 3600 120000-130000   00     196.50 1008.7    190.79     0.12    -9999
Fort-SMITH 241121 3600 130000-140000   00     196.78 1008.4    190.65     0.05    -9999
Fort-SMITH 241121 3600 140000-150000   00     196.87 1008.2    190.42    -0.07    -9999
Fort-SMITH 241121 3600 150000-160000   00     196.92 1007.8    189.92    -0.34    -9999
Fort-SMITH 241121 300  160000-160500   00     199.29 1007.6    191.91     0.71     0.93
Fort-SMITH 241121 300  160500-161000   00     198.22 1007.6    190.85     0.15     0.35
Fort-SMITH 241121 300  161000-161500   00     197.61 1007.6    190.24    -0.17     0.01
Fort-SMITH 241121 300  161500-162000   00     197.63 1007.6    190.25    -0.16     0.00
Fort-SMITH 241121 300  162000-162500   00     196.99 1007.6    189.63    -0.49    -0.35
Fort-SMITH 241121 300  162500-163000   00     200.13 1007.6    192.65     1.10     1.21
Fort-SMITH 241121 300  163000-163500   00     198.64 1007.6    191.21     0.34     0.44
Fort-SMITH 241121 300  163500-164000   00     197.22 1007.6    189.88    -0.36    -0.27
Fort-SMITH 241121 300  164000-164500   00     195.13 1007.6    187.88    -1.41    -1.34
Fort-SMITH 241121 300  164500-165000   00     198.05 1007.6    190.66     0.05     0.10
Fort-SMITH 241121 300  165000-165500   00     196.94 1007.5    189.48    -0.57    -0.54
Fort-SMITH 241121 300  165500-170000   00     197.08 1007.5    189.59    -0.51    -0.50
Fort-SMITH 241121 300  170000-170500   00     198.83 1007.4    191.18     0.33     0.32
Fort-SMITH 241121 300  170500-171000   00     196.89 1007.3    189.14    -0.74    -0.77
Fort-SMITH 241121 300  171000-171500   00     198.99 1007.3    191.07     0.27     0.23
Fort-SMITH 241121 300  171500-172000   00     199.53 1007.1    191.44     0.46     0.41
Fort-SMITH 241121 300  172000-172500   00     197.00 1007.1    188.96    -0.84    -0.91
Fort-SMITH 241121 300  172500-173000   00     199.39 1007.1    191.28     0.38     0.29
Fort-SMITH 241121 300  173000-173500   00     199.70 1007.1    191.55     0.52     0.41
Fort-SMITH 241121 300  173500-174000   00     197.83 1007.0    189.63    -0.49    -0.61
Fort-SMITH 241121 300  174000-174500   00     200.17 1007.0    191.81     0.66     0.52
Fort-SMITH 241121 300  174500-175000   00     198.18 1007.0    189.92    -0.34    -0.48
Fort-SMITH 241121 300  175000-175500   00     200.09 1007.0    191.74     0.62     0.46
Fort-SMITH 241121 300  175500-180000   00     199.82 1007.0    191.49     0.49     0.32
Fort-SMITH 241121 300  180000-180500   00     197.52 1006.9    189.23    -0.70    -0.89
Fort-SMITH 241121 300  180500-181000   00     198.87 1006.9    190.46    -0.05    -0.25
