ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,410.05      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 170910 300  135500-140000   00    1285.96  682.7   1398.46    -0.82    -9999
ALMA-ATA-B 170910 300  140000-140500   00    1288.78  682.7   1401.84    -0.58    -9999
ALMA-ATA-B 170910 300  140500-141000   00    1293.64  682.6   1406.64    -0.24    -9999
ALMA-ATA-B 170910 300  141000-141500   00    1294.44  682.7   1407.68    -0.17    -9999
ALMA-ATA-B 170910 300  141500-142000   00    1296.26  682.7   1409.86    -0.01    -9999
ALMA-ATA-B 170910 300  142000-142500   00    1290.02  682.7   1403.24    -0.48    -9999
ALMA-ATA-B 170910 300  142500-143000   00    1293.40  682.7   1406.98    -0.22    -9999
ALMA-ATA-B 170910 300  143000-143500   00    1296.30  682.7   1410.28     0.02    -9999
ALMA-ATA-B 170910 300  143500-144000   00    1298.78  682.7   1412.72     0.19    -9999
ALMA-ATA-B 170910 300  144000-144500   00    1289.58  682.5   1400.94    -0.65    -9999
ALMA-ATA-B 170910 300  144500-145000   00    1294.02  682.3   1404.14    -0.42    -9999
ALMA-ATA-B 170910 300  145000-145500   00    1306.42  682.3   1417.34     0.52    -9999
ALMA-ATA-B 170910 300  145500-150000   00    1298.68  682.4   1409.46    -0.04    -9999
ALMA-ATA-B 170910 300  150000-150500   00    1299.84  682.3   1410.64     0.04    -9999
ALMA-ATA-B 170910 300  150500-151000   00    1291.28  682.4   1401.82    -0.58    -9999
ALMA-ATA-B 170910 300  151000-151500   00    1304.32  682.5   1416.52     0.46    -9999
ALMA-ATA-B 170910 300  151500-152000   00    1297.12  682.5   1409.10    -0.07    -9999
ALMA-ATA-B 170910 300  152000-152500   00    1297.62  682.5   1409.92    -0.01    -9999
ALMA-ATA-B 170910 300  152500-153000   00    1298.78  682.5   1411.34     0.09    -9999
ALMA-ATA-B 170910 300  153000-153500   00    1296.48  682.5   1408.70    -0.10    -9999
ALMA-ATA-B 170910 300  153500-154000   00    1300.34  682.5   1413.00     0.21    -9999
ALMA-ATA-B 170910 300  154000-154500   00    1303.88  682.5   1416.78     0.48    -9999
ALMA-ATA-B 170910 300  154500-155000   00    1300.56  682.5   1413.18     0.22    -9999
ALMA-ATA-B 170910 300  155000-155500   00    1306.64  682.5   1419.62     0.68    -9999
ALMA-ATA-B 170910 300  155500-160000   00    1306.58  682.5   1419.36     0.66    -9999
ALMA-ATA-B 170910 300  160000-160500   00    1298.38  682.5   1410.78     0.05    -9999
ALMA-ATA-B 170910 300  160500-161000   00    1306.14  682.5   1419.32     0.66    -9999
ALMA-ATA-B 170910 300  161000-161500   00    1296.10  682.5   1408.36    -0.12    -9999
ALMA-ATA-B 170910 300  161500-162000   00    1311.48  682.5   1424.94     1.06    -9999
ALMA-ATA-B 170910 300  162000-162500   00    1312.06  682.5   1425.62     1.10    -9999
ALMA-ATA-B 170910 300  162500-163000   00    1298.74  682.6   1411.50     0.10    -9999
ALMA-ATA-B 170910 300  163000-163500   00    1294.70  682.5   1407.02    -0.21    -9999
ALMA-ATA-B 170910 300  163500-164000   00    1300.56  682.6   1413.52     0.25    -9999
ALMA-ATA-B 170910 300  164000-164500   00    1300.28  682.6   1413.44     0.24    -9999
ALMA-ATA-B 170910 300  164500-165000   00    1301.64  682.6   1414.78     0.34    -9999
ALMA-ATA-B 170910 300  165000-165500   00    1303.46  682.5   1416.42     0.45    -9999
ALMA-ATA-B 170910 300  165500-170000   00    1301.04  682.6   1413.96     0.28    -9999
ALMA-ATA-B 170910 300  170000-170500   00    1296.74  682.6   1409.36    -0.05    -9999
ALMA-ATA-B 170910 300  170500-171000   00    1295.78  682.6   1408.34    -0.12    -9999
ALMA-ATA-B 170910 300  171000-171500   00    1305.90  682.6   1419.46     0.67    -9999
ALMA-ATA-B 170910 300  171500-172000   00    1298.82  682.6   1411.86     0.13    -9999
ALMA-ATA-B 170910 300  172000-172500   00    1300.94  682.6   1414.06     0.28    -9999
ALMA-ATA-B 170910 300  172500-173000   00    1299.40  682.6   1412.26     0.16    -9999
ALMA-ATA-B 170910 300  173000-173500   00    1308.26  682.5   1421.42     0.81    -9999
ALMA-ATA-B 170910 300  173500-174000   00    1304.54  682.5   1417.14     0.50    -9999
ALMA-ATA-B 170910 300  174000-174500   00    1300.62  682.6   1413.46     0.24    -9999
ALMA-ATA-B 170910 300  174500-175000   00    1303.68  682.6   1417.02     0.49    -9999
ALMA-ATA-B 170910 300  175000-175500   00    1305.28  682.6   1418.78     0.62    -9999
ALMA-ATA-B 170910 300  175500-180000   00    1299.18  682.5   1411.80     0.12    -9999
ALMA-ATA-B 170910 300  180000-180500   00    1304.70  682.5   1417.32     0.52    -9999
ALMA-ATA-B 170910 300  180500-181000   00    1295.06  682.5   1406.42    -0.26    -9999
ALMA-ATA-B 170910 300  181000-181500   00    1299.96  682.5   1411.76     0.12    -9999
ALMA-ATA-B 170910 300  181500-182000   00    1306.56  682.4   1418.74     0.62    -9999
ALMA-ATA-B 170910 300  182000-182500   00    1306.32  682.4   1418.46     0.60    -9999
ALMA-ATA-B 170910 300  182500-183000   00    1296.04  682.5   1407.88    -0.15    -9999
ALMA-ATA-B 170910 300  183000-183500   00    1297.78  682.5   1409.70    -0.02    -9999
ALMA-ATA-B 170910 300  183500-184000   00    1297.52  682.5   1409.26    -0.06    -9999
ALMA-ATA-B 170910 300  184000-184500   00    1306.72  682.4   1418.70     0.61    -9999
ALMA-ATA-B 170910 300  184500-185000   00    1301.22  682.3   1411.98     0.14    -9999
ALMA-ATA-B 170910 300  185000-185500   00    1314.44  682.3   1425.90     1.12    -9999
ALMA-ATA-B 170910 300  185500-190000   00    1309.76  682.3   1420.32     0.73    -9999
ALMA-ATA-B 170910 300  190000-190500   00    1300.64  682.2   1409.90    -0.01    -9999
ALMA-ATA-B 170910 300  190500-191000   00    1311.96  682.1   1421.48     0.81    -9999
ALMA-ATA-B 170910 300  191000-191500   00    1305.82  682.0   1414.02     0.28    -9999
ALMA-ATA-B 170910 300  191500-192000   00    1304.06  682.0   1411.36     0.09    -9999
ALMA-ATA-B 170910 300  192000-192500   00    1311.80  681.8   1418.54     0.60    -9999
ALMA-ATA-B 170910 300  192500-193000   00    1311.32  681.8   1417.28     0.51    -9999
ALMA-ATA-B 170910 300  193000-193500   00    1306.34  681.7   1411.26     0.09    -9999
ALMA-ATA-B 170910 300  193500-194000   00    1311.88  681.7   1417.02     0.49    -9999
ALMA-ATA-B 170910 300  194000-194500   00    1311.38  681.7   1416.10     0.43    -9999
ALMA-ATA-B 170910 300  194500-195000   00    1310.92  681.7   1415.54     0.39    -9999
