JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    161.21      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   170910 300  143000-143500   00     176.08  650.6    160.35    -0.54    -9999
JUNGFRAU   170910 300  143500-144000   00     177.62  650.7    161.75     0.33    -9999
JUNGFRAU   170910 300  144000-144500   00     178.58  650.7    162.78     0.97    -9999
JUNGFRAU   170910 300  144500-145000   00     176.88  650.8    161.27     0.03    -9999
JUNGFRAU   170910 300  145000-145500   00     176.91  650.8    161.23     0.01    -9999
JUNGFRAU   170910 300  145500-150000   00     179.23  650.7    163.38     1.35    -9999
JUNGFRAU   170910 300  150000-150500   00     177.70  650.8    162.03     0.51    -9999
JUNGFRAU   170910 300  150500-151000   00     177.50  650.8    161.79     0.36    -9999
JUNGFRAU   170910 300  151000-151500   00     175.92  650.7    160.32    -0.56    -9999
JUNGFRAU   170910 300  151500-152000   00     176.84  650.9    161.35     0.09    -9999
JUNGFRAU   170910 300  152000-152500   00     175.77  651.0    160.53    -0.42    -9999
JUNGFRAU   170910 300  152500-153000   00     175.19  651.0    159.98    -0.76    -9999
JUNGFRAU   170910 300  153000-153500   00     176.75  650.9    161.19    -0.02    -9999
JUNGFRAU   170910 300  153500-154000   00     175.71  651.0    160.47    -0.46    -9999
JUNGFRAU   170910 300  154000-154500   00     176.13  650.9    160.68    -0.33    -9999
JUNGFRAU   170910 300  154500-155000   00     177.01  651.0    161.59     0.23    -9999
JUNGFRAU   170910 300  155000-155500   00     176.75  651.0    161.43     0.13    -9999
JUNGFRAU   170910 300  155500-160000   00     175.35  651.0    160.18    -0.64    -9999
JUNGFRAU   170910 300  160000-160500   00     175.67  651.1    160.43    -0.49    -9999
JUNGFRAU   170910 300  160500-161000   00     176.11  651.1    160.86    -0.22    -9999
JUNGFRAU   170910 300  161000-161500   00     177.01  651.2    161.91     0.43    -9999
JUNGFRAU   170910 300  161500-162000   00     176.49  651.2    162.02     0.50    -9999
JUNGFRAU   170910 300  162000-162500   00     176.53  651.2    161.44     0.14    -9999
JUNGFRAU   170910 300  162500-163000   00     176.54  651.2    161.30     0.05    -9999
JUNGFRAU   170910 300  163000-163500   00     178.08  651.2    162.78     0.97    -9999
JUNGFRAU   170910 300  163500-164000   00     178.49  651.2    163.18     1.22    -9999
JUNGFRAU   170910 300  164000-164500   00     177.55  651.2    162.45     0.76    -9999
JUNGFRAU   170910 300  164500-165000   00     175.78  651.2    160.74    -0.30    -9999
JUNGFRAU   170910 300  165000-165500   00     178.31  651.2    163.08     1.16    -9999
JUNGFRAU   170910 300  165500-170000   00     177.85  651.2    162.72     0.94    -9999
JUNGFRAU   170910 300  170000-170500   00     177.33  651.2    162.16     0.59    -9999
JUNGFRAU   170910 300  170500-171000   00     176.88  651.3    161.79     0.36    -9999
JUNGFRAU   170910 300  171000-171500   00     176.13  651.3    161.15    -0.04    -9999
JUNGFRAU   170910 300  171500-172000   00     177.55  651.2    162.33     0.69    -9999
JUNGFRAU   170910 300  172000-172500   00     175.84  651.3    160.83    -0.24    -9999
JUNGFRAU   170910 300  172500-173000   00     177.78  651.3    162.61     0.86    -9999
JUNGFRAU   170910 300  173000-173500   00     176.63  651.3    162.42     0.75    -9999
JUNGFRAU   170910 300  173500-174000   00     176.39  651.3    161.36     0.09    -9999
JUNGFRAU   170910 300  174000-174500   00     177.65  651.4    162.69     0.91    -9999
JUNGFRAU   170910 300  174500-175000   00     177.94  651.4    162.87     1.02    -9999
JUNGFRAU   170910 300  175000-175500   00     176.48  651.4    161.59     0.23    -9999
JUNGFRAU   170910 300  175500-180000   00     177.06  651.5    162.30     0.67    -9999
JUNGFRAU   170910 300  180000-180500   00     176.12  651.6    161.48     0.16    -9999
JUNGFRAU   170910 300  180500-181000   00     175.48  651.6    160.90    -0.20    -9999
JUNGFRAU   170910 300  181000-181500   00     176.62  651.6    161.97     0.47    -9999
JUNGFRAU   170910 300  181500-182000   00     177.23  651.7    162.67     0.90    -9999
JUNGFRAU   170910 300  182000-182500   00     177.00  651.7    162.42     0.74    -9999
JUNGFRAU   170910 300  182500-183000   00     174.26  651.8    160.71    -0.31    -9999
JUNGFRAU   170910 300  183000-183500   00     176.01  651.8    161.68     0.29    -9999
JUNGFRAU   170910 300  183500-184000   00     175.53  651.9    161.29     0.05    -9999
JUNGFRAU   170910 300  184000-184500   00     175.28  651.9    161.10    -0.07    -9999
JUNGFRAU   170910 300  184500-185000   00     173.63  652.0    159.69    -0.94    -9999
JUNGFRAU   170910 300  185000-185500   00     176.15  652.0    162.11     0.56    -9999
JUNGFRAU   170910 300  185500-190000   00     175.12  652.1    161.11    -0.07    -9999
JUNGFRAU   170910 300  190000-190500   00     175.63  652.1    161.63     0.26    -9999
JUNGFRAU   170910 300  190500-191000   00     176.59  652.1    162.58     0.85    -9999
JUNGFRAU   170910 300  191000-191500   00     174.43  652.1    160.51    -0.44    -9999
JUNGFRAU   170910 300  191500-192000   00     175.38  652.1    161.41     0.12    -9999
JUNGFRAU   170910 300  192000-192500   00     174.21  652.0    160.25    -0.60    -9999
JUNGFRAU   170910 300  192500-193000   00     175.18  652.0    161.19    -0.02    -9999
JUNGFRAU   170910 300  193000-193500   00     173.68  652.1    159.85    -0.84    -9999
JUNGFRAU   170910 300  193500-194000   00     174.47  652.0    160.47    -0.46    -9999
JUNGFRAU   170910 300  194000-194500   00     175.24  652.0    161.16    -0.03    -9999
JUNGFRAU   170910 300  194500-195000   00     174.64  652.0    160.58    -0.39    -9999
JUNGFRAU   170910 300  195000-195500   00     175.15  652.0    161.06    -0.09    -9999
JUNGFRAU   170910 300  195500-200000   00     176.13  652.0    162.00     0.49    -9999
JUNGFRAU   170910 300  200000-200500   00     175.79  652.0    161.70     0.30    -9999
JUNGFRAU   170910 300  200500-201000   00     175.68  652.0    161.64     0.27    -9999
JUNGFRAU   170910 300  201000-201500   00     176.54  652.0    162.35     0.70    -9999
JUNGFRAU   170910 300  201500-202000   00     175.81  652.0    161.73     0.32    -9999
JUNGFRAU   170910 300  202000-202500   00     174.31  652.1    160.46    -0.47    -9999
JUNGFRAU   170910 300  202500-203000   00     177.91  652.1    163.65     1.51    -9999
JUNGFRAU   170910 300  203000-203500   00     175.00  652.0    161.02    -0.12    -9999
JUNGFRAU   170910 300  203500-204000   00     175.21  652.0    161.91     0.43    -9999
JUNGFRAU   170910 300  204000-204500   00     174.00  652.0    159.93    -0.80    -9999
JUNGFRAU   170910 300  204500-205000   00     175.54  652.0    161.35     0.09    -9999
JUNGFRAU   170910 300  205000-205500   00     174.89  652.0    160.78    -0.27    -9999
JUNGFRAU   170910 300  205500-210000   00     174.97  652.0    160.92    -0.18    -9999
JUNGFRAU   170910 300  210000-210500   00     176.45  652.1    162.36     0.71    -9999
JUNGFRAU   170910 300  210500-211000   00     176.54  652.1    162.86     1.02    -9999
JUNGFRAU   170910 300  211000-211500   00     175.73  652.1    161.75     0.33    -9999
JUNGFRAU   170910 300  211500-212000   00     173.22  652.0    159.32    -1.18    -9999
JUNGFRAU   170910 300  212000-212500   00     177.89  652.1    163.79     1.60    -9999
JUNGFRAU   170910 300  212500-213000   00     176.91  652.0    162.84     1.01    -9999
JUNGFRAU   170910 300  213000-213500   00     174.98  652.1    161.05    -0.10    -9999
JUNGFRAU   170910 300  213500-214000   00     175.56  652.1    161.62     0.25    -9999
JUNGFRAU   170910 300  214000-214500   00     177.47  652.2    162.62     0.87    -9999
JUNGFRAU   170910 300  214500-215000   00     176.26  652.2    162.22     0.62    -9999
JUNGFRAU   170910 300  215000-215500   00     176.73  652.0    162.46     0.77    -9999
JUNGFRAU   170910 300  215500-220000   00     172.91  651.9    158.90    -1.44    -9999
JUNGFRAU   170910 300  220000-220500   00     176.46  651.9    161.11    -0.06    -9999
JUNGFRAU   170910 300  220500-221000   00     176.32  651.8    161.92     0.44    -9999
JUNGFRAU   170910 300  221000-221500   00     177.20  651.7    162.71     0.93    -9999
JUNGFRAU   170910 300  221500-222000   00     174.63  651.7    160.16    -0.66    -9999
JUNGFRAU   170910 300  222000-222500   00     177.34  651.7    162.80     0.98    -9999
JUNGFRAU   170910 300  222500-223000   00     177.87  651.6    163.22     1.25    -9999
JUNGFRAU   170910 300  223000-223500   00     176.19  651.7    161.67     0.28    -9999
JUNGFRAU   170910 300  223500-224000   00     177.74  651.8    163.25     1.26    -9999
JUNGFRAU   170910 300  224000-224500   00     175.83  651.9    161.52     0.19    -9999
JUNGFRAU   170910 300  224500-225000   00     177.70  651.9    163.39     1.35    -9999
JUNGFRAU   170910 300  225000-225500   00     177.86  651.9    163.42     1.37    -9999
JUNGFRAU   170910 300  225500-230000   00     176.98  651.9    162.70     0.92    -9999
JUNGFRAU   170910 300  230000-230500   00     174.47  651.9    160.32    -0.55    -9999
JUNGFRAU   170910 300  230500-231000   00     177.33  651.7    161.97     0.47    -9999
JUNGFRAU   170910 300  231000-231500   00     175.94  651.8    161.50     0.18    -9999
JUNGFRAU   170910 300  231500-232000   00     176.03  651.8    161.68     0.29    -9999
JUNGFRAU   170910 300  232000-232500   00     176.90  651.8    162.36     0.71    -9999
JUNGFRAU   170910 300  232500-233000   00     176.74  651.8    162.32     0.69    -9999
JUNGFRAU   170910 300  233000-233500   00     178.17  651.8    163.48     1.40    -9999
JUNGFRAU   170910 300  233500-234000   00     178.22  651.7    163.53     1.44    -9999
JUNGFRAU   170910 300  234000-234500   00     176.46  651.6    161.90     0.43    -9999
JUNGFRAU   170910 300  234500-235000   00     178.06  651.5    163.13     1.19    -9999
JUNGFRAU   170910 300  235000-235500   00     178.75  651.5    163.85     1.63    -9999
JUNGFRAU   170910 300  235500-240000   00     176.74  651.4    161.91     0.43    -9999
JUNGFRAU   170911 300  000000-000500   00     179.51  651.4    164.31     1.92    -9999
JUNGFRAU   170911 300  000500-001000   00     176.40  651.4    162.56     0.83    -9999
JUNGFRAU   170911 300  001000-001500   00     178.69  651.5    163.80     1.60    -9999
JUNGFRAU   170911 300  001500-002000   00     176.89  651.4    161.90     0.43    -9999
JUNGFRAU   170911 300  002000-002500   00     176.51  651.3    161.52     0.19    -9999
JUNGFRAU   170911 300  002500-003000   00     178.39  651.3    163.26     1.27    -9999
JUNGFRAU   170911 300  003000-003500   00     177.64  651.2    162.50     0.79    -9999
JUNGFRAU   170911 300  003500-004000   00     176.79  651.2    161.66     0.28    -9999
JUNGFRAU   170911 300  004000-004500   00     177.35  651.2    162.21     0.62    -9999
JUNGFRAU   170911 300  004500-005000   00     177.34  651.3    162.28     0.66    -9999
JUNGFRAU   170911 300  005000-005500   00     176.82  651.3    161.91     0.43    -9999
JUNGFRAU   170911 300  005500-010000   00     176.07  651.3    161.05    -0.10    -9999
JUNGFRAU   170911 300  010000-010500   00     178.36  651.3    163.18     1.22    -9999
JUNGFRAU   170911 300  010500-011000   00     179.04  651.3    163.86     1.64    -9999
JUNGFRAU   170911 300  011000-011500   00     176.79  651.3    161.79     0.35    -9999
JUNGFRAU   170911 300  011500-012000   00     175.71  651.4    160.92    -0.18    -9999
JUNGFRAU   170911 300  012000-012500   00     177.26  651.4    162.34     0.70    -9999
JUNGFRAU   170911 300  012500-013000   00     177.95  651.4    163.04     1.13    -9999
JUNGFRAU   170911 300  013000-013500   00     177.33  651.5    162.50     0.80    -9999
JUNGFRAU   170911 300  013500-014000   00     178.03  651.5    163.09     1.16    -9999
JUNGFRAU   170911 300  014000-014500   00     179.50  651.4    164.35     1.94    -9999
JUNGFRAU   170911 300  014500-015000   00     177.95  651.4    162.92     1.06    -9999
JUNGFRAU   170911 300  015000-015500   00     178.60  651.4    163.51     1.42    -9999
