MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    164.96      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     170910 300  144500-145000   00     173.40  992.7    164.58    -0.23    -9999
MOSCOW     170910 300  145000-145500   00     174.40  992.7    165.47     0.31    -9999
MOSCOW     170910 300  145500-150000   00     172.95  992.7    164.08    -0.53    -9999
MOSCOW     170910 300  150000-150500   00     174.33  992.7    165.40     0.27    -9999
MOSCOW     170910 300  150500-151000   00     172.58  992.7    163.75    -0.73    -9999
MOSCOW     170910 300  151000-151500   00     176.45  992.7    167.37     1.46    -9999
MOSCOW     170910 300  151500-152000   00     174.00  992.6    164.98     0.01    -9999
MOSCOW     170910 300  152000-152500   00     174.45  992.6    165.42     0.28    -9999
MOSCOW     170910 300  152500-153000   00     173.37  992.6    164.37    -0.36    -9999
MOSCOW     170910 300  153000-153500   00     174.35  992.6    165.30     0.21    -9999
MOSCOW     170910 300  153500-154000   00     173.33  992.5    164.27    -0.42    -9999
MOSCOW     170910 300  154000-154500   00     174.87  992.5    165.68     0.44    -9999
MOSCOW     170910 300  154500-155000   00     173.90  992.6    164.83    -0.08    -9999
MOSCOW     170910 300  155000-155500   00     171.60  992.5    162.60    -1.43    -9999
MOSCOW     170910 300  155500-160000   00     173.18  992.6    164.25    -0.43    -9999
MOSCOW     170910 300  160000-160500   00     174.67  992.7    165.73     0.47     0.30
MOSCOW     170910 300  160500-161000   00     172.58  992.8    163.87    -0.66    -0.84
MOSCOW     170910 300  161000-161500   00     173.03  992.8    164.28    -0.41    -0.60
MOSCOW     170910 300  161500-162000   00     172.80  992.8    164.07    -0.54    -0.74
MOSCOW     170910 300  162000-162500   00     172.78  992.8    164.05    -0.55    -0.76
MOSCOW     170910 300  162500-163000   00     172.32  992.8    163.60    -0.82    -1.04
MOSCOW     170910 300  163000-163500   00     175.60  992.8    166.73     1.07     0.84
MOSCOW     170910 300  163500-164000   00     176.35  992.8    167.45     1.51     1.27
MOSCOW     170910 300  164000-164500   00     175.55  992.8    166.63     1.01     0.76
MOSCOW     170910 300  164500-165000   00     175.88  992.7    166.88     1.16     0.90
MOSCOW     170910 300  165000-165500   00     177.72  992.7    168.62     2.22     1.94
MOSCOW     170910 300  165500-170000   00     176.88  992.7    167.82     1.73     1.44
MOSCOW     170910 300  170000-170500   00     177.58  992.7    168.50     2.15     1.85
MOSCOW     170910 300  170500-171000   00     177.32  992.7    168.22     1.98     1.67
MOSCOW     170910 300  171000-171500   00     177.42  992.6    168.22     1.98     1.66
MOSCOW     170910 300  171500-172000   00     178.60  992.6    169.33     2.65     2.32
MOSCOW     170910 300  172000-172500   00     177.95  992.6    168.72     2.28     1.94
MOSCOW     170910 300  172500-173000   00     178.48  992.6    169.22     2.58     2.23
MOSCOW     170910 300  173000-173500   00     176.22  992.6    167.03     1.25     0.89
MOSCOW     170910 300  173500-174000   00     180.67  992.6    171.28     3.83     3.46
MOSCOW     170910 300  174000-174500   00     178.55  992.6    169.28     2.62     2.24
MOSCOW     170910 300  174500-175000   00     179.13  992.6    169.83     2.95     2.55
MOSCOW     170910 300  175000-175500   00     178.45  992.5    169.12     2.52     2.11
MOSCOW     170910 300  175500-180000   00     178.30  992.5    168.93     2.41     1.99
MOSCOW     170910 300  180000-180500   00     178.52  992.5    169.18     2.56     2.13
MOSCOW     170910 300  180500-181000   00     178.48  992.6    169.23     2.59     2.15
MOSCOW     170910 300  181000-181500   00     180.12  992.6    170.77     3.52     3.07
MOSCOW     170910 300  181500-182000   00     177.10  992.6    167.92     1.79     1.33
MOSCOW     170910 300  182000-182500   00     175.92  992.6    166.80     1.12     0.65
MOSCOW     170910 300  182500-183000   00     175.83  992.6    166.72     1.07     0.59
MOSCOW     170910 300  183000-183500   00     178.55  992.6    169.28     2.62     2.13
MOSCOW     170910 300  183500-184000   00     179.73  992.6    170.42     3.31     2.81
MOSCOW     170910 300  184000-184500   00     176.77  992.5    167.52     1.55     1.03
MOSCOW     170910 300  184500-185000   00     178.98  992.5    169.57     2.79     2.26
MOSCOW     170910 300  185000-185500   00     177.68  992.5    168.35     2.06     1.52
MOSCOW     170910 300  185500-190000   00     176.85  992.5    167.55     1.57     1.02
MOSCOW     170910 300  190000-190500   00     177.07  992.5    167.75     1.69     1.13
MOSCOW     170910 300  190500-191000   00     179.80  992.5    170.32     3.25     2.68
MOSCOW     170910 300  191000-191500   00     174.37  992.4    165.08     0.07    -0.51
MOSCOW     170910 300  191500-192000   00     176.85  992.4    167.43     1.50     0.91
MOSCOW     170910 300  192000-192500   00     176.20  992.3    166.72     1.07     0.47
MOSCOW     170910 300  192500-193000   00     177.27  992.3    167.72     1.67     1.06
