SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   mb     COEFFICIENT   -0.75     % / mb
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    151.03      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOPO-6NM64 170910 300  141500-142000   00     162.64  669.6    150.47    -0.37    -9999
SOPO-6NM64 170910 300  142000-142500   00     161.70  669.5    149.51    -1.01    -9999
SOPO-6NM64 170910 300  142500-143000   00     163.44  669.5    151.10     0.05    -9999
SOPO-6NM64 170910 300  143000-143500   00     163.35  669.4    150.94    -0.06    -9999
SOPO-6NM64 170910 300  143500-144000   00     163.28  669.4    150.91    -0.08    -9999
SOPO-6NM64 170910 300  144000-144500   00     162.89  669.5    150.60    -0.28    -9999
SOPO-6NM64 170910 300  144500-145000   00     164.09  669.6    151.80     0.51    -9999
SOPO-6NM64 170910 300  145000-145500   00     163.24  669.6    151.03     0.00    -9999
SOPO-6NM64 170910 300  145500-150000   00     163.29  669.5    151.04     0.00    -9999
SOPO-6NM64 170910 300  150000-150500   00     162.66  669.6    150.46    -0.38    -9999
SOPO-6NM64 170910 300  150500-151000   00     164.32  669.5    151.99     0.63    -9999
SOPO-6NM64 170910 300  151000-151500   00     164.53  669.5    152.14     0.73    -9999
SOPO-6NM64 170910 300  151500-152000   00     163.91  669.5    151.59     0.37    -9999
SOPO-6NM64 170910 300  152000-152500   00     163.59  669.6    151.36     0.22    -9999
SOPO-6NM64 170910 300  152500-153000   00     163.26  669.6    151.09     0.04    -9999
SOPO-6NM64 170910 300  153000-153500   00     163.47  669.6    151.25     0.14    -9999
SOPO-6NM64 170910 300  153500-154000   00     163.15  669.5    150.88    -0.10    -9999
SOPO-6NM64 170910 300  154000-154500   00     163.95  669.4    151.53     0.33    -9999
SOPO-6NM64 170910 300  154500-155000   00     162.13  669.4    149.80    -0.81    -9999
SOPO-6NM64 170910 300  155000-155500   00     163.80  669.4    151.34     0.21    -9999
SOPO-6NM64 170910 300  155500-160000   00     163.43  669.4    151.04     0.01    -9999
SOPO-6NM64 170910 300  160000-160500   00     163.09  669.5    150.77    -0.17    -0.40
SOPO-6NM64 170910 300  160500-161000   00     163.36  669.5    151.10     0.04    -0.20
SOPO-6NM64 170910 300  161000-161500   00     163.13  669.5    150.82    -0.14    -0.40
SOPO-6NM64 170910 300  161500-162000   00     163.75  669.4    151.33     0.20    -0.08
SOPO-6NM64 170910 300  162000-162500   00     162.84  669.5    150.56    -0.31    -0.61
SOPO-6NM64 170910 300  162500-163000   00     165.09  669.5    152.64     1.07     0.75
SOPO-6NM64 170910 300  163000-163500   00     165.87  669.4    153.27     1.48     1.15
SOPO-6NM64 170910 300  163500-164000   00     165.53  669.5    153.03     1.32     0.97
SOPO-6NM64 170910 300  164000-164500   00     166.21  669.5    153.67     1.75     1.38
SOPO-6NM64 170910 300  164500-165000   00     167.20  669.5    154.60     2.36     1.97
SOPO-6NM64 170910 300  165000-165500   00     168.73  669.5    156.02     3.30     2.90
SOPO-6NM64 170910 300  165500-170000   00     170.34  669.5    157.47     4.26     3.84
SOPO-6NM64 170910 300  170000-170500   00     171.18  669.4    158.21     4.75     4.31
SOPO-6NM64 170910 300  170500-171000   00     171.79  669.4    158.74     5.10     4.65
SOPO-6NM64 170910 300  171000-171500   00     172.11  669.4    159.04     5.30     4.83
SOPO-6NM64 170910 300  171500-172000   00     171.45  669.4    158.38     4.86     4.37
SOPO-6NM64 170910 300  172000-172500   00     174.34  669.4    161.04     6.63     6.13
SOPO-6NM64 170910 300  172500-173000   00     174.00  669.4    160.80     6.46     5.94
SOPO-6NM64 170910 300  173000-173500   00     173.90  669.4    160.71     6.40     5.86
SOPO-6NM64 170910 300  173500-174000   00     175.03  669.4    161.74     7.09     6.54
SOPO-6NM64 170910 300  174000-174500   00     174.09  669.5    160.92     6.55     5.98
SOPO-6NM64 170910 300  174500-175000   00     174.16  669.5    161.07     6.65     6.06
SOPO-6NM64 170910 300  175000-175500   00     174.49  669.5    161.33     6.82     6.22
SOPO-6NM64 170910 300  175500-180000   00     174.95  669.4    161.64     7.03     6.41
SOPO-6NM64 170910 300  180000-180500   00     176.61  669.3    163.11     8.00     7.37
SOPO-6NM64 170910 300  180500-181000   00     174.69  669.2    161.22     6.75     6.10
SOPO-6NM64 170910 300  181000-181500   00     175.54  669.2    162.01     7.27     6.60
SOPO-6NM64 170910 300  181500-182000   00     175.79  669.3    162.33     7.48     6.80
SOPO-6NM64 170910 300  182000-182500   00     177.30  669.4    163.77     8.44     7.74
SOPO-6NM64 170910 300  182500-183000   00     175.18  669.4    161.80     7.13     6.42
SOPO-6NM64 170910 300  183000-183500   00     174.03  669.3    160.69     6.40     5.67
SOPO-6NM64 170910 300  183500-184000   00     173.14  669.3    159.82     5.82     5.08
SOPO-6NM64 170910 300  184000-184500   00     175.17  669.2    161.61     7.01     6.25
SOPO-6NM64 170910 300  184500-185000   00     175.48  669.2    161.93     7.22     6.45
SOPO-6NM64 170910 300  185000-185500   00     175.25  669.2    161.71     7.07     6.28
SOPO-6NM64 170910 300  185500-190000   00     176.45  669.2    162.73     7.75     6.95
SOPO-6NM64 170910 300  190000-190500   00     175.39  669.1    161.72     7.08     6.26
SOPO-6NM64 170910 300  190500-191000   00     175.03  669.2    161.50     6.93     6.10
SOPO-6NM64 170910 300  191000-191500   00     174.11  669.2    160.66     6.37     5.52
SOPO-6NM64 170910 300  191500-192000   00     174.56  669.2    161.09     6.66     5.80
SOPO-6NM64 170910 300  192000-192500   00     174.23  669.3    160.84     6.50     5.62
SOPO-6NM64 170910 300  192500-193000   00     176.05  669.3    162.59     7.65     6.76
SOPO-6NM64 170910 300  193000-193500   00     174.73  669.4    161.39     6.86     5.95
SOPO-6NM64 170910 300  193500-194000   00     175.06  669.3    161.68     7.05     6.13
