IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    365.45      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   170911 300  082000-082500   00     373.47  800.2    374.03     2.35    -9999
IRKUTSK2   170911 300  082500-083000   00     369.82  800.2    370.34     1.34    -9999
IRKUTSK2   170911 300  083000-083500   00     371.75  800.2    372.15     1.83    -9999
IRKUTSK2   170911 300  083500-084000   00     371.24  800.2    371.66     1.70    -9999
IRKUTSK2   170911 300  084000-084500   00     369.64  800.2    370.17     1.29    -9999
IRKUTSK2   170911 300  084500-085000   00     368.61  800.2    369.19     1.02    -9999
IRKUTSK2   170911 300  085000-085500   00     368.75  800.3    369.42     1.08    -9999
IRKUTSK2   170911 300  085500-090000   00     367.82  800.3    368.58     0.86    -9999
IRKUTSK2   170911 300  090000-090500   00     369.81  800.3    370.63     1.42    -9999
IRKUTSK2   170911 300  090500-091000   00     369.43  800.3    370.29     1.33    -9999
IRKUTSK2   170911 300  091000-091500   00     368.74  800.3    369.53     1.12    -9999
IRKUTSK2   170911 300  091500-092000   00     367.68  800.3    368.40     0.81    -9999
IRKUTSK2   170911 300  092000-092500   00     367.81  800.3    368.56     0.85    -9999
IRKUTSK2   170911 300  092500-093000   00     367.93  800.3    368.79     0.91    -9999
IRKUTSK2   170911 300  093000-093500   00     371.11  800.4    372.07     1.81    -9999
IRKUTSK2   170911 300  093500-094000   00     371.52  800.3    372.43     1.91    -9999
IRKUTSK2   170911 300  094000-094500   00     370.04  800.4    370.98     1.51    -9999
IRKUTSK2   170911 300  094500-095000   00     367.17  800.4    368.14     0.74    -9999
IRKUTSK2   170911 300  095000-095500   00     367.37  800.4    368.42     0.81    -9999
IRKUTSK2   170911 300  095500-100000   00     369.07  800.4    370.04     1.26    -9999
IRKUTSK2   170911 300  100000-100500   00     366.23  800.4    367.18     0.47    -9999
IRKUTSK2   170911 300  100500-101000   00     369.08  800.4    370.16     1.29    -9999
IRKUTSK2   170911 300  101000-101500   00     369.96  800.5    371.24     1.58    -9999
IRKUTSK2   170911 300  101500-102000   00     370.40  800.5    371.79     1.73    -9999
IRKUTSK2   170911 300  102000-102500   00     365.58  800.6    367.05     0.44    -9999
IRKUTSK2   170911 300  102500-103000   00     367.07  800.6    368.67     0.88    -9999
IRKUTSK2   170911 300  103000-103500   00     364.95  800.6    366.58     0.31    -9999
IRKUTSK2   170911 300  103500-104000   00     364.97  800.7    366.68     0.34    -9999
IRKUTSK2   170911 300  104000-104500   00     367.66  800.7    369.53     1.12    -9999
IRKUTSK2   170911 300  104500-105000   00     368.48  800.8    370.61     1.41    -9999
IRKUTSK2   170911 300  105000-105500   00     367.32  800.9    369.62     1.14    -9999
IRKUTSK2   170911 300  105500-110000   00     366.10  800.9    368.50     0.83    -9999
IRKUTSK2   170911 300  110000-110500   00     366.60  801.0    369.08     0.99    -9999
IRKUTSK2   170911 300  110500-111000   00     366.49  801.0    369.04     0.98    -9999
IRKUTSK2   170911 300  111000-111500   00     368.26  801.0    370.93     1.50    -9999
IRKUTSK2   170911 300  111500-112000   00     364.74  801.1    367.49     0.56    -9999
IRKUTSK2   170911 300  112000-112500   00     362.58  801.1    365.44     0.00    -9999
IRKUTSK2   170911 300  112500-113000   00     361.90  801.2    364.90    -0.15    -9999
IRKUTSK2   170911 300  113000-113500   00     365.01  801.2    368.12     0.73    -9999
IRKUTSK2   170911 300  113500-114000   00     362.80  801.2    365.90     0.12    -9999
IRKUTSK2   170911 300  114000-114500   00     366.52  801.2    369.55     1.12    -9999
IRKUTSK2   170911 300  114500-115000   00     364.16  801.1    367.11     0.45    -9999
IRKUTSK2   170911 300  115000-115500   00     365.68  801.1    368.68     0.88    -9999
IRKUTSK2   170911 300  115500-120000   00     364.40  801.2    367.46     0.55    -9999
IRKUTSK2   170911 3600 120000-130000   00     364.11  801.3    367.38     0.53    -9999
IRKUTSK2   170911 3600 130000-140000   00     363.24  801.4    366.97     0.42    -9999
IRKUTSK2   170911 3600 140000-150000   00     364.43  801.5    368.43     0.81    -9999
IRKUTSK2   170911 3600 150000-160000   00     365.09  801.6    369.22     1.03    -9999
IRKUTSK2   170911 3600 160000-170000   00     366.65  801.4    370.22     1.30    -9999
IRKUTSK2   170911 3600 170000-180000   00     367.28  801.1    370.16     1.29    -9999
IRKUTSK2   170911 3600 180000-190000   00     368.29  800.9    370.72     1.44    -9999
IRKUTSK2   170911 3600 190000-200000   00     369.54  800.8    371.52     1.66    -9999
IRKUTSK2   170911 3600 200000-210000   00     370.21  800.6    371.91     1.77    -9999
IRKUTSK2   170911 3600 210000-220000   00     370.21  800.5    371.47     1.65    -9999
IRKUTSK2   170911 3600 220000-230000   00     369.41  800.5    370.73     1.44    -9999
IRKUTSK2   170911 3600 230000-240000   00     369.86  800.7    371.66     1.70    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:59 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE72/C072IRK2_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
