IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    365.45      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   170910 300  143000-143500   00     364.58  799.8    363.89    -0.43    -9999
IRKUTSK2   170910 300  143500-144000   00     365.46  799.7    364.78    -0.18    -9999
IRKUTSK2   170910 300  144000-144500   00     362.96  799.7    362.29    -0.87    -9999
IRKUTSK2   170910 300  144500-145000   00     366.17  799.8    365.57     0.03    -9999
IRKUTSK2   170910 300  145000-145500   00     364.96  799.8    364.42    -0.28    -9999
IRKUTSK2   170910 300  145500-150000   00     365.97  799.9    365.56     0.03    -9999
IRKUTSK2   170910 300  150000-150500   00     363.95  799.8    363.53    -0.53    -9999
IRKUTSK2   170910 300  150500-151000   00     368.80  799.9    368.49     0.83    -9999
IRKUTSK2   170910 300  151000-151500   00     368.94  799.9    368.61     0.87    -9999
IRKUTSK2   170910 300  151500-152000   00     367.44  799.9    367.12     0.46    -9999
IRKUTSK2   170910 300  152000-152500   00     364.94  799.9    364.67    -0.21    -9999
IRKUTSK2   170910 300  152500-153000   00     368.36  799.9    368.14     0.74    -9999
IRKUTSK2   170910 300  153000-153500   00     366.88  799.9    366.59     0.31    -9999
IRKUTSK2   170910 300  153500-154000   00     364.40  799.9    364.18    -0.35    -9999
IRKUTSK2   170910 300  154000-154500   00     366.27  799.9    366.02     0.16    -9999
IRKUTSK2   170910 300  154500-155000   00     366.82  799.9    366.55     0.30    -9999
IRKUTSK2   170910 300  155000-155500   00     367.28  799.9    367.01     0.43    -9999
IRKUTSK2   170910 300  155500-160000   00     366.00  799.9    365.80     0.09    -9999
IRKUTSK2   170910 300  160000-160500   00     369.34  799.9    369.11     1.00     0.61
IRKUTSK2   170910 300  160500-161000   00     366.84  799.9    366.52     0.29    -0.13
IRKUTSK2   170910 300  161000-161500   00     367.25  799.8    366.82     0.38    -0.07
IRKUTSK2   170910 300  161500-162000   00     370.12  799.8    369.52     1.11     0.63
IRKUTSK2   170910 300  162000-162500   00     372.20  799.7    371.49     1.65     1.14
IRKUTSK2   170910 300  162500-163000   00     372.21  799.7    371.50     1.66     1.12
IRKUTSK2   170910 300  163000-163500   00     372.65  799.7    371.91     1.77     1.20
IRKUTSK2   170910 300  163500-164000   00     373.28  799.7    372.52     1.93     1.33
IRKUTSK2   170910 300  164000-164500   00     374.64  799.7    373.89     2.31     1.68
IRKUTSK2   170910 300  164500-165000   00     371.06  799.7    370.31     1.33     0.67
IRKUTSK2   170910 300  165000-165500   00     372.35  799.7    371.55     1.67     0.98
IRKUTSK2   170910 300  165500-170000   00     372.06  799.7    371.27     1.59     0.87
IRKUTSK2   170910 300  170000-170500   00     375.62  799.7    374.82     2.56     1.81
IRKUTSK2   170910 300  170500-171000   00     374.47  799.7    373.73     2.27     1.50
IRKUTSK2   170910 300  171000-171500   00     373.79  799.7    373.08     2.09     1.29
IRKUTSK2   170910 300  171500-172000   00     372.61  799.8    371.96     1.78     0.95
IRKUTSK2   170910 300  172000-172500   00     372.40  799.7    371.59     1.68     0.82
IRKUTSK2   170910 300  172500-173000   00     373.87  799.7    372.99     2.06     1.18
IRKUTSK2   170910 300  173000-173500   00     369.23  799.6    368.27     0.77    -0.14
IRKUTSK2   170910 300  173500-174000   00     375.43  799.6    374.32     2.43     1.49
IRKUTSK2   170910 300  174000-174500   00     375.02  799.5    373.76     2.27     1.31
IRKUTSK2   170910 300  174500-175000   00     369.85  799.5    368.63     0.87    -0.12
IRKUTSK2   170910 300  175000-175500   00     372.41  799.5    371.11     1.55     0.53
IRKUTSK2   170910 300  175500-180000   00     374.05  799.5    372.72     1.99     0.95
IRKUTSK2   170910 300  180000-180500   00     372.99  799.5    371.54     1.66     0.59
IRKUTSK2   170910 300  180500-181000   00     372.70  799.5    371.31     1.60     0.51
IRKUTSK2   170910 300  181000-181500   00     374.16  799.4    372.69     1.98     0.86
IRKUTSK2   170910 300  181500-182000   00     372.59  799.5    371.15     1.56     0.42
IRKUTSK2   170910 300  182000-182500   00     374.62  799.5    373.13     2.10     0.93
IRKUTSK2   170910 300  182500-183000   00     373.96  799.4    372.46     1.92     0.73
IRKUTSK2   170910 300  183000-183500   00     371.50  799.4    369.97     1.24     0.03
IRKUTSK2   170910 300  183500-184000   00     373.25  799.4    371.73     1.72     0.48
IRKUTSK2   170910 300  184000-184500   00     376.74  799.4    375.11     2.64     1.38
IRKUTSK2   170910 300  184500-185000   00     370.01  799.4    368.42     0.81    -0.47
IRKUTSK2   170910 300  185000-185500   00     372.30  799.5    370.85     1.48     0.17
IRKUTSK2   170910 300  185500-190000   00     373.29  799.4    371.78     1.73     0.40
IRKUTSK2   170910 300  190000-190500   00     373.36  799.4    371.82     1.74     0.39
IRKUTSK2   170910 300  190500-191000   00     371.82  799.4    370.29     1.32    -0.05
IRKUTSK2   170910 300  191000-191500   00     372.21  799.4    370.66     1.42     0.02
IRKUTSK2   170910 300  191500-192000   00     373.47  799.4    371.93     1.77     0.35
IRKUTSK2   170910 300  192000-192500   00     372.91  799.4    371.36     1.62     0.18
IRKUTSK2   170910 300  192500-193000   00     372.16  799.4    370.56     1.40    -0.06
IRKUTSK2   170910 300  193000-193500   00     377.66  799.3    375.88     2.85     1.37
IRKUTSK2   170910 300  193500-194000   00     373.43  799.3    371.54     1.67     0.17
IRKUTSK2   170910 300  194000-194500   00     374.86  799.3    372.99     2.06     0.54
IRKUTSK2   170910 300  194500-195000   00     370.38  799.3    368.59     0.86    -0.68
IRKUTSK2   170910 300  195000-195500   00     372.41  799.3    370.52     1.39    -0.17
IRKUTSK2   170910 300  195500-200000   00     374.56  799.3    372.58     1.95     0.37
IRKUTSK2   170910 300  200000-200500   00     376.41  799.2    374.31     2.43     0.83
IRKUTSK2   170910 300  200500-201000   00     374.47  799.3    372.50     1.93     0.31
IRKUTSK2   170910 300  201000-201500   00     373.26  799.3    371.35     1.61    -0.03
IRKUTSK2   170910 300  201500-202000   00     375.00  799.3    373.01     2.07     0.41
IRKUTSK2   170910 300  202000-202500   00     373.73  799.3    371.77     1.73     0.05
IRKUTSK2   170910 300  202500-203000   00     372.81  799.3    370.90     1.49    -0.20
IRKUTSK2   170910 300  203000-203500   00     373.05  799.3    371.13     1.55    -0.16
IRKUTSK2   170910 300  203500-204000   00     369.74  799.2    367.73     0.62    -1.11
IRKUTSK2   170910 300  204000-204500   00     373.26  799.3    371.28     1.59    -0.16
IRKUTSK2   170910 300  204500-205000   00     372.49  799.3    370.66     1.42    -0.34
IRKUTSK2   170910 300  205000-205500   00     375.28  799.4    373.60     2.23     0.45
IRKUTSK2   170910 300  205500-210000   00     373.70  799.4    372.19     1.84     0.04
IRKUTSK2   170910 300  210000-210500   00     374.85  799.5    373.40     2.17     0.36
IRKUTSK2   170910 300  210500-211000   00     372.92  799.5    371.51     1.66    -0.17
IRKUTSK2   170910 300  211000-211500   00     374.42  799.5    373.04     2.08     0.23
IRKUTSK2   170910 300  211500-212000   00     373.37  799.5    371.97     1.78    -0.08
IRKUTSK2   170910 300  212000-212500   00     374.43  799.5    373.03     2.07     0.19
IRKUTSK2   170910 300  212500-213000   00     376.01  799.5    374.68     2.53     0.64
IRKUTSK2   170910 300  213000-213500   00     371.75  799.5    370.57     1.40    -0.51
IRKUTSK2   170910 300  213500-214000   00     374.75  799.6    373.69     2.25     0.33
IRKUTSK2   170910 300  214000-214500   00     373.05  799.6    372.09     1.82    -0.12
IRKUTSK2   170910 300  214500-215000   00     369.62  799.6    368.55     0.85    -1.10
IRKUTSK2   170910 300  215000-215500   00     372.76  799.6    371.64     1.69    -0.27
IRKUTSK2   170910 300  215500-220000   00     373.41  799.6    372.42     1.91    -0.07
IRKUTSK2   170910 300  220000-220500   00     369.76  799.7    368.92     0.95    -1.04
IRKUTSK2   170910 300  220500-221000   00     376.51  799.7    375.74     2.81    -9999
IRKUTSK2   170910 300  221000-221500   00     372.03  799.8    371.37     1.62    -9999
IRKUTSK2   170910 300  221500-222000   00     374.27  799.7    373.58     2.22    -9999
IRKUTSK2   170910 300  222000-222500   00     373.66  799.8    373.01     2.07    -9999
IRKUTSK2   170910 300  222500-223000   00     372.67  799.8    372.06     1.81    -9999
IRKUTSK2   170910 300  223000-223500   00     374.01  799.8    373.40     2.17    -9999
IRKUTSK2   170910 300  223500-224000   00     373.86  799.8    373.28     2.14    -9999
IRKUTSK2   170910 300  224000-224500   00     374.55  799.8    374.04     2.35    -9999
IRKUTSK2   170910 300  224500-225000   00     373.38  799.8    372.90     2.04    -9999
IRKUTSK2   170910 300  225000-225500   00     376.48  799.8    376.07     2.91    -9999
IRKUTSK2   170910 300  225500-230000   00     373.80  799.9    373.60     2.23    -9999
IRKUTSK2   170910 300  230000-230500   00     373.01  800.0    372.92     2.04    -9999
IRKUTSK2   170910 300  230500-231000   00     372.96  799.9    372.78     2.00    -9999
IRKUTSK2   170910 300  231000-231500   00     374.60  800.0    374.51     2.48    -9999
IRKUTSK2   170910 300  231500-232000   00     374.11  800.0    374.03     2.35    -9999
IRKUTSK2   170910 300  232000-232500   00     376.24  800.0    376.19     2.94    -9999
IRKUTSK2   170910 300  232500-233000   00     369.96  800.0    369.99     1.24    -9999
IRKUTSK2   170910 300  233000-233500   00     372.61  800.1    372.76     2.00    -9999
IRKUTSK2   170910 300  233500-234000   00     370.13  800.1    370.26     1.32    -9999
IRKUTSK2   170910 300  234000-234500   00     373.49  800.1    373.63     2.24    -9999
IRKUTSK2   170910 300  234500-235000   00     369.27  800.1    369.39     1.08    -9999
IRKUTSK2   170910 300  235000-235500   00     372.08  800.1    372.27     1.86    -9999
IRKUTSK2   170910 300  235500-240000   00     372.10  800.1    372.37     1.89    -9999
IRKUTSK2   170911 300  000000-000500   00     373.23  800.1    373.57     2.22    -9999
IRKUTSK2   170911 300  000500-001000   00     370.30  800.2    370.74     1.45    -9999
IRKUTSK2   170911 300  001000-001500   00     371.82  800.2    372.41     1.90    -9999
IRKUTSK2   170911 300  001500-002000   00     372.52  800.3    373.25     2.13    -9999
IRKUTSK2   170911 300  002000-002500   00     371.02  800.3    371.81     1.74    -9999
IRKUTSK2   170911 300  002500-003000   00     371.85  800.3    372.63     1.96    -9999
