YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    218.05      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    170910 300  142500-143000   00     217.60 1005.0    220.67     1.20    -9999
YAKUTSK    170910 300  143000-143500   00     214.43 1005.0    217.44    -0.28    -9999
YAKUTSK    170910 300  143500-144000   00     212.80 1005.0    215.87    -1.00    -9999
YAKUTSK    170910 300  144000-144500   00     215.57 1005.0    218.69     0.29    -9999
YAKUTSK    170910 300  144500-145000   00     216.64 1005.0    219.76     0.78    -9999
YAKUTSK    170910 300  145000-145500   00     213.17 1005.0    216.24    -0.83    -9999
YAKUTSK    170910 300  145500-150000   00     217.76 1005.1    220.96     1.33    -9999
YAKUTSK    170910 300  150000-150500   00     211.57 1005.0    214.64    -1.56    -9999
YAKUTSK    170910 300  150500-151000   00     215.25 1005.0    218.37     0.15    -9999
YAKUTSK    170910 300  151000-151500   00     215.01 1005.0    218.08     0.01    -9999
YAKUTSK    170910 300  151500-152000   00     214.32 1005.0    217.39    -0.31    -9999
YAKUTSK    170910 300  152000-152500   00     214.77 1005.0    217.92    -0.06    -9999
YAKUTSK    170910 300  152500-153000   00     215.52 1005.0    218.64     0.27    -9999
YAKUTSK    170910 300  153000-153500   00     216.80 1005.0    219.97     0.88    -9999
YAKUTSK    170910 300  153500-154000   00     215.36 1005.1    218.51     0.21    -9999
YAKUTSK    170910 300  154000-154500   00     214.56 1005.1    217.73    -0.15    -9999
YAKUTSK    170910 300  154500-155000   00     217.25 1005.1    220.53     1.14    -9999
YAKUTSK    170910 300  155000-155500   00     215.84 1005.1    219.12     0.49    -9999
YAKUTSK    170910 300  155500-160000   00     216.08 1005.1    219.33     0.59    -9999
YAKUTSK    170910 300  160000-160500   00     213.25 1005.1    216.51    -0.71    -1.25
YAKUTSK    170910 300  160500-161000   00     216.53 1005.1    219.87     0.83     0.25
YAKUTSK    170910 300  161000-161500   00     216.48 1005.1    219.79     0.80     0.18
YAKUTSK    170910 300  161500-162000   00     215.25 1005.2    218.61     0.26    -0.40
YAKUTSK    170910 300  162000-162500   00     217.95 1005.2    221.44     1.55     0.85
YAKUTSK    170910 300  162500-163000   00     217.52 1005.2    220.99     1.35     0.61
YAKUTSK    170910 300  163000-163500   00     220.56 1005.2    224.08     2.76     1.98
YAKUTSK    170910 300  163500-164000   00     219.39 1005.2    222.83     2.19     1.37
YAKUTSK    170910 300  164000-164500   00     222.56 1005.2    226.05     3.67     2.81
YAKUTSK    170910 300  164500-165000   00     221.57 1005.2    225.12     3.24     2.34
YAKUTSK    170910 300  165000-165500   00     221.31 1005.3    224.99     3.18     2.24
YAKUTSK    170910 300  165500-170000   00     221.41 1005.3    225.04     3.20     2.23
YAKUTSK    170910 300  170000-170500   00     222.75 1005.3    226.35     3.80     2.79
YAKUTSK    170910 300  170500-171000   00     224.80 1005.3    228.43     4.76     3.71
YAKUTSK    170910 300  171000-171500   00     223.39 1005.2    226.96     4.09     3.01
YAKUTSK    170910 300  171500-172000   00     223.71 1005.2    227.28     4.23     3.11
YAKUTSK    170910 300  172000-172500   00     226.43 1005.2    230.03     5.49     4.33
YAKUTSK    170910 300  172500-173000   00     222.43 1005.2    225.95     3.62     2.43
YAKUTSK    170910 300  173000-173500   00     223.47 1005.2    226.96     4.09     2.86
YAKUTSK    170910 300  173500-174000   00     225.87 1005.1    229.31     5.16     3.90
YAKUTSK    170910 300  174000-174500   00     224.85 1005.1    228.21     4.66     3.36
YAKUTSK    170910 300  174500-175000   00     221.47 1005.1    224.80     3.09     1.76
YAKUTSK    170910 300  175000-175500   00     224.88 1005.1    228.19     4.65     3.28
YAKUTSK    170910 300  175500-180000   00     220.24 1005.0    223.41     2.46     1.06
YAKUTSK    170910 300  180000-180500   00     222.00 1005.0    225.23     3.29     1.86
YAKUTSK    170910 300  180500-181000   00     226.99 1005.0    230.27     5.60     4.13
YAKUTSK    170910 300  181000-181500   00     223.57 1005.0    226.77     4.00     2.50
YAKUTSK    170910 300  181500-182000   00     222.16 1005.0    225.33     3.34     1.81
YAKUTSK    170910 300  182000-182500   00     223.89 1005.0    227.04     4.12     2.56
YAKUTSK    170910 300  182500-183000   00     224.61 1005.0    227.81     4.48     2.89
YAKUTSK    170910 300  183000-183500   00     222.00 1005.0    225.17     3.27     1.65
YAKUTSK    170910 300  183500-184000   00     223.89 1005.0    227.12     4.16     2.50
YAKUTSK    170910 300  184000-184500   00     221.84 1005.1    225.09     3.23     1.54
YAKUTSK    170910 300  184500-185000   00     222.59 1005.1    225.84     3.57     1.85
YAKUTSK    170910 300  185000-185500   00     219.73 1005.0    222.93     2.24     0.49
YAKUTSK    170910 300  185500-190000   00     222.48 1005.0    225.73     3.52     1.74
YAKUTSK    170910 300  190000-190500   00     221.79 1005.1    225.09     3.23     1.43
YAKUTSK    170910 300  190500-191000   00     222.43 1005.1    225.76     3.53     1.70
YAKUTSK    170910 300  191000-191500   00     222.64 1005.1    225.97     3.63     1.77
YAKUTSK    170910 300  191500-192000   00     220.40 1005.1    223.71     2.59     0.70
YAKUTSK    170910 300  192000-192500   00     221.73 1005.1    225.04     3.20     1.28
YAKUTSK    170910 300  192500-193000   00     220.72 1005.1    223.97     2.72     0.77
YAKUTSK    170910 300  193000-193500   00     221.81 1005.1    225.07     3.22     1.25
YAKUTSK    170910 300  193500-194000   00     221.39 1005.1    224.69     3.05     1.05
YAKUTSK    170910 300  194000-194500   00     219.25 1005.1    222.56     2.07     0.04
YAKUTSK    170910 300  194500-195000   00     220.27 1005.1    223.65     2.57     0.52
YAKUTSK    170910 300  195000-195500   00     223.07 1005.2    226.51     3.88     1.80
