BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     mb     COEFFICIENT   -0.73     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    123.22      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     170910 300  144500-145000   00     116.86  836.4    124.17     0.77    -9999
BAKSAN     170910 300  145000-145500   00     117.23  836.4    124.51     1.04    -9999
BAKSAN     170910 300  145500-150000   00     116.92  836.4    124.20     0.79    -9999
BAKSAN     170910 300  150000-150500   00     116.44  836.7    124.00     0.63    -9999
BAKSAN     170910 300  150500-151000   00     116.37  836.5    123.72     0.40    -9999
BAKSAN     170910 300  151000-151500   00     114.64  836.6    122.00    -1.00    -9999
BAKSAN     170910 300  151500-152000   00     116.76  836.7    124.31     0.88    -9999
BAKSAN     170910 300  152000-152500   00     116.90  836.7    124.44     0.99    -9999
BAKSAN     170910 300  152500-153000   00     115.00  836.8    122.54    -0.56    -9999
BAKSAN     170910 300  153000-153500   00     116.42  837.0    124.20     0.79    -9999
BAKSAN     170910 300  153500-154000   00     114.30  836.8    121.80    -1.15    -9999
BAKSAN     170910 300  154000-154500   00     113.53  836.9    121.04    -1.78    -9999
BAKSAN     170910 300  154500-155000   00     116.98  836.9    124.69     1.19    -9999
BAKSAN     170910 300  155000-155500   00     115.40  836.8    122.98    -0.20    -9999
BAKSAN     170910 300  155500-160000   00     114.82  836.9    122.45    -0.63    -9999
BAKSAN     170910 300  160000-160500   00     115.62  836.8    123.18    -0.03    -9999
BAKSAN     170910 300  160500-161000   00     114.15  836.8    121.66    -1.27    -9999
BAKSAN     170910 300  161000-161500   00     115.40  837.1    123.20    -0.02    -9999
BAKSAN     170910 300  161500-162000   00     115.94  837.2    123.90     0.55    -9999
BAKSAN     170910 300  162000-162500   00     115.20  837.2    123.05    -0.14    -9999
BAKSAN     170910 300  162500-163000   00     114.48  837.3    122.41    -0.66    -9999
BAKSAN     170910 300  163000-163500   00     116.00  837.3    124.03     0.66    -9999
BAKSAN     170910 300  163500-164000   00     115.33  837.3    123.28     0.04    -9999
BAKSAN     170910 300  164000-164500   00     115.26  837.3    123.26     0.03    -9999
BAKSAN     170910 300  164500-165000   00     116.08  837.3    124.10     0.71    -9999
BAKSAN     170910 300  165000-165500   00     117.07  837.4    125.27     1.66    -9999
BAKSAN     170910 300  165500-170000   00     114.66  837.5    122.82    -0.33    -9999
BAKSAN     170910 300  170000-170500   00     115.88  837.5    124.08     0.69    -9999
BAKSAN     170910 300  170500-171000   00     114.31  837.5    122.40    -0.67    -9999
BAKSAN     170910 300  171000-171500   00     115.11  837.6    123.32     0.08    -9999
BAKSAN     170910 300  171500-172000   00     114.01  837.6    122.13    -0.89    -9999
BAKSAN     170910 300  172000-172500   00     114.50  837.5    122.61    -0.50    -9999
BAKSAN     170910 300  172500-173000   00     115.05  837.4    123.15    -0.06    -9999
BAKSAN     170910 300  173000-173500   00     114.18  837.3    122.12    -0.90    -9999
BAKSAN     170910 300  173500-174000   00     117.21  837.2    125.27     1.66    -9999
BAKSAN     170910 300  174000-174500   00     115.48  837.3    123.50     0.23    -9999
BAKSAN     170910 300  174500-175000   00     115.34  837.3    123.36     0.11    -9999
BAKSAN     170910 300  175000-175500   00     116.48  837.4    124.64     1.15    -9999
BAKSAN     170910 300  175500-180000   00     114.69  837.3    122.63    -0.48    -9999
BAKSAN     170910 300  180000-180500   00     116.64  837.4    124.78     1.27    -9999
BAKSAN     170910 300  180500-181000   00     116.32  837.3    124.40     0.95    -9999
BAKSAN     170910 300  181000-181500   00     115.59  837.4    123.68     0.37    -9999
BAKSAN     170910 300  181500-182000   00     114.87  837.4    122.92    -0.25    -9999
BAKSAN     170910 300  182000-182500   00     115.93  837.3    123.92     0.57    -9999
BAKSAN     170910 300  182500-183000   00     116.07  837.3    124.07     0.69    -9999
BAKSAN     170910 300  183000-183500   00     116.82  837.2    124.83     1.30    -9999
BAKSAN     170910 300  183500-184000   00     115.68  837.2    123.60     0.31    -9999
BAKSAN     170910 300  184000-184500   00     116.22  837.2    124.19     0.78    -9999
BAKSAN     170910 300  184500-185000   00     115.12  837.3    123.06    -0.13    -9999
BAKSAN     170910 300  185000-185500   00     117.55  837.3    125.72     2.02    -9999
BAKSAN     170910 300  185500-190000   00     116.32  837.1    124.20     0.79    -9999
BAKSAN     170910 300  190000-190500   00     118.16  837.2    126.25     2.46    -9999
BAKSAN     170910 300  190500-191000   00     117.64  837.1    125.65     1.97    -9999
BAKSAN     170910 300  191000-191500   00     115.86  837.1    123.67     0.36    -9999
BAKSAN     170910 300  191500-192000   00     116.02  837.1    123.84     0.50    -9999
BAKSAN     170910 300  192000-192500   00     117.88  837.0    125.75     2.05    -9999
BAKSAN     170910 300  192500-193000   00     117.43  837.1    125.34     1.72    -9999
BAKSAN     170910 300  193000-193500   00     115.92  837.0    123.66     0.36    -9999
BAKSAN     170910 300  193500-194000   00     117.73  837.0    125.64     1.96    -9999
BAKSAN     170910 300  194000-194500   00     116.17  837.0    123.97     0.61    -9999
BAKSAN     170910 300  194500-195000   00     112.53  837.0    120.07    -2.56    -9999
BAKSAN     170910 300  195000-195500   00     114.12  837.0    121.79    -1.16    -9999
BAKSAN     170910 300  195500-200000   00     114.84  836.9    122.46    -0.62    -9999
BAKSAN     170910 300  200000-200500   00     114.99  837.1    122.77    -0.36    -9999
BAKSAN     170910 300  200500-201000   00     115.99  837.1    123.88     0.53    -9999
BAKSAN     170910 300  201000-201500   00     115.41  837.2    123.30     0.06    -9999
BAKSAN     170910 300  201500-202000   00     116.70  837.1    124.65     1.15    -9999
BAKSAN     170910 300  202000-202500   00     115.62  837.1    123.41     0.15    -9999
BAKSAN     170910 300  202500-203000   00     116.06  837.1    123.92     0.56    -9999
BAKSAN     170910 300  203000-203500   00     116.26  837.0    124.06     0.68    -9999
BAKSAN     170910 300  203500-204000   00     118.33  837.0    126.26     2.47    -9999
BAKSAN     170910 300  204000-204500   00     115.66  837.0    123.44     0.17    -9999
BAKSAN     170910 300  204500-205000   00     114.47  837.0    122.12    -0.89    -9999
BAKSAN     170910 300  205000-205500   00     117.46  837.0    125.36     1.73    -9999
BAKSAN     170910 300  205500-210000   00     115.88  837.1    123.70     0.39    -9999
BAKSAN     170910 300  210000-210500   00     113.50  837.0    121.12    -1.71    -9999
BAKSAN     170910 300  210500-211000   00     114.58  837.0    122.25    -0.79    -9999
BAKSAN     170910 300  211000-211500   00     116.19  837.1    124.10     0.71    -9999
BAKSAN     170910 300  211500-212000   00     116.19  837.2    124.18     0.77    -9999
BAKSAN     170910 300  212000-212500   00     115.46  837.1    123.25     0.02    -9999
BAKSAN     170910 300  212500-213000   00     118.19  837.2    126.25     2.46    -9999
BAKSAN     170910 300  213000-213500   00     115.70  837.0    123.47     0.20    -9999
BAKSAN     170910 300  213500-214000   00     116.91  837.2    124.88     1.34    -9999
BAKSAN     170910 300  214000-214500   00     115.66  837.1    123.48     0.21    -9999
BAKSAN     170910 300  214500-215000   00     117.78  837.2    125.88     2.15    -9999
BAKSAN     170910 300  215000-215500   00     114.91  837.1    122.66    -0.46    -9999
BAKSAN     170910 300  215500-220000   00     117.66  837.3    125.77     2.06    -9999
BAKSAN     170910 300  220000-220500   00     115.66  837.0    123.42     0.16    -9999
BAKSAN     170910 300  220500-221000   00     116.34  837.1    124.23     0.82    -9999
BAKSAN     170910 300  221000-221500   00     114.29  837.2    122.12    -0.90    -9999
BAKSAN     170910 300  221500-222000   00     117.02  837.1    124.94     1.39    -9999
BAKSAN     170910 300  222000-222500   00     116.22  837.1    124.09     0.70    -9999
BAKSAN     170910 300  222500-223000   00     118.20  837.2    126.30     2.49    -9999
BAKSAN     170910 300  223000-223500   00     116.41  837.3    124.51     1.04    -9999
BAKSAN     170910 300  223500-224000   00     115.07  837.2    122.92    -0.24    -9999
BAKSAN     170910 300  224000-224500   00     116.39  837.2    124.37     0.93    -9999
BAKSAN     170910 300  224500-225000   00     115.43  837.2    123.35     0.10    -9999
BAKSAN     170910 300  225000-225500   00     116.23  837.2    124.21     0.80    -9999
BAKSAN     170910 300  225500-230000   00     115.34  837.2    123.28     0.04    -9999
BAKSAN     170910 300  230000-230500   00     117.12  837.3    125.26     1.65    -9999
BAKSAN     170910 300  230500-231000   00     116.29  837.3    124.33     0.90    -9999
BAKSAN     170910 300  231000-231500   00     114.76  837.3    122.68    -0.44    -9999
BAKSAN     170910 300  231500-232000   00     117.51  837.2    125.54     1.88    -9999
BAKSAN     170910 300  232000-232500   00     116.90  837.2    124.90     1.36    -9999
BAKSAN     170910 300  232500-233000   00     115.73  837.2    123.64     0.34    -9999
BAKSAN     170910 300  233000-233500   00     117.37  837.0    125.26     1.65    -9999
BAKSAN     170910 300  233500-234000   00     114.38  837.2    122.24    -0.80    -9999
BAKSAN     170910 300  234000-234500   00     115.18  837.2    123.05    -0.14    -9999
BAKSAN     170910 300  234500-235000   00     116.36  837.2    124.37     0.93    -9999
BAKSAN     170910 300  235000-235500   00     115.47  837.3    123.45     0.19    -9999
BAKSAN     170910 300  235500-240000   00     114.35  837.3    122.25    -0.79    -9999
BAKSAN     170911 300  000000-000500   00     116.00  837.2    123.97     0.61    -9999
BAKSAN     170911 300  000500-001000   00     117.44  837.2    125.50     1.85    -9999
BAKSAN     170911 300  001000-001500   00     115.51  837.3    123.52     0.24    -9999
BAKSAN     170911 300  001500-002000   00     115.99  837.1    123.87     0.52    -9999
BAKSAN     170911 300  002000-002500   00     116.20  837.2    124.14     0.74    -9999
BAKSAN     170911 300  002500-003000   00     116.78  837.2    124.77     1.25    -9999
BAKSAN     170911 300  003000-003500   00     117.24  837.3    125.41     1.77    -9999
BAKSAN     170911 300  003500-004000   00     116.05  837.3    124.07     0.68    -9999
BAKSAN     170911 300  004000-004500   00     118.20  837.3    126.40     2.57    -9999
BAKSAN     170911 300  004500-005000   00     115.81  837.3    123.80     0.47    -9999
BAKSAN     170911 300  005000-005500   00     118.20  837.3    126.36     2.54    -9999
BAKSAN     170911 300  005500-010000   00     115.90  837.3    123.95     0.59    -9999
BAKSAN     170911 300  010000-010500   00     116.52  837.3    124.60     1.12    -9999
BAKSAN     170911 300  010500-011000   00     115.96  837.4    124.08     0.69    -9999
BAKSAN     170911 300  011000-011500   00     116.88  837.4    125.08     1.51    -9999
BAKSAN     170911 300  011500-012000   00     114.54  837.5    122.63    -0.48    -9999
BAKSAN     170911 300  012000-012500   00     116.93  837.4    125.16     1.57    -9999
BAKSAN     170911 300  012500-013000   00     115.67  837.6    123.93     0.57    -9999
BAKSAN     170911 300  013000-013500   00     117.36  837.6    125.73     2.03    -9999
BAKSAN     170911 300  013500-014000   00     114.46  837.7    122.73    -0.40    -9999
BAKSAN     170911 300  014000-014500   00     115.88  837.8    124.31     0.88    -9999
BAKSAN     170911 300  014500-015000   00     115.38  837.7    123.72     0.41    -9999
BAKSAN     170911 300  015000-015500   00     115.47  837.8    123.94     0.58    -9999
BAKSAN     170911 300  015500-020000   00     115.96  837.7    124.39     0.94    -9999
BAKSAN     170911 300  020000-020500   00     116.72  837.9    125.31     1.69    -9999
BAKSAN     170911 300  020500-021000   00     115.52  837.9    124.02     0.65    -9999
BAKSAN     170911 300  021000-021500   00     116.39  837.8    124.91     1.37    -9999
BAKSAN     170911 300  021500-022000   00     117.24  837.9    125.89     2.16    -9999
BAKSAN     170911 300  022000-022500   00     114.94  837.9    123.47     0.20    -9999
BAKSAN     170911 300  022500-023000   00     116.02  838.0    124.70     1.20    -9999
BAKSAN     170911 300  023000-023500   00     117.09  838.1    125.91     2.18    -9999
BAKSAN     170911 300  023500-024000   00     114.84  837.9    123.36     0.11    -9999
BAKSAN     170911 300  024000-024500   00     114.86  838.0    123.46     0.20    -9999
BAKSAN     170911 300  024500-025000   00     114.55  837.9    123.03    -0.16    -9999
BAKSAN     170911 300  025000-025500   00     115.55  838.3    124.40     0.96    -9999
BAKSAN     170911 300  025500-030000   00     114.50  838.2    123.20    -0.02    -9999
BAKSAN     170911 300  030000-030500   00     116.92  838.1    125.76     2.06    -9999
BAKSAN     170911 300  030500-031000   00     115.96  838.1    124.72     1.22    -9999
BAKSAN     170911 300  031000-031500   00     115.40  838.1    124.14     0.75    -9999
BAKSAN     170911 300  031500-032000   00     115.76  838.2    124.54     1.07    -9999
BAKSAN     170911 300  032000-032500   00     117.65  838.2    126.63     2.77    -9999
BAKSAN     170911 300  032500-033000   00     117.11  838.2    126.02     2.27    -9999
BAKSAN     170911 300  033000-033500   00     115.50  838.1    124.22     0.81    -9999
BAKSAN     170911 300  033500-034000   00     117.02  838.2    125.93     2.20    -9999
BAKSAN     170911 300  034000-034500   00     114.66  838.1    123.33     0.09    -9999
BAKSAN     170911 300  034500-035000   00     118.43  838.2    127.48     3.46    -9999
BAKSAN     170911 300  035000-035500   00     114.14  838.2    122.87    -0.29    -9999
BAKSAN     170911 300  035500-040000   00     115.20  838.2    124.01     0.63    -9999
BAKSAN     170911 300  040000-040500   00     116.53  838.2    125.37     1.75    -9999
BAKSAN     170911 300  040500-041000   00     116.15  838.1    124.91     1.37    -9999
BAKSAN     170911 300  041000-041500   00     117.54  838.2    126.52     2.68    -9999
BAKSAN     170911 300  041500-042000   00     115.45  838.2    124.24     0.82    -9999
BAKSAN     170911 300  042000-042500   00     115.24  838.2    124.04     0.66    -9999
BAKSAN     170911 300  042500-043000   00     115.82  838.2    124.68     1.18    -9999
BAKSAN     170911 300  043000-043500   00     114.91  838.2    123.67     0.36    -9999
BAKSAN     170911 300  043500-044000   00     116.98  838.1    125.81     2.10    -9999
BAKSAN     170911 300  044000-044500   00     116.76  838.0    125.51     1.86    -9999
BAKSAN     170911 300  044500-045000   00     115.50  837.9    124.06     0.67    -9999
BAKSAN     170911 300  045000-045500   00     115.84  838.0    124.47     1.01    -9999
BAKSAN     170911 300  045500-050000   00     116.68  838.0    125.38     1.75    -9999
BAKSAN     170911 300  050000-050500   00     117.75  838.0    126.55     2.70    -9999
BAKSAN     170911 300  050500-051000   00     114.72  837.9    123.17    -0.04    -9999
BAKSAN     170911 300  051000-051500   00     116.14  837.9    124.71     1.20    -9999
BAKSAN     170911 300  051500-052000   00     115.64  837.9    124.16     0.76    -9999
BAKSAN     170911 300  052000-052500   00     116.99  837.8    125.58     1.91    -9999
BAKSAN     170911 300  052500-053000   00     115.24  837.8    123.70     0.39    -9999
BAKSAN     170911 300  053000-053500   00     115.95  837.9    124.49     1.03    -9999
BAKSAN     170911 300  053500-054000   00     119.74  837.7    128.43     4.23    -9999
BAKSAN     170911 300  054000-054500   00     115.32  837.9    123.79     0.46    -9999
BAKSAN     170911 300  054500-055000   00     115.86  837.8    124.37     0.93    -9999
BAKSAN     170911 300  055000-055500   00     117.36  837.9    126.06     2.30    -9999
BAKSAN     170911 300  055500-060000   00     118.29  837.9    127.05     3.10    -9999
BAKSAN     170911 300  060000-060500   00     117.39  838.1    126.20     2.42    -9999
BAKSAN     170911 300  060500-061000   00     116.70  837.9    125.34     1.71    -9999
BAKSAN     170911 300  061000-061500   00     114.85  838.0    123.40     0.14    -9999
BAKSAN     170911 300  061500-062000   00     115.84  838.0    124.47     1.01    -9999
BAKSAN     170911 300  062000-062500   00     117.27  837.8    125.86     2.14    -9999
BAKSAN     170911 300  062500-063000   00     117.12  837.9    125.74     2.04    -9999
BAKSAN     170911 300  063000-063500   00     115.02  837.8    123.46     0.19    -9999
BAKSAN     170911 300  063500-064000   00     116.66  837.9    125.31     1.69    -9999
BAKSAN     170911 300  064000-064500   00     115.15  837.9    123.69     0.38    -9999
BAKSAN     170911 300  064500-065000   00     117.15  837.8    125.72     2.03    -9999
BAKSAN     170911 300  065000-065500   00     114.52  837.8    122.93    -0.24    -9999
BAKSAN     170911 300  065500-070000   00     116.54  837.8    125.05     1.48    -9999
BAKSAN     170911 300  070000-070500   00     114.62  837.8    123.01    -0.17    -9999
BAKSAN     170911 300  070500-071000   00     117.64  837.9    126.33     2.52    -9999
BAKSAN     170911 300  071000-071500   00     116.33  837.7    124.79     1.27    -9999
BAKSAN     170911 300  071500-072000   00     115.04  837.7    123.39     0.14    -9999
BAKSAN     170911 300  072000-072500   00     114.58  837.6    122.79    -0.35    -9999
BAKSAN     170911 300  072500-073000   00     116.33  837.7    124.75     1.24    -9999
BAKSAN     170911 300  073000-073500   00     116.50  837.7    124.94     1.39    -9999
BAKSAN     170911 300  073500-074000   00     116.89  837.7    125.36     1.73    -9999
BAKSAN     170911 300  074000-074500   00     116.72  837.6    125.08     1.50    -9999
BAKSAN     170911 300  074500-075000   00     115.69  837.6    123.93     0.57    -9999
BAKSAN     170911 300  075000-075500   00     115.70  837.7    124.04     0.66    -9999
BAKSAN     170911 300  075500-080000   00     115.30  837.6    123.57     0.28    -9999
BAKSAN     170911 300  080000-080500   00     117.38  837.6    125.77     2.07    -9999
BAKSAN     170911 300  080500-081000   00     116.62  837.6    125.00     1.44    -9999
BAKSAN     170911 300  081000-081500   00     117.77  837.6    126.18     2.40    -9999
BAKSAN     170911 300  081500-082000   00     117.96  837.5    126.36     2.54    -9999
BAKSAN     170911 300  082000-082500   00     116.05  837.5    124.30     0.87    -9999
BAKSAN     170911 300  082500-083000   00     116.42  837.3    124.49     1.02    -9999
BAKSAN     170911 300  083000-083500   00     116.94  837.4    125.17     1.58    -9999
BAKSAN     170911 300  083500-084000   00     117.46  837.3    125.62     1.94    -9999
BAKSAN     170911 300  084000-084500   00     115.53  837.3    123.54     0.25    -9999
BAKSAN     170911 300  084500-085000   00     116.03  837.3    124.08     0.70    -9999
BAKSAN     170911 300  085000-085500   00     116.28  837.3    124.38     0.93    -9999
BAKSAN     170911 300  085500-090000   00     115.40  837.4    123.48     0.21    -9999
BAKSAN     170911 300  090000-090500   00     114.86  837.2    122.75    -0.38    -9999
BAKSAN     170911 300  090500-091000   00     116.24  837.4    124.40     0.95    -9999
BAKSAN     170911 300  091000-091500   00     115.50  837.3    123.48     0.21    -9999
BAKSAN     170911 300  091500-092000   00     117.02  837.3    125.13     1.54    -9999
BAKSAN     170911 300  092000-092500   00     115.69  837.3    123.73     0.41    -9999
BAKSAN     170911 300  092500-093000   00     114.98  837.2    122.90    -0.27    -9999
BAKSAN     170911 300  093000-093500   00     116.41  837.2    124.43     0.97    -9999
BAKSAN     170911 300  093500-094000   00     116.64  837.1    124.55     1.07    -9999
BAKSAN     170911 300  094000-094500   00     118.26  837.1    126.31     2.51    -9999
BAKSAN     170911 300  094500-095000   00     117.10  837.1    125.08     1.50    -9999
BAKSAN     170911 300  095000-095500   00     117.73  837.3    125.86     2.14    -9999
BAKSAN     170911 300  095500-100000   00     116.72  837.2    124.74     1.23    -9999
BAKSAN     170911 300  100000-100500   00     115.30  837.1    123.10    -0.10    -9999
BAKSAN     170911 300  100500-101000   00     116.95  837.2    124.96     1.41    -9999
BAKSAN     170911 300  101000-101500   00     115.63  837.1    123.50     0.23    -9999
BAKSAN     170911 300  101500-102000   00     116.80  837.1    124.68     1.18    -9999
BAKSAN     170911 300  102000-102500   00     118.09  837.1    126.13     2.36    -9999
BAKSAN     170911 300  102500-103000   00     116.16  837.2    124.12     0.73    -9999
BAKSAN     170911 300  103000-103500   00     115.04  837.2    122.94    -0.23    -9999
BAKSAN     170911 300  103500-104000   00     115.73  837.2    123.61     0.32    -9999
BAKSAN     170911 300  104000-104500   00     116.61  837.1    124.48     1.02    -9999
BAKSAN     170911 300  104500-105000   00     114.56  837.0    122.19    -0.84    -9999
BAKSAN     170911 300  105000-105500   00     117.03  837.0    124.87     1.33    -9999
BAKSAN     170911 300  105500-110000   00     115.74  837.0    123.50     0.23    -9999
BAKSAN     170911 300  110000-110500   00     118.83  837.0    126.74     2.86    -9999
BAKSAN     170911 300  110500-111000   00     118.48  836.9    126.28     2.48    -9999
BAKSAN     170911 300  111000-111500   00     116.00  836.9    123.67     0.36    -9999
BAKSAN     170911 300  111500-112000   00     116.70  836.6    124.15     0.75    -9999
BAKSAN     170911 300  112000-112500   00     116.81  836.8    124.48     1.02    -9999
BAKSAN     170911 300  112500-113000   00     115.74  837.0    123.50     0.22    -9999
BAKSAN     170911 300  113000-113500   00     117.61  836.9    125.43     1.79    -9999
BAKSAN     170911 300  113500-114000   00     117.77  836.9    125.60     1.93    -9999
BAKSAN     170911 300  114000-114500   00     116.78  836.9    124.54     1.07    -9999
BAKSAN     170911 300  114500-115000   00     115.15  836.9    122.80    -0.34    -9999
BAKSAN     170911 300  115000-115500   00     116.46  837.0    124.28     0.86    -9999
BAKSAN     170911 300  115500-120000   00     116.16  837.1    123.99     0.62    -9999
BAKSAN     170911 3600 120000-130000   00     116.15  837.2    124.12     0.72    -9999
BAKSAN     170911 3600 130000-140000   00     115.69  837.7    124.09     0.70    -9999
BAKSAN     170911 3600 140000-150000   00     114.83  838.2    123.55     0.26    -9999
BAKSAN     170911 3600 150000-160000   00     114.67  838.6    123.80     0.47    -9999
BAKSAN     170911 3600 160000-170000   00     114.36  839.3    124.02     0.65    -9999
