IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    178.29      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    170910 300  143500-144000   00     142.40  960.8    179.00     0.40    -9999
IRKUTSK    170910 300  144000-144500   00     141.40  960.8    177.80    -0.28    -9999
IRKUTSK    170910 300  144500-145000   00     141.00  960.8    177.20    -0.61    -9999
IRKUTSK    170910 300  145000-145500   00     141.60  960.8    178.20    -0.05    -9999
IRKUTSK    170910 300  145500-150000   00     142.40  960.8    178.40     0.06    -9999
IRKUTSK    170910 300  150000-150500   00     141.80  960.7    178.20    -0.05    -9999
IRKUTSK    170910 300  150500-151000   00     139.80  960.8    175.80    -1.40    -9999
IRKUTSK    170910 300  151000-151500   00     141.40  960.8    177.60    -0.39    -9999
IRKUTSK    170910 300  151500-152000   00     141.00  960.8    177.40    -0.50    -9999
IRKUTSK    170910 300  152000-152500   00     141.40  960.8    177.60    -0.39    -9999
IRKUTSK    170910 300  152500-153000   00     143.00  960.8    180.00     0.96    -9999
IRKUTSK    170910 300  153000-153500   00     141.60  960.7    177.80    -0.28    -9999
IRKUTSK    170910 300  153500-154000   00     144.20  960.7    181.00     1.52    -9999
IRKUTSK    170910 300  154000-154500   00     143.00  960.6    179.80     0.85    -9999
IRKUTSK    170910 300  154500-155000   00     143.20  960.7    180.00     0.96    -9999
IRKUTSK    170910 300  155000-155500   00     141.20  960.7    177.40    -0.50    -9999
IRKUTSK    170910 300  155500-160000   00     141.60  960.7    178.00    -0.16    -9999
IRKUTSK    170910 300  160000-160500   00     141.60  960.6    177.80    -0.28    -9999
IRKUTSK    170910 300  160500-161000   00     145.20  960.6    182.40     2.30    -9999
IRKUTSK    170910 300  161000-161500   00     143.40  960.6    180.40     1.18    -9999
IRKUTSK    170910 300  161500-162000   00     143.80  960.6    180.20     1.07    -9999
IRKUTSK    170910 300  162000-162500   00     143.00  960.6    179.60     0.73    -9999
IRKUTSK    170910 300  162500-163000   00     144.20  960.6    181.20     1.63    -9999
IRKUTSK    170910 300  163000-163500   00     144.20  960.6    180.80     1.41    -9999
IRKUTSK    170910 300  163500-164000   00     143.60  960.5    180.00     0.96    -9999
IRKUTSK    170910 300  164000-164500   00     145.40  960.5    182.80     2.53    -9999
IRKUTSK    170910 300  164500-165000   00     146.20  960.5    183.00     2.64    -9999
