Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    216.78      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort-SMITH 170910 300  142500-143000   00     285.34  975.8    215.41    -0.64    -9999
Fort-SMITH 170910 300  143000-143500   00     286.37  975.8    216.16    -0.29    -9999
Fort-SMITH 170910 300  143500-144000   00     288.54  975.8    217.85     0.49    -9999
Fort-SMITH 170910 300  144000-144500   00     286.80  975.8    216.57    -0.10    -9999
Fort-SMITH 170910 300  144500-145000   00     286.38  975.8    216.26    -0.24    -9999
Fort-SMITH 170910 300  145000-145500   00     286.03  975.8    216.00    -0.36    -9999
Fort-SMITH 170910 300  145500-150000   00     286.33  975.8    216.22    -0.26    -9999
Fort-SMITH 170910 300  150000-150500   00     286.82  975.8    216.51    -0.13    -9999
Fort-SMITH 170910 300  150500-151000   00     286.37  975.7    216.13    -0.30    -9999
Fort-SMITH 170910 300  151000-151500   00     289.56  975.7    218.46     0.77    -9999
Fort-SMITH 170910 300  151500-152000   00     285.89  975.6    215.61    -0.54    -9999
Fort-SMITH 170910 300  152000-152500   00     286.18  975.6    215.82    -0.44    -9999
Fort-SMITH 170910 300  152500-153000   00     286.88  975.6    216.30    -0.22    -9999
Fort-SMITH 170910 300  153000-153500   00     285.76  975.5    215.36    -0.66    -9999
Fort-SMITH 170910 300  153500-154000   00     287.69  975.5    216.76    -0.01    -9999
Fort-SMITH 170910 300  154000-154500   00     291.03  975.5    219.26     1.14    -9999
