SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170910 300  142000-142500   00     334.32  669.5    309.43    -0.04    -9999
SOUTH-POLE 170910 300  142500-143000   00     335.36  669.5    310.36     0.26    -9999
SOUTH-POLE 170910 300  143000-143500   00     333.84  669.4    308.79    -0.25    -9999
SOUTH-POLE 170910 300  143500-144000   00     333.56  669.4    308.60    -0.31    -9999
SOUTH-POLE 170910 300  144000-144500   00     332.71  669.5    307.93    -0.53    -9999
SOUTH-POLE 170910 300  144500-145000   00     335.77  669.6    310.94     0.44    -9999
SOUTH-POLE 170910 300  145000-145500   00     334.78  669.6    310.03     0.15    -9999
SOUTH-POLE 170910 300  145500-150000   00     332.71  669.5    308.06    -0.49    -9999
SOUTH-POLE 170910 300  150000-150500   00     335.39  669.6    310.56     0.32    -9999
SOUTH-POLE 170910 300  150500-151000   00     334.79  669.5    309.98     0.13    -9999
SOUTH-POLE 170910 300  151000-151500   00     335.16  669.5    310.24     0.22    -9999
SOUTH-POLE 170910 300  151500-152000   00     333.92  669.5    309.13    -0.14    -9999
SOUTH-POLE 170910 300  152000-152500   00     333.53  669.6    308.89    -0.22    -9999
SOUTH-POLE 170910 300  152500-153000   00     334.53  669.6    309.89     0.10    -9999
SOUTH-POLE 170910 300  153000-153500   00     335.65  669.6    310.86     0.42    -9999
SOUTH-POLE 170910 300  153500-154000   00     333.18  669.5    308.43    -0.37    -9999
SOUTH-POLE 170910 300  154000-154500   00     334.47  669.4    309.44    -0.04    -9999
SOUTH-POLE 170910 300  154500-155000   00     335.36  669.4    310.18     0.20    -9999
SOUTH-POLE 170910 300  155000-155500   00     336.12  669.4    310.88     0.42    -9999
