JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    376.01      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  170910 300  142000-142500   00     333.52  659.3    375.06    -0.25    -9999
JUNGFRAU1  170910 300  142500-143000   00     331.97  659.2    373.13    -0.77    -9999
JUNGFRAU1  170910 300  143000-143500   00     336.35  659.2    378.13     0.56    -9999
JUNGFRAU1  170910 300  143500-144000   00     336.32  659.3    378.30     0.61    -9999
JUNGFRAU1  170910 300  144000-144500   00     334.38  659.4    376.34     0.09    -9999
JUNGFRAU1  170910 300  144500-145000   00     335.12  659.5    377.49     0.39    -9999
JUNGFRAU1  170910 300  145000-145500   00     333.30  659.5    375.46    -0.15    -9999
JUNGFRAU1  170910 300  145500-150000   00     330.13  659.6    373.45    -0.68    -9999
JUNGFRAU1  170910 300  150000-150500   00     333.96  659.5    376.33     0.08    -9999
JUNGFRAU1  170910 300  150500-151000   00     330.90  659.6    373.14    -0.76    -9999
JUNGFRAU1  170910 300  151000-151500   00     335.91  659.7    378.94     0.78    -9999
JUNGFRAU1  170910 300  151500-152000   00     334.37  659.7    377.24     0.33    -9999
JUNGFRAU1  170910 300  152000-152500   00     333.80  659.7    376.60     0.16    -9999
JUNGFRAU1  170910 300  152500-153000   00     331.04  659.7    373.33    -0.71    -9999
JUNGFRAU1  170910 300  153000-153500   00     332.49  659.6    374.92    -0.29    -9999
JUNGFRAU1  170910 300  153500-154000   00     333.97  659.7    376.72     0.19    -9999
JUNGFRAU1  170910 300  154000-154500   00     333.04  659.7    375.70    -0.08    -9999
JUNGFRAU1  170910 300  154500-155000   00     332.98  659.7    375.71    -0.08    -9999
JUNGFRAU1  170910 300  155000-155500   00     336.71  659.8    380.11     1.09    -9999
JUNGFRAU1  170910 300  155500-160000   00     332.45  659.7    375.04    -0.26    -9999
JUNGFRAU1  170910 300  160000-160500   00     331.92  659.8    374.57    -0.38    -9999
JUNGFRAU1  170910 300  160500-161000   00     330.38  659.8    372.97    -0.81    -9999
JUNGFRAU1  170910 300  161000-161500   00     332.22  659.8    375.06    -0.25    -9999
JUNGFRAU1  170910 300  161500-162000   00     335.81  659.8    379.10     0.82    -9999
JUNGFRAU1  170910 300  162000-162500   00     330.29  659.8    372.89    -0.83    -9999
JUNGFRAU1  170910 300  162500-163000   00     334.81  659.8    378.02     0.53    -9999
JUNGFRAU1  170910 300  163000-163500   00     335.70  659.9    379.20     0.85    -9999
JUNGFRAU1  170910 300  163500-164000   00     335.54  659.9    379.07     0.81    -9999
JUNGFRAU1  170910 300  164000-164500   00     333.36  659.9    376.62     0.16    -9999
JUNGFRAU1  170910 300  164500-165000   00     331.41  659.9    374.39    -0.43    -9999
JUNGFRAU1  170910 300  165000-165500   00     333.53  659.9    376.83     0.22    -9999
JUNGFRAU1  170910 300  165500-170000   00     334.79  659.9    378.16     0.57    -9999
JUNGFRAU1  170910 300  170000-170500   00     331.55  659.9    374.57    -0.38    -9999
JUNGFRAU1  170910 300  170500-171000   00     333.64  659.9    377.00     0.26    -9999
JUNGFRAU1  170910 300  171000-171500   00     336.55  660.0    380.47     1.19    -9999
JUNGFRAU1  170910 300  171500-172000   00     334.29  659.9    377.77     0.47    -9999
JUNGFRAU1  170910 300  172000-172500   00     334.28  660.0    377.92     0.51    -9999
JUNGFRAU1  170910 300  172500-173000   00     334.91  660.0    378.65     0.70    -9999
JUNGFRAU1  170910 300  173000-173500   00     332.84  660.0    376.29     0.07    -9999
JUNGFRAU1  170910 300  173500-174000   00     333.90  660.0    377.56     0.41    -9999
JUNGFRAU1  170910 300  174000-174500   00     330.04  660.0    373.16    -0.76    -9999
JUNGFRAU1  170910 300  174500-175000   00     332.62  660.1    376.27     0.07    -9999
JUNGFRAU1  170910 300  175000-175500   00     331.76  660.1    375.23    -0.21    -9999
JUNGFRAU1  170910 300  175500-180000   00     330.50  660.2    374.08    -0.51    -9999
JUNGFRAU1  170910 300  180000-180500   00     331.40  660.2    375.24    -0.21    -9999
JUNGFRAU1  170910 300  180500-181000   00     328.74  660.3    372.46    -0.94    -9999
JUNGFRAU1  170910 300  181000-181500   00     333.36  660.3    377.80     0.48    -9999
JUNGFRAU1  170910 300  181500-182000   00     331.26  660.4    375.70    -0.08    -9999
JUNGFRAU1  170910 300  182000-182500   00     332.76  660.5    377.56     0.41    -9999
JUNGFRAU1  170910 300  182500-183000   00     331.04  660.5    375.57    -0.12    -9999
JUNGFRAU1  170910 300  183000-183500   00     334.21  660.5    379.22     0.85    -9999
JUNGFRAU1  170910 300  183500-184000   00     332.90  660.5    377.82     0.48    -9999
JUNGFRAU1  170910 300  184000-184500   00     331.29  660.6    376.16     0.04    -9999
JUNGFRAU1  170910 300  184500-185000   00     332.51  660.6    377.54     0.41    -9999
JUNGFRAU1  170910 300  185000-185500   00     334.57  660.6    379.85     1.02    -9999
JUNGFRAU1  170910 300  185500-190000   00     333.99  660.7    378.59     0.69    -9999
JUNGFRAU1  170910 300  190000-190500   00     329.79  660.7    374.71    -0.35    -9999
JUNGFRAU1  170910 300  190500-191000   00     328.00  660.8    372.97    -0.81    -9999
JUNGFRAU1  170910 300  191000-191500   00     330.55  660.8    375.85    -0.04    -9999
JUNGFRAU1  170910 300  191500-192000   00     329.19  660.8    374.31    -0.45    -9999
JUNGFRAU1  170910 300  192000-192500   00     333.51  660.7    379.04     0.81    -9999
JUNGFRAU1  170910 300  192500-193000   00     330.65  660.8    375.89    -0.03    -9999
JUNGFRAU1  170910 300  193000-193500   00     330.27  660.8    375.50    -0.14    -9999
JUNGFRAU1  170910 300  193500-194000   00     330.08  660.8    375.32    -0.18    -9999
JUNGFRAU1  170910 300  194000-194500   00     331.12  660.8    376.60     0.16    -9999
JUNGFRAU1  170910 300  194500-195000   00     331.67  660.8    377.15     0.30    -9999
JUNGFRAU1  170910 300  195000-195500   00     329.29  660.8    374.40    -0.43    -9999
JUNGFRAU1  170910 300  195500-200000   00     330.54  660.8    375.84    -0.05    -9999
JUNGFRAU1  170910 300  200000-200500   00     329.95  660.8    375.14    -0.23    -9999
JUNGFRAU1  170910 300  200500-201000   00     331.77  660.8    377.24     0.33    -9999
JUNGFRAU1  170910 300  201000-201500   00     329.24  660.8    374.24    -0.47    -9999
JUNGFRAU1  170910 300  201500-202000   00     331.19  660.7    376.40     0.10    -9999
JUNGFRAU1  170910 300  202000-202500   00     330.63  660.8    375.95    -0.02    -9999
JUNGFRAU1  170910 300  202500-203000   00     332.94  660.8    378.60     0.69    -9999
JUNGFRAU1  170910 300  203000-203500   00     332.55  660.7    377.81     0.48    -9999
JUNGFRAU1  170910 300  203500-204000   00     330.85  660.7    375.91    -0.03    -9999
JUNGFRAU1  170910 300  204000-204500   00     331.29  660.7    376.45     0.12    -9999
JUNGFRAU1  170910 300  204500-205000   00     331.58  660.7    376.78     0.20    -9999
JUNGFRAU1  170910 300  205000-205500   00     333.37  660.7    378.82     0.75    -9999
JUNGFRAU1  170910 300  205500-210000   00     331.79  660.8    377.16     0.31    -9999
JUNGFRAU1  170910 300  210000-210500   00     329.90  660.8    375.11    -0.24    -9999
JUNGFRAU1  170910 300  210500-211000   00     330.80  660.8    376.12     0.03    -9999
JUNGFRAU1  170910 300  211000-211500   00     335.58  660.8    381.59     1.48    -9999
JUNGFRAU1  170910 300  211500-212000   00     335.01  660.8    380.93     1.31    -9999
JUNGFRAU1  170910 300  212000-212500   00     331.80  660.8    377.25     0.33    -9999
JUNGFRAU1  170910 300  212500-213000   00     334.59  660.8    380.42     1.17    -9999
JUNGFRAU1  170910 300  213000-213500   00     329.80  660.8    375.01    -0.27    -9999
JUNGFRAU1  170910 300  213500-214000   00     331.42  660.8    376.88     0.23    -9999
JUNGFRAU1  170910 300  214000-214500   00     330.53  660.9    376.13     0.03    -9999
JUNGFRAU1  170910 300  214500-215000   00     330.56  660.9    376.11     0.03    -9999
JUNGFRAU1  170910 300  215000-215500   00     334.17  660.8    380.09     1.08    -9999
JUNGFRAU1  170910 300  215500-220000   00     334.93  660.8    380.76     1.26    -9999
JUNGFRAU1  170910 300  220000-220500   00     334.67  660.7    380.34     1.15    -9999
JUNGFRAU1  170910 300  220500-221000   00     333.13  660.7    378.48     0.66    -9999
JUNGFRAU1  170910 300  221000-221500   00     332.85  660.6    378.04     0.54    -9999
JUNGFRAU1  170910 300  221500-222000   00     332.28  660.6    377.26     0.33    -9999
