DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     18.37      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       170909 3600 000000-010000   00      18.02  650.4     18.08    -1.56    -9999
DOMC       170909 3600 010000-020000   00      18.12  650.3     18.15    -1.20    -9999
DOMC       170909 3600 020000-030000   00      18.25  650.0     18.23    -0.74    -9999
DOMC       170909 3600 030000-040000   00      18.18  649.6     18.13    -1.29    -9999
DOMC       170909 3600 040000-050000   00      18.23  649.5     18.17    -1.11    -9999
DOMC       170909 3600 050000-060000   00      18.20  649.4     18.13    -1.29    -9999
DOMC       170909 3600 060000-070000   00      18.22  649.1     18.08    -1.56    -9999
DOMC       170909 3600 070000-080000   00      18.07  649.0     17.93    -2.38    -9999
DOMC       170909 3600 080000-090000   00      18.32  648.6     18.12    -1.38    -9999
DOMC       170909 3600 090000-100000   00      18.25  648.2     18.00    -2.01    -9999
DOMC       170909 3600 100000-110000   00      18.30  647.9     18.00    -2.01    -9999
DOMC       170909 3600 110000-120000   00      18.33  647.6     17.98    -2.10    -9999
DOMC       170909 3600 120000-130000   00      18.45  647.1     18.05    -1.74    -9999
DOMC       170909 3600 130000-140000   00      18.48  646.6     18.00    -2.01    -9999
DOMC       170909 3600 140000-150000   00      18.65  646.1     18.10    -1.47    -9999
DOMC       170909 3600 150000-160000   00      18.60  645.6     17.98    -2.10    -9999
DOMC       170909 3600 160000-170000   00      18.82  645.0     18.10    -1.47    -9999
DOMC       170909 3600 170000-180000   00      18.68  644.5     17.90    -2.56    -9999
DOMC       170909 3600 180000-190000   00      18.90  643.8     18.03    -1.83    -9999
DOMC       170909 3600 190000-200000   00      19.02  643.2     18.05    -1.74    -9999
DOMC       170909 3600 200000-210000   00      18.93  642.6     17.88    -2.65    -9999
DOMC       170909 3600 210000-220000   00      19.35  642.0     18.20    -0.93    -9999
DOMC       170909 3600 220000-230000   00      19.27  641.6     18.07    -1.65    -9999
DOMC       170909 3600 230000-240000   00      19.38  641.0     18.08    -1.56    -9999
DOMC       170910 3600 000000-010000   00      19.68  640.2     18.25    -0.65    -9999
DOMC       170910 3600 010000-020000   00      19.60  639.9     18.15    -1.20    -9999
DOMC       170910 3600 020000-030000   00      19.73  639.4     18.20    -0.93    -9999
DOMC       170910 3600 030000-040000   00      20.05  639.0     18.42     0.25    -9999
DOMC       170910 3600 040000-050000   00      19.80  638.5     18.13    -1.29    -9999
DOMC       170910 3600 050000-060000   00      19.88  638.0     18.13    -1.29    -9999
DOMC       170910 3600 060000-070000   00      20.38  637.6     18.53     0.89    -9999
DOMC       170910 3600 070000-080000   00      20.22  637.3     18.33    -0.20    -9999
DOMC       170910 3600 080000-090000   00      20.30  636.9     18.37    -0.02    -9999
DOMC       170910 3600 090000-100000   00      20.27  636.7     18.28    -0.47    -9999
DOMC       170910 3600 100000-110000   00      20.20  636.4     18.20    -0.93    -9999
DOMC       170910 3600 110000-120000   00      20.35  636.2     18.30    -0.38    -9999
DOMC       170910 300  120000-120500   00      20.07  636.0     18.02    -1.92    -9999
DOMC       170910 300  120500-121000   00      20.42  636.0     18.33    -0.20    -9999
DOMC       170910 300  121000-121500   00      20.48  635.9     18.38     0.07    -9999
DOMC       170910 300  121500-122000   00      20.87  635.9     18.73     1.98    -9999
DOMC       170910 300  122000-122500   00      20.77  635.8     18.62     1.34    -9999
DOMC       170910 300  122500-123000   00      20.72  635.8     18.57     1.07    -9999
DOMC       170910 300  123000-123500   00      20.33  635.7     18.22    -0.83    -9999
DOMC       170910 300  123500-124000   00      20.28  635.7     18.17    -1.11    -9999
DOMC       170910 300  124000-124500   00      20.43  635.7     18.30    -0.38    -9999
DOMC       170910 300  124500-125000   00      20.52  635.7     18.38     0.07    -9999
DOMC       170910 300  125000-125500   00      20.35  635.7     18.22    -0.83    -9999
DOMC       170910 300  125500-130000   00      20.03  635.6     17.95    -2.29    -9999
DOMC       170910 300  130000-130500   00      20.53  635.7     18.38     0.07    -9999
DOMC       170910 300  130500-131000   00      20.18  635.6     18.07    -1.65    -9999
DOMC       170910 300  131000-131500   00      20.48  635.5     18.33    -0.20    -9999
DOMC       170910 300  131500-132000   00      19.78  635.5     17.70    -3.65    -9999
DOMC       170910 300  132000-132500   00      20.12  635.5     18.00    -2.01    -9999
DOMC       170910 300  132500-133000   00      20.42  635.5     18.27    -0.56    -9999
DOMC       170910 300  133000-133500   00      20.60  635.5     18.43     0.34    -9999
DOMC       170910 300  133500-134000   00      20.35  635.5     18.20    -0.93    -9999
DOMC       170910 300  134000-134500   00      21.02  635.5     18.80     2.34    -9999
DOMC       170910 300  134500-135000   00      20.78  635.5     18.60     1.25    -9999
DOMC       170910 300  135000-135500   00      20.67  635.5     18.48     0.62    -9999
DOMC       170910 300  135500-140000   00      19.88  635.4     17.77    -3.28    -9999
DOMC       170910 300  140000-140500   00      20.83  635.4     18.62     1.34    -9999
DOMC       170910 300  140500-141000   00      20.45  635.3     18.27    -0.56    -9999
DOMC       170910 300  141000-141500   00      20.57  635.3     18.37    -0.02    -9999
