APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    174.02      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 170909 3600 000000-010000   00     174.81  996.0    169.89    -2.37    -9999
APATITY 170909 3600 010000-020000   00     175.19  996.1    170.34    -2.11    -9999
APATITY 170909 3600 020000-030000   00     175.76  996.3    171.13    -1.66    -9999
APATITY 170909 3600 030000-040000   00     175.78  996.6    171.51    -1.44    -9999
APATITY 170909 3600 040000-050000   00     175.50  996.7    171.41    -1.50    -9999
APATITY 170909 3600 050000-060000   00     176.38  996.8    172.40    -0.93    -9999
APATITY 170909 3600 060000-070000   00     176.63  997.0    172.90    -0.64    -9999
APATITY 170909 3600 070000-080000   00     176.25  997.2    172.79    -0.71    -9999
APATITY 170909 3600 080000-090000   00     176.10  997.4    172.77    -0.72    -9999
APATITY 170909 3600 090000-100000   00     175.37  997.5    172.23    -1.03    -9999
APATITY 170909 3600 100000-110000   00     174.45  997.6    171.50    -1.45    -9999
APATITY 170909 3600 110000-120000   00     174.86  997.8    172.10    -1.10    -9999
APATITY 170909 3600 120000-130000   00     173.32  998.0    170.88    -1.80    -9999
APATITY 170909 3600 130000-140000   00     171.73  998.1    169.36    -2.67    -9999
APATITY 170909 3600 140000-150000   00     171.45  998.3    169.41    -2.65    -9999
APATITY 170909 3600 150000-160000   00     172.80  998.6    171.07    -1.69    -9999
APATITY 170909 3600 160000-170000   00     172.16  998.7    170.59    -1.97    -9999
APATITY 170909 3600 170000-180000   00     172.91  999.1    171.76    -1.30    -9999
APATITY 170909 3600 180000-190000   00     171.39  999.6    170.92    -1.78    -9999
APATITY 170909 3600 190000-200000   00     170.97 1000.2    171.26    -1.58    -9999
APATITY 170909 3600 200000-210000   00     171.03 1000.7    171.87    -1.23    -9999
APATITY 170909 3600 210000-220000   00     170.72 1000.8    171.73    -1.32    -9999
APATITY 170909 3600 220000-230000   00     171.00 1000.7    171.88    -1.23    -9999
APATITY 170909 3600 230000-240000   00     171.27 1000.7    172.10    -1.10    -9999
APATITY 170910 3600 000000-010000   00     172.11 1000.7    173.01    -0.58    -9999
APATITY 170910 3600 010000-020000   00     172.21 1000.9    173.27    -0.43    -9999
APATITY 170910 3600 020000-030000   00     171.41 1000.9    172.49    -0.88    -9999
APATITY 170910 3600 030000-040000   00     171.64 1001.0    172.92    -0.63    -9999
APATITY 170910 3600 040000-050000   00     171.78 1001.0    173.05    -0.56    -9999
APATITY 170910 3600 050000-060000   00     172.78 1000.7    173.69    -0.19    -9999
APATITY 170910 3600 060000-070000   00     173.81 1000.6    174.58     0.32    -9999
APATITY 170910 3600 070000-080000   00     174.39 1000.6    175.10     0.62    -9999
APATITY 170910 3600 080000-090000   00     174.51 1000.2    174.82     0.46    -9999
APATITY 170910 3600 090000-100000   00     175.82 1000.0    175.84     1.05    -9999
APATITY 170910 3600 100000-110000   00     175.66  999.7    175.33     0.76    -9999
APATITY 170910 3600 110000-120000   00     175.78  999.2    174.79     0.45    -9999
APATITY 170910 300  120000-120500   00     175.75  999.1    174.66     0.37    -9999
APATITY 170910 300  120500-121000   00     176.58  999.1    175.49     0.85    -9999
APATITY 170910 300  121000-121500   00     175.42  999.2    174.37     0.20    -9999
APATITY 170910 300  121500-122000   00     173.67  999.1    172.57    -0.83    -9999
APATITY 170910 300  122000-122500   00     176.66  999.0    175.44     0.82    -9999
APATITY 170910 300  122500-123000   00     174.35  999.0    173.07    -0.54    -9999
APATITY 170910 300  123000-123500   00     175.93  998.9    174.54     0.30    -9999
APATITY 170910 300  123500-124000   00     176.02  998.9    174.57     0.32    -9999
APATITY 170910 300  124000-124500   00     173.64  998.8    172.15    -1.07    -9999
APATITY 170910 300  124500-125000   00     176.25  998.7    174.61     0.34    -9999
APATITY 170910 300  125000-125500   00     176.53  998.7    174.82     0.46    -9999
APATITY 170910 300  125500-130000   00     176.65  998.6    174.82     0.46    -9999
APATITY 170910 300  130000-130500   00     176.34  998.5    174.40     0.22    -9999
APATITY 170910 300  130500-131000   00     175.01  998.4    172.98    -0.60    -9999
APATITY 170910 300  131000-131500   00     177.32  998.3    175.20     0.68    -9999
APATITY 170910 300  131500-132000   00     175.40  998.3    173.32    -0.40    -9999
APATITY 170910 300  132000-132500   00     176.43  998.3    174.33     0.18    -9999
APATITY 170910 300  132500-133000   00     176.82  998.3    174.69     0.39    -9999
APATITY 170910 300  133000-133500   00     173.19  998.3    171.07    -1.69    -9999
APATITY 170910 300  133500-134000   00     176.75  998.1    174.38     0.21    -9999
APATITY 170910 300  134000-134500   00     175.65  998.0    173.15    -0.50    -9999
APATITY 170910 300  134500-135000   00     175.63  998.1    173.19    -0.48    -9999
APATITY 170910 300  135000-135500   00     176.67  998.1    174.25     0.14    -9999
APATITY 170910 300  135500-140000   00     176.54  998.1    174.11     0.05    -9999
APATITY 170910 300  140000-140500   00     177.88  997.9    175.27     0.72    -9999
APATITY 170910 300  140500-141000   00     173.63  998.0    171.15    -1.65    -9999
APATITY 170910 300  141000-141500   00     176.10  998.0    173.61    -0.23    -9999
APATITY 170910 300  141500-142000   00     178.21  998.0    175.61     0.91    -9999
APATITY 170910 300  142000-142500   00     178.58  997.8    175.76     1.00    -9999
APATITY 170910 300  142500-143000   00     178.54  997.7    175.60     0.91    -9999
APATITY 170910 300  143000-143500   00     175.57  997.7    172.69    -0.76    -9999
APATITY 170910 300  143500-144000   00     176.42  997.6    173.44    -0.33    -9999
APATITY 170910 300  144000-144500   00     177.98  997.7    175.02     0.58    -9999
APATITY 170910 300  144500-145000   00     180.33  997.6    177.30     1.89    -9999
APATITY 170910 300  145000-145500   00     176.26  997.7    173.32    -0.40    -9999
APATITY 170910 300  145500-150000   00     177.81  997.6    174.82     0.46    -9999
APATITY 170910 300  150000-150500   00     177.89  997.6    174.86     0.48    -9999
APATITY 170910 300  150500-151000   00     173.33  997.6    170.36    -2.10    -9999
APATITY 170910 300  151000-151500   00     177.27  997.6    174.21     0.11    -9999
APATITY 170910 300  151500-152000   00     177.83  997.6    174.78     0.44    -9999
APATITY 170910 300  152000-152500   00     176.97  997.6    173.92    -0.05    -9999
APATITY 170910 300  152500-153000   00     176.55  997.6    173.46    -0.32    -9999
APATITY 170910 300  153000-153500   00     176.65  997.5    173.47    -0.31    -9999
APATITY 170910 300  153500-154000   00     174.72  997.5    171.55    -1.42    -9999
APATITY 170910 300  154000-154500   00     177.48  997.5    174.29     0.16    -9999
APATITY 170910 300  154500-155000   00     175.67  997.5    172.50    -0.87    -9999
APATITY 170910 300  155000-155500   00     177.32  997.5    174.11     0.05    -9999
APATITY 170910 300  155500-160000   00     178.54  997.5    175.29     0.73    -9999
APATITY 170910 300  160000-160500   00     177.16  997.4    173.89    -0.07    -0.41
APATITY 170910 300  160500-161000   00     178.05  997.4    174.74     0.42     0.07
APATITY 170910 300  161000-161500   00     178.00  997.4    174.67     0.38     0.02
APATITY 170910 300  161500-162000   00     178.39  997.3    174.99     0.56     0.18
APATITY 170910 300  162000-162500   00     178.40  997.3    174.92     0.52     0.13
APATITY 170910 300  162500-163000   00     177.31  997.2    173.72    -0.17    -0.57
APATITY 170910 300  163000-163500   00     179.25  997.0    175.43     0.81     0.40
APATITY 170910 300  163500-164000   00     182.04  996.9    178.05     2.32     1.90
APATITY 170910 300  164000-164500   00     181.50  997.0    177.57     2.04     1.60
APATITY 170910 300  164500-165000   00     184.29  997.0    180.30     3.61     3.16
APATITY 170910 300  165000-165500   00     183.78  996.9    179.74     3.29     2.83
APATITY 170910 300  165500-170000   00     184.69  996.8    180.49     3.72     3.25
APATITY 170910 300  170000-170500   00     184.90  996.8    180.66     3.82     3.33
APATITY 170910 300  170500-171000   00     184.85  996.8    180.60     3.78     3.28
APATITY 170910 300  171000-171500   00     184.04  996.8    179.86     3.36     2.85
APATITY 170910 300  171500-172000   00     183.57  996.8    179.40     3.09     2.57
APATITY 170910 300  172000-172500   00     183.17  996.8    179.04     2.89     2.36
APATITY 170910 300  172500-173000   00     182.98  996.8    178.85     2.78     2.23
APATITY 170910 300  173000-173500   00     183.55  996.8    179.35     3.06     2.50
APATITY 170910 300  173500-174000   00     182.54  996.8    178.34     2.48     1.91
APATITY 170910 300  174000-174500   00     183.43  996.8    179.24     3.00     2.42
APATITY 170910 300  174500-175000   00     182.04  996.8    177.92     2.24     1.65
APATITY 170910 300  175000-175500   00     182.95  996.8    178.77     2.73     2.12
