KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    225.25      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  170910 300  143500-144000   00     228.93  997.2    224.36    -0.40    -9999
KERGUELEN  170910 300  144000-144500   00     227.87  997.2    223.27    -0.88    -9999
KERGUELEN  170910 300  144500-145000   00     231.07  997.1    226.17     0.41    -9999
KERGUELEN  170910 300  145000-145500   00     231.60  997.0    226.60     0.60    -9999
KERGUELEN  170910 300  145500-150000   00     230.00  997.0    224.99    -0.12    -9999
KERGUELEN  170910 300  150000-150500   00     232.13  997.0    227.03     0.79    -9999
KERGUELEN  170910 300  150500-151000   00     230.80  997.2    226.05     0.35    -9999
KERGUELEN  170910 300  151000-151500   00     229.87  997.2    225.18    -0.03    -9999
KERGUELEN  170910 300  151500-152000   00     230.40  997.2    225.75     0.22    -9999
KERGUELEN  170910 300  152000-152500   00     230.13  997.1    225.21    -0.02    -9999
KERGUELEN  170910 300  152500-153000   00     229.20  997.1    224.30    -0.42    -9999
KERGUELEN  170910 300  153000-153500   00     229.73  997.0    224.73    -0.23    -9999
KERGUELEN  170910 300  153500-154000   00     229.47  997.1    224.61    -0.29    -9999
KERGUELEN  170910 300  154000-154500   00     232.00  997.0    226.90     0.73    -9999
KERGUELEN  170910 300  154500-155000   00     229.47  996.8    224.15    -0.49    -9999
KERGUELEN  170910 300  155000-155500   00     229.47  996.8    224.20    -0.47    -9999
KERGUELEN  170910 300  155500-160000   00     229.73  996.8    224.46    -0.35    -9999
KERGUELEN  170910 300  160000-160500   00     229.87  996.7    224.41    -0.37    -0.76
KERGUELEN  170910 300  160500-161000   00     230.40  996.8    225.06    -0.08    -0.48
KERGUELEN  170910 300  161000-161500   00     229.33  996.8    223.93    -0.59    -1.01
KERGUELEN  170910 300  161500-162000   00     230.80  996.6    225.05    -0.09    -0.52
KERGUELEN  170910 300  162000-162500   00     231.73  996.6    225.96     0.31    -0.14
KERGUELEN  170910 300  162500-163000   00     233.47  996.5    227.55     1.02     0.56
KERGUELEN  170910 300  163000-163500   00     228.53  996.6    222.84    -1.07    -1.54
KERGUELEN  170910 300  163500-164000   00     233.07  996.7    227.49     0.99     0.50
KERGUELEN  170910 300  164000-164500   00     235.33  996.5    229.37     1.83     1.33
KERGUELEN  170910 300  164500-165000   00     235.87  996.4    229.75     2.00     1.49
KERGUELEN  170910 300  165000-165500   00     240.53  996.4    234.20     3.97     3.44
KERGUELEN  170910 300  165500-170000   00     240.80  996.2    234.13     3.94     3.40
KERGUELEN  170910 300  170000-170500   00     239.47  996.0    232.51     3.22     2.66
KERGUELEN  170910 300  170500-171000   00     240.93  996.0    233.89     3.83     3.26
KERGUELEN  170910 300  171000-171500   00     241.47  995.8    233.98     3.87     3.29
KERGUELEN  170910 300  171500-172000   00     242.93  995.6    235.16     4.40     3.80
KERGUELEN  170910 300  172000-172500   00     242.00  995.5    234.02     3.89     3.28
KERGUELEN  170910 300  172500-173000   00     243.60  995.5    235.62     4.60     3.98
KERGUELEN  170910 300  173000-173500   00     239.60  995.5    231.65     2.84     2.20
KERGUELEN  170910 300  173500-174000   00     241.07  995.4    233.02     3.45     2.80
KERGUELEN  170910 300  174000-174500   00     241.73  995.3    233.48     3.65     2.99
KERGUELEN  170910 300  174500-175000   00     242.67  995.2    234.08     3.92     3.24
KERGUELEN  170910 300  175000-175500   00     244.67  995.0    235.69     4.64     3.95
KERGUELEN  170910 300  175500-180000   00     241.73  995.1    233.10     3.49     2.78
KERGUELEN  170910 300  180000-180500   00     241.07  995.1    232.51     3.22     2.50
KERGUELEN  170910 300  180500-181000   00     240.80  995.2    232.34     3.15     2.42
KERGUELEN  170910 300  181000-181500   00     243.47  995.1    234.82     4.25     3.50
KERGUELEN  170910 300  181500-182000   00     239.73  995.1    231.17     2.63     1.87
KERGUELEN  170910 300  182000-182500   00     245.07  995.1    236.27     4.89     4.12
KERGUELEN  170910 300  182500-183000   00     243.47  994.9    234.44     4.08     3.29
KERGUELEN  170910 300  183000-183500   00     242.93  994.8    233.69     3.75     2.95
KERGUELEN  170910 300  183500-184000   00     243.60  994.6    234.00     3.88     3.07
KERGUELEN  170910 300  184000-184500   00     243.73  994.6    234.03     3.90     3.07
KERGUELEN  170910 300  184500-185000   00     243.20  994.6    233.57     3.69     2.85
KERGUELEN  170910 300  185000-185500   00     242.80  994.4    232.95     3.42     2.57
KERGUELEN  170910 300  185500-190000   00     244.13  994.3    233.95     3.86     2.99
KERGUELEN  170910 300  190000-190500   00     243.60  994.0    233.01     3.44     2.56
KERGUELEN  170910 300  190500-191000   00     241.07  994.0    230.50     2.33     1.44
KERGUELEN  170910 300  191000-191500   00     242.93  994.1    232.47     3.20     2.29
KERGUELEN  170910 300  191500-192000   00     241.73  994.0    231.13     2.61     1.69
KERGUELEN  170910 300  192000-192500   00     241.60  993.6    230.40     2.29     1.36
KERGUELEN  170910 300  192500-193000   00     242.00  993.5    230.55     2.35     1.40
KERGUELEN  170910 300  193000-193500   00     244.27  993.4    232.52     3.23     2.27
KERGUELEN  170910 300  193500-194000   00     242.13  993.3    230.26     2.22     1.25
KERGUELEN  170910 300  194000-194500   00     242.93  993.6    231.58     2.81     1.82
KERGUELEN  170910 300  194500-195000   00     240.53  993.8    229.57     1.92     0.92
KERGUELEN  170910 300  195000-195500   00     240.80  993.6    229.64     1.95     0.94
KERGUELEN  170910 300  195500-200000   00     243.60  993.5    232.03     3.01     1.98
KERGUELEN  170910 300  200000-200500   00     241.87  993.1    229.72     1.99     0.95
KERGUELEN  170910 300  200500-201000   00     242.93  993.0    230.55     2.35     1.30
KERGUELEN  170910 300  201000-201500   00     244.53  992.9    231.88     2.94     1.87
KERGUELEN  170910 300  201500-202000   00     242.00  992.5    228.79     1.57     0.49
KERGUELEN  170910 300  202000-202500   00     242.13  992.4    228.77     1.56     0.47
KERGUELEN  170910 300  202500-203000   00     244.27  992.3    230.65     2.40     1.29
KERGUELEN  170910 300  203000-203500   00     244.27  992.0    230.14     2.17     1.05
KERGUELEN  170910 300  203500-204000   00     246.53  991.9    231.94     2.97     1.84
KERGUELEN  170910 300  204000-204500   00     248.13  991.6    232.98     3.43     2.28
KERGUELEN  170910 300  204500-205000   00     247.60  991.5    232.29     3.12     1.96
KERGUELEN  170910 300  205000-205500   00     248.27  991.1    232.30     3.13     1.96
KERGUELEN  170910 300  205500-210000   00     248.93  991.0    232.69     3.30     2.11
KERGUELEN  170910 300  210000-210500   00     247.60  991.0    231.35     2.71     1.51
KERGUELEN  170910 300  210500-211000   00     247.20  990.9    230.89     2.50     1.29
KERGUELEN  170910 300  211000-211500   00     249.33  990.8    232.69     3.30     2.08
KERGUELEN  170910 300  211500-212000   00     248.67  990.6    231.65     2.84     1.60
KERGUELEN  170910 300  212000-212500   00     250.93  990.4    233.52     3.67     2.42
KERGUELEN  170910 300  212500-213000   00     250.13  990.1    232.26     3.11     1.85
KERGUELEN  170910 300  213000-213500   00     251.33  989.9    233.00     3.44     2.16
KERGUELEN  170910 300  213500-214000   00     250.80  989.8    232.22     3.09     1.80
KERGUELEN  170910 300  214000-214500   00     251.20  989.5    232.08     3.03     1.73
KERGUELEN  170910 300  214500-215000   00     248.93  989.5    230.08     2.14     0.82
KERGUELEN  170910 300  215000-215500   00     251.07  989.5    232.00     3.00     1.67
KERGUELEN  170910 300  215500-220000   00     248.80  989.1    229.21     1.76     0.42
KERGUELEN  170910 300  220000-220500   00     251.20  988.7    230.81     2.47     1.12
KERGUELEN  170910 300  220500-221000   00     250.80  988.5    229.98     2.10     0.73
KERGUELEN  170910 300  221000-221500   00     252.40  988.3    231.22     2.65     1.27
KERGUELEN  170910 300  221500-222000   00     252.53  988.3    231.24     2.66     1.27
KERGUELEN  170910 300  222000-222500   00     254.00  988.3    232.54     3.24     1.83
KERGUELEN  170910 300  222500-223000   00     252.80  988.1    231.16     2.62     1.20
KERGUELEN  170910 300  223000-223500   00     253.20  987.9    231.25     2.66     1.23
KERGUELEN  170910 300  223500-224000   00     253.20  987.7    230.83     2.48     1.03
KERGUELEN  170910 300  224000-224500   00     252.67  987.6    230.25     2.22     0.76
KERGUELEN  170910 300  224500-225000   00     254.93  987.6    232.26     3.11     1.64
KERGUELEN  170910 300  225000-225500   00     251.20  987.4    228.45     1.42    -0.06
KERGUELEN  170910 300  225500-230000   00     252.40  987.3    229.35     1.82     0.32
KERGUELEN  170910 300  230000-230500   00     252.80  987.3    229.72     1.98     0.47
KERGUELEN  170910 300  230500-231000   00     255.87  987.1    232.22     3.09     1.57
KERGUELEN  170910 300  231000-231500   00     254.67  986.9    230.71     2.43     0.89
KERGUELEN  170910 300  231500-232000   00     255.87  986.8    231.61     2.82     1.27
KERGUELEN  170910 300  232000-232500   00     256.27  986.7    231.84     2.92     1.36
KERGUELEN  170910 300  232500-233000   00     256.13  986.4    231.29     2.68     1.11
KERGUELEN  170910 300  233000-233500   00     256.40  986.4    231.44     2.75     1.16
KERGUELEN  170910 300  233500-234000   00     256.67  986.3    231.45     2.75     1.15
KERGUELEN  170910 300  234000-234500   00     254.80  986.2    229.58     1.92     0.31
KERGUELEN  170910 300  234500-235000   00     254.40  986.1    229.17     1.74     0.12
KERGUELEN  170910 300  235000-235500   00     256.27  986.0    230.67     2.41     0.77
KERGUELEN  170910 300  235500-240000   00     257.73  985.9    231.80     2.91     1.26
KERGUELEN  170911 300  000000-000500   00     258.13  985.5    231.50     2.78     1.12
KERGUELEN  170911 300  000500-001000   00     255.20  985.2    228.32     1.36    -0.32
KERGUELEN  170911 300  001000-001500   00     256.13  985.1    228.97     1.65    -0.04
KERGUELEN  170911 300  001500-002000   00     256.53  984.9    228.91     1.62    -0.08
KERGUELEN  170911 300  002000-002500   00     260.00  984.7    231.63     2.83     1.12
