THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.56     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    126.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      170910 300  151500-152000   00     150.34  982.3    126.81    -0.03    -9999
THULE      170910 300  152000-152500   00     147.66  982.4    124.58    -1.79    -9999
THULE      170910 300  152500-153000   00     148.41  982.4    125.26    -1.26    -9999
THULE      170910 300  153000-153500   00     150.21  982.4    126.79    -0.05    -9999
THULE      170910 300  153500-154000   00     149.78  982.5    126.50    -0.27    -9999
THULE      170910 300  154000-154500   00     151.06  982.6    127.65     0.63    -9999
THULE      170910 300  154500-155000   00     149.00  982.6    125.93    -0.72    -9999
THULE      170910 300  155000-155500   00     150.82  982.6    127.51     0.52    -9999
THULE      170910 300  155500-160000   00     150.38  982.7    127.18     0.26    -9999
THULE      170910 300  160000-160500   00     151.18  982.7    127.84     0.78     0.75
THULE      170910 300  160500-161000   00     149.01  982.8    126.12    -0.58    -0.62
THULE      170910 300  161000-161500   00     148.60  982.9    125.86    -0.78    -0.82
THULE      170910 300  161500-162000   00     148.82  982.9    126.06    -0.62    -0.67
THULE      170910 300  162000-162500   00     149.33  983.0    126.56    -0.23    -0.28
THULE      170910 300  162500-163000   00     150.59  983.0    127.69     0.67     0.61
THULE      170910 300  163000-163500   00     151.04  983.1    128.16     1.03     0.97
THULE      170910 300  163500-164000   00     150.36  983.2    127.66     0.64     0.57
THULE      170910 300  164000-164500   00     152.24  983.3    129.33     1.96     1.89
THULE      170910 300  164500-165000   00     152.31  983.3    129.38     1.99     1.91
THULE      170910 300  165000-165500   00     154.45  983.3    131.21     3.44     3.36
THULE      170910 300  165500-170000   00     153.01  983.3    130.03     2.51     2.42
THULE      170910 300  170000-170500   00     154.49  983.4    131.32     3.53     3.43
THULE      170910 300  170500-171000   00     151.69  983.4    128.99     1.68     1.58
THULE      170910 300  171000-171500   00     156.55  983.4    133.13     4.95     4.84
THULE      170910 300  171500-172000   00     157.68  983.4    134.11     5.72     5.61
THULE      170910 300  172000-172500   00     152.68  983.4    129.84     2.36     2.24
THULE      170910 300  172500-173000   00     152.57  983.4    129.73     2.27     2.15
THULE      170910 300  173000-173500   00     156.46  983.4    133.04     4.88     4.75
THULE      170910 300  173500-174000   00     155.63  983.5    132.41     4.38     4.25
THULE      170910 300  174000-174500   00     157.07  983.5    133.65     5.36     5.22
THULE      170910 300  174500-175000   00     158.43  983.5    134.80     6.27     6.13
THULE      170910 300  175000-175500   00     157.64  983.5    134.15     5.76     5.61
THULE      170910 300  175500-180000   00     155.21  983.6    132.11     4.15     3.99
THULE      170910 300  180000-180500   00     156.20  983.6    132.99     4.84     4.68
THULE      170910 300  180500-181000   00     154.11  983.6    131.26     3.48     3.31
THULE      170910 300  181000-181500   00     153.75  983.7    131.03     3.30     3.13
THULE      170910 300  181500-182000   00     157.06  983.7    133.86     5.53     5.35
THULE      170910 300  182000-182500   00     153.49  983.7    130.83     3.14     2.96
THULE      170910 300  182500-183000   00     154.65  983.7    131.78     3.89     3.70
THULE      170910 300  183000-183500   00     156.66  983.7    133.47     5.22     5.03
THULE      170910 300  183500-184000   00     155.48  983.6    132.44     4.41     4.21
THULE      170910 300  184000-184500   00     159.57  983.7    135.93     7.16     6.96
THULE      170910 300  184500-185000   00     155.89  983.7    132.82     4.70     4.49
THULE      170910 300  185000-185500   00     153.69  983.8    131.05     3.31     3.09
THULE      170910 300  185500-190000   00     152.75  983.9    130.35     2.76     2.54
THULE      170910 300  190000-190500   00     152.85  984.0    130.49     2.87     2.64
THULE      170910 300  190500-191000   00     155.23  983.9    132.51     4.46     4.23
THULE      170910 300  191000-191500   00     156.50  984.0    133.69     5.39     5.15
THULE      170910 300  191500-192000   00     154.60  984.1    132.09     4.13     3.89
THULE      170910 300  192000-192500   00     154.39  984.1    131.94     4.01     3.76
THULE      170910 300  192500-193000   00     154.97  984.1    132.45     4.42     4.17
THULE      170910 300  193000-193500   00     155.87  984.2    133.36     5.13     4.87
THULE      170910 300  193500-194000   00     155.10  984.3    132.75     4.65     4.39
THULE      170910 300  194000-194500   00     154.41  984.3    132.14     4.17     3.90
THULE      170910 300  194500-195000   00     153.16  984.4    131.18     3.42     3.14
THULE      170910 300  195000-195500   00     155.00  984.4    132.79     4.68     4.40
THULE      170910 300  195500-200000   00     151.33  984.5    129.68     2.23     1.94
THULE      170910 300  200000-200500   00     152.87  984.5    130.99     3.27     2.98
THULE      170910 300  200500-201000   00     154.57  984.5    132.47     4.43     4.13
THULE      170910 300  201000-201500   00     155.17  984.5    133.01     4.85     4.55
THULE      170910 300  201500-202000   00     152.37  984.5    130.61     2.96     2.65
THULE      170910 300  202000-202500   00     153.85  984.6    131.95     4.02     3.71
THULE      170910 300  202500-203000   00     154.89  984.6    132.90     4.77     4.45
THULE      170910 300  203000-203500   00     149.41  984.7    128.23     1.09     0.76
THULE      170910 300  203500-204000   00     154.35  984.7    132.53     4.48     4.15
THULE      170910 300  204000-204500   00     151.58  984.8    130.18     2.63     2.29
THULE      170910 300  204500-205000   00     153.28  984.8    131.68     3.81     3.47
THULE      170910 300  205000-205500   00     152.02  984.8    130.62     2.97     2.62
THULE      170910 300  205500-210000   00     151.81  984.9    130.48     2.87     2.52
THULE      170910 300  210000-210500   00     150.68  984.9    129.53     2.11     1.75
THULE      170910 300  210500-211000   00     153.11  984.9    131.65     3.78     3.42
THULE      170910 300  211000-211500   00     152.06  984.9    130.74     3.06     2.69
THULE      170910 300  211500-212000   00     151.57  984.9    130.27     2.70     2.33
THULE      170910 300  212000-212500   00     150.56  984.9    129.43     2.04     1.66
THULE      170910 300  212500-213000   00     151.62  984.9    130.36     2.77     2.38
THULE      170910 300  213000-213500   00     153.52  984.9    132.01     4.07     3.68
THULE      170910 300  213500-214000   00     152.10  984.9    130.75     3.08     2.68
THULE      170910 300  214000-214500   00     150.68  984.9    129.51     2.10     1.70
THULE      170910 300  214500-215000   00     153.18  984.9    131.71     3.83     3.42
THULE      170910 300  215000-215500   00     152.06  984.9    130.75     3.07     2.66
THULE      170910 300  215500-220000   00     150.57  984.9    129.49     2.08     1.66
THULE      170910 300  220000-220500   00     152.30  985.0    131.03     3.30     2.88
THULE      170910 300  220500-221000   00     151.68  985.0    130.47     2.86     2.43
THULE      170910 300  221000-221500   00     152.33  985.0    131.09     3.34     2.91
THULE      170910 300  221500-222000   00     152.74  985.1    131.49     3.66     3.22
THULE      170910 300  222000-222500   00     149.67  985.1    128.87     1.59     1.14
THULE      170910 300  222500-223000   00     149.35  985.1    128.58     1.36     0.91
THULE      170910 300  223000-223500   00     149.34  985.1    128.63     1.40     0.94
THULE      170910 300  223500-224000   00     151.99  985.1    130.88     3.18     2.72
THULE      170910 300  224000-224500   00     153.60  985.2    132.32     4.31     3.84
THULE      170910 300  224500-225000   00     151.55  985.2    130.54     2.91     2.44
THULE      170910 300  225000-225500   00     149.56  985.2    128.82     1.55     1.07
THULE      170910 300  225500-230000   00     151.18  985.1    130.21     2.65     2.17
THULE      170910 300  230000-230500   00     147.95  985.2    127.44     0.47    -0.02
THULE      170910 300  230500-231000   00     151.36  985.1    130.35     2.76     2.27
THULE      170910 300  231000-231500   00     152.26  985.1    131.13     3.37     2.87
THULE      170910 300  231500-232000   00     149.99  985.1    129.16     1.82     1.31
THULE      170910 300  232000-232500   00     151.17  985.1    130.16     2.61     2.10
THULE      170910 300  232500-233000   00     151.95  985.1    130.83     3.14     2.62
THULE      170910 300  233000-233500   00     152.39  985.1    131.22     3.44     2.92
THULE      170910 300  233500-234000   00     150.21  985.1    129.37     1.98     1.45
THULE      170910 300  234000-234500   00     151.61  985.2    130.64     2.99     2.46
THULE      170910 300  234500-235000   00     151.54  985.3    130.67     3.01     2.47
THULE      170910 300  235000-235500   00     151.69  985.4    130.90     3.19     2.65
THULE      170910 300  235500-240000   00     148.83  985.5    128.50     1.30     0.75
THULE      170911 300  000000-000500   00     147.68  985.5    127.56     0.56     0.01
THULE      170911 300  000500-001000   00     151.01  985.6    130.47     2.85     2.29
THULE      170911 300  001000-001500   00     148.11  985.6    128.00     0.90     0.33
THULE      170911 300  001500-002000   00     149.70  985.6    129.38     2.00     1.43
THULE      170911 300  002000-002500   00     147.11  985.6    127.18     0.26    -0.32
THULE      170911 300  002500-003000   00     149.16  985.7    128.98     1.68     1.10
THULE      170911 300  003000-003500   00     148.53  985.7    128.42     1.24     0.65
THULE      170911 300  003500-004000   00     148.24  985.6    128.15     1.03     0.44
THULE      170911 300  004000-004500   00     148.42  985.7    128.32     1.16     0.56
THULE      170911 300  004500-005000   00     149.81  985.6    129.43     2.04     1.44
THULE      170911 300  005000-005500   00     147.53  985.6    127.46     0.48    -0.13
THULE      170911 300  005500-010000   00     147.69  985.6    127.59     0.59    -0.02
