IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170910 300  142500-143000   00     396.40  722.2    417.40    -0.12    -9999
IRKUTSK3   170910 300  143000-143500   00     396.00  722.2    417.00    -0.21    -9999
IRKUTSK3   170910 300  143500-144000   00     394.20  722.2    415.20    -0.64    -9999
IRKUTSK3   170910 300  144000-144500   00     395.80  722.2    417.00    -0.21    -9999
IRKUTSK3   170910 300  144500-145000   00     394.80  722.3    416.00    -0.45    -9999
IRKUTSK3   170910 300  145000-145500   00     398.60  722.3    420.00     0.50    -9999
IRKUTSK3   170910 300  145500-150000   00     395.80  722.3    417.20    -0.17    -9999
IRKUTSK3   170910 300  150000-150500   00     396.60  722.4    418.00     0.03    -9999
IRKUTSK3   170910 300  150500-151000   00     394.20  722.3    415.80    -0.50    -9999
IRKUTSK3   170910 300  151000-151500   00     395.80  722.3    417.20    -0.17    -9999
IRKUTSK3   170910 300  151500-152000   00     393.60  722.3    414.80    -0.74    -9999
IRKUTSK3   170910 300  152000-152500   00     397.80  722.3    419.40     0.36    -9999
IRKUTSK3   170910 300  152500-153000   00     397.80  722.3    419.40     0.36    -9999
IRKUTSK3   170910 300  153000-153500   00     401.20  722.3    423.20     1.27    -9999
IRKUTSK3   170910 300  153500-154000   00     399.40  722.3    421.20     0.79    -9999
IRKUTSK3   170910 300  154000-154500   00     395.80  722.3    417.40    -0.12    -9999
IRKUTSK3   170910 300  154500-155000   00     397.80  722.3    419.20     0.31    -9999
IRKUTSK3   170910 300  155000-155500   00     396.00  722.4    417.60    -0.07    -9999
IRKUTSK3   170910 300  155500-160000   00     397.60  722.3    419.40     0.36    -9999
IRKUTSK3   170910 300  160000-160500   00     395.40  722.3    417.00    -0.21    -0.61
IRKUTSK3   170910 300  160500-161000   00     399.40  722.3    421.00     0.74     0.30
IRKUTSK3   170910 300  161000-161500   00     404.60  722.2    425.80     1.89     1.42
IRKUTSK3   170910 300  161500-162000   00     403.20  722.2    424.80     1.65     1.15
IRKUTSK3   170910 300  162000-162500   00     405.60  722.2    427.00     2.18     1.65
IRKUTSK3   170910 300  162500-163000   00     403.40  722.2    424.60     1.61     1.05
IRKUTSK3   170910 300  163000-163500   00     402.60  722.2    423.80     1.41     0.82
IRKUTSK3   170910 300  163500-164000   00     403.80  722.2    425.40     1.80     1.18
IRKUTSK3   170910 300  164000-164500   00     406.40  722.1    428.00     2.42     1.77
IRKUTSK3   170910 300  164500-165000   00     403.40  722.1    424.40     1.56     0.89
IRKUTSK3   170910 300  165000-165500   00     404.00  722.1    425.00     1.70     1.00
IRKUTSK3   170910 300  165500-170000   00     402.00  722.1    423.20     1.27     0.54
IRKUTSK3   170910 300  170000-170500   00     405.00  722.1    426.20     1.99     1.23
IRKUTSK3   170910 300  170500-171000   00     403.60  722.1    424.60     1.61     0.82
IRKUTSK3   170910 300  171000-171500   00     403.80  722.1    424.80     1.65     0.84
IRKUTSK3   170910 300  171500-172000   00     405.20  722.1    426.40     2.04     1.20
IRKUTSK3   170910 300  172000-172500   00     407.00  722.1    428.60     2.56     1.69
IRKUTSK3   170910 300  172500-173000   00     408.60  722.1    430.00     2.90     2.01
IRKUTSK3   170910 300  173000-173500   00     405.40  722.0    426.40     2.04     1.12
IRKUTSK3   170910 300  173500-174000   00     403.00  722.0    423.80     1.41     0.46
IRKUTSK3   170910 300  174000-174500   00     404.00  722.0    425.00     1.70     0.73
IRKUTSK3   170910 300  174500-175000   00     400.00  722.0    421.00     0.74    -0.26
IRKUTSK3   170910 300  175000-175500   00     403.40  722.0    424.20     1.51     0.49
IRKUTSK3   170910 300  175500-180000   00     407.00  722.0    427.80     2.37     1.32
IRKUTSK3   170910 300  180000-180500   00     405.40  722.0    426.40     2.04     0.97
IRKUTSK3   170910 300  180500-181000   00     403.80  722.0    424.60     1.61     0.51
IRKUTSK3   170910 300  181000-181500   00     402.60  722.0    423.40     1.32     0.20
IRKUTSK3   170910 300  181500-182000   00     401.60  722.0    422.40     1.08    -0.07
IRKUTSK3   170910 300  182000-182500   00     403.40  722.0    424.20     1.51     0.34
IRKUTSK3   170910 300  182500-183000   00     406.20  722.0    427.40     2.28     1.09
IRKUTSK3   170910 300  183000-183500   00     404.40  722.0    425.40     1.80     0.58
IRKUTSK3   170910 300  183500-184000   00     401.00  722.0    421.80     0.94    -0.30
IRKUTSK3   170910 300  184000-184500   00     401.60  722.0    422.40     1.08    -0.18
IRKUTSK3   170910 300  184500-185000   00     403.60  722.1    424.60     1.61     0.32
IRKUTSK3   170910 300  185000-185500   00     402.60  722.0    423.60     1.37     0.06
IRKUTSK3   170910 300  185500-190000   00     401.40  722.1    422.20     1.03    -0.30
IRKUTSK3   170910 300  190000-190500   00     404.40  722.0    425.40     1.80     0.45
IRKUTSK3   170910 300  190500-191000   00     403.80  722.1    424.80     1.65     0.28
IRKUTSK3   170910 300  191000-191500   00     404.00  722.1    425.20     1.75     0.36
IRKUTSK3   170910 300  191500-192000   00     403.00  722.1    424.20     1.51     0.09
IRKUTSK3   170910 300  192000-192500   00     403.40  722.1    424.80     1.65     0.21
IRKUTSK3   170910 300  192500-193000   00     404.20  722.1    425.40     1.80     0.34
IRKUTSK3   170910 300  193000-193500   00     405.60  722.1    427.00     2.18     0.70
IRKUTSK3   170910 300  193500-194000   00     407.00  722.1    428.20     2.47     0.97
IRKUTSK3   170910 300  194000-194500   00     402.80  722.1    423.80     1.41    -0.11
IRKUTSK3   170910 300  194500-195000   00     404.80  722.1    425.80     1.89     0.35
IRKUTSK3   170910 300  195000-195500   00     404.00  722.0    424.80     1.65     0.10
IRKUTSK3   170910 300  195500-200000   00     406.20  722.0    427.20     2.23     0.66
IRKUTSK3   170910 300  200000-200500   00     404.80  722.0    426.00     1.94     0.35
IRKUTSK3   170910 300  200500-201000   00     403.80  722.0    424.60     1.61     0.00
IRKUTSK3   170910 300  201000-201500   00     405.20  722.0    426.60     2.08     0.45
IRKUTSK3   170910 300  201500-202000   00     400.80  722.0    421.60     0.89    -0.76
IRKUTSK3   170910 300  202000-202500   00     403.20  722.0    424.20     1.51    -0.15
IRKUTSK3   170910 300  202500-203000   00     404.80  722.0    425.80     1.89     0.21
IRKUTSK3   170910 300  203000-203500   00     405.60  722.0    426.60     2.08     0.38
IRKUTSK3   170910 300  203500-204000   00     405.40  722.0    426.40     2.04     0.33
IRKUTSK3   170910 300  204000-204500   00     404.80  722.0    425.60     1.84     0.11
IRKUTSK3   170910 300  204500-205000   00     405.60  722.0    426.60     2.08     0.33
IRKUTSK3   170910 300  205000-205500   00     401.80  722.1    422.80     1.17    -0.59
