MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    179.16      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    170910 300  144500-145000   00     170.32  986.9    178.98    -0.10    -9999
MAGADAN    170910 300  145000-145500   00     169.58  986.9    178.22    -0.52    -9999
MAGADAN    170910 300  145500-150000   00     170.99  986.9    179.74     0.32    -9999
MAGADAN    170910 300  150000-150500   00     171.05  986.9    179.80     0.36    -9999
MAGADAN    170910 300  150500-151000   00     169.12  986.9    177.79    -0.76    -9999
MAGADAN    170910 300  151000-151500   00     171.32  987.0    180.17     0.57    -9999
MAGADAN    170910 300  151500-152000   00     170.82  987.0    179.67     0.29    -9999
MAGADAN    170910 300  152000-152500   00     171.23  987.0    180.12     0.54    -9999
MAGADAN    170910 300  152500-153000   00     169.78  987.1    178.64    -0.29    -9999
MAGADAN    170910 300  153000-153500   00     170.06  987.1    179.03    -0.07    -9999
MAGADAN    170910 300  153500-154000   00     169.94  987.2    178.95    -0.12    -9999
MAGADAN    170910 300  154000-154500   00     169.73  987.2    178.76    -0.22    -9999
MAGADAN    170910 300  154500-155000   00     169.92  987.2    178.98    -0.10    -9999
MAGADAN    170910 300  155000-155500   00     171.28  987.2    180.46     0.73    -9999
MAGADAN    170910 300  155500-160000   00     171.13  987.3    180.33     0.66    -9999
MAGADAN    170910 300  160000-160500   00     171.76  987.3    181.00     1.03     0.79
MAGADAN    170910 300  160500-161000   00     173.31  987.3    182.67     1.96     1.70
MAGADAN    170910 300  161000-161500   00     168.78  987.3    177.94    -0.68    -0.97
MAGADAN    170910 300  161500-162000   00     170.38  987.4    179.71     0.31    -0.01
MAGADAN    170910 300  162000-162500   00     172.72  987.4    182.21     1.70     1.36
MAGADAN    170910 300  162500-163000   00     172.13  987.5    181.65     1.39     1.02
MAGADAN    170910 300  163000-163500   00     173.07  987.5    182.70     1.98     1.59
MAGADAN    170910 300  163500-164000   00     173.97  987.5    183.67     2.52     2.10
MAGADAN    170910 300  164000-164500   00     173.52  987.6    183.25     2.28     1.83
MAGADAN    170910 300  164500-165000   00     174.38  987.6    184.20     2.81     2.34
MAGADAN    170910 300  165000-165500   00     173.32  987.6    183.08     2.19     1.69
MAGADAN    170910 300  165500-170000   00     174.67  987.6    184.48     2.97     2.45
MAGADAN    170910 300  170000-170500   00     174.65  987.6    184.51     2.99     2.44
MAGADAN    170910 300  170500-171000   00     173.97  987.6    183.79     2.59     2.01
MAGADAN    170910 300  171000-171500   00     172.73  987.6    182.51     1.87     1.27
MAGADAN    170910 300  171500-172000   00     173.91  987.7    183.76     2.57     1.94
MAGADAN    170910 300  172000-172500   00     173.70  987.7    183.58     2.47     1.82
MAGADAN    170910 300  172500-173000   00     175.05  987.7    185.05     3.29     2.61
MAGADAN    170910 300  173000-173500   00     174.95  987.8    185.00     3.26     2.56
MAGADAN    170910 300  173500-174000   00     174.37  987.8    184.39     2.92     2.19
MAGADAN    170910 300  174000-174500   00     174.81  987.7    184.84     3.17     2.42
MAGADAN    170910 300  174500-175000   00     172.46  987.7    182.32     1.77     0.99
MAGADAN    170910 300  175000-175500   00     175.39  987.7    185.45     3.51     2.70
MAGADAN    170910 300  175500-180000   00     173.50  987.8    183.48     2.41     1.58
MAGADAN    170910 300  180000-180500   00     173.96  987.8    184.00     2.70     1.84
MAGADAN    170910 300  180500-181000   00     174.52  987.8    184.62     3.05     2.17
MAGADAN    170910 300  181000-181500   00     174.19  987.8    184.28     2.86     1.95
MAGADAN    170910 300  181500-182000   00     172.98  987.9    183.04     2.17     1.24
MAGADAN    170910 300  182000-182500   00     173.49  987.9    183.65     2.51     1.55
MAGADAN    170910 300  182500-183000   00     170.94  988.0    181.01     1.03     0.05
MAGADAN    170910 300  183000-183500   00     171.73  988.0    181.93     1.55     0.54
MAGADAN    170910 300  183500-184000   00     172.97  988.1    183.30     2.31     1.28
MAGADAN    170910 300  184000-184500   00     173.26  988.1    183.64     2.50     1.44
MAGADAN    170910 300  184500-185000   00     173.52  988.1    183.94     2.67     1.59
MAGADAN    170910 300  185000-185500   00     171.02  988.1    181.35     1.22     0.11
MAGADAN    170910 300  185500-190000   00     172.83  988.2    183.32     2.33     1.20
MAGADAN    170910 300  190000-190500   00     172.60  988.2    183.15     2.23     1.07
MAGADAN    170910 300  190500-191000   00     171.80  988.3    182.33     1.77     0.59
MAGADAN    170910 300  191000-191500   00     173.15  988.3    183.80     2.59     1.38
MAGADAN    170910 300  191500-192000   00     173.69  988.3    184.37     2.91     1.68
MAGADAN    170910 300  192000-192500   00     172.42  988.3    183.08     2.19     0.93
MAGADAN    170910 300  192500-193000   00     172.16  988.4    182.88     2.08     0.80
MAGADAN    170910 300  193000-193500   00     170.96  988.5    181.69     1.41     0.10
MAGADAN    170910 300  193500-194000   00     170.23  988.5    180.96     1.01    -0.32
MAGADAN    170910 300  194000-194500   00     172.66  988.5    183.51     2.43     1.07
MAGADAN    170910 300  194500-195000   00     171.51  988.5    182.29     1.75     0.37
MAGADAN    170910 300  195000-195500   00     170.30  988.5    181.09     1.08    -0.33
MAGADAN    170910 300  195500-200000   00     170.11  988.6    180.91     0.98    -0.45
MAGADAN    170910 300  200000-200500   00     172.23  988.6    183.20     2.25     0.79
MAGADAN    170910 300  200500-201000   00     169.74  988.6    180.57     0.79    -0.69
MAGADAN    170910 300  201000-201500   00     173.92  988.6    185.03     3.28     1.77
MAGADAN    170910 300  201500-202000   00     172.21  988.7    183.32     2.33     0.80
MAGADAN    170910 300  202000-202500   00     169.96  988.7    180.98     1.02    -0.53
MAGADAN    170910 300  202500-203000   00     172.74  988.7    183.95     2.67     1.09
MAGADAN    170910 300  203000-203500   00     171.79  988.8    182.97     2.13     0.53
MAGADAN    170910 300  203500-204000   00     170.87  988.8    182.02     1.60    -0.03
MAGADAN    170910 300  204000-204500   00     170.83  988.8    181.99     1.58    -0.07
MAGADAN    170910 300  204500-205000   00     171.81  988.8    183.10     2.20     0.52
MAGADAN    170910 300  205000-205500   00     172.34  988.9    183.73     2.55     0.85
MAGADAN    170910 300  205500-210000   00     171.01  988.9    182.36     1.79     0.06
MAGADAN    170910 300  210000-210500   00     170.10  988.9    181.42     1.26    -0.49
MAGADAN    170910 300  210500-211000   00     173.09  989.0    184.66     3.07     1.30
MAGADAN    170910 300  211000-211500   00     171.18  989.0    182.69     1.97     0.17
MAGADAN    170910 300  211500-212000   00     172.74  989.1    184.42     2.94     1.12
MAGADAN    170910 300  212000-212500   00     170.61  989.1    182.19     1.69    -0.16
MAGADAN    170910 300  212500-213000   00     171.78  989.1    183.43     2.38     0.51
MAGADAN    170910 300  213000-213500   00     171.96  989.1    183.63     2.50     0.61
MAGADAN    170910 300  213500-214000   00     170.11  989.2    181.72     1.43    -0.49
MAGADAN    170910 300  214000-214500   00     170.96  989.2    182.68     1.97     0.03
MAGADAN    170910 300  214500-215000   00     172.12  989.2    183.93     2.66     0.69
MAGADAN    170910 300  215000-215500   00     170.49  989.2    182.22     1.71    -0.28
MAGADAN    170910 300  215500-220000   00     171.98  989.3    183.88     2.64     0.63
MAGADAN    170910 300  220000-220500   00     171.78  989.4    183.75     2.56     0.52
MAGADAN    170910 300  220500-221000   00     171.87  989.4    183.93     2.67     0.61
MAGADAN    170910 300  221000-221500   00     171.87  989.4    183.95     2.68     0.59
MAGADAN    170910 300  221500-222000   00     171.97  989.4    184.07     2.74     0.63
MAGADAN    170910 300  222000-222500   00     170.30  989.4    182.24     1.72    -0.41
MAGADAN    170910 300  222500-223000   00     169.91  989.4    181.77     1.46    -0.70
MAGADAN    170910 300  223000-223500   00     170.37  989.3    182.23     1.72    -0.46
MAGADAN    170910 300  223500-224000   00     171.82  989.3    183.72     2.55     0.35
MAGADAN    170910 300  224000-224500   00     171.14  989.3    182.97     2.13    -0.10
MAGADAN    170910 300  224500-225000   00     172.25  989.3    184.17     2.80     0.55
MAGADAN    170910 300  225000-225500   00     168.76  989.3    180.44     0.71    -1.57
MAGADAN    170910 300  225500-230000   00     170.17  989.3    182.01     1.59    -0.71
MAGADAN    170910 300  230000-230500   00     169.92  989.4    181.79     1.47    -0.85
MAGADAN    170910 300  230500-231000   00     171.15  989.4    183.10     2.20    -0.15
MAGADAN    170910 300  231000-231500   00     171.11  989.4    183.05     2.17    -0.20
MAGADAN    170910 300  231500-232000   00     172.04  989.4    184.03     2.72     0.33
MAGADAN    170910 300  232000-232500   00     172.68  989.4    184.73     3.11     0.69
MAGADAN    170910 300  232500-233000   00     172.69  989.3    184.64     3.06     0.62
MAGADAN    170910 300  233000-233500   00     173.36  989.3    185.33     3.45     0.99
MAGADAN    170910 300  233500-234000   00     169.58  989.3    181.32     1.21    -1.28
MAGADAN    170910 300  234000-234500   00     171.70  989.3    183.58     2.47    -0.04
MAGADAN    170910 300  234500-235000   00     172.36  989.3    184.31     2.87     0.34
MAGADAN    170910 300  235000-235500   00     172.10  989.3    183.99     2.70     0.15
MAGADAN    170910 300  235500-240000   00     172.16  989.3    184.04     2.73     0.15
MAGADAN    170911 300  000000-000500   00     173.20  989.3    185.17     3.36     0.76
MAGADAN    170911 300  000500-001000   00     172.47  989.2    184.33     2.89    -9999
MAGADAN    170911 300  001000-001500   00     170.20  989.2    181.89     1.53    -9999
MAGADAN    170911 300  001500-002000   00     170.46  989.2    182.16     1.68    -9999
MAGADAN    170911 300  002000-002500   00     170.74  989.2    182.44     1.83    -9999
MAGADAN    170911 300  002500-003000   00     170.86  989.2    182.52     1.88    -9999
MAGADAN    170911 300  003000-003500   00     174.88  989.1    186.74     4.23    -9999
MAGADAN    170911 300  003500-004000   00     170.33  989.1    181.85     1.50    -9999
MAGADAN    170911 300  004000-004500   00     171.83  989.1    183.48     2.42    -9999
MAGADAN    170911 300  004500-005000   00     172.96  989.1    184.71     3.10    -9999
MAGADAN    170911 300  005000-005500   00     170.98  989.1    182.59     1.91    -9999
MAGADAN    170911 300  005500-010000   00     173.59  989.1    185.37     3.47    -9999
