TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.74     % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.72      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 170910 300  144500-145000   00     135.20  968.3    118.01     1.10    -9999
TERREADELI 170910 300  145000-145500   00     133.87  968.2    116.77     0.05    -9999
TERREADELI 170910 300  145500-150000   00     132.87  968.4    116.06    -0.56    -9999
TERREADELI 170910 300  150000-150500   00     133.20  968.5    116.44    -0.24    -9999
TERREADELI 170910 300  150500-151000   00     132.73  968.6    116.15    -0.49    -9999
TERREADELI 170910 300  151000-151500   00     133.13  968.7    116.55    -0.15    -9999
TERREADELI 170910 300  151500-152000   00     134.40  968.7    117.68     0.82    -9999
TERREADELI 170910 300  152000-152500   00     132.13  968.6    115.60    -0.96    -9999
TERREADELI 170910 300  152500-153000   00     133.87  968.7    117.24     0.44    -9999
TERREADELI 170910 300  153000-153500   00     133.87  968.6    117.12     0.34    -9999
TERREADELI 170910 300  153500-154000   00     133.00  968.6    116.38    -0.29    -9999
TERREADELI 170910 300  154000-154500   00     132.80  968.5    116.14    -0.50    -9999
TERREADELI 170910 300  154500-155000   00     132.07  968.7    115.68    -0.89    -9999
TERREADELI 170910 300  155000-155500   00     133.80  968.6    117.11     0.34    -9999
TERREADELI 170910 300  155500-160000   00     134.00  968.7    117.33     0.52    -9999
TERREADELI 170910 300  160000-160500   00     135.40  968.6    118.48     1.51     1.39
TERREADELI 170910 300  160500-161000   00     134.73  968.7    117.95     1.05     0.92
TERREADELI 170910 300  161000-161500   00     132.00  968.8    115.67    -0.90    -1.04
TERREADELI 170910 300  161500-162000   00     132.87  968.7    116.36    -0.31    -0.46
TERREADELI 170910 300  162000-162500   00     132.60  968.7    116.13    -0.51    -0.67
TERREADELI 170910 300  162500-163000   00     135.20  968.7    118.38     1.42     1.25
TERREADELI 170910 300  163000-163500   00     133.87  968.7    117.19     0.40     0.23
TERREADELI 170910 300  163500-164000   00     134.93  968.7    118.12     1.20     1.02
TERREADELI 170910 300  164000-164500   00     135.33  968.6    118.45     1.48     1.29
TERREADELI 170910 300  164500-165000   00     136.67  968.6    119.57     2.44     2.24
TERREADELI 170910 300  165000-165500   00     139.80  968.7    122.46     4.92     4.71
TERREADELI 170910 300  165500-170000   00     138.33  968.7    121.12     3.77     3.55
TERREADELI 170910 300  170000-170500   00     140.07  968.6    122.54     4.99     4.76
TERREADELI 170910 300  170500-171000   00     139.40  968.6    121.99     4.51     4.27
TERREADELI 170910 300  171000-171500   00     140.00  968.6    122.49     4.94     4.70
TERREADELI 170910 300  171500-172000   00     139.47  968.6    122.00     4.52     4.27
TERREADELI 170910 300  172000-172500   00     140.67  968.5    123.00     5.38     5.12
TERREADELI 170910 300  172500-173000   00     139.53  968.5    122.01     4.53     4.26
TERREADELI 170910 300  173000-173500   00     139.60  968.5    122.09     4.60     4.32
TERREADELI 170910 300  173500-174000   00     138.67  968.5    121.25     3.88     3.59
TERREADELI 170910 300  174000-174500   00     140.27  968.5    122.67     5.10     4.80
TERREADELI 170910 300  174500-175000   00     140.27  968.6    122.69     5.12     4.82
TERREADELI 170910 300  175000-175500   00     141.53  968.5    123.78     6.05     5.74
TERREADELI 170910 300  175500-180000   00     140.20  968.6    122.64     5.07     4.75
TERREADELI 170910 300  180000-180500   00     140.60  968.5    122.91     5.31     4.98
TERREADELI 170910 300  180500-181000   00     142.00  968.5    124.11     6.33     5.99
TERREADELI 170910 300  181000-181500   00     140.87  968.4    123.05     5.42     5.08
TERREADELI 170910 300  181500-182000   00     141.33  968.4    123.48     5.79     5.44
TERREADELI 170910 300  182000-182500   00     140.20  968.3    122.42     4.88     4.52
TERREADELI 170910 300  182500-183000   00     141.00  968.3    123.09     5.46     5.09
TERREADELI 170910 300  183000-183500   00     140.33  968.2    122.44     4.90     4.52
TERREADELI 170910 300  183500-184000   00     140.40  968.3    122.54     4.99     4.61
TERREADELI 170910 300  184000-184500   00     140.67  968.2    122.73     5.15     4.76
TERREADELI 170910 300  184500-185000   00     138.20  968.1    120.50     3.24     2.84
TERREADELI 170910 300  185000-185500   00     138.20  968.1    120.48     3.22     2.81
TERREADELI 170910 300  185500-190000   00     142.20  968.1    123.92     6.17     5.75
TERREADELI 170910 300  190000-190500   00     141.93  968.1    123.71     5.99     5.57
TERREADELI 170910 300  190500-191000   00     139.80  968.1    121.87     4.42     3.99
TERREADELI 170910 300  191000-191500   00     139.00  968.1    121.20     3.84     3.40
TERREADELI 170910 300  191500-192000   00     139.73  968.1    121.84     4.39     3.94
TERREADELI 170910 300  192000-192500   00     140.53  968.1    122.49     4.95     4.50
TERREADELI 170910 300  192500-193000   00     138.40  968.1    120.61     3.33     2.87
TERREADELI 170910 300  193000-193500   00     139.00  968.0    121.11     3.76     3.29
TERREADELI 170910 300  193500-194000   00     139.80  968.1    121.83     4.38     3.90
TERREADELI 170910 300  194000-194500   00     140.60  968.0    122.45     4.91     4.43
TERREADELI 170910 300  194500-195000   00     139.33  968.1    121.42     4.03     3.54
TERREADELI 170910 300  195000-195500   00     139.13  968.2    121.37     3.98     3.48
TERREADELI 170910 300  195500-200000   00     141.00  968.1    122.92     5.32     4.81
TERREADELI 170910 300  200000-200500   00     139.53  968.2    121.69     4.26     3.75
TERREADELI 170910 300  200500-201000   00     138.27  968.2    120.59     3.31     2.79
TERREADELI 170910 300  201000-201500   00     140.13  968.2    122.29     4.77     4.24
TERREADELI 170910 300  201500-202000   00     139.27  968.3    121.58     4.16     3.63
TERREADELI 170910 300  202000-202500   00     140.20  968.3    122.37     4.84     4.30
TERREADELI 170910 300  202500-203000   00     141.87  968.2    123.73     6.00     5.45
TERREADELI 170910 300  203000-203500   00     138.47  968.1    120.69     3.40     2.84
TERREADELI 170910 300  203500-204000   00     139.27  968.2    121.51     4.10     3.54
TERREADELI 170910 300  204000-204500   00     139.87  968.3    122.13     4.63     4.06
TERREADELI 170910 300  204500-205000   00     139.73  968.3    122.01     4.53     3.95
TERREADELI 170910 300  205000-205500   00     139.80  968.3    122.04     4.56     3.98
TERREADELI 170910 300  205500-210000   00     140.53  968.3    122.68     5.11     4.52
TERREADELI 170910 300  210000-210500   00     138.73  968.4    121.19     3.83     3.23
TERREADELI 170910 300  210500-211000   00     137.20  968.4    119.89     2.72     2.12
TERREADELI 170910 300  211000-211500   00     138.47  968.5    121.07     3.73     3.12
TERREADELI 170910 300  211500-212000   00     138.87  968.6    121.49     4.09     3.47
TERREADELI 170910 300  212000-212500   00     137.67  968.7    120.52     3.25     2.63
TERREADELI 170910 300  212500-213000   00     138.53  968.7    121.30     3.92     3.29
TERREADELI 170910 300  213000-213500   00     139.07  968.7    121.77     4.32     3.68
TERREADELI 170910 300  213500-214000   00     138.07  968.7    120.94     3.61     2.97
TERREADELI 170910 300  214000-214500   00     138.47  968.7    121.29     3.92     3.27
TERREADELI 170910 300  214500-215000   00     138.27  968.9    121.23     3.87     3.21
TERREADELI 170910 300  215000-215500   00     137.27  968.8    120.28     3.06     2.40
TERREADELI 170910 300  215500-220000   00     137.40  968.9    120.45     3.20     2.53
