TIXIE-BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE-BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE-BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE-BAY  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TIXIE-BAY  PRE-INCREASE AVERAGE COUNTING RATE    101.33      COUNTS PER SECOND
TIXIE-BAY  TIME INTERVALS    300         3600     
TIXIE-BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE-BAY  170910 300  141000-141500   00      94.35 1021.1    101.33     0.00    -9999
TIXIE-BAY  170910 300  141500-142000   00      94.05 1021.1    101.04    -0.29    -9999
TIXIE-BAY  170910 300  142000-142500   00      93.44 1021.0    100.35    -0.97    -9999
TIXIE-BAY  170910 300  142500-143000   00      94.80 1021.0    101.81     0.47    -9999
TIXIE-BAY  170910 300  143000-143500   00      94.35 1021.0    101.36     0.03    -9999
TIXIE-BAY  170910 300  143500-144000   00      95.01 1021.0    102.08     0.74    -9999
TIXIE-BAY  170910 300  144000-144500   00      94.05 1021.0    101.01    -0.32    -9999
TIXIE-BAY  170910 300  144500-145000   00      93.92 1021.0    100.85    -0.48    -9999
TIXIE-BAY  170910 300  145000-145500   00      94.64 1021.0    101.63     0.29    -9999
TIXIE-BAY  170910 300  145500-150000   00      94.69 1020.9    101.63     0.29    -9999
TIXIE-BAY  170910 300  150000-150500   00      94.03 1020.9    100.93    -0.40    -9999
TIXIE-BAY  170910 300  150500-151000   00      94.80 1021.0    101.79     0.45    -9999
TIXIE-BAY  170910 300  151000-151500   00      94.43 1021.0    101.41     0.08    -9999
TIXIE-BAY  170910 300  151500-152000   00      94.24 1021.0    101.23    -0.11    -9999
TIXIE-BAY  170910 300  152000-152500   00      93.49 1021.0    100.35    -0.97    -9999
TIXIE-BAY  170910 300  152500-153000   00      94.96 1021.0    101.95     0.60    -9999
TIXIE-BAY  170910 300  153000-153500   00      94.32 1020.9    101.28    -0.05    -9999
TIXIE-BAY  170910 300  153500-154000   00      94.69 1020.9    101.63     0.29    -9999
TIXIE-BAY  170910 300  154000-154500   00      94.53 1020.9    101.47     0.13    -9999
TIXIE-BAY  170910 300  154500-155000   00      94.19 1020.9    101.09    -0.24    -9999
TIXIE-BAY  170910 300  155000-155500   00      93.04 1020.8     99.79    -1.53    -9999
TIXIE-BAY  170910 300  155500-160000   00      96.05 1020.9    103.07     1.71    -9999
TIXIE-BAY  170910 300  160000-160500   00      92.24 1020.9     99.01    -2.29    -2.49
TIXIE-BAY  170910 300  160500-161000   00      94.21 1020.9    101.12    -0.21    -0.43
TIXIE-BAY  170910 300  161000-161500   00      95.39 1020.9    102.35     1.00     0.77
TIXIE-BAY  170910 300  161500-162000   00      96.24 1020.8    103.25     1.89     1.64
TIXIE-BAY  170910 300  162000-162500   00      94.67 1020.8    101.49     0.16    -0.10
TIXIE-BAY  170910 300  162500-163000   00      94.43 1020.8    101.25    -0.08    -0.36
TIXIE-BAY  170910 300  163000-163500   00      95.71 1020.8    102.64     1.29     1.00
TIXIE-BAY  170910 300  163500-164000   00      96.91 1020.8    103.92     2.55     2.24
TIXIE-BAY  170910 300  164000-164500   00      96.72 1020.8    103.71     2.34     2.02
TIXIE-BAY  170910 300  164500-165000   00      97.87 1020.8    104.96     3.58     3.24
TIXIE-BAY  170910 300  165000-165500   00      98.88 1020.8    106.05     4.66     4.31
TIXIE-BAY  170910 300  165500-170000   00      97.84 1020.8    104.91     3.53     3.16
TIXIE-BAY  170910 300  170000-170500   00      97.55 1020.8    104.61     3.24     2.86
TIXIE-BAY  170910 300  170500-171000   00      97.68 1020.8    104.77     3.39     2.99
TIXIE-BAY  170910 300  171000-171500   00      98.03 1020.8    105.15     3.76     3.35
TIXIE-BAY  170910 300  171500-172000   00      98.88 1020.8    106.08     4.68     4.25
TIXIE-BAY  170910 300  172000-172500   00      97.39 1020.8    104.48     3.10     2.66
TIXIE-BAY  170910 300  172500-173000   00      96.64 1020.9    103.71     2.34     1.88
TIXIE-BAY  170910 300  173000-173500   00      98.24 1020.9    105.41     4.02     3.55
TIXIE-BAY  170910 300  173500-174000   00      96.96 1020.9    104.03     2.66     2.17
TIXIE-BAY  170910 300  174000-174500   00      96.91 1020.9    104.00     2.63     2.13
TIXIE-BAY  170910 300  174500-175000   00      98.40 1020.9    105.65     4.26     3.75
TIXIE-BAY  170910 300  175000-175500   00      99.12 1020.9    106.43     5.03     4.50
TIXIE-BAY  170910 300  175500-180000   00      97.47 1021.0    104.64     3.26     2.72
TIXIE-BAY  170910 300  180000-180500   00      97.95 1021.0    105.15     3.76     3.20
TIXIE-BAY  170910 300  180500-181000   00      96.03 1020.9    103.07     1.71     1.14
TIXIE-BAY  170910 300  181000-181500   00      98.05 1020.9    105.23     3.84     3.26
TIXIE-BAY  170910 300  181500-182000   00      97.15 1020.9    104.27     2.89     2.29
TIXIE-BAY  170910 300  182000-182500   00      96.99 1020.8    104.03     2.66     2.05
TIXIE-BAY  170910 300  182500-183000   00      98.16 1020.8    105.25     3.87     3.24
TIXIE-BAY  170910 300  183000-183500   00      98.11 1020.7    105.20     3.81     3.17
TIXIE-BAY  170910 300  183500-184000   00      97.73 1020.7    104.75     3.37     2.72
TIXIE-BAY  170910 300  184000-184500   00      97.71 1020.7    104.72     3.34     2.67
TIXIE-BAY  170910 300  184500-185000   00      98.56 1020.7    105.63     4.24     3.56
TIXIE-BAY  170910 300  185000-185500   00      97.28 1020.7    104.27     2.89     2.20
TIXIE-BAY  170910 300  185500-190000   00      96.88 1020.7    103.79     2.42     1.71
TIXIE-BAY  170910 300  190000-190500   00      97.33 1020.7    104.32     2.95     2.23
TIXIE-BAY  170910 300  190500-191000   00      97.04 1020.7    103.95     2.58     1.85
TIXIE-BAY  170910 300  191000-191500   00      97.92 1020.6    104.91     3.53     2.79
TIXIE-BAY  170910 300  191500-192000   00      98.91 1020.6    105.89     4.50     3.74
TIXIE-BAY  170910 300  192000-192500   00      98.56 1020.6    105.52     4.13     3.36
TIXIE-BAY  170910 300  192500-193000   00      97.57 1020.6    104.48     3.10     2.32
TIXIE-BAY  170910 300  193000-193500   00      98.61 1020.5    105.55     4.16     3.36
TIXIE-BAY  170910 300  193500-194000   00      97.92 1020.6    104.85     3.47     2.66
TIXIE-BAY  170910 300  194000-194500   00      98.08 1020.6    105.01     3.63     2.81
TIXIE-BAY  170910 300  194500-195000   00      97.07 1020.6    103.95     2.58     1.75
TIXIE-BAY  170910 300  195000-195500   00      98.72 1020.6    105.71     4.31     3.46
TIXIE-BAY  170910 300  195500-200000   00      98.03 1020.5    104.93     3.55     2.69
TIXIE-BAY  170910 300  200000-200500   00      95.92 1020.5    102.64     1.29     0.42
TIXIE-BAY  170910 300  200500-201000   00      97.57 1020.5    104.43     3.05     2.17
TIXIE-BAY  170910 300  201000-201500   00      98.11 1020.5    105.04     3.66     2.77
TIXIE-BAY  170910 300  201500-202000   00      97.15 1020.5    103.97     2.60     1.69
TIXIE-BAY  170910 300  202000-202500   00      97.60 1020.5    104.43     3.05     2.13
TIXIE-BAY  170910 300  202500-203000   00      96.27 1020.5    103.07     1.71     0.78
TIXIE-BAY  170910 300  203000-203500   00      94.99 1020.6    101.73     0.39    -0.55
TIXIE-BAY  170910 300  203500-204000   00      97.23 1020.7    104.16     2.79     1.84
TIXIE-BAY  170910 300  204000-204500   00      98.37 1020.7    105.39     4.00     3.03
TIXIE-BAY  170910 300  204500-205000   00      97.55 1020.7    104.51     3.13     2.15
TIXIE-BAY  170910 300  205000-205500   00      98.27 1020.7    105.31     3.92     2.93
TIXIE-BAY  170910 300  205500-210000   00      97.09 1020.7    104.03     2.66     1.66
TIXIE-BAY  170910 300  210000-210500   00      97.25 1020.7    104.24     2.87     1.86
TIXIE-BAY  170910 300  210500-211000   00      96.13 1020.8    103.07     1.71     0.69
TIXIE-BAY  170910 300  211000-211500   00      98.37 1020.8    105.49     4.10     3.07
TIXIE-BAY  170910 300  211500-212000   00      95.44 1020.8    102.32     0.97    -0.08
TIXIE-BAY  170910 300  212000-212500   00      95.79 1020.7    102.67     1.31     0.25
TIXIE-BAY  170910 300  212500-213000   00      96.53 1020.7    103.47     2.10     1.03
TIXIE-BAY  170910 300  213000-213500   00      96.85 1020.8    103.87     2.50     1.42
TIXIE-BAY  170910 300  213500-214000   00      97.09 1020.8    104.11     2.74     1.65
TIXIE-BAY  170910 300  214000-214500   00      98.03 1020.8    105.15     3.76     2.66
TIXIE-BAY  170910 300  214500-215000   00      96.85 1020.8    103.84     2.47     1.36
TIXIE-BAY  170910 300  215000-215500   00      96.56 1020.7    103.49     2.13     1.01
TIXIE-BAY  170910 300  215500-220000   00      97.44 1020.7    104.43     3.05     1.92
TIXIE-BAY  170910 300  220000-220500   00      97.33 1020.8    104.37     3.00     1.86
TIXIE-BAY  170910 300  220500-221000   00      97.65 1020.8    104.75     3.37     2.22
TIXIE-BAY  170910 300  221000-221500   00      96.85 1020.8    103.89     2.52     1.36
TIXIE-BAY  170910 300  221500-222000   00      95.57 1020.8    102.53     1.18     0.01
TIXIE-BAY  170910 300  222000-222500   00      97.28 1020.9    104.37     3.00     1.82
TIXIE-BAY  170910 300  222500-223000   00      97.07 1020.9    104.16     2.79     1.60
TIXIE-BAY  170910 300  223000-223500   00      96.08 1020.8    103.07     1.71     0.51
TIXIE-BAY  170910 300  223500-224000   00      96.13 1020.9    103.17     1.81     0.60
TIXIE-BAY  170910 300  224000-224500   00      95.92 1020.9    102.93     1.58     0.36
TIXIE-BAY  170910 300  224500-225000   00      95.52 1020.9    102.51     1.16    -0.07
TIXIE-BAY  170910 300  225000-225500   00      97.07 1020.9    104.11     2.74     1.50
TIXIE-BAY  170910 300  225500-230000   00      96.83 1020.9    103.92     2.55     1.30
TIXIE-BAY  170910 300  230000-230500   00      95.84 1020.9    102.85     1.50     0.24
TIXIE-BAY  170910 300  230500-231000   00      96.96 1021.0    104.13     2.76     1.49
TIXIE-BAY  170910 300  231000-231500   00      95.55 1021.1    102.64     1.29     0.01
TIXIE-BAY  170910 300  231500-232000   00      96.11 1021.1    103.28     1.92     0.63
TIXIE-BAY  170910 300  232000-232500   00      96.59 1021.0    103.73     2.37     1.07
TIXIE-BAY  170910 300  232500-233000   00      97.25 1021.0    104.45     3.08     1.77
TIXIE-BAY  170910 300  233000-233500   00      96.08 1021.0    103.20     1.84     0.52
TIXIE-BAY  170910 300  233500-234000   00      96.19 1021.0    103.33     1.97     0.64
TIXIE-BAY  170910 300  234000-234500   00      96.24 1021.0    103.36     2.00     0.66
TIXIE-BAY  170910 300  234500-235000   00      95.15 1021.1    102.24     0.89    -0.46
TIXIE-BAY  170910 300  235000-235500   00      96.43 1021.0    103.60     2.24     0.88
TIXIE-BAY  170910 300  235500-240000   00      97.15 1021.1    104.37     3.00     1.63
TIXIE-BAY  170911 300  000000-000500   00      96.24 1021.1    103.39     2.03     0.66
TIXIE-BAY  170911 300  000500-001000   00      97.01 1021.1    104.27     2.89     1.51
TIXIE-BAY  170911 300  001000-001500   00      96.67 1021.1    103.89     2.52     1.13
TIXIE-BAY  170911 300  001500-002000   00      98.40 1021.1    105.76     4.37     2.97
TIXIE-BAY  170911 300  002000-002500   00      96.16 1021.0    103.31     1.95     0.54
TIXIE-BAY  170911 300  002500-003000   00      96.11 1021.0    103.17     1.81     0.39
TIXIE-BAY  170911 300  003000-003500   00      96.72 1020.9    103.81     2.45     1.02
TIXIE-BAY  170911 300  003500-004000   00      95.73 1020.9    102.75     1.39    -0.04
