energy [MeV],Flux
10.0,25.83198501765827
16.665555185061688,28.572221151160612
23.331110370123376,29.65568900782076
29.99666555518506,29.884134732122753
36.66222074024675,29.68859321136359
43.32777592530844,29.2329036905377
49.99333111037012,28.637252321116623
56.65888629543181,27.992603116105844
63.3244414804935,27.20561336684703
69.98999666555518,26.469130252996415
76.65555185061687,25.694962770756575
83.32110703567857,24.959179623357247
89.98666222074024,24.20055598184153
96.65221740580193,23.524803590077468
103.31777259086363,22.7876447563322
109.9833277759253,22.120604326549618
116.648882960987,21.48978302955354
123.31443814604869,20.841136483251024
129.97999333111036,20.243232520412366
136.64554851617206,19.68971272747076
143.31110370123375,19.1149837814702
149.97665888629544,18.576768104924998
156.64221407135713,18.07237086036603
163.3077692564188,17.593292517282023
169.9733244414805,17.11087969437563
176.63887962654218,16.654609165545853
183.30443481160387,16.22203146917437
189.96998999666556,15.811003275423799
196.63554518172725,15.409135716757655
203.30110036678892,15.019671369954377
209.9666555518506,14.647302769754882
216.6322107369123,14.290670168710633
223.297765921974,13.948558474131373
229.96332110703568,13.618678287705821
236.62887629209737,13.299292138472238
243.29443147715907,12.991565323173187
249.95998666222073,12.694691172938613
256.6255418472824,12.407937763869356
263.2910970323441,12.130639289981394
269.9566522174058,11.863510030224075
276.6222074024675,11.608558774621763
283.2877625875292,11.361267835142211
289.9533177725909,11.121178120093901
296.61887295765257,10.887867399224389
303.28442814271426,10.660946608745189
309.94998332777595,10.440056597931637
316.6155385128376,10.226400767620227
323.2810936978993,10.026525704317589
329.946648882961,9.831564609202243
336.61220406802266,9.641262292146292
343.27775925308435,9.45538130715912
349.94331443814605,9.273700409669125
356.60886962320774,9.096013174076804
363.27442480826943,8.922126752299718
369.9399799933311,8.751860756654668
376.6055351783928,8.59659245134075
383.2710903634545,8.444916043792142
389.9366455485162,8.296205059779792
396.60220073357783,8.150327754428124
403.2677559186395,8.007160206341847
409.9333111037012,7.866585736162799
416.5988662887629,7.728494376861007
423.2644214738246,7.592782390418258
429.9299766588863,7.4593518261878735
436.595531843948,7.334810939108241
443.2610870290097,7.217932349505779
449.92664221407136,7.102922277800358
456.59219739913306,6.989708034918928
463.25775258419475,6.87822070292591
469.92330776925644,6.768394890127021
476.58886295431813,6.6601685052345845
483.25441813937977,6.553482548869951
489.91997332444146,6.44828092085581
496.58552850950315,6.344510241908215
503.25108369456484,6.242119688477111
509.91663887962653,6.149889652780217
516.5821940646882,6.061644168334758
523.24774924975,5.974528811733726
529.9133044348116,5.888505326971139
536.5788596198732,5.8035371796669
543.244414804935,5.71958946013175
549.9099699899966,5.63662879297874
556.5755251750584,5.554623252766797
563.24108036012,5.473542285207777
569.9066355451818,5.393356633509978
576.5721907302434,5.314038269468312
583.2377459153051,5.235560328945018
589.9033011003668,5.16274538358534
596.5688562854285,5.096170757969574
603.2344114704902,5.030283113672478
609.8999666555519,4.965062030248977
616.5655218406135,4.900487891337474
623.2310770256752,4.836541845086725
629.8966322107369,4.773205766919452
636.5621873957986,4.710462224471932
643.2277425808603,4.648294444561461
649.893297765922,4.586686282045089
656.5588529509837,4.525622190443424
663.2244081360453,4.465087194213029
669.8899633211071,4.405066862559546
676.5555185061687,4.34554728469189
683.2210736912305,4.291064135200163
689.8866288762921,4.241326821128234
696.5521840613537,4.191998050367041
703.2177392464155,4.143067162974882
709.8832944314771,4.094523865954674
716.5488496165389,4.046358217491172
723.2144048016005,3.998560612000472
729.8799599866622,3.9511217659429643
736.5455151717239,3.9040327043543708
743.2110703567856,3.8572847480524333
749.8766255418473,3.810869501479825
756.542180726909,3.764778841146342
763.2077359119706,3.7190049046360065
769.8732910970324,3.6735400801468407
776.538846282094,3.628376996533299
783.2044014671557,3.5835085138231166
789.8699566522174,3.544313899251624
796.535511837279,3.5073485352666367
803.2010670223408,3.4706230096646586
809.8666222074024,3.4341318162339562
816.5321773924642,3.397869614790731
823.1977325775258,3.3618312249444355
829.8632877625876,3.326011620143751
836.5288429476492,3.290405921988548
843.194398132711,3.2550093947939316
849.8599533177726,3.219817440393401
856.5255085028343,3.1848255931688056
863.191063687896,3.150029515295628
869.8566188729576,3.1154249921926533
876.5221740580193,3.081007928165833
883.187729243081,3.0467743422366667
889.8532844281427,3.0127203641459763
896.5188396132044,2.9788422305245157
903.1843947982661,2.9451362812222484
909.8499499833277,2.9172767757395035
916.5155051683895,2.88987267494953
923.1810603534511,2.8626084303443338
929.8466155385129,2.8354812056481977
936.5121707235745,2.8084882397846096
943.1777259086363,2.7816268443991365
949.8432810936979,2.7548944014800343
956.5088362787595,2.7282883610720896
963.1743914638213,2.701806239079441
969.8399466488829,2.6754456151533574
976.5055018339447,2.649204130661106
983.1710570190063,2.6230794867323386
989.836612204068,2.597069442379494
996.5021673891297,2.571171812688986
1003.1677225741914,2.5453844670800527
1009.8332777592531,2.519705327628324
1016.4988329443148,2.4941323674513045
1023.1643881293764,2.4686636091531065
1029.8299433144382,2.443297123325889
1036.4954984995,2.4180310271056245
1043.1610536845615,2.3975447441273183
1049.8266088696232,2.37725050545664
1056.492164054685,2.357037616926753
1063.1577192397465,2.336904614231467
1069.8232744248082,2.3168500673668437
1076.48882960987,2.29687257963546
1083.1543847949317,2.276970786685247
1089.8199399799933,2.257143355581502
1096.485495165055,2.237388983910742
1103.1510503501167,2.217706398915132
1109.8166055351785,2.198094356656268
1116.48216072024,2.178551641207147
1123.1477159053018,2.1590770638712344
1129.8132710903635,2.139669462427557
1136.478826275425,2.1203277004008227
1143.1443814604868,2.1010506663555786
1149.8099366455485,2.0818372732135204
