energy[MeV],Flux
1.0,3.031863981312377
1.666655555185173,10.378524279667902
2.333311110370346,14.297595928176465
2.999966665555519,16.831076711291164
3.6666222207406913,18.64374022263877
4.333277775925865,20.025383188926682
4.999933331111038,21.125194098970596
5.66658888629621,22.02883120536648
6.333244441481383,22.78944598678457
6.999899996666556,23.48512190328416
7.6665555518517285,24.09450247660457
8.333211107036902,24.657933911423118
8.999866662222075,25.160449694561514
9.666522217407246,25.6181694182751
10.33317777259242,26.03578292839547
10.999833327777592,26.417093811649575
11.666488882962765,26.761052508077704
12.333144438147938,27.07805005974665
12.999799993333111,27.372252446169405
13.666455548518284,27.635461537401756
14.333111103703457,27.873530040416085
14.99976665888863,28.0971812278703
15.666422214073803,28.307968129170835
16.333077769258978,28.490842118213966
16.99973332444415,28.651948885510375
17.66638887962932,28.80519934791011
18.333044434814493,28.951315717285002
18.999699989999666,29.09093063729343
19.66635554518484,29.197269034371466
20.333011100370012,29.291519360620747
20.999666655555185,29.382332822357526
21.666322210740358,29.46997646309818
22.33297776592553,29.55468918567424
22.999633321110704,29.635524588910215
23.666288876295877,29.6758731017195
24.33294443148105,29.715432448337925
24.999599986666222,29.754255734255786
25.666255541851395,29.792391199762932
26.33291109703657,29.82988277816168
26.99956665222174,29.866770577659697
27.666222207406914,29.896644698104495
28.332877762592087,29.89205109427093
28.99953331777726,29.888294261541937
29.666188872962433,29.885326774781298
30.332844428147606,29.883104882194893
30.99949998333278,29.881588147628907
31.666155538517952,29.880739134529442
32.33281109370313,29.880523125948624
32.9994666488883,29.880907875837643
33.66612220407347,29.84448447522047
34.33277775925864,29.807155745190922
34.99943331444381,29.771399178136516
35.666088869628986,29.737140679776136
36.33274442481416,29.704310943973955
36.99939997999933,29.672845062384688
37.666055535184505,29.64268217229145
38.33271109036968,29.61376513829777
38.99936664555485,29.586040264094187
39.666022200740024,29.555094837175186
40.3326777559252,29.4923506153985
40.99933331111037,29.43151198641683
41.66598886629554,29.37250207306386
42.332644421480715,29.31524826039765
42.99929997666589,29.25968189685526
43.66595553185106,29.205738020615474
44.332611087036234,29.153355108695067
44.99926664222141,29.102474846580158
45.66592219740658,29.053041916435895
46.33257775259175,29.00500380214975
46.999233307776926,28.95831060964994
47.6658888629621,28.899624975922592
48.33254441814727,28.82221832201848
48.999199973332445,28.746652460515666
49.66585552851762,28.6728650718789
50.33251108370279,28.60079674179198
50.999166638887964,28.530390789483025
51.66582219407314,28.461593108282724
52.33247774925831,28.39435201739877
52.99913330444348,28.328618123985944
53.665788859628655,28.26434419467757
54.33244441481383,28.201485035820756
54.999099969999,28.139997381727326
55.665755525184174,28.079839790314185
56.33241108036935,28.02097254556254
56.99906663555452,27.951086273863723
57.66572219073969,27.86606117854108
58.332377745924866,27.782666483302425
58.99903330111004,27.700855695579442
59.66568885629521,27.620584151032002
60.332344411480385,27.541808922252073
60.99899996666556,27.46448873297558
61.66565552185073,27.388583877414195
62.332311077035904,27.31405614434969
62.99896663222108,27.240868745662237
63.66562218740625,27.168986248989896
64.33227774259143,27.098374514240046
64.9989332977766,27.0290006336952
65.66558885296176,26.9608328754751
66.33224440814693,26.89384063013525
66.99889996333211,26.82799436019836
67.66555551851728,26.763265552430198
68.33221107370245,26.680647047379118
68.99886662888763,26.59459555302205
69.6655221840728,26.509885036056527
70.33217773925797,26.42648338877331
70.99883329444314,26.344359564612475
71.66548884962832,26.263483533559064
72.33214440481349,26.18382623980783
72.99879995999866,26.105359561561585
73.66545551518384,26.028056272837535
74.33211107036901,25.951890007164018
74.99876662555418,25.876835223058155
75.66542218073936,25.80286717118215
76.33207773592453,25.72996186308256
76.9987332911097,25.658096041423235
77.66538884629487,25.587247151628404
78.33204440148005,25.517393314857483
78.99869995666522,25.448513302238585
79.6653555118504,25.3805865102918
80.33201106703557,25.31359293747815
80.99866662222074,25.246561241491
81.66532217740591,25.16274497566711
82.33197773259108,25.080005222794636
82.99863328777626,24.99832011408209
83.66528884296143,24.917668394243385
84.3319443981466,24.838029399583434
84.99859995333178,24.75938303703222
85.66525550851695,24.681709764079226
86.33191106370212,24.60499056956288
86.9985666188873,24.529206955272336
87.66522217407247,24.4543409183213
88.33187772925764,24.38037493425595
88.99853328444281,24.30729194086109
89.66518883962799,24.235075322630617
90.33184439481316,24.163708895870528
90.99849994999833,24.093176894404074
91.6651555051835,24.023463955850616
92.33181106036868,23.954555108451174
92.99846661555385,23.886435758415065
93.66512217073902,23.819091677763534
94.3317777259242,23.75250899264745
94.99843328110937,23.68667417211734
95.66508883629454,23.621574017325308
96.33174439147972,23.557195651139253
96.99839994666489,23.484598685946146
97.66505550185006,23.407796141853204
98.33171105703524,23.331799837281288
98.99836661222041,23.256596017093933
99.66502216740558,23.18217125025356
100.33167772259075,23.108512420089678
100.99833327777593,23.03560671492154
101.6649888329611,22.963441619020106
102.33164438814627,22.892004903894907
102.99829994333145,22.821284619892115
103.66495549851662,22.751269088090723
104.33161105370179,22.68194689248451
104.99826660888696,22.613306872437906
105.66492216407214,22.545338115404466
106.33157771925731,22.47802994989728
106.99823327444248,22.411371938701087
107.66488882962766,22.345353872316284
108.33154438481283,22.279965762625565
108.998199939998,22.215197836774323
109.66485549518318,22.15104053125633
110.33151105036835,22.08748448619661
110.99816660555352,22.02452053982384
111.6648221607387,21.96213972312467
112.33147771592387,21.900333254673434
112.99813327110904,21.839092535629845
113.66478882629421,21.7784091448988
114.33144438147939,21.718274834445886
114.99809993666456,21.65868152476265
115.66475549184973,21.590297297151402
116.3314110470349,21.522067982813276
