NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    194.63      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       240608 300  035500-040000   00     202.89 1007.0    194.77     0.07     0.29
NAIN       240608 300  040000-040500   00     202.53 1007.0    194.37    -0.14     0.08
NAIN       240608 300  040500-041000   00     200.70 1006.9    192.51    -1.09    -0.86
NAIN       240608 300  041000-041500   00     201.26 1006.8    192.96    -0.86    -0.63
NAIN       240608 300  041500-042000   00     201.22 1006.7    192.78    -0.95    -0.72
NAIN       240608 300  042000-042500   00     202.45 1006.8    193.98    -0.33    -0.10
NAIN       240608 300  042500-043000   00     204.24 1006.7    195.57     0.48     0.72
NAIN       240608 300  043000-043500   00     203.63 1006.5    194.79     0.08     0.33
NAIN       240608 300  043500-044000   00     201.91 1006.5    193.03    -0.82    -0.57
NAIN       240608 300  044000-044500   00     204.21 1006.4    195.14     0.26     0.52
NAIN       240608 300  044500-045000   00     202.71 1006.3    193.62    -0.52    -0.26
NAIN       240608 300  045000-045500   00     203.90 1006.2    194.63     0.00     0.26
NAIN       240608 300  045500-050000   00     201.34 1006.2    192.17    -1.27    -1.00
NAIN       240608 300  050000-050500   00     201.89 1006.2    192.64    -1.02    -0.75
NAIN       240608 300  050500-051000   00     204.46 1006.1    195.01     0.19     0.47
NAIN       240608 300  051000-051500   00     204.91 1006.1    195.37     0.38     0.66
NAIN       240608 300  051500-052000   00     203.09 1006.0    193.51    -0.58    -0.29
NAIN       240608 300  052000-052500   00     202.66 1006.0    193.07    -0.80    -0.51
NAIN       240608 300  052500-053000   00     202.68 1005.9    193.03    -0.82    -0.53
NAIN       240608 300  053000-053500   00     203.96 1005.9    194.18    -0.23     0.07
NAIN       240608 300  053500-054000   00     204.17 1005.8    194.30    -0.17     0.13
NAIN       240608 300  054000-054500   00     203.09 1005.8    193.22    -0.73    -0.42
NAIN       240608 300  054500-055000   00     202.98 1005.9    193.20    -0.74    -0.43
NAIN       240608 300  055000-055500   00     203.05 1005.9    193.25    -0.71    -0.40
NAIN       240608 300  055500-060000   00     203.46 1005.8    193.56    -0.55    -0.23
NAIN       240608 300  060000-060500   00     204.88 1005.8    194.86     0.12     0.44
NAIN       240608 300  060500-061000   00     203.78 1005.7    193.57    -0.54    -0.22
NAIN       240608 300  061000-061500   00     204.03 1005.6    193.87    -0.39    -0.06
NAIN       240608 300  061500-062000   00     205.71 1005.6    195.39     0.39     0.72
NAIN       240608 300  062000-062500   00     205.32 1005.5    194.88     0.13     0.47
NAIN       240608 300  062500-063000   00     202.48 1005.4    192.09    -1.30    -0.96
NAIN       240608 300  063000-063500   00     203.69 1005.3    193.02    -0.82    -0.48
NAIN       240608 300  063500-064000   00     206.85 1005.2    195.87     0.64     0.99
NAIN       240608 300  064000-064500   00     204.27 1005.2    193.42    -0.62    -0.26
NAIN       240608 300  064500-065000   00     206.06 1005.2    195.13     0.26     0.62
NAIN       240608 300  065000-065500   00     203.38 1005.2    192.65    -1.02    -0.65
NAIN       240608 300  065500-070000   00     206.84 1005.2    195.89     0.65     1.01
NAIN       240608 300  070000-070500   00     205.32 1005.1    194.36    -0.14     0.23
NAIN       240608 300  070500-071000   00     204.84 1005.1    193.80    -0.43    -0.05
NAIN       240608 300  071000-071500   00     202.69 1005.0    191.72    -1.49    -1.11
NAIN       240608 300  071500-072000   00     203.74 1005.0    192.63    -1.03    -0.64
NAIN       240608 300  072000-072500   00     203.54 1004.9    192.34    -1.18    -0.79
NAIN       240608 300  072500-073000   00     207.43 1004.9    196.05     0.73     1.13
NAIN       240608 300  073000-073500   00     206.55 1004.9    195.22     0.31     0.70
NAIN       240608 300  073500-074000   00     204.74 1004.9    193.46    -0.60    -0.20
NAIN       240608 300  074000-074500   00     206.35 1004.9    194.94     0.16     0.57
NAIN       240608 300  074500-075000   00     202.48 1004.8    191.18    -1.77    -1.36
NAIN       240608 300  075000-075500   00     207.16 1004.7    195.47     0.43     0.85
NAIN       240608 300  075500-080000   00     207.45 1004.6    195.65     0.52     0.94
NAIN       240608 300  080000-080500   00     207.18 1004.6    195.34     0.37     0.79
NAIN       240608 300  080500-081000   00     204.97 1004.5    193.17    -0.75    -0.32
NAIN       240608 300  081000-081500   00     206.93 1004.5    195.00     0.19     0.62
NAIN       240608 300  081500-082000   00     206.06 1004.5    194.16    -0.24     0.20
NAIN       240608 300  082000-082500   00     206.01 1004.5    194.17    -0.23     0.21
NAIN       240608 300  082500-083000   00     204.48 1004.5    192.66    -1.01    -0.57
NAIN       240608 300  083000-083500   00     204.57 1004.5    192.72    -0.98    -0.53
NAIN       240608 300  083500-084000   00     205.64 1004.4    193.67    -0.49    -0.04
NAIN       240608 300  084000-084500   00     204.65 1004.4    192.75    -0.97    -0.51
NAIN       240608 300  084500-085000   00     204.50 1004.4    192.55    -1.07    -0.61
NAIN       240608 300  085000-085500   00     206.58 1004.4    194.42    -0.11     0.36
NAIN       240608 300  085500-090000   00     205.30 1004.3    193.21    -0.73    -0.26
NAIN       240608 300  090000-090500   00     207.02 1004.3    194.80     0.09     0.56
NAIN       240608 300  090500-091000   00     206.59 1004.3    194.29    -0.17     0.31
NAIN       240608 300  091000-091500   00     206.83 1004.3    194.55    -0.04     0.44
NAIN       240608 300  091500-092000   00     204.69 1004.3    192.52    -1.09    -0.60
NAIN       240608 300  092000-092500   00     207.56 1004.3    195.24     0.31     0.81
NAIN       240608 300  092500-093000   00     204.88 1004.3    192.71    -0.99    -0.49
NAIN       240608 300  093000-093500   00     208.13 1004.3    195.78     0.59     1.09
NAIN       240608 300  093500-094000   00     207.30 1004.3    195.01     0.19     0.70
NAIN       240608 300  094000-094500   00     203.91 1004.3    191.79    -1.46    -0.95
NAIN       240608 300  094500-095000   00     206.86 1004.1    194.39    -0.12     0.39
NAIN       240608 300  095000-095500   00     204.16 1004.0    191.66    -1.53    -1.01
NAIN       240608 300  095500-100000   00     205.19 1004.0    192.58    -1.05    -0.53
NAIN       240608 300  100000-100500   00     204.79 1004.0    192.23    -1.23    -0.71
NAIN       240608 300  100500-101000   00     207.46 1004.0    194.77     0.07     0.60
NAIN       240608 300  101000-101500   00     208.39 1004.0    195.67     0.53     1.07
NAIN       240608 300  101500-102000   00     208.12 1004.0    195.34     0.37     0.91
NAIN       240608 300  102000-102500   00     205.74 1003.9    193.01    -0.83    -0.29
NAIN       240608 300  102500-103000   00     207.09 1003.8    194.17    -0.24     0.31
NAIN       240608 300  103000-103500   00     208.81 1003.7    195.62     0.51     1.06
NAIN       240608 300  103500-104000   00     208.30 1003.7    195.03     0.20     0.76
NAIN       240608 300  104000-104500   00     208.26 1003.6    194.90     0.14     0.70
NAIN       240608 300  104500-105000   00     208.99 1003.5    195.46     0.43     0.99
NAIN       240608 300  105000-105500   00     206.97 1003.5    193.54    -0.56     0.01
NAIN       240608 300  105500-110000   00     210.55 1003.5    196.83     1.13     1.71
NAIN       240608 300  110000-110500   00     208.98 1003.4    195.36     0.38     0.95
NAIN       240608 300  110500-111000   00     209.16 1003.4    195.45     0.42     1.00
NAIN       240608 300  111000-111500   00     207.62 1003.4    194.00    -0.32     0.26
NAIN       240608 300  111500-112000   00     206.95 1003.3    193.33    -0.67    -0.08
NAIN       240608 300  112000-112500   00     206.32 1003.3    192.70    -0.99    -9999
NAIN       240608 300  112500-113000   00     207.86 1003.4    194.27    -0.18    -9999
NAIN       240608 300  113000-113500   00     210.58 1003.4    196.75     1.09    -9999
NAIN       240608 300  113500-114000   00     207.29 1003.3    193.62    -0.52    -9999
NAIN       240608 300  114000-114500   00     208.36 1003.3    194.54    -0.05    -9999
NAIN       240608 300  114500-115000   00     208.10 1003.2    194.14    -0.25    -9999
NAIN       240608 300  115000-115500   00     207.54 1003.0    193.45    -0.60    -9999
NAIN       240608 300  115500-120000   00     206.93 1003.0    192.81    -0.93    -9999
NAIN       240608 3600 120000-130000   00     208.88 1002.8    194.28    -0.18    -9999
NAIN       240608 3600 130000-140000   00     209.62 1002.4    194.44    -0.10    -9999
NAIN       240608 3600 140000-150000   00     210.79 1002.3    195.36     0.38    -9999
NAIN       240608 3600 150000-160000   00     211.29 1002.0    195.45     0.42    -9999
NAIN       240608 3600 160000-170000   00     211.34 1001.8    195.21     0.30    -9999
NAIN       240608 3600 170000-180000   00     212.12 1001.8    195.85     0.63    -9999
NAIN       240608 3600 180000-190000   00     211.30 1002.2    195.65     0.52    -9999
NAIN       240608 3600 190000-200000   00     210.47 1002.9    195.92     0.66    -9999
NAIN       240608 3600 200000-210000   00     210.57 1003.2    196.48     0.95    -9999
NAIN       240608 3600 210000-220000   00     210.18 1003.6    196.78     1.11    -9999
NAIN       240608 3600 220000-230000   00     208.47 1004.1    195.89     0.65    -9999
NAIN       240608 3600 230000-240000   00     208.15 1004.4    195.95     0.68    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075NAIN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
