TIXIE-BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE-BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE-BAY  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
TIXIE-BAY  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
TIXIE-BAY  PRE-INCREASE AVERAGE COUNTING RATE     93.72      COUNTS PER SECOND
TIXIE-BAY  TIME INTERVALS    300         3600     
TIXIE-BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE-BAY  240608 300  031000-031500   00      89.92 1016.3     93.33    -0.41    -0.31
TIXIE-BAY  240608 300  031500-032000   00      91.47 1016.2     94.91     1.27     1.37
TIXIE-BAY  240608 300  032000-032500   00      89.81 1016.1     93.15    -0.61    -0.50
TIXIE-BAY  240608 300  032500-033000   00      90.08 1016.1     93.33    -0.41    -0.30
TIXIE-BAY  240608 300  033000-033500   00      91.87 1016.1     95.20     1.58     1.69
TIXIE-BAY  240608 300  033500-034000   00      90.96 1016.1     94.29     0.62     0.73
TIXIE-BAY  240608 300  034000-034500   00      90.61 1016.0     93.84     0.13     0.24
TIXIE-BAY  240608 300  034500-035000   00      90.40 1016.0     93.65    -0.07     0.05
TIXIE-BAY  240608 300  035000-035500   00      90.77 1016.0     94.05     0.36     0.48
TIXIE-BAY  240608 300  035500-040000   00      89.68 1016.0     92.93    -0.83    -0.72
TIXIE-BAY  240608 300  040000-040500   00      89.52 1016.0     92.72    -1.06    -0.94
TIXIE-BAY  240608 300  040500-041000   00      88.35 1015.9     91.47    -2.40    -2.28
TIXIE-BAY  240608 300  041000-041500   00      89.41 1015.9     92.53    -1.26    -1.14
TIXIE-BAY  240608 300  041500-042000   00      91.47 1015.9     94.64     0.99     1.11
TIXIE-BAY  240608 300  042000-042500   00      91.44 1015.9     94.67     1.02     1.14
TIXIE-BAY  240608 300  042500-043000   00      89.97 1015.9     93.15    -0.61    -0.48
TIXIE-BAY  240608 300  043000-043500   00      90.43 1015.9     93.60    -0.12     0.01
TIXIE-BAY  240608 300  043500-044000   00      91.57 1016.0     94.85     1.21     1.35
TIXIE-BAY  240608 300  044000-044500   00      91.28 1016.0     94.56     0.90     1.03
TIXIE-BAY  240608 300  044500-045000   00      89.79 1016.0     93.01    -0.75    -0.62
TIXIE-BAY  240608 300  045000-045500   00      91.55 1016.0     94.83     1.19     1.32
TIXIE-BAY  240608 300  045500-050000   00      89.52 1016.0     92.72    -1.06    -0.93
TIXIE-BAY  240608 300  050000-050500   00      90.40 1016.0     93.63    -0.09     0.04
TIXIE-BAY  240608 300  050500-051000   00      91.47 1015.9     94.72     1.07     1.21
TIXIE-BAY  240608 300  051000-051500   00      90.08 1015.9     93.23    -0.52    -0.38
TIXIE-BAY  240608 300  051500-052000   00      90.83 1015.8     93.97     0.27     0.41
TIXIE-BAY  240608 300  052000-052500   00      89.97 1015.8     93.07    -0.69    -0.55
TIXIE-BAY  240608 300  052500-053000   00      89.57 1015.7     92.61    -1.18    -1.04
TIXIE-BAY  240608 300  053000-053500   00      91.15 1015.7     94.21     0.53     0.67
TIXIE-BAY  240608 300  053500-054000   00      90.21 1015.6     93.15    -0.61    -0.46
TIXIE-BAY  240608 300  054000-054500   00      90.16 1015.6     93.09    -0.66    -0.52
TIXIE-BAY  240608 300  054500-055000   00      91.31 1015.5     94.21     0.53     0.67
TIXIE-BAY  240608 300  055000-055500   00      91.12 1015.4     94.00     0.30     0.45
TIXIE-BAY  240608 300  055500-060000   00      88.99 1015.4     91.76    -2.09    -1.94
TIXIE-BAY  240608 300  060000-060500   00      90.67 1015.4     93.49    -0.24    -0.09
TIXIE-BAY  240608 300  060500-061000   00      90.32 1015.4     93.15    -0.61    -0.46
TIXIE-BAY  240608 300  061000-061500   00      89.60 1015.4     92.37    -1.43    -1.29
TIXIE-BAY  240608 300  061500-062000   00      90.43 1015.3     93.23    -0.52    -0.38
TIXIE-BAY  240608 300  062000-062500   00      90.43 1015.3     93.20    -0.55    -0.41
TIXIE-BAY  240608 300  062500-063000   00      91.60 1015.3     94.40     0.73     0.87
TIXIE-BAY  240608 300  063000-063500   00      91.15 1015.2     93.89     0.19     0.33
TIXIE-BAY  240608 300  063500-064000   00      92.43 1015.2     95.20     1.58     1.72
TIXIE-BAY  240608 300  064000-064500   00      90.85 1015.2     93.57    -0.15    -0.01
TIXIE-BAY  240608 300  064500-065000   00      91.07 1015.2     93.81     0.10     0.24
TIXIE-BAY  240608 300  065000-065500   00      91.60 1015.2     94.37     0.70     0.84
TIXIE-BAY  240608 300  065500-070000   00      90.77 1015.1     93.47    -0.27    -0.13
TIXIE-BAY  240608 300  070000-070500   00      91.63 1015.1     94.29     0.62     0.75
TIXIE-BAY  240608 300  070500-071000   00      91.92 1015.0     94.56     0.90     1.04
TIXIE-BAY  240608 300  071000-071500   00      90.21 1015.0     92.75    -1.03    -0.90
TIXIE-BAY  240608 300  071500-072000   00      90.48 1015.0     93.07    -0.69    -0.56
TIXIE-BAY  240608 300  072000-072500   00      90.96 1015.0     93.55    -0.18    -0.05
TIXIE-BAY  240608 300  072500-073000   00      92.05 1015.0     94.67     1.02     1.15
TIXIE-BAY  240608 300  073000-073500   00      92.11 1015.0     94.72     1.07     1.20
TIXIE-BAY  240608 300  073500-074000   00      89.87 1014.9     92.37    -1.43    -1.30
TIXIE-BAY  240608 300  074000-074500   00      89.97 1014.9     92.45    -1.35    -1.22
TIXIE-BAY  240608 300  074500-075000   00      91.95 1014.8     94.45     0.79     0.91
TIXIE-BAY  240608 300  075000-075500   00      91.65 1014.8     94.13     0.45     0.57
TIXIE-BAY  240608 300  075500-080000   00      90.40 1014.7     92.77    -1.01    -0.89
TIXIE-BAY  240608 300  080000-080500   00      90.59 1014.6     92.93    -0.83    -0.72
TIXIE-BAY  240608 300  080500-081000   00      89.81 1014.6     92.11    -1.72    -1.60
TIXIE-BAY  240608 300  081000-081500   00      91.79 1014.6     94.16     0.47     0.59
TIXIE-BAY  240608 300  081500-082000   00      91.76 1014.6     94.11     0.42     0.53
TIXIE-BAY  240608 300  082000-082500   00      92.45 1014.6     94.85     1.21     1.32
TIXIE-BAY  240608 300  082500-083000   00      90.32 1014.6     92.61    -1.18    -1.07
TIXIE-BAY  240608 300  083000-083500   00      90.91 1014.7     93.25    -0.49    -0.39
TIXIE-BAY  240608 300  083500-084000   00      92.88 1014.7     95.31     1.70     1.80
TIXIE-BAY  240608 300  084000-084500   00      92.29 1014.7     94.72     1.07     1.17
TIXIE-BAY  240608 300  084500-085000   00      91.89 1014.6     94.27     0.59     0.69
TIXIE-BAY  240608 300  085000-085500   00      91.47 1014.6     93.79     0.08     0.17
TIXIE-BAY  240608 300  085500-090000   00      90.96 1014.6     93.23    -0.52    -0.43
TIXIE-BAY  240608 300  090000-090500   00      92.24 1014.6     94.61     0.96     1.05
TIXIE-BAY  240608 300  090500-091000   00      90.19 1014.6     92.45    -1.35    -1.26
TIXIE-BAY  240608 300  091000-091500   00      91.25 1014.6     93.55    -0.18    -0.10
TIXIE-BAY  240608 300  091500-092000   00      91.60 1014.5     93.87     0.16     0.24
TIXIE-BAY  240608 300  092000-092500   00      91.60 1014.5     93.89     0.19     0.27
TIXIE-BAY  240608 300  092500-093000   00      92.27 1014.4     94.51     0.84     0.92
TIXIE-BAY  240608 300  093000-093500   00      91.12 1014.4     93.28    -0.46    -0.40
TIXIE-BAY  240608 300  093500-094000   00      90.51 1014.3     92.61    -1.18    -1.11
TIXIE-BAY  240608 300  094000-094500   00      91.73 1014.3     93.87     0.16     0.22
TIXIE-BAY  240608 300  094500-095000   00      90.29 1014.3     92.43    -1.37    -1.32
TIXIE-BAY  240608 300  095000-095500   00      90.91 1014.3     93.01    -0.75    -0.69
TIXIE-BAY  240608 300  095500-100000   00      91.57 1014.3     93.71    -0.01     0.04
TIXIE-BAY  240608 300  100000-100500   00      90.51 1014.4     92.67    -1.12    -1.07
TIXIE-BAY  240608 300  100500-101000   00      92.24 1014.3     94.43     0.76     0.80
TIXIE-BAY  240608 300  101000-101500   00      91.81 1014.4     93.97     0.27     0.31
TIXIE-BAY  240608 300  101500-102000   00      91.44 1014.3     93.63    -0.09    -0.06
TIXIE-BAY  240608 300  102000-102500   00      92.43 1014.4     94.61     0.96     0.99
TIXIE-BAY  240608 300  102500-103000   00      91.04 1014.3     93.17    -0.58    -0.55
TIXIE-BAY  240608 300  103000-103500   00      91.71 1014.3     93.84     0.13     0.15
TIXIE-BAY  240608 300  103500-104000   00      90.85 1014.4     93.04    -0.72    -0.70
TIXIE-BAY  240608 300  104000-104500   00      91.84 1014.4     94.03     0.33     0.35
TIXIE-BAY  240608 300  104500-105000   00      91.39 1014.3     93.52    -0.21    -0.20
TIXIE-BAY  240608 300  105000-105500   00      91.28 1014.2     93.36    -0.38    -0.38
TIXIE-BAY  240608 300  105500-110000   00      90.11 1014.2     92.13    -1.69    -1.69
TIXIE-BAY  240608 300  110000-110500   00      90.27 1014.3     92.37    -1.43    -1.44
TIXIE-BAY  240608 300  110500-111000   00      91.68 1014.4     93.84     0.13     0.12
TIXIE-BAY  240608 300  111000-111500   00      91.55 1014.3     93.68    -0.04    -0.05
TIXIE-BAY  240608 300  111500-112000   00      91.97 1014.3     94.13     0.45     0.42
TIXIE-BAY  240608 300  112000-112500   00      91.95 1014.3     94.08     0.39    -9999
TIXIE-BAY  240608 300  112500-113000   00      91.92 1014.3     94.05     0.36    -9999
TIXIE-BAY  240608 300  113000-113500   00      90.19 1014.4     92.35    -1.46    -9999
TIXIE-BAY  240608 300  113500-114000   00      90.91 1014.3     93.04    -0.72    -9999
TIXIE-BAY  240608 300  114000-114500   00      91.36 1014.2     93.41    -0.32    -9999
TIXIE-BAY  240608 300  114500-115000   00      90.83 1014.2     92.91    -0.86    -9999
TIXIE-BAY  240608 300  115000-115500   00      91.71 1014.3     93.79     0.08    -9999
TIXIE-BAY  240608 300  115500-120000   00      91.76 1014.2     93.84     0.13    -9999
TIXIE-BAY  240608 3600 120000-130000   00      91.27 1014.1     93.26    -0.49    -9999
TIXIE-BAY  240608 3600 130000-140000   00      91.23 1014.0     93.18    -0.57    -9999
TIXIE-BAY  240608 3600 140000-150000   00      91.67 1014.0     93.58    -0.14    -9999
TIXIE-BAY  240608 3600 150000-160000   00      91.33 1014.0     93.25    -0.49    -9999
TIXIE-BAY  240608 3600 160000-170000   00      91.91 1014.0     93.86     0.16    -9999
TIXIE-BAY  240608 3600 170000-180000   00      91.78 1014.0     93.74     0.02    -9999
TIXIE-BAY  240608 3600 180000-190000   00      92.40 1013.7     94.17     0.49    -9999
TIXIE-BAY  240608 3600 190000-200000   00      91.67 1014.0     93.60    -0.12    -9999
TIXIE-BAY  240608 3600 200000-210000   00      91.50 1014.0     93.41    -0.33    -9999
TIXIE-BAY  240608 3600 210000-220000   00      91.31 1014.0     93.27    -0.48    -9999
TIXIE-BAY  240608 3600 220000-230000   00      91.47 1014.1     93.47    -0.26    -9999
TIXIE-BAY  240608 3600 230000-240000   00      91.54 1014.0     93.47    -0.26    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075TXBY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
