DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     16.31      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240608 300  040500-041000   00      19.93  628.4     16.33     0.14     0.08
DOMC       240608 300  041000-041500   00      20.00  628.4     16.38     0.44     0.39
DOMC       240608 300  041500-042000   00      20.03  628.4     16.40     0.54     0.49
DOMC       240608 300  042000-042500   00      20.20  628.4     16.53     1.36     1.30
DOMC       240608 300  042500-043000   00      19.52  628.4     15.98    -2.01    -2.07
DOMC       240608 300  043000-043500   00      20.67  628.4     16.92     3.71     3.65
DOMC       240608 300  043500-044000   00      19.57  628.4     16.02    -1.81    -1.87
DOMC       240608 300  044000-044500   00      19.68  628.3     16.12    -1.19    -1.26
DOMC       240608 300  044500-045000   00      19.68  628.3     16.12    -1.19    -1.27
DOMC       240608 300  045000-045500   00      20.08  628.2     16.43     0.75     0.67
DOMC       240608 300  045500-050000   00      19.67  628.2     16.08    -1.40    -1.47
DOMC       240608 300  050000-050500   00      19.43  628.2     15.90    -2.52    -2.60
DOMC       240608 300  050500-051000   00      20.22  628.1     16.52     1.26     1.18
DOMC       240608 300  051000-051500   00      20.10  628.1     16.42     0.65     0.56
DOMC       240608 300  051500-052000   00      20.37  628.1     16.65     2.08     1.99
DOMC       240608 300  052000-052500   00      19.92  628.1     16.27    -0.27    -0.36
DOMC       240608 300  052500-053000   00      19.55  628.0     15.97    -2.11    -2.20
DOMC       240608 300  053000-053500   00      19.57  628.0     15.98    -2.01    -2.10
DOMC       240608 300  053500-054000   00      20.35  628.0     16.62     1.87     1.78
DOMC       240608 300  054000-054500   00      20.02  628.0     16.35     0.24     0.14
DOMC       240608 300  054500-055000   00      20.00  627.9     16.32     0.03    -0.07
DOMC       240608 300  055000-055500   00      19.63  627.9     16.02    -1.81    -1.91
DOMC       240608 300  055500-060000   00      19.97  627.9     16.28    -0.17    -0.28
DOMC       240608 300  060000-060500   00      19.78  627.9     16.13    -1.09    -1.20
DOMC       240608 300  060500-061000   00      19.92  627.9     16.25    -0.37    -0.49
DOMC       240608 300  061000-061500   00      20.00  627.9     16.32     0.03    -0.08
DOMC       240608 300  061500-062000   00      20.65  628.0     16.85     3.30     3.19
DOMC       240608 300  062000-062500   00      20.52  628.0     16.73     2.59     2.47
DOMC       240608 300  062500-063000   00      20.25  628.0     16.52     1.26     1.14
DOMC       240608 300  063000-063500   00      19.85  627.9     16.20    -0.68    -0.81
DOMC       240608 300  063500-064000   00      19.98  627.9     16.32     0.03    -0.09
DOMC       240608 300  064000-064500   00      19.72  627.9     16.08    -1.40    -1.53
DOMC       240608 300  064500-065000   00      20.35  627.9     16.60     1.77     1.64
DOMC       240608 300  065000-065500   00      21.12  627.9     17.23     5.65     5.52
DOMC       240608 300  065500-070000   00      19.92  627.9     16.25    -0.37    -0.51
DOMC       240608 300  070000-070500   00      20.60  628.0     16.82     3.10     2.96
DOMC       240608 300  070500-071000   00      19.68  628.0     16.07    -1.50    -1.64
DOMC       240608 300  071000-071500   00      20.00  628.0     16.33     0.14    -0.01
DOMC       240608 300  071500-072000   00      19.75  628.0     16.13    -1.09    -1.24
DOMC       240608 300  072000-072500   00      19.85  628.1     16.22    -0.58    -0.73
DOMC       240608 300  072500-073000   00      20.05  628.1     16.40     0.54     0.39
DOMC       240608 300  073000-073500   00      19.65  628.2     16.08    -1.40    -1.55
DOMC       240608 300  073500-074000   00      19.92  628.2     16.28    -0.17    -0.33
DOMC       240608 300  074000-074500   00      19.70  628.2     16.12    -1.19    -1.35
DOMC       240608 300  074500-075000   00      20.05  628.2     16.40     0.54     0.38
DOMC       240608 300  075000-075500   00      20.70  628.1     16.92     3.71     3.55
DOMC       240608 300  075500-080000   00      20.25  628.1     16.55     1.46     1.30
DOMC       240608 300  080000-080500   00      20.78  628.1     16.98     4.12     3.95
DOMC       240608 300  080500-081000   00      20.20  628.2     16.52     1.26     1.09
DOMC       240608 300  081000-081500   00      19.42  628.2     15.88    -2.62    -2.79
DOMC       240608 300  081500-082000   00      19.77  628.2     16.17    -0.89    -1.06
DOMC       240608 300  082000-082500   00      20.38  628.2     16.67     2.18     2.00
DOMC       240608 300  082500-083000   00      20.17  628.3     16.50     1.16     0.98
DOMC       240608 300  083000-083500   00      19.77  628.3     16.17    -0.89    -1.07
DOMC       240608 300  083500-084000   00      20.10  628.2     16.45     0.85     0.67
DOMC       240608 300  084000-084500   00      19.60  628.3     16.03    -1.70    -1.89
DOMC       240608 300  084500-085000   00      19.57  628.3     16.00    -1.91    -2.10
DOMC       240608 300  085000-085500   00      19.65  628.4     16.08    -1.40    -1.59
DOMC       240608 300  085500-090000   00      20.42  628.4     16.72     2.49     2.29
DOMC       240608 300  090000-090500   00      19.20  628.4     15.72    -3.64    -3.84
DOMC       240608 300  090500-091000   00      19.67  628.4     16.12    -1.19    -1.39
DOMC       240608 300  091000-091500   00      19.95  628.4     16.33     0.14    -0.06
DOMC       240608 300  091500-092000   00      19.78  628.3     16.18    -0.78    -0.99
DOMC       240608 300  092000-092500   00      20.38  628.2     16.67     2.18     1.97
DOMC       240608 300  092500-093000   00      19.92  628.2     16.28    -0.17    -0.38
DOMC       240608 300  093000-093500   00      20.10  628.1     16.43     0.75     0.54
DOMC       240608 300  093500-094000   00      20.10  628.1     16.43     0.75     0.54
DOMC       240608 300  094000-094500   00      20.38  628.1     16.67     2.18     1.96
DOMC       240608 300  094500-095000   00      19.68  628.1     16.08    -1.40    -1.61
DOMC       240608 300  095000-095500   00      19.70  628.1     16.10    -1.29    -1.51
DOMC       240608 300  095500-100000   00      19.97  628.2     16.32     0.03    -0.19
