KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    999.75  MB     COEFFICIENT   -0.76     % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    206.95      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  240607 3600 000000-010000   00     177.47 1019.3    205.52    -0.69    -9999
KERGUELEN  240607 3600 010000-020000   00     176.51 1019.6    204.90    -0.99    -9999
KERGUELEN  240607 3600 020000-030000   00     176.60 1019.9    205.47    -0.71    -9999
KERGUELEN  240607 3600 030000-040000   00     176.02 1020.2    205.28    -0.80    -9999
KERGUELEN  240607 3600 040000-050000   00     176.72 1020.4    206.35    -0.29    -9999
KERGUELEN  240607 3600 050000-060000   00     176.23 1020.4    205.79    -0.56    -9999
KERGUELEN  240607 3600 060000-070000   00     176.94 1019.9    205.94    -0.48    -9999
KERGUELEN  240607 3600 070000-080000   00     178.02 1019.0    205.79    -0.56    -9999
KERGUELEN  240607 3600 080000-090000   00     179.34 1018.1    205.79    -0.56    -9999
KERGUELEN  240607 3600 090000-100000   00     179.74 1017.8    205.84    -0.54    -9999
KERGUELEN  240607 3600 100000-110000   00     180.03 1017.4    205.52    -0.69    -9999
KERGUELEN  240607 3600 110000-120000   00     180.67 1016.9    205.45    -0.72    -9999
KERGUELEN  240607 3600 120000-130000   00     181.07 1016.3    205.03    -0.92    -9999
KERGUELEN  240607 3600 130000-140000   00     180.94 1016.1    204.52    -1.17    -9999
KERGUELEN  240607 3600 140000-150000   00     181.73 1015.3    204.23    -1.31    -9999
KERGUELEN  240607 3600 150000-160000   00     182.86 1014.5    204.17    -1.34    -9999
KERGUELEN  240607 3600 160000-170000   00     184.08 1013.5    204.02    -1.41    -9999
KERGUELEN  240607 3600 170000-180000   00     184.79 1013.3    204.45    -1.21    -9999
KERGUELEN  240607 3600 180000-190000   00     186.57 1011.9    204.26    -1.30    -9999
