NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     87.67      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     240608 300  035000-035500   00      94.85 1003.1     87.70     0.04     0.04
NEWARK     240608 300  035500-040000   00      93.98 1003.0     86.86    -0.93    -0.93
NEWARK     240608 300  040000-040500   00      96.97 1002.9     89.57     2.16     2.16
NEWARK     240608 300  040500-041000   00      94.19 1002.9     87.00    -0.77    -0.77
NEWARK     240608 300  041000-041500   00      94.51 1002.8     87.23    -0.50    -0.50
NEWARK     240608 300  041500-042000   00      96.05 1002.8     88.63     1.10     1.10
NEWARK     240608 300  042000-042500   00      93.46 1002.8     86.22    -1.65    -1.65
NEWARK     240608 300  042500-043000   00      94.81 1002.8     87.51    -0.18    -0.18
NEWARK     240608 300  043000-043500   00      95.12 1002.8     87.77     0.11     0.11
NEWARK     240608 300  043500-044000   00      94.53 1002.7     87.18    -0.55    -0.55
NEWARK     240608 300  044000-044500   00      95.56 1002.7     88.12     0.51     0.51
NEWARK     240608 300  044500-045000   00      96.14 1002.7     88.66     1.13     1.13
NEWARK     240608 300  045000-045500   00      94.56 1002.7     87.19    -0.54    -0.54
NEWARK     240608 300  045500-050000   00      96.24 1002.7     88.72     1.20     1.20
NEWARK     240608 300  050000-050500   00      94.27 1002.6     86.89    -0.89    -0.89
NEWARK     240608 300  050500-051000   00      93.99 1002.7     86.64    -1.18    -1.18
NEWARK     240608 300  051000-051500   00      94.98 1002.6     87.54    -0.15    -0.15
NEWARK     240608 300  051500-052000   00      95.21 1002.6     87.72     0.06     0.06
NEWARK     240608 300  052000-052500   00      96.05 1002.6     88.49     0.93     0.93
NEWARK     240608 300  052500-053000   00      94.99 1002.6     87.51    -0.18    -0.18
NEWARK     240608 300  053000-053500   00      96.11 1002.6     88.55     1.00     1.00
NEWARK     240608 300  053500-054000   00      95.32 1002.6     87.84     0.19     0.19
NEWARK     240608 300  054000-054500   00      95.03 1002.6     87.57    -0.11    -0.11
NEWARK     240608 300  054500-055000   00      94.16 1002.5     86.72    -1.08    -1.08
NEWARK     240608 300  055000-055500   00      94.75 1002.5     87.26    -0.47    -0.47
NEWARK     240608 300  055500-060000   00      95.50 1002.5     87.94     0.31     0.31
NEWARK     240608 300  060000-060500   00      94.84 1002.5     87.35    -0.37    -0.37
NEWARK     240608 300  060500-061000   00      95.34 1002.6     87.83     0.18     0.18
NEWARK     240608 300  061000-061500   00      95.19 1002.6     87.67     0.00     0.00
NEWARK     240608 300  061500-062000   00      93.73 1002.6     86.33    -1.53    -1.53
NEWARK     240608 300  062000-062500   00      94.78 1002.5     87.29    -0.43    -0.43
NEWARK     240608 300  062500-063000   00      95.66 1002.5     88.08     0.47     0.47
NEWARK     240608 300  063000-063500   00      94.62 1002.5     87.09    -0.66    -0.66
NEWARK     240608 300  063500-064000   00      95.88 1002.4     88.22     0.63     0.63
NEWARK     240608 300  064000-064500   00      95.76 1002.4     88.10     0.49     0.49
NEWARK     240608 300  064500-065000   00      94.26 1002.4     86.74    -1.06    -1.06
NEWARK     240608 300  065000-065500   00      93.43 1002.4     85.98    -1.93    -1.93
NEWARK     240608 300  065500-070000   00      94.80 1002.4     87.23    -0.50    -0.50
NEWARK     240608 300  070000-070500   00      95.07 1002.4     87.48    -0.22    -0.22
NEWARK     240608 300  070500-071000   00      95.79 1002.4     88.10     0.49     0.49
NEWARK     240608 300  071000-071500   00      93.72 1002.3     86.14    -1.75    -1.75
NEWARK     240608 300  071500-072000   00      96.90 1002.3     89.06     1.59     1.59
NEWARK     240608 300  072000-072500   00      95.24 1002.2     87.51    -0.18    -0.18
NEWARK     240608 300  072500-073000   00      96.59 1002.2     88.76     1.25     1.25
NEWARK     240608 300  073000-073500   00      95.11 1002.2     87.40    -0.31    -0.31
NEWARK     240608 300  073500-074000   00      95.39 1002.2     87.66    -0.01    -0.01
NEWARK     240608 300  074000-074500   00      96.89 1002.2     89.01     1.53     1.53
NEWARK     240608 300  074500-075000   00      94.46 1002.2     86.77    -1.02    -1.02
NEWARK     240608 300  075000-075500   00      96.01 1002.2     88.17     0.57     0.57
NEWARK     240608 300  075500-080000   00      95.13 1002.1     87.34    -0.38    -0.38
NEWARK     240608 300  080000-080500   00      95.58 1002.1     87.75     0.09     0.09
NEWARK     240608 300  080500-081000   00      95.73 1002.1     87.87     0.23     0.23
NEWARK     240608 300  081000-081500   00      96.40 1002.1     88.49     0.94     0.94
NEWARK     240608 300  081500-082000   00      96.51 1002.1     88.61     1.07     1.07
NEWARK     240608 300  082000-082500   00      95.36 1002.2     87.58    -0.10    -0.10
NEWARK     240608 300  082500-083000   00      95.66 1002.2     87.89     0.25     0.25
NEWARK     240608 300  083000-083500   00      95.90 1002.2     88.13     0.53     0.53
NEWARK     240608 300  083500-084000   00      96.09 1002.3     88.35     0.77     0.77
