DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.31      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       240607 3600 000000-010000   00       4.37  631.3      4.33     0.53    -9999
DOMB       240607 3600 010000-020000   00       4.43  631.2      4.40     2.08    -9999
DOMB       240607 3600 020000-030000   00       4.40  631.0      4.33     0.53    -9999
DOMB       240607 3600 030000-040000   00       4.38  630.9      4.33     0.53    -9999
DOMB       240607 3600 040000-050000   00       4.37  630.9      4.30    -0.24    -9999
DOMB       240607 3600 050000-060000   00       4.43  630.9      4.38     1.69    -9999
DOMB       240607 3600 060000-070000   00       4.42  631.0      4.37     1.30    -9999
DOMB       240607 3600 070000-080000   00       4.45  631.0      4.40     2.08    -9999
DOMB       240607 3600 080000-090000   00       4.33  630.9      4.27    -1.01    -9999
DOMB       240607 3600 090000-100000   00       4.30  631.1      4.25    -1.40    -9999
DOMB       240607 3600 100000-110000   00       4.42  631.1      4.37     1.30    -9999
DOMB       240607 3600 110000-120000   00       4.38  631.2      4.33     0.53    -9999
DOMB       240607 3600 120000-130000   00       4.40  631.1      4.35     0.92    -9999
DOMB       240607 3600 130000-140000   00       4.30  630.8      4.25    -1.40    -9999
DOMB       240607 3600 140000-150000   00       4.42  630.6      4.35     0.92    -9999
DOMB       240607 3600 150000-160000   00       4.38  630.5      4.30    -0.24    -9999
DOMB       240607 3600 160000-170000   00       4.40  630.3      4.33     0.53    -9999
DOMB       240607 3600 170000-180000   00       4.37  630.1      4.28    -0.63    -9999
DOMB       240607 3600 180000-190000   00       4.42  629.9      4.33     0.53    -9999
DOMB       240607 3600 190000-200000   00       4.40  629.7      4.32     0.14    -9999
DOMB       240607 3600 200000-210000   00       4.38  629.4      4.28    -0.63    -9999
DOMB       240607 3600 210000-220000   00       4.48  629.3      4.38     1.69    -9999
DOMB       240607 3600 220000-230000   00       4.47  629.2      4.37     1.30    -9999
DOMB       240607 3600 230000-240000   00       4.48  629.0      4.38     1.69    -9999
DOMB       240608 300  000000-000500   00       4.45  628.8      4.33     0.53     0.89
DOMB       240608 300  000500-001000   00       4.58  628.8      4.47     3.62     3.95
DOMB       240608 300  001000-001500   00       4.45  628.7      4.35     0.92     1.21
DOMB       240608 300  001500-002000   00       4.47  628.7      4.35     0.92     1.18
DOMB       240608 300  002000-002500   00       4.57  628.7      4.45     3.24     3.47
DOMB       240608 300  002500-003000   00       4.33  628.6      4.22    -2.17    -1.98
DOMB       240608 300  003000-003500   00       4.23  628.6      4.12    -4.49    -4.33
DOMB       240608 300  003500-004000   00       4.52  628.6      4.40     2.08     2.21
DOMB       240608 300  004000-004500   00       4.48  628.6      4.37     1.30     1.41
DOMB       240608 300  004500-005000   00       4.55  628.5      4.43     2.85     2.93
DOMB       240608 300  005000-005500   00       4.53  628.5      4.40     2.08     2.12
DOMB       240608 300  005500-010000   00       3.83  628.5      3.72   -13.77   -13.76
DOMB       240608 300  010000-010500   00       4.05  628.4      3.92    -9.13    -9.16
DOMB       240608 300  010500-011000   00       4.65  628.3      4.52     4.78     4.73
DOMB       240608 300  011000-011500   00       4.33  628.2      4.20    -2.56    -2.64
DOMB       240608 300  011500-012000   00       4.50  628.1      4.37     1.30     1.19
DOMB       240608 300  012000-012500   00       4.72  628.1      4.58     6.33     6.19
DOMB       240608 300  012500-013000   00       4.47  628.0      4.33     0.53     0.36
DOMB       240608 300  013000-013500   00       4.45  628.0      4.32     0.14    -0.06
DOMB       240608 300  013500-014000   00       4.52  628.0      4.37     1.30     1.07
DOMB       240608 300  014000-014500   00       4.25  627.9      4.12    -4.49    -4.76
DOMB       240608 300  014500-015000   00       4.45  627.9      4.30    -0.24    -0.54
DOMB       240608 300  015000-015500   00       4.55  627.8      4.40     2.08     1.75
DOMB       240608 300  015500-020000   00       4.58  627.8      4.43     2.85     2.49
DOMB       240608 300  020000-020500   00       4.55  627.8      4.42     2.46     2.07
DOMB       240608 300  020500-021000   00       4.77  627.8      4.62     7.10     6.68
DOMB       240608 300  021000-021500   00       4.52  627.7      4.38     1.69     1.23
DOMB       240608 300  021500-022000   00       4.75  627.6      4.60     6.72     6.23
DOMB       240608 300  022000-022500   00       4.62  627.5      4.47     3.62     3.11
DOMB       240608 300  022500-023000   00       4.63  627.5      4.47     3.62     3.07
DOMB       240608 300  023000-023500   00       4.70  627.5      4.55     5.56     4.98
DOMB       240608 300  023500-024000   00       4.52  627.6      4.37     1.30     0.69
DOMB       240608 300  024000-024500   00       4.47  627.5      4.32     0.14    -0.50
DOMB       240608 300  024500-025000   00       4.63  627.5      4.48     4.01     3.34
DOMB       240608 300  025000-025500   00       4.47  627.4      4.32     0.14    -0.56
DOMB       240608 300  025500-030000   00       4.68  627.5      4.53     5.17     4.43
DOMB       240608 300  030000-030500   00       4.62  627.4      4.47     3.62     2.86
DOMB       240608 300  030500-031000   00       4.68  627.3      4.53     5.17     4.37
DOMB       240608 300  031000-031500   00       4.73  627.3      4.57     5.94     5.11
DOMB       240608 300  031500-032000   00       4.72  627.3      4.57     5.94     5.08
DOMB       240608 300  032000-032500   00       4.57  627.2      4.40     2.08     1.18
DOMB       240608 300  032500-033000   00       4.30  627.2      4.15    -3.72    -4.65
DOMB       240608 300  033000-033500   00       4.37  627.2      4.22    -2.17    -3.13
DOMB       240608 300  033500-034000   00       4.75  627.1      4.58     6.33     5.34
DOMB       240608 300  034000-034500   00       4.63  627.0      4.47     3.62     2.61
DOMB       240608 300  034500-035000   00       4.65  627.1      4.48     4.01     2.96
DOMB       240608 300  035000-035500   00       4.78  627.1      4.62     7.10     6.02
DOMB       240608 300  035500-040000   00       4.67  627.1      4.50     4.40     3.29
DOMB       240608 300  040000-040500   00       4.55  627.0      4.38     1.69     0.55
DOMB       240608 300  040500-041000   00       4.73  627.0      4.57     5.94     4.77
DOMB       240608 300  041000-041500   00       4.53  626.9      4.37     1.30     0.10
DOMB       240608 300  041500-042000   00       4.52  626.9      4.35     0.92    -0.32
DOMB       240608 300  042000-042500   00       4.55  626.9      4.38     1.69     0.42
DOMB       240608 300  042500-043000   00       4.73  626.9      4.57     5.94     4.65
DOMB       240608 300  043000-043500   00       4.63  626.9      4.47     3.62     2.29
DOMB       240608 300  043500-044000   00       4.87  626.9      4.68     8.65     7.29
DOMB       240608 300  044000-044500   00       4.73  626.8      4.55     5.56     4.17
DOMB       240608 300  044500-045000   00       4.53  626.8      4.37     1.30    -0.12
DOMB       240608 300  045000-045500   00       4.67  626.7      4.48     4.01     2.56
DOMB       240608 300  045500-050000   00       4.67  626.7      4.48     4.01     2.52
DOMB       240608 300  050000-050500   00    -999.00 -999.0   -999.00    -9999    -9999
DOMB       240608 300  050500-051000   00       4.45  626.6      4.28    -0.63    -2.18
