MIRNY      LATITUDE    -66.55    LONGITUDE     93.02     ALTITUDE    30 M
MIRNY      INSTRUMENT   12NM64    NEUTRON MONITOR
MIRNY      STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.73     % / MB
MIRNY      PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
MIRNY      PRE-INCREASE AVERAGE COUNTING RATE    108.64      COUNTS PER SECOND
MIRNY      TIME INTERVALS    300         3600     
MIRNY      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MIRNY      240608 300  035500-040000   00     115.22  991.8    108.37    -0.25    -0.32
MIRNY      240608 300  040000-040500   00     115.85  991.9    109.10     0.43     0.35
MIRNY      240608 300  040500-041000   00     115.38  991.7    108.52    -0.11    -0.19
MIRNY      240608 300  041000-041500   00     115.17  991.6    108.23    -0.37    -0.45
MIRNY      240608 300  041500-042000   00     114.97  991.5    107.98    -0.60    -0.68
MIRNY      240608 300  042000-042500   00     118.28  991.4    111.02     2.19     2.11
MIRNY      240608 300  042500-043000   00     117.03  991.3    109.70     0.98     0.89
MIRNY      240608 300  043000-043500   00     116.83  991.2    109.47     0.76     0.68
MIRNY      240608 300  043500-044000   00     115.62  991.0    108.18    -0.42    -0.51
MIRNY      240608 300  044000-044500   00     116.32  991.0    108.80     0.15     0.06
MIRNY      240608 300  044500-045000   00     115.42  991.0    108.02    -0.57    -0.66
MIRNY      240608 300  045000-045500   00     115.87  991.1    108.52    -0.11    -0.20
MIRNY      240608 300  045500-050000   00     116.25  990.8    108.60    -0.03    -0.13
MIRNY      240608 300  050000-050500   00     117.02  990.7    109.23     0.55     0.45
MIRNY      240608 300  050500-051000   00     116.90  990.5    109.00     0.33     0.24
MIRNY      240608 300  051000-051500   00     117.00  990.4    108.93     0.27     0.17
MIRNY      240608 300  051500-052000   00     118.33  990.3    110.15     1.39     1.29
MIRNY      240608 300  052000-052500   00     116.63  990.3    108.57    -0.06    -0.17
MIRNY      240608 300  052500-053000   00     118.72  990.2    110.38     1.61     1.50
MIRNY      240608 300  053000-053500   00     116.08  990.0    107.83    -0.74    -0.85
MIRNY      240608 300  053500-054000   00     118.05  989.9    109.52     0.81     0.70
MIRNY      240608 300  054000-054500   00     116.25  989.7    107.68    -0.88    -0.99
MIRNY      240608 300  054500-055000   00     117.47  989.4    108.65     0.01    -0.10
MIRNY      240608 300  055000-055500   00     117.38  989.4    108.52    -0.11    -0.22
MIRNY      240608 300  055500-060000   00     116.85  989.6    108.17    -0.43    -0.55
MIRNY      240608 300  060000-060500   00     116.92  990.0    108.57    -0.06    -0.18
MIRNY      240608 300  060500-061000   00     117.75  990.4    109.72     0.99     0.88
MIRNY      240608 300  061000-061500   00     117.27  990.4    109.23     0.55     0.43
MIRNY      240608 300  061500-062000   00     116.88  990.4    108.90     0.24     0.12
MIRNY      240608 300  062000-062500   00     116.62  990.4    108.63     0.00    -0.13
MIRNY      240608 300  062500-063000   00     116.90  990.3    108.80     0.15     0.03
MIRNY      240608 300  063000-063500   00     116.58  990.2    108.47    -0.16    -0.28
MIRNY      240608 300  063500-064000   00     116.40  990.3    108.37    -0.25    -0.38
MIRNY      240608 300  064000-064500   00     115.88  990.4    107.92    -0.66    -0.79
MIRNY      240608 300  064500-065000   00     116.43  990.5    108.52    -0.11    -0.24
MIRNY      240608 300  065000-065500   00     115.58  990.5    107.75    -0.82    -0.95
MIRNY      240608 300  065500-070000   00     117.55  990.6    109.67     0.95     0.81
MIRNY      240608 300  070000-070500   00     117.50  990.6    109.62     0.90     0.77
MIRNY      240608 300  070500-071000   00     116.78  990.5    108.85     0.20     0.06
MIRNY      240608 300  071000-071500   00     115.88  990.4    107.93    -0.65    -0.79
MIRNY      240608 300  071500-072000   00     117.18  990.3    109.08     0.41     0.27
