NEWARK     LATITUDE    39.68     LONGITUDE     -75.75    ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR
NEWARK     STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.735    % / MB
NEWARK     240511 300  041000-041500   00      86.07 1005.6     81.06     1.34     0.51
NEWARK     240511 300  041500-042000   00      87.29 1005.6     82.23     2.80     1.95
NEWARK     240511 300  042000-042500   00      86.48 1005.7     81.52     1.92     1.05
NEWARK     240511 300  042500-043000   00      87.30 1005.7     82.28     2.87     1.98
NEWARK     240511 300  043000-043500   00      86.93 1005.6     81.88     2.38     1.48
NEWARK     240511 300  043500-044000   00      87.65 1005.6     82.53     3.19     2.27
NEWARK     240511 300  044000-044500   00      87.44 1005.5     82.30     2.90     1.97
NEWARK     240511 300  044500-045000   00      87.46 1005.6     82.35     2.96     2.02
NEWARK     240511 300  045000-045500   00      85.67 1005.6     80.67     0.86    -0.10
NEWARK     240511 300  045500-050000   00      87.80 1005.7     82.72     3.43     2.45
NEWARK     240511 300  050000-050500   00      87.40 1005.8     82.42     3.04     2.05
NEWARK     240511 300  050500-051000   00      86.92 1005.8     81.98     2.49     1.49
NEWARK     240511 300  051000-051500   00      86.94 1005.8     81.99     2.51     1.49
NEWARK     240511 300  051500-052000   00      88.35 1005.8     83.31     4.16     3.13
NEWARK     240511 300  052000-052500   00      86.82 1005.7     81.83     2.31     1.26
NEWARK     240511 300  052500-053000   00      87.60 1005.6     82.51     3.16     2.10
NEWARK     240511 300  053000-053500   00      85.03 1005.6     80.05     0.09    -0.99
NEWARK     240511 300  053500-054000   00      86.09 1005.5     81.04     1.32     0.23
NEWARK     240511 300  054000-054500   00      87.03 1005.4     81.87     2.36     1.26
NEWARK     240511 300  054500-055000   00      86.99 1005.4     81.80     2.27     1.15
NEWARK     240511 300  055000-055500   00      86.29 1005.4     81.22     1.54     0.41
NEWARK     240511 300  055500-060000   00      86.96 1005.4     81.76     2.22     1.07
NEWARK     240511 300  060000-060500   00      86.49 1005.4     81.34     1.70     0.54
NEWARK     240511 300  060500-061000   00      85.54 1005.4     80.47     0.61    -0.56
NEWARK     240511 300  061000-061500   00      87.15 1005.5     82.02     2.55     1.36
NEWARK     240511 300  061500-062000   00      86.58 1005.5     81.48     1.87     0.67
NEWARK     240511 300  062000-062500   00      86.14 1005.4     81.03     1.31     0.09
NEWARK     240511 300  062500-063000   00      86.26 1005.3     81.09     1.38     0.15
NEWARK     240511 300  063000-063500   00      87.69 1005.3     82.40     3.02     1.78
NEWARK     240511 300  063500-064000   00      87.55 1005.3     82.30     2.89     1.64
NEWARK     240511 300  064000-064500   00      86.07 1005.3     80.88     1.12    -0.15
NEWARK     240511 300  064500-065000   00      87.18 1005.3     81.91     2.41     1.13
NEWARK     240511 300  065000-065500   00      86.25 1005.2     81.00     1.26    -0.03
NEWARK     240511 300  065500-070000   00      86.67 1005.2     81.38     1.74     0.44
NEWARK     240511 300  070000-070500   00      86.71 1005.3     81.50     1.90     0.58
NEWARK     240511 300  070500-071000   00      85.86 1005.4     80.73     0.93    -0.40
NEWARK     240511 300  071000-071500   00      86.78 1005.3     81.53     1.93     0.59
NEWARK     240511 300  071500-072000   00      87.53 1005.1     82.14     2.70     1.34
NEWARK     240511 300  072000-072500   00      87.18 1004.9     81.68     2.11     0.75
NEWARK     240511 300  072500-073000   00      87.71 1004.7     82.05     2.59     1.21
NEWARK     240511 300  073000-073500   00      87.30 1004.7     81.66     2.10     0.70
NEWARK     240511 300  073500-074000   00      87.52 1004.7     81.89     2.39     0.98
NEWARK     240511 300  074000-074500   00      87.31 1004.8     81.75     2.21     0.79
NEWARK     240511 300  074500-075000   00      86.57 1005.0     81.17     1.48     0.05
NEWARK     240511 300  075000-075500   00      85.47 1005.2     80.24     0.32    -1.13
NEWARK     240511 300  075500-080000   00      86.65 1005.2     81.39     1.76     0.31
NEWARK     240511 300  080000-080500   00      87.43 1005.3     82.15     2.71     1.24
NEWARK     240511 300  080500-081000   00      87.10 1005.4     81.89     2.39     0.91
NEWARK     240511 300  081000-081500   00      87.93 1005.3     82.61     3.29     1.80
NEWARK     240511 300  081500-082000   00      86.35 1005.1     81.03     1.31    -0.19
NEWARK     240511 300  082000-082500   00      86.02 1005.1     80.70     0.89    -0.62
NEWARK     240511 300  082500-083000   00      87.35 1005.0     81.90     2.39     0.87
NEWARK     240511 300  083000-083500   00      86.21 1005.0     80.81     1.03    -0.51
NEWARK     240511 300  083500-084000   00      87.37 1005.0     81.89     2.38     0.83
NEWARK     240511 300  084000-084500   00      88.12 1005.1     82.68     3.37     1.81
NEWARK     240511 300  084500-085000   00      87.36 1005.1     81.98     2.50     0.93
NEWARK     240511 300  085000-085500   00      87.31 1005.1     81.91     2.41     0.83
NEWARK     240511 300  085500-090000   00      88.12 1005.1     82.67     3.36     1.77
NEWARK     240511 300  090000-090500   00      86.72 1005.1     81.34     1.70     0.10
NEWARK     240511 300  090500-091000   00      86.26 1005.1     80.94     1.19    -0.42
NEWARK     240511 300  091000-091500   00      87.70 1005.1     82.28     2.87     1.24
NEWARK     240511 300  091500-092000   00      86.26 1005.0     80.89     1.13    -0.50
NEWARK     240511 300  092000-092500   00      86.84 1005.1     81.45     1.83     0.19
NEWARK     240511 300  092500-093000   00      85.02 1005.1     79.77    -0.27    -1.93
NEWARK     240511 300  093000-093500   00      87.15 1005.1     81.78     2.25     0.58
NEWARK     240511 300  093500-094000   00      86.29 1005.1     80.99     1.25    -0.42
NEWARK     240511 300  094000-094500   00      86.48 1005.1     81.17     1.48    -0.21
NEWARK     240511 300  094500-095000   00      86.96 1005.1     81.59     2.01     0.32
NEWARK     240511 300  095000-095500   00      87.24 1005.2     81.91     2.40     0.70
NEWARK     240511 300  095500-100000   00      85.93 1005.3     80.73     0.93    -0.79
NEWARK     240511 300  100000-100500   00      84.69 1005.3     79.57    -0.52    -2.25
NEWARK     240511 300  100500-101000   00      85.77 1005.3     80.58     0.74    -1.00
NEWARK     240511 300  101000-101500   00      87.17 1005.3     81.90     2.40     0.66
NEWARK     240511 300  101500-102000   00      85.57 1005.3     80.40     0.52    -1.23
NEWARK     240511 300  102000-102500   00      87.51 1005.3     82.23     2.81     1.05
NEWARK     240511 300  102500-103000   00      87.12 1005.4     81.93     2.43     0.66
NEWARK     240511 300  103000-103500   00      86.52 1005.5     81.41     1.78     0.00
NEWARK     240511 300  103500-104000   00      85.30 1005.5     80.29     0.38    -1.41
NEWARK     240511 300  104000-104500   00      86.63 1005.6     81.59     2.01     0.21
NEWARK     240511 300  104500-105000   00      85.67 1005.7     80.73     0.93    -0.88
NEWARK     240511 300  105000-105500   00      85.81 1005.7     80.89     1.13    -0.69
NEWARK     240511 300  105500-110000   00      85.93 1005.7     80.96     1.21    -0.61
NEWARK     240511 300  110000-110500   00      86.83 1005.7     81.82     2.30     0.46
NEWARK     240511 300  110500-111000   00      86.00 1005.8     81.09     1.38    -0.47
NEWARK     240511 300  111000-111500   00      88.95 1005.8     83.88     4.87     3.02
NEWARK     240511 300  111500-112000   00      86.07 1005.8     81.17     1.49    -0.38
NEWARK     240511 300  112000-112500   00      85.37 1005.8     80.51     0.66    -1.21
NEWARK     240511 300  112500-113000   00      87.29 1005.8     82.33     2.93     1.05
NEWARK     240511 300  113000-113500   00      86.85 1005.8     81.92     2.42     0.53
NEWARK     240511 300  113500-114000   00      86.54 1005.8     81.64     2.06     0.17
NEWARK     240511 300  114000-114500   00      87.94 1005.9     82.98     3.74     1.84
NEWARK     240511 300  114500-115000   00      86.35 1005.9     81.50     1.89    -0.02
NEWARK     240511 300  115000-115500   00      86.98 1005.9     82.06     2.60     0.68
NEWARK     240511 300  115500-120000   00      87.52 1005.9     82.58     3.24     1.31
NEWARK     240511 300  120000-120500   00      85.94 1005.8     81.06     1.35    -0.59
NEWARK     240511 300  120500-121000   00      86.23 1005.8     81.34     1.70    -0.24
NEWARK     240511 300  121000-121500   00      84.53 1005.8     79.74    -0.30    -2.26
NEWARK     240511 300  121500-122000   00      85.70 1005.8     80.85     1.08    -0.88
NEWARK     240511 300  122000-122500   00      84.71 1005.9     79.92    -0.08    -2.05
NEWARK     240511 300  122500-123000   00      83.47 1005.9     78.76    -1.53    -3.51
NEWARK     240511 300  123000-123500   00      85.81 1005.9     80.97     1.23    -0.75
NEWARK     240511 300  123500-124000   00      86.73 1005.9     81.83     2.30     0.31
NEWARK     240511 300  124000-124500   00      84.29 1005.8     79.51    -0.59    -2.59
NEWARK     240511 300  124500-125000   00      86.10 1005.9     81.23     1.56    -0.44
NEWARK     240511 300  125000-125500   00      86.69 1005.8     81.78     2.25     0.24
NEWARK     240511 300  125500-130000   00      85.66 1005.9     80.83     1.06    -0.96
NEWARK     240511 300  130000-130500   00      84.92 1005.9     80.13     0.18    -1.85
NEWARK     240511 300  130500-131000   00      85.91 1005.9     81.07     1.36    -0.67
NEWARK     240511 300  131000-131500   00      86.13 1005.9     81.30     1.65    -0.39
NEWARK     240511 300  131500-132000   00      84.87 1005.9     80.13     0.18    -1.87
NEWARK     240511 300  132000-132500   00      84.84 1005.9     80.08     0.11    -1.94
NEWARK     240511 300  132500-133000   00      85.58 1005.9     80.76     0.97    -1.09
NEWARK     240511 300  133000-133500   00      86.63 1005.9     81.75     2.21     0.15
NEWARK     240511 300  133500-134000   00      87.27 1005.9     82.37     2.98     0.91
NEWARK     240511 300  134000-134500   00      86.21 1005.9     81.37     1.73    -0.34
NEWARK     240511 300  134500-135000   00      88.02 1005.9     83.06     3.84     1.76
NEWARK     240511 300  135000-135500   00      85.27 1005.8     80.41     0.53    -1.55
NEWARK     240511 300  135500-140000   00      86.74 1005.8     81.78     2.24     0.15
NEWARK     240511 300  140000-140500   00      86.19 1005.7     81.21     1.54    -9999
NEWARK     240511 300  140500-141000   00      87.44 1005.6     82.38     3.00    -9999
NEWARK     240511 300  141000-141500   00      85.57 1005.6     80.61     0.78    -9999
NEWARK     240511 300  141500-142000   00      85.55 1005.6     80.58     0.75    -9999
NEWARK     240511 300  142000-142500   00      85.42 1005.6     80.45     0.58    -9999
NEWARK     240511 300  142500-143000   00      86.56 1005.5     81.49     1.88    -9999
NEWARK     240511 300  143000-143500   00      86.82 1005.5     81.73     2.18    -9999
NEWARK     240511 300  143500-144000   00      85.79 1005.5     80.74     0.94    -9999
NEWARK     240511 300  144000-144500   00      86.95 1005.5     81.81     2.28    -9999
NEWARK     240511 300  144500-145000   00      87.32 1005.4     82.13     2.68    -9999
NEWARK     240511 300  145000-145500   00      86.51 1005.4     81.35     1.70    -9999
NEWARK     240511 300  145500-150000   00      85.47 1005.4     80.39     0.50    -9999
NEWARK     240511 300  150000-150500   00      87.89 1005.4     82.67     3.36    -9999
NEWARK     240511 300  150500-151000   00      87.37 1005.4     82.14     2.70    -9999
NEWARK     240511 300  151000-151500   00      86.44 1005.3     81.24     1.57    -9999
NEWARK     240511 300  151500-152000   00      87.01 1005.3     81.77     2.24    -9999
NEWARK     240511 300  152000-152500   00      85.63 1005.3     80.48     0.62    -9999
NEWARK     240511 300  152500-153000   00      86.60 1005.3     81.38     1.74    -9999
NEWARK     240511 300  153000-153500   00      88.47 1005.3     83.12     3.92    -9999
NEWARK     240511 300  153500-154000   00      87.15 1005.2     81.86     2.35    -9999
NEWARK     240511 300  154000-154500   00      85.67 1005.3     80.49     0.63    -9999
NEWARK     240511 300  154500-155000   00      86.15 1005.2     80.92     1.17    -9999
NEWARK     240511 300  155000-155500   00      87.51 1005.2     82.19     2.75    -9999
NEWARK     240511 300  155500-160000   00      88.50 1005.2     83.09     3.89    -9999
NEWARK     240511 300  160000-160500   00      89.17 1005.1     83.68     4.63    -9999
NEWARK     240511 300  160500-161000   00      87.99 1005.1     82.57     3.23    -9999
NEWARK     240511 300  161000-161500   00      86.65 1005.1     81.28     1.62    -9999
NEWARK     240511 300  161500-162000   00      88.09 1005.0     82.62     3.30    -9999
NEWARK     240511 300  162000-162500   00      87.45 1005.0     82.00     2.53    -9999
NEWARK     240511 300  162500-163000   00      87.77 1004.9     82.26     2.85    -9999
NEWARK     240511 300  163000-163500   00      88.02 1004.9     82.46     3.09    -9999
NEWARK     240511 300  163500-164000   00      87.27 1004.9     81.74     2.20    -9999
NEWARK     240511 300  164000-164500   00      87.70 1004.9     82.15     2.71    -9999
NEWARK     240511 300  164500-165000   00      87.45 1004.9     81.94     2.44    -9999
NEWARK     240511 300  165000-165500   00      88.22 1004.9     82.64     3.32    -9999
NEWARK     240511 300  165500-170000   00      86.52 1004.8     81.03     1.30    -9999
NEWARK     240511 3600 170000-180000   00      87.70 1004.6     82.01     2.53    -9999
NEWARK     240511 3600 180000-190000   00      87.74 1004.2     81.80     2.27    -9999
NEWARK     240511 3600 190000-200000   00      88.41 1003.6     82.07     2.61    -9999
NEWARK     240511 3600 200000-210000   00      89.01 1003.1     82.28     2.88    -9999
NEWARK     240511 3600 210000-220000   00      88.58 1003.7     82.26     2.85    -9999
NEWARK     240511 3600 220000-230000   00      88.04 1003.9     81.86     2.34    -9999
NEWARK     240511 3600 230000-240000   00      87.02 1004.5     81.27     1.61    -9999
NEWARK     240512 3600 000000-010000   00      86.74 1005.2     81.44     1.81    -9999
NEWARK     240512 3600 010000-020000   00      87.08 1005.4     81.89     2.39    -9999
NEWARK     240512 3600 020000-030000   00      86.43 1005.4     81.26     1.60    -9999
NEWARK     240512 3600 030000-040000   00      86.73 1005.1     81.37     1.74    -9999
NEWARK     240512 3600 040000-050000   00      87.17 1004.8     81.65     2.09    -9999
NEWARK     240512 3600 050000-060000   00      87.31 1004.5     81.58     2.00    -9999
NEWARK     240512 3600 060000-070000   00      87.52 1004.7     81.89     2.38    -9999
NEWARK     240512 3600 070000-080000   00      87.89 1004.4     82.08     2.63    -9999
NEWARK     240512 3600 080000-090000   00      88.10 1004.5     82.31     2.91    -9999
NEWARK     240512 3600 090000-100000   00      87.62 1004.3     81.77     2.24    -9999
NEWARK     240512 3600 100000-110000   00      87.51 1004.6     81.81     2.29    -9999
NEWARK     240512 3600 110000-120000   00      87.37 1005.0     81.91     2.41    -9999
NEWARK     240512 3600 120000-130000   00      87.00 1005.2     81.67     2.11    -9999
NEWARK     240512 3600 130000-140000   00      87.61 1005.3     82.34     2.96    -9999
NEWARK     240512 3600 140000-150000   00      87.40 1005.7     82.35     2.96    -9999
NEWARK     240512 3600 150000-160000   00      88.12 1005.7     83.05     3.84    -9999
NEWARK     240512 3600 160000-170000   00      87.81 1005.8     82.81     3.54    -9999
NEWARK     240512 3600 170000-180000   00      87.97 1006.0     83.10     3.90    -9999
NEWARK     240512 3600 180000-190000   00      87.90 1006.3     83.21     4.04    -9999
NEWARK     240512 3600 190000-200000   00      88.30 1006.5     83.70     4.66    -9999
NEWARK     240512 3600 200000-210000   00      87.57 1007.0     83.33     4.19    -9999
NEWARK     240512 3600 210000-220000   00      86.11 1007.8     82.41     3.04    -9999
NEWARK     240512 3600 220000-230000   00      86.56 1008.5     83.27     4.11    -9999
NEWARK     240512 3600 230000-240000   00      85.95 1009.1     83.06     3.85    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074NEWK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
