JANG BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG BOGO  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JANG BOGO  PRE-INCREASE AVERAGE COUNTING RATE    223.10      COUNTS PER SECOND
JANG BOGO  TIME INTERVALS    300         3600     
JANG BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG BOGO  240511 300  005500-010000   00     214.60  986.0    226.93     1.72    -9999
JANG BOGO  240511 300  010000-010500   00     215.87  985.9    228.17     2.27     1.82
JANG BOGO  240511 300  010500-011000   00     210.58  986.0    222.70    -0.18    -0.64
JANG BOGO  240511 300  011000-011500   00     209.57  986.1    221.73    -0.61    -1.10
JANG BOGO  240511 300  011500-012000   00     207.87  986.0    219.87    -1.45    -1.95
JANG BOGO  240511 300  012000-012500   00     211.38  986.0    223.55     0.20    -0.32
JANG BOGO  240511 300  012500-013000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  013000-013500   00     208.60  986.1    220.85    -1.01    -1.57
JANG BOGO  240511 300  013500-014000   00     212.74  986.0    224.98     0.84     0.26
JANG BOGO  240511 300  014000-014500   00     214.15  985.9    226.25     1.41     0.81
JANG BOGO  240511 300  014500-015000   00     209.70  985.9    221.70    -0.63    -1.24
JANG BOGO  240511 300  015000-015500   00     214.93  986.0    227.25     1.86     1.22
JANG BOGO  240511 300  015500-020000   00     213.10  986.1    225.50     1.08     0.42
JANG BOGO  240511 300  020000-020500   00     214.43  985.9    226.70     1.62     0.94
JANG BOGO  240511 300  020500-021000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  021000-021500   00     212.53  985.7    224.23     0.51    -0.19
JANG BOGO  240511 300  021500-022000   00     210.65  985.7    222.25    -0.38    -1.10
JANG BOGO  240511 300  022000-022500   00     212.80  985.6    224.48     0.62    -0.12
JANG BOGO  240511 300  022500-023000   00     218.60  985.7    230.80     3.45     2.70
JANG BOGO  240511 300  023000-023500   00     215.37  985.7    227.17     1.82     1.06
JANG BOGO  240511 300  023500-024000   00     216.00  985.7    227.95     2.18     1.39
JANG BOGO  240511 300  024000-024500   00     216.85  985.7    228.75     2.53     1.73
JANG BOGO  240511 300  024500-025000   00     213.00  985.6    224.65     0.70    -0.12
JANG BOGO  240511 300  025000-025500   00     223.00  985.5    235.00     5.34     4.50
JANG BOGO  240511 300  025500-030000   00     217.25  985.4    228.75     2.53     1.69
JANG BOGO  240511 300  030000-030500   00     216.20  985.5    227.75     2.09     1.23
JANG BOGO  240511 300  030500-031000   00     213.70  985.4    225.05     0.88     0.01
JANG BOGO  240511 300  031000-031500   00     214.50  985.3    225.75     1.19     0.31
JANG BOGO  240511 300  031500-032000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  032000-032500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  032500-033000   00     214.73  985.1    225.67     1.15     0.23
JANG BOGO  240511 300  033000-033500   00     216.90  984.8    227.35     1.91     0.97
JANG BOGO  240511 300  033500-034000   00     217.80  984.4    227.60     2.02     1.07
JANG BOGO  240511 300  034000-034500   00     220.10  984.6    230.35     3.25     2.29
JANG BOGO  240511 300  034500-035000   00     216.50  984.6    226.65     1.59     0.62
JANG BOGO  240511 300  035000-035500   00     216.40  984.6    226.50     1.53     0.54
JANG BOGO  240511 300  035500-040000   00     220.60  984.6    230.90     3.50     2.50
JANG BOGO  240511 300  040000-040500   00     216.20  985.2    227.40     1.93     0.92
JANG BOGO  240511 300  040500-041000   00     215.90  985.1    226.80     1.66     0.64
JANG BOGO  240511 300  041000-041500   00     216.50  985.1    227.45     1.95     0.92
JANG BOGO  240511 300  041500-042000   00     216.76  985.0    227.58     2.01     0.97
JANG BOGO  240511 300  042000-042500   00     218.10  985.0    229.00     2.65     1.60
JANG BOGO  240511 300  042500-043000   00     214.95  985.0    225.60     1.12     0.07
JANG BOGO  240511 300  043000-043500   00     215.23  985.0    225.88     1.25     0.18
JANG BOGO  240511 300  043500-044000   00     218.20  985.0    229.10     2.69     1.61
JANG BOGO  240511 300  044000-044500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  044500-045000   00     211.67  984.7    221.77    -0.60    -1.68
JANG BOGO  240511 300  045000-045500   00     218.53  984.6    228.83     2.57     1.46
JANG BOGO  240511 300  045500-050000   00     214.10  984.6    224.05     0.43    -0.68
JANG BOGO  240511 300  050000-050500   00     215.65  984.4    225.45     1.06    -0.06
JANG BOGO  240511 300  050500-051000   00     214.57  984.5    224.40     0.58    -0.54
JANG BOGO  240511 300  051000-051500   00     217.80  984.5    227.87     2.14     1.00
JANG BOGO  240511 300  051500-052000   00     217.97  984.4    227.80     2.11     0.97
JANG BOGO  240511 300  052000-052500   00     219.50  984.5    229.50     2.87     1.72
JANG BOGO  240511 300  052500-053000   00     218.30  984.5    228.30     2.33     1.18
JANG BOGO  240511 300  053000-053500   00     212.10  984.5    221.90    -0.54    -1.69
JANG BOGO  240511 300  053500-054000   00     214.95  984.4    224.70     0.72    -0.45
JANG BOGO  240511 300  054000-054500   00     214.68  984.4    224.38     0.57    -0.60
JANG BOGO  240511 300  054500-055000   00     213.73  984.3    223.23     0.06    -1.11
JANG BOGO  240511 300  055000-055500   00     213.50  984.3    223.10     0.00    -1.18
JANG BOGO  240511 300  055500-060000   00     217.47  984.2    227.03     1.76     0.57
JANG BOGO  240511 300  060000-060500   00     213.38  984.1    222.53    -0.26    -1.45
JANG BOGO  240511 300  060500-061000   00     214.60  983.9    223.50     0.18    -1.02
JANG BOGO  240511 300  061000-061500   00     213.47  983.9    222.27    -0.37    -1.57
JANG BOGO  240511 300  061500-062000   00     217.77  983.9    226.77     1.65     0.44
JANG BOGO  240511 300  062000-062500   00     218.00  984.1    227.20     1.84     0.63
JANG BOGO  240511 300  062500-063000   00     212.50  983.9    221.30    -0.81    -2.02
JANG BOGO  240511 300  063000-063500   00     219.00  983.9    228.10     2.24     1.02
JANG BOGO  240511 300  063500-064000   00     219.60  983.9    228.70     2.51     1.29
JANG BOGO  240511 300  064000-064500   00     217.38  983.8    226.28     1.42     0.20
JANG BOGO  240511 300  064500-065000   00     215.55  983.7    224.20     0.49    -0.73
JANG BOGO  240511 300  065000-065500   00     215.80  983.7    224.40     0.58    -0.64
JANG BOGO  240511 300  065500-070000   00     214.77  983.8    223.43     0.15    -1.08
JANG BOGO  240511 300  070000-070500   00     218.10  983.7    226.80     1.66     0.42
JANG BOGO  240511 300  070500-071000   00     214.90  983.7    223.50     0.18    -1.05
JANG BOGO  240511 300  071000-071500   00     217.67  983.6    226.17     1.38     0.14
JANG BOGO  240511 300  071500-072000   00     217.30  983.5    225.75     1.19    -0.05
JANG BOGO  240511 300  072000-072500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  072500-073000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  240511 300  073000-073500   00     216.08  983.6    224.43     0.60    -0.64
JANG BOGO  240511 300  073500-074000   00     219.70  983.3    227.83     2.12     0.88
