MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240511 300  005000-005500   00     216.27  772.1    206.39     0.52    -9999
MEXICOCITY 240511 300  005500-010000   00     216.09  772.2    206.30     0.48    -9999
MEXICOCITY 240511 300  010000-010500   00     215.81  772.3    206.18     0.42    -9999
MEXICOCITY 240511 300  010500-011000   00     215.94  772.4    206.46     0.56    -9999
MEXICOCITY 240511 300  011000-011500   00     216.89  772.4    207.45     1.04    -9999
MEXICOCITY 240511 300  011500-012000   00     216.17  772.5    206.94     0.79    -9999
MEXICOCITY 240511 300  012000-012500   00     215.97  772.7    206.95     0.80    -9999
MEXICOCITY 240511 300  012500-013000   00     216.51  772.9    207.73     1.18    -9999
MEXICOCITY 240511 300  013000-013500   00     216.48  772.9    207.76     1.19    -9999
MEXICOCITY 240511 300  013500-014000   00     217.85  772.9    209.11     1.85    -9999
MEXICOCITY 240511 300  014000-014500   00     219.40  773.0    210.77     2.66    -9999
MEXICOCITY 240511 300  014500-015000   00     217.59  773.1    209.12     1.86    -9999
MEXICOCITY 240511 300  015000-015500   00     217.93  773.1    209.52     2.05    -9999
MEXICOCITY 240511 300  015500-020000   00     217.33  773.2    209.02     1.81    -9999
MEXICOCITY 240511 300  020000-020500   00     216.37  773.3    208.22     1.42    -9999
MEXICOCITY 240511 300  020500-021000   00     214.59  773.3    206.54     0.60    -9999
MEXICOCITY 240511 300  021000-021500   00     212.64  773.4    204.81    -0.25    -9999
MEXICOCITY 240511 300  021500-022000   00     214.25  773.4    206.35     0.51    -9999
MEXICOCITY 240511 300  022000-022500   00     216.16  773.5    208.29     1.45    -9999
MEXICOCITY 240511 300  022500-023000   00     217.37  773.5    209.58     2.08    -9999
MEXICOCITY 240511 300  023000-023500   00     216.47  773.7    208.92     1.76    -9999
MEXICOCITY 240511 300  023500-024000   00     216.83  773.8    209.41     2.00    -9999
MEXICOCITY 240511 300  024000-024500   00     213.14  773.8    205.88     0.28    -9999
MEXICOCITY 240511 300  024500-025000   00     216.58  773.9    209.35     1.97    -9999
MEXICOCITY 240511 300  025000-025500   00     216.04  773.9    208.83     1.71    -9999
MEXICOCITY 240511 300  025500-030000   00     216.70  774.0    209.58     2.08    -9999
MEXICOCITY 240511 300  030000-030500   00     216.25  774.0    209.18     1.88    -9999
MEXICOCITY 240511 300  030500-031000   00     217.80  774.1    210.83     2.69    -9999
MEXICOCITY 240511 300  031000-031500   00     219.35  774.2    212.48     3.49    -9999
MEXICOCITY 240511 300  031500-032000   00     216.99  774.2    210.25     2.41    -9999
MEXICOCITY 240511 300  032000-032500   00     217.72  774.3    211.11     2.83    -9999
MEXICOCITY 240511 300  032500-033000   00     216.37  774.4    209.95     2.26    -9999
MEXICOCITY 240511 300  033000-033500   00     215.71  774.6    209.55     2.06    -9999
MEXICOCITY 240511 300  033500-034000   00     215.56  774.6    209.40     1.99    -9999
MEXICOCITY 240511 300  034000-034500   00     216.27  774.6    210.09     2.33    -9999
MEXICOCITY 240511 300  034500-035000   00     214.22  774.7    208.19     1.40    -9999
MEXICOCITY 240511 300  035000-035500   00     212.89  774.7    206.96     0.80    -9999
MEXICOCITY 240511 300  035500-040000   00     213.27  774.7    207.38     1.01    -9999
MEXICOCITY 240511 300  040000-040500   00     212.98  774.9    207.28     0.96    -9999
MEXICOCITY 240511 300  040500-041000   00     213.26  774.9    207.62     1.12    -9999
MEXICOCITY 240511 300  041000-041500   00     212.71  775.0    207.22     0.93    -9999
