ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    MB     COEFFICIENT   -0.705    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    113.82      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       240511 300  013000-013500   00     111.50 1014.4    115.61     1.57    -9999
ROME       240511 300  013500-014000   00     111.53 1014.4    115.63     1.59    -9999
ROME       240511 300  014000-014500   00     111.89 1014.4    115.99     1.91    -9999
ROME       240511 300  014500-015000   00     109.69 1014.4    113.71    -0.09    -9999
ROME       240511 300  015000-015500   00     111.83 1014.4    115.92     1.85    -9999
ROME       240511 300  015500-020000   00     111.23 1014.4    115.31     1.31    -9999
ROME       240511 300  020000-020500   00     112.03 1014.4    116.16     2.06    -9999
ROME       240511 300  020500-021000   00     110.58 1014.5    114.68     0.76    -9999
ROME       240511 300  021000-021500   00     111.88 1014.5    116.03     1.94    -9999
ROME       240511 300  021500-022000   00     112.59 1014.5    116.78     2.60    -9999
ROME       240511 300  022000-022500   00     112.29 1014.5    116.48     2.34    -9999
ROME       240511 300  022500-023000   00     111.98 1014.5    116.16     2.06    -9999
ROME       240511 300  023000-023500   00     113.35 1014.5    117.56     3.29    -9999
ROME       240511 300  023500-024000   00     113.86 1014.4    118.05     3.72    -9999
ROME       240511 300  024000-024500   00     113.97 1014.4    118.17     3.82    -9999
ROME       240511 300  024500-025000   00     114.78 1014.5    119.05     4.60    -9999
ROME       240511 300  025000-025500   00     112.64 1014.5    116.82     2.63    -9999
ROME       240511 300  025500-030000   00     112.51 1014.4    116.64     2.48    -9999
ROME       240511 300  030000-030500   00     113.27 1014.4    117.39     3.14    -9999
ROME       240511 300  030500-031000   00     110.54 1014.3    114.54     0.64    -9999
ROME       240511 300  031000-031500   00     112.71 1014.4    116.81     2.63    -9999
ROME       240511 300  031500-032000   00     112.47 1014.4    116.62     2.46    -9999
ROME       240511 300  032000-032500   00     113.17 1014.5    117.40     3.15    -9999
ROME       240511 300  032500-033000   00     113.00 1014.5    117.25     3.02    -9999
ROME       240511 300  033000-033500   00     112.55 1014.5    116.78     2.60    -9999
ROME       240511 300  033500-034000   00     112.64 1014.5    116.82     2.63    -9999
ROME       240511 300  034000-034500   00     110.74 1014.5    114.85     0.91    -9999
ROME       240511 300  034500-035000   00     110.54 1014.5    114.66     0.74    -9999
ROME       240511 300  035000-035500   00     111.68 1014.5    115.89     1.82    -9999
ROME       240511 300  035500-040000   00     111.92 1014.6    116.17     2.06    -9999
ROME       240511 300  040000-040500   00     111.57 1014.6    115.84     1.77    -9999
ROME       240511 300  040500-041000   00     112.32 1014.6    116.63     2.47    -9999
ROME       240511 300  041000-041500   00     111.86 1014.6    116.15     2.05    -9999
ROME       240511 300  041500-042000   00     110.92 1014.7    115.21     1.23    -9999
ROME       240511 300  042000-042500   00     110.68 1014.8    115.03     1.06    -9999
ROME       240511 300  042500-043000   00     110.97 1014.8    115.36     1.35    -9999
ROME       240511 300  043000-043500   00     111.18 1014.9    115.61     1.57    -9999
ROME       240511 300  043500-044000   00     112.04 1014.9    116.56     2.41    -9999
ROME       240511 300  044000-044500   00     111.81 1015.0    116.35     2.23    -9999
ROME       240511 300  044500-045000   00     113.06 1015.0    117.66     3.37    -9999
ROME       240511 300  045000-045500   00     110.68 1015.0    115.20     1.21    -9999
ROME       240511 300  045500-050000   00     110.23 1015.0    114.75     0.82    -9999
ROME       240511 300  050000-050500   00     110.48 1015.1    115.05     1.08    -9999
ROME       240511 300  050500-051000   00     112.59 1015.1    117.26     3.02    -9999
ROME       240511 300  051000-051500   00     109.57 1015.1    114.10     0.25    -9999
ROME       240511 300  051500-052000   00     110.17 1015.1    114.76     0.83    -9999
ROME       240511 300  052000-052500   00     110.75 1015.1    115.39     1.38    -9999
ROME       240511 300  052500-053000   00     112.16 1015.2    116.89     2.70    -9999
ROME       240511 300  053000-053500   00     111.19 1015.2    115.92     1.84    -9999
ROME       240511 300  053500-054000   00     111.33 1015.2    116.07     1.97    -9999
ROME       240511 300  054000-054500   00     111.07 1015.2    115.81     1.75    -9999
ROME       240511 300  054500-055000   00     111.60 1015.3    116.39     2.26    -9999
ROME       240511 300  055000-055500   00     110.36 1015.3    115.12     1.14    -9999
ROME       240511 300  055500-060000   00     109.48 1015.3    114.23     0.36    -9999
ROME       240511 300  060000-060500   00     109.21 1015.4    113.96     0.13    -9999
ROME       240511 300  060500-061000   00     109.00 1015.4    113.74    -0.07    -9999
ROME       240511 300  061000-061500   00     108.64 1015.4    113.37    -0.39    -9999
ROME       240511 300  061500-062000   00     109.00 1015.4    113.79    -0.03    -9999
ROME       240511 300  062000-062500   00     107.71 1015.5    112.48    -1.18    -9999
ROME       240511 300  062500-063000   00     110.20 1015.5    115.08     1.11    -9999
ROME       240511 300  063000-063500   00     111.01 1015.5    115.92     1.85    -9999
ROME       240511 300  063500-064000   00     110.17 1015.5    115.05     1.08    -9999
ROME       240511 300  064000-064500   00     109.34 1015.4    114.17     0.31    -9999
ROME       240511 300  064500-065000   00     109.54 1015.4    114.37     0.48    -9999
ROME       240511 300  065000-065500   00     109.38 1015.4    114.21     0.34    -9999
ROME       240511 300  065500-070000   00     108.11 1015.5    112.90    -0.80    -9999
ROME       240511 300  070000-070500   00     109.50 1015.5    114.36     0.48    -9999
ROME       240511 300  070500-071000   00     107.87 1015.5    112.67    -1.01    -9999
ROME       240511 300  071000-071500   00     109.27 1015.5    114.14     0.29    -9999
ROME       240511 300  071500-072000   00     109.23 1015.5    114.12     0.26    -9999
ROME       240511 300  072000-072500   00     108.86 1015.5    113.72    -0.09    -9999
ROME       240511 300  072500-073000   00     110.62 1015.5    115.55     1.52    -9999
ROME       240511 300  073000-073500   00     109.64 1015.5    114.53     0.62    -9999
ROME       240511 300  073500-074000   00     109.90 1015.5    114.80     0.86    -9999
ROME       240511 300  074000-074500   00     109.25 1015.5    114.14     0.28    -9999
ROME       240511 300  074500-075000   00     108.72 1015.5    113.60    -0.19    -9999
ROME       240511 300  075000-075500   00     111.17 1015.6    116.20     2.09    -9999
ROME       240511 300  075500-080000   00     109.51 1015.6    114.45     0.55    -9999
ROME       240511 300  080000-080500   00     110.03 1015.5    114.95     0.99    -9999
ROME       240511 300  080500-081000   00     110.12 1015.5    115.02     1.06    -9999
ROME       240511 300  081000-081500   00     111.75 1015.5    116.72     2.55    -9999
ROME       240511 300  081500-082000   00     109.27 1015.5    114.12     0.27    -9999
ROME       240511 300  082000-082500   00     111.00 1015.5    115.92     1.84    -9999
ROME       240511 300  082500-083000   00     110.52 1015.5    115.43     1.42    -9999
ROME       240511 300  083000-083500   00     108.83 1015.5    113.67    -0.13    -9999
ROME       240511 300  083500-084000   00     108.82 1015.5    113.67    -0.13    -9999
ROME       240511 300  084000-084500   00     109.77 1015.5    114.66     0.74    -9999
ROME       240511 300  084500-085000   00     109.58 1015.5    114.46     0.56    -9999
ROME       240511 300  085000-085500   00     109.89 1015.5    114.80     0.87    -9999
ROME       240511 300  085500-090000   00     109.89 1015.5    114.79     0.85    -9999
ROME       240511 300  090000-090500   00     110.32 1015.5    115.20     1.22    -9999
ROME       240511 300  090500-091000   00     110.39 1015.4    115.26     1.27    -9999
ROME       240511 300  091000-091500   00     109.74 1015.4    114.56     0.65    -9999
ROME       240511 300  091500-092000   00     109.28 1015.4    114.07     0.22    -9999
ROME       240511 300  092000-092500   00     109.27 1015.4    114.04     0.20    -9999
ROME       240511 300  092500-093000   00     110.52 1015.4    115.34     1.33    -9999
ROME       240511 300  093000-093500   00     107.53 1015.3    112.20    -1.42    -9999
ROME       240511 300  093500-094000   00     109.61 1015.3    114.35     0.46    -9999
ROME       240511 300  094000-094500   00     110.09 1015.3    114.86     0.91    -9999
ROME       240511 300  094500-095000   00     110.88 1015.3    115.67     1.63    -9999
ROME       240511 300  095000-095500   00     111.39 1015.3    116.17     2.07    -9999
ROME       240511 300  095500-100000   00     109.81 1015.3    114.51     0.61    -9999
ROME       240511 300  100000-100500   00     109.83 1015.3    114.55     0.64    -9999
ROME       240511 300  100500-101000   00     110.83 1015.3    115.59     1.55    -9999
