FORT-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORT-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
FORT-SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
FORT-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
FORT-SMITH PRE-INCREASE AVERAGE COUNTING RATE    178.05      COUNTS PER SECOND
FORT-SMITH TIME INTERVALS    300         3600     
FORT-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
FORT-SMITH 240511 300  005000-005500   00     234.20  976.5    178.07     0.01    -9999
FORT-SMITH 240511 300  005500-010000   00     234.80  976.4    178.37     0.18    -9999
FORT-SMITH 240511 300  010000-010500   00     236.59  976.4    179.83     1.00     0.77
FORT-SMITH 240511 300  010500-011000   00     236.39  976.7    179.98     1.08     0.83
FORT-SMITH 240511 300  011000-011500   00     235.54  977.1    179.88     1.02     0.75
FORT-SMITH 240511 300  011500-012000   00     238.47  977.2    182.21     2.34     2.05
FORT-SMITH 240511 300  012000-012500   00     239.76  976.9    182.82     2.68     2.37
FORT-SMITH 240511 300  012500-013000   00     239.82  976.8    182.75     2.64     2.32
FORT-SMITH 240511 300  013000-013500   00     241.23  976.4    183.35     2.98     2.64
FORT-SMITH 240511 300  013500-014000   00     240.27  976.1    182.17     2.31     1.95
FORT-SMITH 240511 300  014000-014500   00     239.07  975.8    180.89     1.59     1.22
FORT-SMITH 240511 300  014500-015000   00     242.00  975.7    182.87     2.70     2.31
FORT-SMITH 240511 300  015000-015500   00     243.17  975.5    183.55     3.08     2.68
FORT-SMITH 240511 300  015500-020000   00     243.60  975.5    183.91     3.29     2.87
FORT-SMITH 240511 300  020000-020500   00     241.54  975.6    182.36     2.42     1.98
FORT-SMITH 240511 300  020500-021000   00     243.39  975.5    183.66     3.15     2.69
FORT-SMITH 240511 300  021000-021500   00     242.58  975.5    183.11     2.84     2.37
FORT-SMITH 240511 300  021500-022000   00     240.85  975.5    181.75     2.08     1.59
FORT-SMITH 240511 300  022000-022500   00     245.31  975.4    184.99     3.89     3.39
FORT-SMITH 240511 300  022500-023000   00     243.54  975.5    183.76     3.21     2.69
FORT-SMITH 240511 300  023000-023500   00     243.23  975.6    183.75     3.20     2.66
FORT-SMITH 240511 300  023500-024000   00     244.11  975.7    184.49     3.62     3.07
FORT-SMITH 240511 300  024000-024500   00     243.14  975.7    183.81     3.23     2.67
FORT-SMITH 240511 300  024500-025000   00     243.42  975.8    184.08     3.39     2.81
FORT-SMITH 240511 300  025000-025500   00     243.81  975.9    184.48     3.61     3.02
FORT-SMITH 240511 300  025500-030000   00     242.89  975.9    183.85     3.26     2.65
FORT-SMITH 240511 300  030000-030500   00     240.65  975.9    182.18     2.32     1.69
FORT-SMITH 240511 300  030500-031000   00     245.08  976.0    185.65     4.27     3.64
FORT-SMITH 240511 300  031000-031500   00     246.54  976.0    186.69     4.85     4.21
FORT-SMITH 240511 300  031500-032000   00     245.22  975.9    185.66     4.27     3.61
FORT-SMITH 240511 300  032000-032500   00     248.86  976.0    188.44     5.83     5.16
FORT-SMITH 240511 300  032500-033000   00     245.58  976.0    186.04     4.48     3.80
FORT-SMITH 240511 300  033000-033500   00     246.44  975.9    186.56     4.78     4.08
FORT-SMITH 240511 300  033500-034000   00     248.31  975.9    187.92     5.54     4.83
FORT-SMITH 240511 300  034000-034500   00     246.11  975.9    186.29     4.62     3.90
FORT-SMITH 240511 300  034500-035000   00     243.80  976.0    184.62     3.69     2.95
FORT-SMITH 240511 300  035000-035500   00     242.78  976.0    183.97     3.32     2.57
FORT-SMITH 240511 300  035500-040000   00     245.11  976.1    185.77     4.33     3.58
FORT-SMITH 240511 300  040000-040500   00     243.79  976.1    184.87     3.83     3.06
FORT-SMITH 240511 300  040500-041000   00     239.76  976.2    181.90     2.16     1.38
FORT-SMITH 240511 300  041000-041500   00     241.86  976.3    183.55     3.09     2.29
FORT-SMITH 240511 300  041500-042000   00     239.65  976.3    181.96     2.19     1.39
FORT-SMITH 240511 300  042000-042500   00     239.31  976.3    181.72     2.06     1.25
FORT-SMITH 240511 300  042500-043000   00     239.86  976.4    182.17     2.31     1.49
FORT-SMITH 240511 300  043000-043500   00     242.40  976.4    184.13     3.41     2.58
FORT-SMITH 240511 300  043500-044000   00     239.78  976.4    182.14     2.29     1.45
FORT-SMITH 240511 300  044000-044500   00     240.02  976.4    182.39     2.44     1.58
FORT-SMITH 240511 300  044500-045000   00     241.54  976.4    183.58     3.10     2.24
FORT-SMITH 240511 300  045000-045500   00     240.06  976.5    182.49     2.49     1.62
FORT-SMITH 240511 300  045500-050000   00     240.57  976.5    182.93     2.74     1.85
FORT-SMITH 240511 300  050000-050500   00     239.49  976.6    182.16     2.31     1.42
FORT-SMITH 240511 300  050500-051000   00     237.47  976.6    180.70     1.49     0.59
FORT-SMITH 240511 300  051000-051500   00     236.73  976.7    180.26     1.24     0.33
FORT-SMITH 240511 300  051500-052000   00     239.72  976.7    182.57     2.54     1.62
FORT-SMITH 240511 300  052000-052500   00     239.35  976.7    182.28     2.37     1.45
FORT-SMITH 240511 300  052500-053000   00     237.18  976.7    180.61     1.43     0.50
FORT-SMITH 240511 300  053000-053500   00     237.78  976.7    181.11     1.72     0.78
FORT-SMITH 240511 300  053500-054000   00     236.04  976.8    179.82     0.99     0.04
FORT-SMITH 240511 300  054000-054500   00     237.43  976.8    180.90     1.60     0.64
FORT-SMITH 240511 300  054500-055000   00     239.50  976.7    182.36     2.42     1.46
FORT-SMITH 240511 300  055000-055500   00     235.84  976.7    179.56     0.85    -0.12
FORT-SMITH 240511 300  055500-060000   00     236.17  976.7    179.82     0.99     0.01
FORT-SMITH 240511 300  060000-060500   00     235.47  976.6    179.21     0.65    -0.33
FORT-SMITH 240511 300  060500-061000   00     237.92  976.6    181.01     1.66     0.67
