IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    715     MB     COEFFICIENT   -0.72     % / MB
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    366.00      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK3   240511 300  014000-014500   00     349.20  725.5    376.80     2.95    -9999
IRKUTSK3   240511 300  014500-015000   00     346.20  725.6    373.40     2.02    -9999
IRKUTSK3   240511 300  015000-015500   00     346.80  725.6    374.40     2.30    -9999
IRKUTSK3   240511 300  015500-020000   00     346.40  725.6    374.40     2.30    -9999
IRKUTSK3   240511 300  020000-020500   00     348.80  725.7    376.40     2.84    -9999
IRKUTSK3   240511 300  020500-021000   00     348.20  725.7    376.20     2.79    -9999
IRKUTSK3   240511 300  021000-021500   00     349.60  725.7    377.60     3.17    -9999
IRKUTSK3   240511 300  021500-022000   00     347.80  725.8    376.00     2.73    -9999
IRKUTSK3   240511 300  022000-022500   00     353.80  725.9    382.60     4.54    -9999
IRKUTSK3   240511 300  022500-023000   00     352.00  725.9    380.60     3.99    -9999
IRKUTSK3   240511 300  023000-023500   00     353.20  725.9    382.20     4.43    -9999
IRKUTSK3   240511 300  023500-024000   00     349.00  725.9    377.60     3.17    -9999
IRKUTSK3   240511 300  024000-024500   00     352.40  725.9    381.40     4.21    -9999
IRKUTSK3   240511 300  024500-025000   00     357.40  725.9    386.40     5.57    -9999
IRKUTSK3   240511 300  025000-025500   00     352.40  725.9    381.40     4.21    -9999
IRKUTSK3   240511 300  025500-030000   00     356.60  725.8    385.60     5.36    -9999
IRKUTSK3   240511 300  030000-030500   00     356.40  725.7    384.60     5.08    -9999
IRKUTSK3   240511 300  030500-031000   00     354.40  725.7    383.00     4.64    -9999
IRKUTSK3   240511 300  031000-031500   00     355.20  725.7    383.60     4.81    -9999
IRKUTSK3   240511 300  031500-032000   00     354.40  725.7    383.00     4.64    -9999
IRKUTSK3   240511 300  032000-032500   00     349.40  725.7    377.40     3.11    -9999
IRKUTSK3   240511 300  032500-033000   00     350.40  725.8    378.80     3.50    -9999
IRKUTSK3   240511 300  033000-033500   00     350.20  725.9    378.60     3.44    -9999
IRKUTSK3   240511 300  033500-034000   00     347.80  725.9    376.00     2.73    -9999
IRKUTSK3   240511 300  034000-034500   00     353.60  725.8    382.00     4.37    -9999
IRKUTSK3   240511 300  034500-035000   00     350.00  725.9    378.40     3.39    -9999
IRKUTSK3   240511 300  035000-035500   00     354.80  725.9    383.80     4.86    -9999
IRKUTSK3   240511 300  035500-040000   00     348.40  726.1    377.60     3.17    -9999
IRKUTSK3   240511 300  040000-040500   00     351.40  726.1    380.40     3.93    -9999
IRKUTSK3   240511 300  040500-041000   00     349.60  726.1    378.80     3.50    -9999
IRKUTSK3   240511 300  041000-041500   00     353.40  726.2    383.20     4.70    -9999
IRKUTSK3   240511 300  041500-042000   00     352.40  726.2    382.20     4.43    -9999
IRKUTSK3   240511 300  042000-042500   00     350.80  726.3    380.20     3.88    -9999
IRKUTSK3   240511 300  042500-043000   00     352.80  726.2    382.60     4.54    -9999
IRKUTSK3   240511 300  043000-043500   00     354.80  726.3    384.60     5.08    -9999
IRKUTSK3   240511 300  043500-044000   00     352.80  726.3    382.60     4.54    -9999
IRKUTSK3   240511 300  044000-044500   00     349.20  726.3    379.20     3.61    -9999
IRKUTSK3   240511 300  044500-045000   00     348.60  726.3    378.00     3.28    -9999
IRKUTSK3   240511 300  045000-045500   00     347.60  726.4    377.60     3.17    -9999
IRKUTSK3   240511 300  045500-050000   00     348.00  726.4    378.00     3.28    -9999
IRKUTSK3   240511 300  050000-050500   00     345.80  726.4    375.20     2.51    -9999
IRKUTSK3   240511 300  050500-051000   00     345.20  726.4    375.00     2.46    -9999
IRKUTSK3   240511 300  051000-051500   00     347.00  726.3    376.60     2.90    -9999
IRKUTSK3   240511 300  051500-052000   00     348.40  726.4    378.20     3.33    -9999
IRKUTSK3   240511 300  052000-052500   00     347.60  726.4    377.20     3.06    -9999
IRKUTSK3   240511 300  052500-053000   00     348.60  726.4    378.20     3.33    -9999
IRKUTSK3   240511 300  053000-053500   00     349.60  726.3    379.40     3.66    -9999
IRKUTSK3   240511 300  053500-054000   00     351.80  726.3    381.60     4.26    -9999
IRKUTSK3   240511 300  054000-054500   00     353.40  726.4    383.60     4.81    -9999
IRKUTSK3   240511 300  054500-055000   00     350.00  726.4    380.20     3.88    -9999
IRKUTSK3   240511 300  055000-055500   00     350.60  726.4    380.60     3.99    -9999
IRKUTSK3   240511 300  055500-060000   00     345.60  726.5    375.60     2.62    -9999
IRKUTSK3   240511 300  060000-060500   00     344.60  726.5    374.40     2.30    -9999
IRKUTSK3   240511 300  060500-061000   00     339.60  726.5    369.20     0.87    -9999
IRKUTSK3   240511 300  061000-061500   00     339.40  726.6    369.00     0.82    -9999
IRKUTSK3   240511 300  061500-062000   00     340.40  726.6    370.20     1.15    -9999
IRKUTSK3   240511 300  062000-062500   00     134.20  726.5    367.80     0.49    -9999
IRKUTSK3   240511 300  062500-063000   00       0.00  726.6    374.00     2.19    -9999
IRKUTSK3   240511 300  063000-063500   00      67.00  726.6    366.80     0.22    -9999
IRKUTSK3   240511 300  063500-064000   00     340.60  726.7    370.40     1.20    -9999
IRKUTSK3   240511 300  064000-064500   00     339.80  726.6    369.60     0.98    -9999
IRKUTSK3   240511 300  064500-065000   00     337.80  726.6    367.40     0.38    -9999
IRKUTSK3   240511 300  065000-065500   00     340.40  726.6    370.00     1.09    -9999
IRKUTSK3   240511 300  065500-070000   00     338.40  726.5    367.80     0.49    -9999
IRKUTSK3   240511 300  070000-070500   00     343.20  726.6    373.00     1.91    -9999
IRKUTSK3   240511 300  070500-071000   00     341.20  726.6    370.60     1.26    -9999
IRKUTSK3   240511 300  071000-071500   00     343.60  726.6    373.20     1.97    -9999
IRKUTSK3   240511 300  071500-072000   00     340.80  726.5    370.20     1.15    -9999
IRKUTSK3   240511 300  072000-072500   00     342.20  726.5    371.60     1.53    -9999
IRKUTSK3   240511 300  072500-073000   00     341.20  726.5    370.80     1.31    -9999
IRKUTSK3   240511 300  073000-073500   00     342.80  726.5    372.20     1.69    -9999
IRKUTSK3   240511 300  073500-074000   00     344.80  726.4    374.60     2.35    -9999
IRKUTSK3   240511 300  074000-074500   00     346.20  726.4    375.60     2.62    -9999
IRKUTSK3   240511 300  074500-075000   00     342.40  726.4    371.40     1.48    -9999
IRKUTSK3   240511 300  075000-075500   00     344.60  726.4    374.00     2.19    -9999
IRKUTSK3   240511 300  075500-080000   00     344.40  726.4    374.00     2.19    -9999
IRKUTSK3   240511 300  080000-080500   00     346.00  726.4    375.40     2.57    -9999
IRKUTSK3   240511 300  080500-081000   00     136.80  726.4    376.80     2.95    -9999
IRKUTSK3   240511 300  081000-081500   00     344.60  726.4    374.60     2.35    -9999
IRKUTSK3   240511 300  081500-082000   00     348.20  726.4    378.00     3.28    -9999
IRKUTSK3   240511 300  082000-082500   00     345.40  726.4    374.60     2.35    -9999
IRKUTSK3   240511 300  082500-083000   00     344.80  726.5    374.40     2.30    -9999
IRKUTSK3   240511 300  083000-083500   00     338.40  726.5    367.20     0.33    -9999
IRKUTSK3   240511 300  083500-084000   00     339.60  726.5    369.00     0.82    -9999
IRKUTSK3   240511 300  084000-084500   00     339.20  726.4    368.40     0.66    -9999
IRKUTSK3   240511 300  084500-085000   00     336.60  726.5    365.80    -0.05    -9999
IRKUTSK3   240511 300  085000-085500   00     337.20  726.5    366.40     0.11    -9999
IRKUTSK3   240511 300  085500-090000   00     340.80  726.5    370.00     1.09    -9999
IRKUTSK3   240511 300  090000-090500   00     339.80  726.5    369.00     0.82    -9999
IRKUTSK3   240511 300  090500-091000   00     337.80  726.5    367.20     0.33    -9999
IRKUTSK3   240511 300  091000-091500   00     333.00  726.6    362.00    -1.09    -9999
IRKUTSK3   240511 300  091500-092000   00     338.80  726.6    368.00     0.55    -9999
IRKUTSK3   240511 300  092000-092500   00     336.40  726.6    365.40    -0.16    -9999
IRKUTSK3   240511 300  092500-093000   00     340.20  726.6    369.40     0.93    -9999
IRKUTSK3   240511 300  093000-093500   00     341.80  726.6    371.20     1.42    -9999
IRKUTSK3   240511 300  093500-094000   00     341.40  726.6    370.80     1.31    -9999
