SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     64.28      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      240511 300  011000-011500   00    -999.00 -999.0     64.29     0.01    -9999
SANAE      240511 300  011500-012000   00    -999.00 -999.0     65.36     1.68    -9999
SANAE      240511 300  012000-012500   00    -999.00 -999.0     64.21    -0.11    -9999
SANAE      240511 300  012500-013000   00    -999.00 -999.0     66.32     3.17    -9999
SANAE      240511 300  013000-013500   00    -999.00 -999.0     64.44     0.25    -9999
SANAE      240511 300  013500-014000   00    -999.00 -999.0     63.81    -0.73    -9999
SANAE      240511 300  014000-014500   00    -999.00 -999.0     64.96     1.05    -9999
SANAE      240511 300  014500-015000   00    -999.00 -999.0     64.88     0.93    -9999
SANAE      240511 300  015000-015500   00    -999.00 -999.0     63.37    -1.42    -9999
SANAE      240511 300  015500-020000   00    -999.00 -999.0     64.86     0.90    -9999
SANAE      240511 300  020000-020500   00    -999.00 -999.0     65.24     1.50    -9999
SANAE      240511 300  020500-021000   00    -999.00 -999.0     67.04     4.28    -9999
SANAE      240511 300  021000-021500   00    -999.00 -999.0     65.69     2.19    -9999
SANAE      240511 300  021500-022000   00    -999.00 -999.0     66.07     2.78    -9999
SANAE      240511 300  022000-022500   00    -999.00 -999.0     64.47     0.29    -9999
SANAE      240511 300  022500-023000   00    -999.00 -999.0     65.86     2.46    -9999
SANAE      240511 300  023000-023500   00    -999.00 -999.0     65.78     2.33    -9999
SANAE      240511 300  023500-024000   00    -999.00 -999.0     66.93     4.12    -9999
SANAE      240511 300  024000-024500   00    -999.00 -999.0     65.08     1.24    -9999
SANAE      240511 300  024500-025000   00    -999.00 -999.0     66.05     2.75    -9999
SANAE      240511 300  025000-025500   00    -999.00 -999.0     66.30     3.14    -9999
SANAE      240511 300  025500-030000   00    -999.00 -999.0     67.10     4.38    -9999
SANAE      240511 300  030000-030500   00    -999.00 -999.0     66.59     3.58    -9999
SANAE      240511 300  030500-031000   00    -999.00 -999.0     66.83     3.96    -9999
SANAE      240511 300  031000-031500   00    -999.00 -999.0     67.79     5.45    -9999
SANAE      240511 300  031500-032000   00    -999.00 -999.0     67.47     4.95    -9999
SANAE      240511 300  032000-032500   00    -999.00 -999.0     66.87     4.02    -9999
SANAE      240511 300  032500-033000   00    -999.00 -999.0     67.45     4.92    -9999
SANAE      240511 300  033000-033500   00    -999.00 -999.0     66.96     4.17    -9999
SANAE      240511 300  033500-034000   00    -999.00 -999.0     66.25     3.06    -9999
SANAE      240511 300  034000-034500   00    -999.00 -999.0     66.33     3.19    -9999
SANAE      240511 300  034500-035000   00    -999.00 -999.0     66.28     3.11    -9999
SANAE      240511 300  035000-035500   00    -999.00 -999.0     65.59     2.03    -9999
SANAE      240511 300  035500-040000   00    -999.00 -999.0     65.25     1.51    -9999
SANAE      240511 300  040000-040500   00    -999.00 -999.0     66.05     2.76    -9999
SANAE      240511 300  040500-041000   00    -999.00 -999.0     65.45     1.81    -9999
SANAE      240511 300  041000-041500   00    -999.00 -999.0     66.78     3.88    -9999
SANAE      240511 300  041500-042000   00    -999.00 -999.0     66.52     3.49    -9999
SANAE      240511 300  042000-042500   00    -999.00 -999.0     65.53     1.95    -9999
SANAE      240511 300  042500-043000   00    -999.00 -999.0     66.39     3.28    -9999
SANAE      240511 300  043000-043500   00    -999.00 -999.0     65.29     1.56    -9999
SANAE      240511 300  043500-044000   00    -999.00 -999.0     66.33     3.19    -9999
SANAE      240511 300  044000-044500   00    -999.00 -999.0     66.47     3.41    -9999
SANAE      240511 300  044500-045000   00    -999.00 -999.0     66.16     2.92    -9999
SANAE      240511 300  045000-045500   00    -999.00 -999.0     65.84     2.43    -9999
SANAE      240511 300  045500-050000   00    -999.00 -999.0     65.79     2.35    -9999
SANAE      240511 300  050000-050500   00    -999.00 -999.0     65.11     1.28    -9999
SANAE      240511 300  050500-051000   00    -999.00 -999.0     64.65     0.57    -9999
SANAE      240511 300  051000-051500   00    -999.00 -999.0     66.52     3.48    -9999
SANAE      240511 300  051500-052000   00    -999.00 -999.0     64.69     0.64    -9999
SANAE      240511 300  052000-052500   00    -999.00 -999.0     64.77     0.76    -9999
SANAE      240511 300  052500-053000   00    -999.00 -999.0     64.84     0.86    -9999
SANAE      240511 300  053000-053500   00    -999.00 -999.0     65.37     1.70    -9999
SANAE      240511 300  053500-054000   00    -999.00 -999.0     65.69     2.20    -9999
SANAE      240511 300  054000-054500   00    -999.00 -999.0     65.40     1.74    -9999
SANAE      240511 300  054500-055000   00    -999.00 -999.0     65.34     1.64    -9999
