TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     86.03      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  240511 300  004000-004500   00      85.17 1014.2     87.07     1.21    -9999
TIXIE BAY  240511 300  004500-005000   00      84.27 1014.2     86.16     0.15    -9999
TIXIE BAY  240511 300  005000-005500   00      83.76 1014.2     85.63    -0.47    -9999
TIXIE BAY  240511 300  005500-010000   00      83.57 1014.2     85.44    -0.69    -9999
TIXIE BAY  240511 300  010000-010500   00      85.65 1014.2     87.55     1.76     1.56
TIXIE BAY  240511 300  010500-011000   00      85.01 1014.2     86.91     1.02     0.80
TIXIE BAY  240511 300  011000-011500   00      84.93 1014.2     86.80     0.89     0.66
TIXIE BAY  240511 300  011500-012000   00      86.21 1014.2     88.16     2.48     2.23
TIXIE BAY  240511 300  012000-012500   00      86.08 1014.2     88.05     2.35     2.09
TIXIE BAY  240511 300  012500-013000   00      85.23 1014.2     87.20     1.36     1.08
TIXIE BAY  240511 300  013000-013500   00      84.96 1014.2     86.85     0.96     0.66
TIXIE BAY  240511 300  013500-014000   00      86.67 1014.2     88.64     3.03     2.72
TIXIE BAY  240511 300  014000-014500   00      87.17 1014.2     89.17     3.65     3.33
TIXIE BAY  240511 300  014500-015000   00      86.85 1014.3     88.88     3.31     2.97
TIXIE BAY  240511 300  015000-015500   00      85.33 1014.4     87.33     1.51     1.16
TIXIE BAY  240511 300  015500-020000   00      84.99 1014.4     86.99     1.11     0.74
TIXIE BAY  240511 300  020000-020500   00      86.16 1014.3     88.16     2.48     2.09
TIXIE BAY  240511 300  020500-021000   00      87.60 1014.3     89.63     4.18     3.78
TIXIE BAY  240511 300  021000-021500   00      88.45 1014.3     90.51     5.20     4.79
TIXIE BAY  240511 300  021500-022000   00      87.73 1014.3     89.79     4.37     3.94
TIXIE BAY  240511 300  022000-022500   00      86.59 1014.3     88.59     2.97     2.53
TIXIE BAY  240511 300  022500-023000   00      86.61 1014.3     88.64     3.03     2.58
TIXIE BAY  240511 300  023000-023500   00      87.87 1014.3     89.95     4.55     4.09
TIXIE BAY  240511 300  023500-024000   00      87.52 1014.4     89.57     4.12     3.64
TIXIE BAY  240511 300  024000-024500   00      86.05 1014.4     88.08     2.38     1.89
TIXIE BAY  240511 300  024500-025000   00      88.00 1014.4     90.13     4.77     4.27
TIXIE BAY  240511 300  025000-025500   00      87.39 1014.4     89.49     4.03     3.51
TIXIE BAY  240511 300  025500-030000   00      89.12 1014.4     91.25     6.07     5.54
TIXIE BAY  240511 300  030000-030500   00      86.99 1014.4     89.09     3.56     3.02
TIXIE BAY  240511 300  030500-031000   00      88.27 1014.4     90.43     5.11     4.56
TIXIE BAY  240511 300  031000-031500   00      88.59 1014.4     90.72     5.45     4.89
TIXIE BAY  240511 300  031500-032000   00      89.04 1014.5     91.25     6.07     5.50
TIXIE BAY  240511 300  032000-032500   00      89.04 1014.5     91.25     6.07     5.49
TIXIE BAY  240511 300  032500-033000   00      88.85 1014.6     91.09     5.89     5.29
TIXIE BAY  240511 300  033000-033500   00      87.31 1014.5     89.47     4.00     3.39
TIXIE BAY  240511 300  033500-034000   00      87.89 1014.5     90.05     4.68     4.06
TIXIE BAY  240511 300  034000-034500   00      86.03 1014.5     88.13     2.44     1.82
TIXIE BAY  240511 300  034500-035000   00      88.32 1014.4     90.45     5.14     4.51
TIXIE BAY  240511 300  035000-035500   00      87.52 1014.4     89.63     4.18     3.54
TIXIE BAY  240511 300  035500-040000   00      87.68 1014.4     89.76     4.34     3.69
TIXIE BAY  240511 300  040000-040500   00      88.93 1014.4     91.04     5.82     5.17
TIXIE BAY  240511 300  040500-041000   00      88.80 1014.4     90.93     5.70     5.03
TIXIE BAY  240511 300  041000-041500   00      87.79 1014.4     89.89     4.49     3.82
TIXIE BAY  240511 300  041500-042000   00      87.52 1014.4     89.63     4.18     3.50
TIXIE BAY  240511 300  042000-042500   00      88.00 1014.4     90.13     4.77     4.08
TIXIE BAY  240511 300  042500-043000   00      87.97 1014.5     90.11     4.74     4.04
TIXIE BAY  240511 300  043000-043500   00      87.12 1014.5     89.25     3.75     3.04
TIXIE BAY  240511 300  043500-044000   00      87.81 1014.5     89.97     4.58     3.87
TIXIE BAY  240511 300  044000-044500   00      87.25 1014.5     89.39     3.90     3.18
TIXIE BAY  240511 300  044500-045000   00      85.36 1014.5     87.49     1.70     0.98
TIXIE BAY  240511 300  045000-045500   00      86.88 1014.5     89.04     3.50     2.77
TIXIE BAY  240511 300  045500-050000   00      87.79 1014.5     89.95     4.55     3.82
TIXIE BAY  240511 300  050000-050500   00      87.23 1014.5     89.39     3.90     3.16
TIXIE BAY  240511 300  050500-051000   00      87.36 1014.5     89.49     4.03     3.28
TIXIE BAY  240511 300  051000-051500   00      87.12 1014.5     89.28     3.78     3.02
TIXIE BAY  240511 300  051500-052000   00      87.63 1014.5     89.76     4.34     3.58
TIXIE BAY  240511 300  052000-052500   00      86.96 1014.5     89.09     3.56     2.80
TIXIE BAY  240511 300  052500-053000   00      86.72 1014.5     88.85     3.28     2.51
TIXIE BAY  240511 300  053000-053500   00      87.55 1014.4     89.65     4.21     3.44
TIXIE BAY  240511 300  053500-054000   00      86.27 1014.4     88.37     2.72     1.94
TIXIE BAY  240511 300  054000-054500   00      88.37 1014.4     90.53     5.23     4.45
TIXIE BAY  240511 300  054500-055000   00      86.51 1014.4     88.64     3.03     2.25
TIXIE BAY  240511 300  055000-055500   00      86.88 1014.4     88.99     3.44     2.65
TIXIE BAY  240511 300  055500-060000   00      85.95 1014.4     88.00     2.29     1.50
TIXIE BAY  240511 300  060000-060500   00      85.04 1014.4     87.07     1.21     0.41
TIXIE BAY  240511 300  060500-061000   00      85.71 1014.4     87.76     2.01     1.21
TIXIE BAY  240511 300  061000-061500   00      85.65 1014.4     87.73     1.98     1.18
TIXIE BAY  240511 300  061500-062000   00      85.25 1014.4     87.33     1.51     0.71
TIXIE BAY  240511 300  062000-062500   00      86.69 1014.4     88.77     3.19     2.38
TIXIE BAY  240511 300  062500-063000   00      86.05 1014.4     88.11     2.41     1.61
TIXIE BAY  240511 300  063000-063500   00      86.53 1014.4     88.64     3.03     2.22
TIXIE BAY  240511 300  063500-064000   00      85.09 1014.4     87.17     1.33     0.52
TIXIE BAY  240511 300  064000-064500   00      85.63 1014.5     87.71     1.95     1.14
TIXIE BAY  240511 300  064500-065000   00      86.16 1014.5     88.27     2.60     1.79
TIXIE BAY  240511 300  065000-065500   00      84.91 1014.5     86.99     1.11     0.30
TIXIE BAY  240511 300  065500-070000   00      85.36 1014.5     87.47     1.67     0.85
TIXIE BAY  240511 300  070000-070500   00      84.69 1014.5     86.83     0.93     0.11
TIXIE BAY  240511 300  070500-071000   00      84.75 1014.5     86.83     0.93     0.11
TIXIE BAY  240511 300  071000-071500   00      87.01 1014.4     89.15     3.62     2.81
TIXIE BAY  240511 300  071500-072000   00      86.59 1014.5     88.69     3.10     2.28
TIXIE BAY  240511 300  072000-072500   00      84.69 1014.5     86.80     0.89     0.08
TIXIE BAY  240511 300  072500-073000   00      85.36 1014.5     87.47     1.67     0.86
TIXIE BAY  240511 300  073000-073500   00      87.52 1014.5     89.65     4.21     3.40
TIXIE BAY  240511 300  073500-074000   00      86.75 1014.5     88.93     3.37     2.56
TIXIE BAY  240511 300  074000-074500   00      83.95 1014.6     86.08     0.06    -0.75
TIXIE BAY  240511 300  074500-075000   00      85.25 1014.6     87.44     1.64     0.83
TIXIE BAY  240511 300  075000-075500   00      86.56 1014.6     88.77     3.19     2.38
TIXIE BAY  240511 300  075500-080000   00      85.15 1014.6     87.28     1.45     0.65
TIXIE BAY  240511 300  080000-080500   00      86.40 1014.6     88.61     3.00     2.20
TIXIE BAY  240511 300  080500-081000   00      87.31 1014.6     89.52     4.06     3.26
TIXIE BAY  240511 300  081000-081500   00      85.52 1014.6     87.76     2.01     1.21
TIXIE BAY  240511 300  081500-082000   00      84.29 1014.7     86.51     0.55    -0.24
TIXIE BAY  240511 300  082000-082500   00      85.76 1014.7     88.03     2.32     1.53
TIXIE BAY  240511 300  082500-083000   00      85.68 1014.8     87.97     2.26     1.47
TIXIE BAY  240511 300  083000-083500   00      87.12 1014.8     89.41     3.93     3.15
TIXIE BAY  240511 300  083500-084000   00      85.20 1014.8     87.47     1.67     0.89
TIXIE BAY  240511 300  084000-084500   00      85.04 1014.8     87.31     1.48     0.71
TIXIE BAY  240511 300  084500-085000   00      83.92 1014.8     86.19     0.18    -0.59
TIXIE BAY  240511 300  085000-085500   00      84.29 1014.8     86.56     0.62    -0.15
TIXIE BAY  240511 300  085500-090000   00      85.89 1014.8     88.21     2.54     1.78
TIXIE BAY  240511 300  090000-090500   00      85.28 1014.9     87.60     1.82     1.07
TIXIE BAY  240511 300  090500-091000   00      85.15 1014.9     87.49     1.70     0.95
TIXIE BAY  240511 300  091000-091500   00      83.60 1014.9     85.89    -0.16    -0.91
TIXIE BAY  240511 300  091500-092000   00      85.71 1014.9     88.05     2.35     1.61
TIXIE BAY  240511 300  092000-092500   00      84.77 1014.8     87.12     1.27     0.53
TIXIE BAY  240511 300  092500-093000   00      85.20 1014.8     87.52     1.73     1.00
TIXIE BAY  240511 300  093000-093500   00      86.45 1014.9     88.83     3.25     2.53
TIXIE BAY  240511 300  093500-094000   00      86.21 1014.9     88.56     2.94     2.23
TIXIE BAY  240511 300  094000-094500   00      85.92 1014.9     88.32     2.66     1.95
