APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    143.28      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 240510 3600 000000-010000   00     175.04  988.1    160.72    12.17    -9999
APATITY 240510 3600 010000-020000   00     175.87  987.7    161.02    12.38    -9999
APATITY 240510 3600 020000-030000   00     177.97  987.3    162.36    13.31    -9999
APATITY 240510 3600 030000-040000   00     177.54  987.0    161.64    12.81    -9999
APATITY 240510 3600 040000-050000   00     178.31  986.7    161.98    13.05    -9999
APATITY 240510 3600 050000-060000   00     179.30  986.4    162.62    13.50    -9999
APATITY 240510 3600 060000-070000   00     179.04  986.4    162.34    13.30    -9999
APATITY 240510 3600 070000-080000   00     178.84  986.5    162.33    13.29    -9999
APATITY 240510 3600 080000-090000   00     177.80  986.9    161.75    12.89    -9999
APATITY 240510 3600 090000-100000   00     176.99  987.2    161.41    12.65    -9999
APATITY 240510 3600 100000-110000   00     178.09  987.7    162.99    13.75    -9999
APATITY 240510 3600 110000-120000   00     177.63  988.1    163.04    13.79    -9999
APATITY 240510 3600 120000-130000   00     177.34  988.3    162.95    13.73    -9999
APATITY 240510 3600 130000-140000   00     177.55  988.3    163.20    13.90    -9999
APATITY 240510 3600 140000-150000   00     177.50  988.4    163.32    13.98    -9999
APATITY 240510 3600 150000-160000   00     177.46  988.5    163.36    14.01    -9999
APATITY 240510 3600 160000-170000   00     177.62  988.6    163.58    14.17    -9999
APATITY 240510 3600 170000-180000   00     176.72  988.9    163.10    13.83    -9999
APATITY 240510 3600 180000-190000   00     175.03  988.8    161.44    12.67    -9999
APATITY 240510 3600 190000-200000   00     172.14  988.8    158.77    10.81    -9999
APATITY 240510 3600 200000-210000   00     169.78  988.9    156.69     9.36    -9999
APATITY 240510 300  210000-210500   00     168.43  989.1    155.75     8.70    -9999
APATITY 240510 300  210500-211000   00     166.81  989.2    154.28     7.68    -9999
APATITY 240510 300  211000-211500   00     166.40  989.1    153.82     7.35    -9999
APATITY 240510 300  211500-212000   00     166.92  989.0    154.19     7.61    -9999
APATITY 240510 300  212000-212500   00     165.04  988.9    152.41     6.37    -9999
APATITY 240510 300  212500-213000   00     164.85  989.0    152.26     6.26    -9999
APATITY 240510 300  213000-213500   00     162.67  988.9    150.21     4.84    -9999
APATITY 240510 300  213500-214000   00     161.69  988.9    149.30     4.20    -9999
APATITY 240510 300  214000-214500   00     163.71  988.9    151.18     5.51    -9999
APATITY 240510 300  214500-215000   00     162.80  989.0    150.41     4.97    -9999
APATITY 240510 300  215000-215500   00     162.53  989.1    150.24     4.86    -9999
APATITY 240510 300  215500-220000   00     163.27  989.1    150.92     5.33    -9999
APATITY 240510 300  220000-220500   00     161.24  989.1    149.08     4.05    -9999
APATITY 240510 300  220500-221000   00     160.77  989.1    148.68     3.77    -9999
APATITY 240510 300  221000-221500   00     158.60  989.3    146.84     2.48    -9999
APATITY 240510 300  221500-222000   00     162.08  989.4    150.12     4.77    -9999
APATITY 240510 300  222000-222500   00     161.14  989.4    149.30     4.20    -9999
APATITY 240510 300  222500-223000   00     159.98  989.5    148.35     3.54    -9999
APATITY 240510 300  223000-223500   00     157.91  989.5    146.39     2.17    -9999
APATITY 240510 300  223500-224000   00     155.97  989.5    144.63     0.94    -9999
APATITY 240510 300  224000-224500   00     155.36  989.6    144.17     0.62    -9999
APATITY 240510 300  224500-225000   00     153.81  989.6    142.73    -0.38    -9999
APATITY 240510 300  225000-225500   00     155.87  989.6    144.61     0.93    -9999
APATITY 240510 300  225500-230000   00     154.94  989.6    143.80     0.36    -9999
APATITY 240510 300  230000-230500   00     155.15  989.7    144.03     0.52    -9999
APATITY 240510 300  230500-231000   00     154.92  989.7    143.83     0.38    -9999
APATITY 240510 300  231000-231500   00     153.31  989.8    142.48    -0.56    -9999
APATITY 240510 300  231500-232000   00     155.03  989.8    144.07     0.55    -9999
APATITY 240510 300  232000-232500   00     154.60  989.8    143.68     0.28    -9999
APATITY 240510 300  232500-233000   00     153.30  989.8    142.45    -0.58    -9999
APATITY 240510 300  233000-233500   00     155.60  989.8    144.60     0.92    -9999
APATITY 240510 300  233500-234000   00     153.14  989.9    142.41    -0.61    -9999
APATITY 240510 300  234000-234500   00     152.64  989.9    141.95    -0.93    -9999
APATITY 240510 300  234500-235000   00     153.42  990.0    142.72    -0.39    -9999
APATITY 240510 300  235000-235500   00     152.97  990.0    142.35    -0.65    -9999
APATITY 240510 300  235500-240000   00     154.35  990.0    143.64     0.25    -9999
APATITY 240511 300  000000-000500   00     152.85  990.1    142.31    -0.68    -9999
APATITY 240511 300  000500-001000   00     153.27  990.1    142.68    -0.42    -9999
APATITY 240511 300  001000-001500   00     154.10  990.1    143.55     0.18    -9999
APATITY 240511 300  001500-002000   00     154.53  990.2    143.98     0.49    -9999
APATITY 240511 300  002000-002500   00     152.35  990.2    141.99    -0.90    -9999
APATITY 240511 300  002500-003000   00     154.23  990.2    143.77     0.34    -9999
APATITY 240511 300  003000-003500   00     153.89  990.3    143.54     0.18    -9999
APATITY 240511 300  003500-004000   00     153.47  990.4    143.20    -0.06    -9999
APATITY 240511 300  004000-004500   00     154.00  990.3    143.66     0.26    -9999
APATITY 240511 300  004500-005000   00     154.99  990.4    144.62     0.93    -9999
APATITY 240511 300  005000-005500   00     154.32  990.4    143.98     0.49    -9999
APATITY 240511 300  005500-010000   00     153.53  990.4    143.30     0.01    -9999
APATITY 240511 300  010000-010500   00     154.54  990.5    144.27     0.69     0.59
APATITY 240511 300  010500-011000   00     156.84  990.5    146.43     2.19     2.08
APATITY 240511 300  011000-011500   00     152.76  990.5    142.67    -0.43    -0.56
APATITY 240511 300  011500-012000   00     154.75  990.6    144.58     0.90     0.76
APATITY 240511 300  012000-012500   00     154.68  990.6    144.55     0.88     0.73
APATITY 240511 300  012500-013000   00     154.57  990.7    144.55     0.88     0.71
APATITY 240511 300  013000-013500   00     152.25  990.7    142.38    -0.63    -0.82
APATITY 240511 300  013500-014000   00     154.80  990.7    144.80     1.06     0.86
APATITY 240511 300  014000-014500   00     156.38  990.8    146.32     2.12     1.90
APATITY 240511 300  014500-015000   00     154.09  990.8    144.23     0.66     0.44
