NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    995     MB     COEFFICIENT   -0.718    % / MB
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE  9,351.42      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOVOSIBIRS 240511 300  011500-012000   00    9692.00  993.3   9576.00     2.40    -9999
NOVOSIBIRS 240511 300  012000-012500   00    9819.00  993.2   9698.00     3.71    -9999
NOVOSIBIRS 240511 300  012500-013000   00    9814.00  993.2   9688.00     3.60    -9999
NOVOSIBIRS 240511 300  013000-013500   00    9751.00  993.2   9630.00     2.98    -9999
NOVOSIBIRS 240511 300  013500-014000   00    9710.00  993.3   9598.00     2.64    -9999
NOVOSIBIRS 240511 300  014000-014500   00    9637.00  993.4   9527.00     1.88    -9999
NOVOSIBIRS 240511 300  014500-015000   00    9747.00  993.3   9632.00     3.00    -9999
NOVOSIBIRS 240511 300  015000-015500   00    9807.00  993.4   9695.00     3.67    -9999
NOVOSIBIRS 240511 300  015500-020000   00    9841.00  993.4   9730.00     4.05    -9999
NOVOSIBIRS 240511 300  020000-020500   00    9689.00  993.4   9581.00     2.46    -9999
NOVOSIBIRS 240511 300  020500-021000   00    9739.00  993.3   9622.00     2.89    -9999
NOVOSIBIRS 240511 300  021000-021500   00    9778.00  993.3   9665.00     3.35    -9999
NOVOSIBIRS 240511 300  021500-022000   00    9694.00  993.3   9580.00     2.44    -9999
NOVOSIBIRS 240511 300  022000-022500   00    9782.00  993.2   9660.00     3.30    -9999
NOVOSIBIRS 240511 300  022500-023000   00    9853.00  993.3   9734.00     4.09    -9999
NOVOSIBIRS 240511 300  023000-023500   00   10014.00  993.3   9892.00     5.78    -9999
NOVOSIBIRS 240511 300  023500-024000   00    9895.00  993.3   9777.00     4.55    -9999
NOVOSIBIRS 240511 300  024000-024500   00    9793.00  993.3   9680.00     3.51    -9999
NOVOSIBIRS 240511 300  024500-025000   00    9893.00  993.4   9784.00     4.63    -9999
NOVOSIBIRS 240511 300  025000-025500   00    9830.00  993.5   9725.00     3.99    -9999
NOVOSIBIRS 240511 300  025500-030000   00    9852.00  993.5   9746.00     4.22    -9999
NOVOSIBIRS 240511 300  030000-030500   00    9981.00  993.5   9874.00     5.59    -9999
NOVOSIBIRS 240511 300  030500-031000   00    9924.00  993.5   9817.00     4.98    -9999
NOVOSIBIRS 240511 300  031000-031500   00    9932.00  993.6   9833.00     5.15    -9999
NOVOSIBIRS 240511 300  031500-032000   00    9943.00  993.6   9843.00     5.26    -9999
NOVOSIBIRS 240511 300  032000-032500   00   10001.00  993.5   9900.00     5.87    -9999
NOVOSIBIRS 240511 300  032500-033000   00    9899.00  993.6   9804.00     4.84    -9999
NOVOSIBIRS 240511 300  033000-033500   00    9721.00  993.6   9629.00     2.97    -9999
NOVOSIBIRS 240511 300  033500-034000   00    9952.00  993.7   9861.00     5.45    -9999
NOVOSIBIRS 240511 300  034000-034500   00    9827.00  993.7   9736.00     4.11    -9999
NOVOSIBIRS 240511 300  034500-035000   00    9812.00  993.7   9725.00     3.99    -9999
NOVOSIBIRS 240511 300  035000-035500   00    9813.00  993.8   9728.00     4.03    -9999
NOVOSIBIRS 240511 300  035500-040000   00    9827.00  993.8   9748.00     4.24    -9999
NOVOSIBIRS 240511 300  040000-040500   00    9723.00  993.7   9636.00     3.04    -9999
NOVOSIBIRS 240511 300  040500-041000   00    9784.00  993.7   9699.00     3.72    -9999
NOVOSIBIRS 240511 300  041000-041500   00    9842.00  993.8   9758.00     4.35    -9999
NOVOSIBIRS 240511 300  041500-042000   00    9827.00  993.8   9743.00     4.19    -9999
NOVOSIBIRS 240511 300  042000-042500   00    9673.00  993.7   9585.00     2.50    -9999
NOVOSIBIRS 240511 300  042500-043000   00    9822.00  993.6   9725.00     3.99    -9999
NOVOSIBIRS 240511 300  043000-043500   00    9722.00  993.5   9621.00     2.88    -9999
NOVOSIBIRS 240511 300  043500-044000   00    9854.00  993.6   9756.00     4.33    -9999
NOVOSIBIRS 240511 300  044000-044500   00    9815.00  993.6   9722.00     3.96    -9999
NOVOSIBIRS 240511 300  044500-045000   00    9911.00  993.6   9816.00     4.97    -9999
NOVOSIBIRS 240511 300  045000-045500   00    9796.00  993.7   9707.00     3.80    -9999
NOVOSIBIRS 240511 300  045500-050000   00    9781.00  993.7   9696.00     3.68    -9999
NOVOSIBIRS 240511 300  050000-050500   00    9664.00  993.7   9580.00     2.44    -9999
NOVOSIBIRS 240511 300  050500-051000   00    9758.00  993.7   9672.00     3.43    -9999
NOVOSIBIRS 240511 300  051000-051500   00    9879.00  993.7   9787.00     4.66    -9999
NOVOSIBIRS 240511 300  051500-052000   00    9892.00  993.6   9794.00     4.73    -9999
NOVOSIBIRS 240511 300  052000-052500   00    9876.00  993.6   9777.00     4.55    -9999
NOVOSIBIRS 240511 300  052500-053000   00    9943.00  993.5   9842.00     5.25    -9999
NOVOSIBIRS 240511 300  053000-053500   00    9897.00  993.5   9795.00     4.74    -9999
NOVOSIBIRS 240511 300  053500-054000   00    9852.00  993.5   9751.00     4.27    -9999
NOVOSIBIRS 240511 300  054000-054500   00   10034.00  993.4   9919.00     6.07    -9999
NOVOSIBIRS 240511 300  054500-055000   00    9869.00  993.3   9755.00     4.32    -9999
NOVOSIBIRS 240511 300  055000-055500   00    9751.00  993.4   9645.00     3.14    -9999
NOVOSIBIRS 240511 300  055500-060000   00    9736.00  993.4   9625.00     2.93    -9999
NOVOSIBIRS 240511 300  060000-060500   00    9866.00  993.4   9757.00     4.34    -9999
NOVOSIBIRS 240511 300  060500-061000   00    9633.00  993.4   9523.00     1.83    -9999
NOVOSIBIRS 240511 300  061000-061500   00    9702.00  993.4   9596.00     2.62    -9999
NOVOSIBIRS 240511 300  061500-062000   00    9656.00  993.4   9547.00     2.09    -9999
NOVOSIBIRS 240511 300  062000-062500   00    9549.00  993.4   9443.00     0.98    -9999
NOVOSIBIRS 240511 300  062500-063000   00    9620.00  993.4   9513.00     1.73    -9999
NOVOSIBIRS 240511 300  063000-063500   00    9656.00  993.3   9538.00     2.00    -9999
NOVOSIBIRS 240511 300  063500-064000   00    9649.00  993.3   9538.00     2.00    -9999
NOVOSIBIRS 240511 300  064000-064500   00    9693.00  993.3   9579.00     2.43    -9999
NOVOSIBIRS 240511 300  064500-065000   00    9710.00  993.2   9589.00     2.54    -9999
NOVOSIBIRS 240511 300  065000-065500   00    9733.00  993.2   9614.00     2.81    -9999
NOVOSIBIRS 240511 300  065500-070000   00    9731.00  993.2   9611.00     2.78    -9999
NOVOSIBIRS 240511 300  070000-070500   00    9740.00  993.1   9613.00     2.80    -9999
NOVOSIBIRS 240511 300  070500-071000   00    9626.00  993.1   9497.00     1.56    -9999
NOVOSIBIRS 240511 300  071000-071500   00    9735.00  993.0   9600.00     2.66    -9999
NOVOSIBIRS 240511 300  071500-072000   00    9689.00  993.0   9552.00     2.14    -9999
NOVOSIBIRS 240511 300  072000-072500   00    9674.00  992.9   9533.00     1.94    -9999
NOVOSIBIRS 240511 300  072500-073000   00    9667.00  993.0   9529.00     1.90    -9999
NOVOSIBIRS 240511 300  073000-073500   00    9675.00  993.0   9537.00     1.98    -9999
NOVOSIBIRS 240511 300  073500-074000   00    9914.00  993.0   9775.00     4.53    -9999
NOVOSIBIRS 240511 300  074000-074500   00    9715.00  993.0   9576.00     2.40    -9999
NOVOSIBIRS 240511 300  074500-075000   00    9649.00  993.0   9513.00     1.73    -9999
NOVOSIBIRS 240511 300  075000-075500   00    9606.00  993.0   9471.00     1.28    -9999
NOVOSIBIRS 240511 300  075500-080000   00    9677.00  993.0   9544.00     2.06    -9999
NOVOSIBIRS 240511 300  080000-080500   00    9792.00  992.9   9650.00     3.19    -9999
NOVOSIBIRS 240511 300  080500-081000   00    9871.00  992.9   9727.00     4.02    -9999
NOVOSIBIRS 240511 300  081000-081500   00    9670.00  993.0   9535.00     1.96    -9999
NOVOSIBIRS 240511 300  081500-082000   00   10002.00  992.9   9858.00     5.42    -9999
NOVOSIBIRS 240511 300  082000-082500   00    9800.00  992.9   9655.00     3.25    -9999
NOVOSIBIRS 240511 300  082500-083000   00    9675.00  992.8   9529.00     1.90    -9999
NOVOSIBIRS 240511 300  083000-083500   00    9767.00  992.7   9609.00     2.75    -9999
NOVOSIBIRS 240511 300  083500-084000   00    9611.00  992.8   9463.00     1.19    -9999
NOVOSIBIRS 240511 300  084000-084500   00    9708.00  992.9   9564.00     2.27    -9999
NOVOSIBIRS 240511 300  084500-085000   00    9744.00  992.9   9603.00     2.69    -9999
NOVOSIBIRS 240511 300  085000-085500   00    9737.00  993.0   9598.00     2.64    -9999
NOVOSIBIRS 240511 300  085500-090000   00    9633.00  993.0   9498.00     1.57    -9999
NOVOSIBIRS 240511 300  090000-090500   00    9679.00  993.0   9547.00     2.09    -9999
NOVOSIBIRS 240511 300  090500-091000   00    9694.00  993.0   9560.00     2.23    -9999
NOVOSIBIRS 240511 300  091000-091500   00    9640.00  993.1   9511.00     1.71    -9999
NOVOSIBIRS 240511 300  091500-092000   00    9526.00  993.1   9396.00     0.48    -9999
NOVOSIBIRS 240511 300  092000-092500   00    9507.00  993.1   9378.00     0.28    -9999
NOVOSIBIRS 240511 300  092500-093000   00    9534.00  993.1   9405.00     0.57    -9999
NOVOSIBIRS 240511 300  093000-093500   00    9580.00  993.1   9450.00     1.05    -9999
NOVOSIBIRS 240511 300  093500-094000   00    9914.00  993.1   9779.00     4.57    -9999
NOVOSIBIRS 240511 300  094000-094500   00    9647.00  993.0   9511.00     1.71    -9999
NOVOSIBIRS 240511 300  094500-095000   00    9688.00  993.1   9556.00     2.19    -9999
NOVOSIBIRS 240511 300  095000-095500   00    9662.00  993.1   9531.00     1.92    -9999
NOVOSIBIRS 240511 300  095500-100000   00    9845.00  993.0   9705.00     3.78    -9999
NOVOSIBIRS 240511 300  100000-100500   00    9723.00  993.0   9590.00     2.55    -9999
NOVOSIBIRS 240511 300  100500-101000   00    9888.00  993.1   9754.00     4.31    -9999
NOVOSIBIRS 240511 300  101000-101500   00    9736.00  993.0   9602.00     2.68    -9999
NOVOSIBIRS 240511 300  101500-102000   00    9850.00  993.1   9720.00     3.94    -9999
NOVOSIBIRS 240511 300  102000-102500   00    9931.00  993.1   9802.00     4.82    -9999
NOVOSIBIRS 240511 300  102500-103000   00    9712.00  993.2   9591.00     2.56    -9999
NOVOSIBIRS 240511 300  103000-103500   00    9694.00  993.3   9576.00     2.40    -9999
NOVOSIBIRS 240511 300  103500-104000   00    9664.00  993.3   9550.00     2.12    -9999
NOVOSIBIRS 240511 300  104000-104500   00    9644.00  993.4   9534.00     1.95    -9999
NOVOSIBIRS 240511 300  104500-105000   00    9643.00  993.4   9533.00     1.94    -9999
NOVOSIBIRS 240511 300  105000-105500   00    9563.00  993.4   9456.00     1.12    -9999
