CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     66.24      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      240511 300  022000-022500   00      68.45  935.1     67.56     2.00    -9999
CALMA      240511 300  022500-023000   00      66.62  935.1     65.74    -0.75    -9999
CALMA      240511 300  023000-023500   00      67.66  935.1     66.75     0.77    -9999
CALMA      240511 300  023500-024000   00      70.50  935.1     69.56     5.02    -9999
CALMA      240511 300  024000-024500   00      68.52  935.1     67.60     2.06    -9999
CALMA      240511 300  024500-025000   00      69.85  935.0     68.90     4.02    -9999
CALMA      240511 300  025000-025500   00      68.67  935.0     67.73     2.26    -9999
CALMA      240511 300  025500-030000   00      69.70  935.0     68.75     3.79    -9999
CALMA      240511 300  030000-030500   00      68.50  935.0     67.57     2.02    -9999
CALMA      240511 300  030500-031000   00      68.77  935.1     67.84     2.42    -9999
CALMA      240511 300  031000-031500   00      68.35  935.1     67.44     1.82    -9999
CALMA      240511 300  031500-032000   00      67.97  935.1     67.06     1.25    -9999
CALMA      240511 300  032000-032500   00      67.59  935.1     66.68     0.67    -9999
CALMA      240511 300  032500-033000   00      68.67  935.0     67.75     2.28    -9999
CALMA      240511 300  033000-033500   00      67.99  935.0     67.07     1.25    -9999
CALMA      240511 300  033500-034000   00      69.02  935.0     68.06     2.75    -9999
CALMA      240511 300  034000-034500   00      68.91  935.0     67.95     2.59    -9999
CALMA      240511 300  034500-035000   00      67.32  935.0     66.37     0.21    -9999
CALMA      240511 300  035000-035500   00      68.52  935.0     67.58     2.02    -9999
CALMA      240511 300  035500-040000   00      68.12  935.0     67.19     1.44    -9999
CALMA      240511 300  040000-040500   00      69.40  935.0     68.44     3.33    -9999
CALMA      240511 300  040500-041000   00      66.83  935.1     65.95    -0.44    -9999
CALMA      240511 300  041000-041500   00      68.30  935.1     67.41     1.77    -9999
CALMA      240511 300  041500-042000   00      67.29  935.1     66.39     0.24    -9999
CALMA      240511 300  042000-042500   00      66.86  935.1     65.96    -0.42    -9999
CALMA      240511 300  042500-043000   00      64.79  935.1     63.92    -3.50    -9999
CALMA      240511 300  043000-043500   00      69.20  935.1     68.30     3.12    -9999
CALMA      240511 300  043500-044000   00      70.83  935.1     69.89     5.52    -9999
CALMA      240511 300  044000-044500   00      68.70  935.2     67.82     2.39    -9999
CALMA      240511 300  044500-045000   00      66.82  935.2     65.98    -0.39    -9999
CALMA      240511 300  045000-045500   00      68.28  935.2     67.43     1.81    -9999
CALMA      240511 300  045500-050000   00      69.07  935.3     68.25     3.03    -9999
CALMA      240511 300  050000-050500   00      69.36  935.3     68.55     3.49    -9999
CALMA      240511 300  050500-051000   00      67.38  935.4     66.61     0.57    -9999
CALMA      240511 300  051000-051500   00      69.63  935.4     68.85     3.94    -9999
CALMA      240511 300  051500-052000   00      68.95  935.4     68.19     2.95    -9999
CALMA      240511 300  052000-052500   00      67.83  935.5     67.11     1.32    -9999
CALMA      240511 300  052500-053000   00      68.33  935.5     67.61     2.08    -9999
CALMA      240511 300  053000-053500   00      66.13  935.6     65.47    -1.15    -9999
CALMA      240511 300  053500-054000   00      67.86  935.6     67.21     1.47    -9999
CALMA      240511 300  054000-054500   00      68.21  935.7     67.59     2.05    -9999
CALMA      240511 300  054500-055000   00      67.56  935.7     66.95     1.08    -9999
CALMA      240511 300  055000-055500   00      66.33  935.7     65.74    -0.75    -9999
CALMA      240511 300  055500-060000   00      66.81  935.7     66.21    -0.05    -9999
CALMA      240511 300  060000-060500   00      66.67  935.7     66.08    -0.24    -9999
CALMA      240511 300  060500-061000   00      68.23  935.8     67.63     2.11    -9999
CALMA      240511 300  061000-061500   00      67.86  935.8     67.26     1.55    -9999
CALMA      240511 300  061500-062000   00      67.56  935.7     66.96     1.09    -9999
CALMA      240511 300  062000-062500   00      66.73  935.8     66.16    -0.12    -9999
CALMA      240511 300  062500-063000   00      66.77  935.8     66.19    -0.07    -9999
CALMA      240511 300  063000-063500   00      66.99  935.8     66.43     0.29    -9999
CALMA      240511 300  063500-064000   00      68.50  935.7     67.90     2.51    -9999
CALMA      240511 300  064000-064500   00      66.42  935.7     65.82    -0.63    -9999
CALMA      240511 300  064500-065000   00      66.14  935.8     65.56    -1.02    -9999
CALMA      240511 300  065000-065500   00      69.06  935.8     68.46     3.36    -9999
CALMA      240511 300  065500-070000   00      66.11  935.8     65.53    -1.06    -9999
CALMA      240511 300  070000-070500   00      69.14  935.7     68.51     3.43    -9999
CALMA      240511 300  070500-071000   00      68.38  935.7     67.76     2.30    -9999
CALMA      240511 300  071000-071500   00      68.45  935.7     67.83     2.41    -9999
CALMA      240511 300  071500-072000   00      64.96  935.7     64.39    -2.79    -9999
CALMA      240511 300  072000-072500   00      67.92  935.9     67.40     1.75    -9999
CALMA      240511 300  072500-073000   00      67.65  936.1     67.20     1.45    -9999
CALMA      240511 300  073000-073500   00      66.37  936.1     65.93    -0.46    -9999
CALMA      240511 300  073500-074000   00      66.36  936.1     65.93    -0.46    -9999
CALMA      240511 300  074000-074500   00      69.23  936.2     68.81     3.89    -9999
CALMA      240511 300  074500-075000   00      66.71  936.1     66.30     0.09    -9999
CALMA      240511 300  075000-075500   00      66.12  936.1     65.70    -0.81    -9999
CALMA      240511 300  075500-080000   00      69.24  936.1     68.81     3.89    -9999
CALMA      240511 300  080000-080500   00      67.06  936.1     66.64     0.61    -9999
CALMA      240511 300  080500-081000   00      67.89  936.1     67.44     1.82    -9999
CALMA      240511 300  081000-081500   00      66.45  936.0     65.99    -0.37    -9999
