PRINCESS S LATITUDE    18.59     LONGITUDE     98.49     ALTITUDE    2565 M
PRINCESS S INSTRUMENT   18NM64    NEUTRON MONITOR
PRINCESS S STANDARD PRESSURE    750.48  MB     COEFFICIENT   -0.641    % / MB
PRINCESS S PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
PRINCESS S PRE-INCREASE AVERAGE COUNTING RATE    590.62      COUNTS PER SECOND
PRINCESS S TIME INTERVALS    3600     
PRINCESS S SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PRINCESS S 240512 3600 100000-110000   00     587.35  752.0    592.74     0.36    -9999
PRINCESS S 240512 3600 110000-120000   00     586.48  752.2    592.37     0.30    -9999
PRINCESS S 240512 3600 120000-130000   00     584.15  752.6    591.48     0.14    -9999
PRINCESS S 240512 3600 130000-140000   00     582.27  753.1    591.64     0.17    -9999
PRINCESS S 240512 3600 140000-150000   00     580.61  753.4    591.07     0.08    -9999
PRINCESS S 240512 3600 150000-160000   00     579.38  753.7    590.98     0.06    -9999
PRINCESS S 240512 3600 160000-170000   00     581.75  753.6    592.98     0.40    -9999
PRINCESS S 240512 3600 170000-180000   00     583.54  753.1    592.93     0.39    -9999
PRINCESS S 240512 3600 180000-190000   00     585.49  752.6    592.84     0.38    -9999
PRINCESS S 240512 3600 190000-200000   00     591.31  752.1    597.14     1.10    -9999
PRINCESS S 240512 3600 200000-210000   00     593.98  752.1    599.85     1.56    -9999
PRINCESS S 240512 3600 210000-220000   00     595.43  752.2    601.41     1.83    -9999
PRINCESS S 240512 3600 220000-230000   00     596.12  752.4    603.03     2.10    -9999
PRINCESS S 240512 3600 230000-240000   00     595.63  752.9    604.39     2.33    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 04.06.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074PSNM.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
