JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    303.60      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  240511 300  004000-004500   00     251.47  670.1    305.52     0.63    -9999
JUNGFRAU1  240511 300  004500-005000   00     250.17  670.0    303.83     0.08    -9999
JUNGFRAU1  240511 300  005000-005500   00     251.06  670.0    304.88     0.42    -9999
JUNGFRAU1  240511 300  005500-010000   00     251.54  670.0    305.35     0.58    -9999
JUNGFRAU1  240511 300  010000-010500   00     251.09  670.0    304.80     0.39    -9999
JUNGFRAU1  240511 300  010500-011000   00     251.77  670.0    305.51     0.63    -9999
JUNGFRAU1  240511 300  011000-011500   00     251.51  670.0    305.37     0.58    -9999
JUNGFRAU1  240511 300  011500-012000   00     249.87  670.0    303.36    -0.08    -9999
JUNGFRAU1  240511 300  012000-012500   00     254.73  670.0    309.33     1.89    -9999
JUNGFRAU1  240511 300  012500-013000   00     255.01  670.0    309.58     1.97    -9999
JUNGFRAU1  240511 300  013000-013500   00     252.84  669.9    306.76     1.04    -9999
JUNGFRAU1  240511 300  013500-014000   00     255.83  669.9    310.47     2.26    -9999
JUNGFRAU1  240511 300  014000-014500   00     255.55  669.9    310.02     2.11    -9999
JUNGFRAU1  240511 300  014500-015000   00     255.95  669.9    310.56     2.29    -9999
JUNGFRAU1  240511 300  015000-015500   00     253.14  669.9    307.25     1.20    -9999
JUNGFRAU1  240511 300  015500-020000   00     258.40  669.9    313.43     3.24    -9999
JUNGFRAU1  240511 300  020000-020500   00     259.64  669.9    315.08     3.78    -9999
JUNGFRAU1  240511 300  020500-021000   00     259.06  669.9    314.32     3.53    -9999
JUNGFRAU1  240511 300  021000-021500   00     257.38  669.9    312.22     2.84    -9999
JUNGFRAU1  240511 300  021500-022000   00     256.50  669.9    311.12     2.48    -9999
JUNGFRAU1  240511 300  022000-022500   00     253.80  669.8    307.90     1.42    -9999
JUNGFRAU1  240511 300  022500-023000   00     256.92  669.8    311.51     2.60    -9999
JUNGFRAU1  240511 300  023000-023500   00     254.88  669.8    309.04     1.79    -9999
JUNGFRAU1  240511 300  023500-024000   00     260.00  669.8    315.21     3.82    -9999
JUNGFRAU1  240511 300  024000-024500   00     258.89  669.8    313.92     3.40    -9999
JUNGFRAU1  240511 300  024500-025000   00     256.65  669.8    311.18     2.49    -9999
JUNGFRAU1  240511 300  025000-025500   00     261.23  669.8    316.67     4.30    -9999
JUNGFRAU1  240511 300  025500-030000   00     261.00  669.7    316.22     4.15    -9999
JUNGFRAU1  240511 300  030000-030500   00     256.34  669.7    310.59     2.30    -9999
JUNGFRAU1  240511 300  030500-031000   00     259.92  669.7    314.81     3.69    -9999
JUNGFRAU1  240511 300  031000-031500   00     259.77  669.7    314.70     3.65    -9999
JUNGFRAU1  240511 300  031500-032000   00     259.77  669.7    314.75     3.67    -9999
JUNGFRAU1  240511 300  032000-032500   00     257.90  669.7    312.40     2.90    -9999
JUNGFRAU1  240511 300  032500-033000   00     257.73  669.7    312.32     2.87    -9999
JUNGFRAU1  240511 300  033000-033500   00     256.16  669.7    310.33     2.22    -9999
JUNGFRAU1  240511 300  033500-034000   00     256.26  669.7    310.51     2.28    -9999
JUNGFRAU1  240511 300  034000-034500   00     256.84  669.7    311.12     2.48    -9999
JUNGFRAU1  240511 300  034500-035000   00     254.57  669.7    308.49     1.61    -9999
JUNGFRAU1  240511 300  035000-035500   00     253.09  669.7    306.68     1.01    -9999
JUNGFRAU1  240511 300  035500-040000   00     254.34  669.7    308.16     1.50    -9999
JUNGFRAU1  240511 300  040000-040500   00     254.61  669.7    308.41     1.58    -9999
JUNGFRAU1  240511 300  040500-041000   00     256.42  669.7    310.72     2.35    -9999
JUNGFRAU1  240511 300  041000-041500   00     254.33  669.7    308.26     1.53    -9999
JUNGFRAU1  240511 300  041500-042000   00     252.49  669.7    305.86     0.74    -9999
JUNGFRAU1  240511 300  042000-042500   00     254.27  669.7    308.08     1.47    -9999
JUNGFRAU1  240511 300  042500-043000   00     253.57  669.7    307.20     1.18    -9999
JUNGFRAU1  240511 300  043000-043500   00     254.47  669.7    308.30     1.55    -9999
JUNGFRAU1  240511 300  043500-044000   00     256.73  669.7    311.10     2.47    -9999
JUNGFRAU1  240511 300  044000-044500   00     255.39  669.7    309.40     1.91    -9999
JUNGFRAU1  240511 300  044500-045000   00     253.12  669.7    306.71     1.02    -9999
JUNGFRAU1  240511 300  045000-045500   00     252.93  669.8    306.66     1.01    -9999
