MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE  7,636.73      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     240511 300  014500-015000   00    8824.41  982.6   7789.66     2.00    -9999
MOSCOW     240511 300  015000-015500   00    8875.96  982.7   7837.46     2.63    -9999
MOSCOW     240511 300  015500-020000   00    8811.28  982.7   7781.22     1.89    -9999
MOSCOW     240511 300  020000-020500   00    8841.28  982.8   7811.22     2.28    -9999
MOSCOW     240511 300  020500-021000   00    8856.27  982.8   7826.21     2.48    -9999
MOSCOW     240511 300  021000-021500   00    8978.12  982.8   7934.94     3.90    -9999
MOSCOW     240511 300  021500-022000   00    8816.91  982.8   7794.35     2.06    -9999
MOSCOW     240511 300  022000-022500   00    8885.33  982.8   7851.52     2.81    -9999
MOSCOW     240511 300  022500-023000   00    8920.01  982.9   7886.20     3.27    -9999
MOSCOW     240511 300  023000-023500   00    9044.67  982.9   7996.80     4.71    -9999
MOSCOW     240511 300  023500-024000   00    9128.08  982.9   8070.84     5.68    -9999
MOSCOW     240511 300  024000-024500   00    9076.53  982.9   8027.73     5.12    -9999
MOSCOW     240511 300  024500-025000   00    9088.72  983.0   8041.79     5.30    -9999
MOSCOW     240511 300  025000-025500   00    9012.80  983.0   7974.30     4.42    -9999
MOSCOW     240511 300  025500-030000   00    9088.72  983.0   8041.79     5.30    -9999
MOSCOW     240511 300  030000-030500   00    8940.63  983.0   7911.50     3.60    -9999
MOSCOW     240511 300  030500-031000   00    9053.10  983.0   8013.67     4.94    -9999
MOSCOW     240511 300  031000-031500   00    8964.06  983.1   7936.81     3.93    -9999
MOSCOW     240511 300  031500-032000   00    9084.97  983.1   8044.60     5.34    -9999
MOSCOW     240511 300  032000-032500   00    9030.61  983.1   7995.86     4.70    -9999
MOSCOW     240511 300  032500-033000   00    8996.86  983.1   7966.80     4.32    -9999
MOSCOW     240511 300  033000-033500   00    9041.85  983.1   8010.86     4.90    -9999
MOSCOW     240511 300  033500-034000   00    8972.50  983.2   7949.93     4.10    -9999
MOSCOW     240511 300  034000-034500   00    9063.41  983.2   8030.54     5.16    -9999
MOSCOW     240511 300  034500-035000   00    8983.74  983.1   7956.49     4.19    -9999
MOSCOW     240511 300  035000-035500   00    8909.70  983.1   7888.07     3.29    -9999
MOSCOW     240511 300  035500-040000   00    9051.23  983.1   8014.60     4.95    -9999
MOSCOW     240511 300  040000-040500   00    8994.99  983.1   7964.93     4.30    -9999
MOSCOW     240511 300  040500-041000   00    8995.93  983.1   7967.74     4.33    -9999
MOSCOW     240511 300  041000-041500   00    8937.82  983.2   7919.00     3.70    -9999
MOSCOW     240511 300  041500-042000   00    9031.54  983.2   8003.36     4.80    -9999
MOSCOW     240511 300  042000-042500   00    8972.50  983.2   7953.68     4.15    -9999
MOSCOW     240511 300  042500-043000   00    8998.74  983.3   7980.86     4.51    -9999
MOSCOW     240511 300  043000-043500   00    8920.01  983.3   7910.57     3.59    -9999
MOSCOW     240511 300  043500-044000   00    8843.15  983.3   7841.21     2.68    -9999
MOSCOW     240511 300  044000-044500   00    9024.05  983.3   8005.23     4.83    -9999
MOSCOW     240511 300  044500-045000   00    8974.37  983.4   7963.05     4.27    -9999
MOSCOW     240511 300  045000-045500   00    8964.06  983.4   7953.68     4.15    -9999
MOSCOW     240511 300  045500-050000   00    8933.13  983.4   7928.38     3.82    -9999
MOSCOW     240511 300  050000-050500   00    8887.20  983.4   7887.14     3.28    -9999
