DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     14.51      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       240511 300  012500-013000   00      15.87  642.5     14.48    -0.19    -0.45
DOMC       240511 300  013000-013500   00      16.02  642.5     14.62     0.73     0.40
DOMC       240511 300  013500-014000   00      15.85  642.5     14.47    -0.30    -0.66
DOMC       240511 300  014000-014500   00      16.05  642.5     14.67     1.08     0.66
DOMC       240511 300  014500-015000   00      15.77  642.6     14.40    -0.76    -1.16
DOMC       240511 300  015000-015500   00      16.37  642.6     14.95     3.03     2.61
DOMC       240511 300  015500-020000   00      16.52  642.6     15.08     3.95     3.52
DOMC       240511 300  020000-020500   00      16.03  642.6     14.65     0.96     0.53
DOMC       240511 300  020500-021000   00      16.75  642.6     15.30     5.44     5.00
DOMC       240511 300  021000-021500   00      16.83  642.6     15.37     5.90     5.48
DOMC       240511 300  021500-022000   00      16.63  642.5     15.18     4.64     4.16
DOMC       240511 300  022000-022500   00      16.92  642.5     15.45     6.48     5.96
DOMC       240511 300  022500-023000   00      16.77  642.5     15.30     5.44     4.95
DOMC       240511 300  023000-023500   00      17.02  642.5     15.53     7.05     6.53
DOMC       240511 300  023500-024000   00      16.63  642.5     15.17     4.52     4.02
DOMC       240511 300  024000-024500   00      16.95  642.5     15.47     6.59     6.05
DOMC       240511 300  024500-025000   00      16.47  642.5     15.03     3.60     3.01
DOMC       240511 300  025000-025500   00      17.02  642.5     15.53     7.05     6.48
DOMC       240511 300  025500-030000   00      16.37  642.6     14.93     2.91     2.34
DOMC       240511 300  030000-030500   00      17.00  642.6     15.52     6.93     6.35
DOMC       240511 300  030500-031000   00      16.22  642.6     14.82     2.11     1.47
DOMC       240511 300  031000-031500   00      16.97  642.6     15.48     6.70     6.08
DOMC       240511 300  031500-032000   00      16.85  642.6     15.38     6.02     5.34
DOMC       240511 300  032000-032500   00      16.20  642.6     14.80     2.00     1.28
DOMC       240511 300  032500-033000   00      16.47  642.6     15.05     3.72     2.99
DOMC       240511 300  033000-033500   00      17.42  642.6     15.92     9.69     8.92
DOMC       240511 300  033500-034000   00      17.60  642.6     16.08    10.84    10.04
DOMC       240511 300  034000-034500   00      17.10  642.6     15.62     7.62     6.84
DOMC       240511 300  034500-035000   00      16.60  642.5     15.15     4.41     3.63
DOMC       240511 300  035000-035500   00      16.45  642.5     15.02     3.49     2.65
DOMC       240511 300  035500-040000   00      16.87  642.5     15.40     6.13     5.31
DOMC       240511 300  040000-040500   00      16.42  642.5     14.98     3.26     2.45
DOMC       240511 300  040500-041000   00      16.45  642.4     15.00     3.37     2.56
DOMC       240511 300  041000-041500   00      17.15  642.5     15.65     7.85     6.99
DOMC       240511 300  041500-042000   00      17.03  642.5     15.53     7.05     6.23
DOMC       240511 300  042000-042500   00      16.45  642.5     15.02     3.49     2.57
DOMC       240511 300  042500-043000   00      17.02  642.5     15.53     7.05     6.13
DOMC       240511 300  043000-043500   00      17.00  642.5     15.52     6.93     6.00
DOMC       240511 300  043500-044000   00      16.68  642.5     15.23     4.98     4.05
DOMC       240511 300  044000-044500   00      16.97  642.6     15.50     6.82     5.84
DOMC       240511 300  044500-045000   00      16.23  642.6     14.83     2.23     1.27
DOMC       240511 300  045000-045500   00      16.45  642.6     15.03     3.60     2.61
DOMC       240511 300  045500-050000   00      17.22  642.6     15.73     8.43     7.38
DOMC       240511 300  050000-050500   00      16.78  642.5     15.32     5.56     4.55
DOMC       240511 300  050500-051000   00      17.23  642.5     15.73     8.43     7.43
DOMC       240511 300  051000-051500   00      17.08  642.5     15.60     7.51     6.43
DOMC       240511 300  051500-052000   00      16.90  642.5     15.43     6.36     5.26
DOMC       240511 300  052000-052500   00      16.93  642.5     15.45     6.48     5.40
DOMC       240511 300  052500-053000   00      16.08  642.4     14.68     1.19     0.06
DOMC       240511 300  053000-053500   00      16.85  642.4     15.37     5.90     4.85
DOMC       240511 300  053500-054000   00      16.80  642.4     15.32     5.56     4.49
DOMC       240511 300  054000-054500   00      16.88  642.4     15.40     6.13     5.01
DOMC       240511 300  054500-055000   00      16.73  642.5     15.28     5.33     4.15
DOMC       240511 300  055000-055500   00      17.03  642.5     15.55     7.16     6.03
DOMC       240511 300  055500-060000   00      16.58  642.5     15.13     4.29     3.15
DOMC       240511 300  060000-060500   00      16.87  642.5     15.38     6.02     4.90
DOMC       240511 300  060500-061000   00      16.72  642.5     15.27     5.21     4.00
DOMC       240511 300  061000-061500   00      16.45  642.4     15.02     3.49     2.29
DOMC       240511 300  061500-062000   00      16.83  642.4     15.35     5.79     4.63
DOMC       240511 300  062000-062500   00      17.55  642.4     16.00    10.27     9.08
DOMC       240511 300  062500-063000   00      16.73  642.4     15.27     5.21     3.96
DOMC       240511 300  063000-063500   00      16.58  642.5     15.13     4.29     3.07
DOMC       240511 300  063500-064000   00      16.88  642.5     15.42     6.25     4.94
DOMC       240511 300  064000-064500   00      17.02  642.5     15.52     6.93     5.72
DOMC       240511 300  064500-065000   00      16.73  642.5     15.27     5.21     3.97
DOMC       240511 300  065000-065500   00      16.58  642.4     15.13     4.29     2.98
DOMC       240511 300  065500-070000   00      16.62  642.4     15.15     4.41     3.15
DOMC       240511 300  070000-070500   00      17.15  642.4     15.63     7.74     6.46
DOMC       240511 300  070500-071000   00      16.48  642.4     15.03     3.60     2.32
DOMC       240511 300  071000-071500   00      16.60  642.4     15.13     4.29     3.02
DOMC       240511 300  071500-072000   00      16.63  642.4     15.17     4.52     3.22
DOMC       240511 300  072000-072500   00      16.53  642.4     15.08     3.95     2.57
DOMC       240511 300  072500-073000   00      16.72  642.4     15.25     5.10     3.73
DOMC       240511 300  073000-073500   00      16.98  642.4     15.48     6.70     5.30
DOMC       240511 300  073500-074000   00      16.60  642.4     15.13     4.29     2.94
DOMC       240511 300  074000-074500   00      16.80  642.4     15.33     5.67     4.22
DOMC       240511 300  074500-075000   00      16.38  642.4     14.95     3.03     1.61
DOMC       240511 300  075000-075500   00      17.10  642.4     15.60     7.51     6.07
DOMC       240511 300  075500-080000   00      16.55  642.5     15.10     4.06     2.65
DOMC       240511 300  080000-080500   00      16.45  642.6     15.02     3.49     2.07
DOMC       240511 300  080500-081000   00      16.30  642.5     14.88     2.57     1.11
DOMC       240511 300  081000-081500   00      16.73  642.5     15.28     5.33     3.83
DOMC       240511 300  081500-082000   00      17.08  642.5     15.60     7.51     6.04
DOMC       240511 300  082000-082500   00      16.82  642.5     15.35     5.79     4.27
DOMC       240511 300  082500-083000   00      16.65  642.5     15.20     4.75     3.27
DOMC       240511 300  083000-083500   00      16.40  642.5     14.97     3.14     1.67
DOMC       240511 300  083500-084000   00      16.57  642.4     15.12     4.18     2.64
DOMC       240511 300  084000-084500   00      16.80  642.4     15.33     5.67     4.15
DOMC       240511 300  084500-085000   00      16.38  642.5     14.95     3.03     1.50
DOMC       240511 300  085000-085500   00      16.62  642.5     15.17     4.52     2.94
DOMC       240511 300  085500-090000   00      16.67  642.5     15.20     4.75     3.25
DOMC       240511 300  090000-090500   00      16.38  642.4     14.95     3.03     1.44
DOMC       240511 300  090500-091000   00      16.42  642.4     14.97     3.14     1.59
DOMC       240511 300  091000-091500   00      16.32  642.4     14.88     2.57     0.97
DOMC       240511 300  091500-092000   00      16.33  642.4     14.90     2.68     1.11
DOMC       240511 300  092000-092500   00      16.02  642.4     14.60     0.62    -0.94
DOMC       240511 300  092500-093000   00      16.70  642.4     15.23     4.98     3.37
DOMC       240511 300  093000-093500   00      16.48  642.4     15.03     3.60     1.98
DOMC       240511 300  093500-094000   00      16.32  642.4     14.87     2.46     0.91
DOMC       240511 300  094000-094500   00      16.62  642.4     15.15     4.41     2.78
DOMC       240511 300  094500-095000   00      16.58  642.4     15.12     4.18     2.58
DOMC       240511 300  095000-095500   00      16.87  642.4     15.38     6.02     4.34
DOMC       240511 300  095500-100000   00      16.08  642.4     14.67     1.08    -0.55
DOMC       240511 300  100000-100500   00      16.23  642.5     14.82     2.11     0.45
DOMC       240511 300  100500-101000   00      15.75  642.5     14.38    -0.88    -2.51
DOMC       240511 300  101000-101500   00      16.42  642.5     14.98     3.26     1.64
DOMC       240511 300  101500-102000   00      16.68  642.5     15.23     4.98     3.29
DOMC       240511 300  102000-102500   00      16.43  642.6     15.02     3.49     1.80
