LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    383.91      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   240511 300  005500-010000   00     361.93  741.6    384.00     0.02    -9999
LOMNICKY   240511 300  010000-010500   00     363.15  741.5    385.12     0.31    -9999
LOMNICKY   240511 300  010500-011000   00     366.40  741.5    388.53     1.20    -9999
LOMNICKY   240511 300  011000-011500   00     363.72  741.5    385.60     0.44    -9999
LOMNICKY   240511 300  011500-012000   00     364.72  741.4    386.55     0.69    -9999
LOMNICKY   240511 300  012000-012500   00     366.28  741.4    388.19     1.11    -9999
LOMNICKY   240511 300  012500-013000   00     368.40  741.4    390.44     1.70    -9999
LOMNICKY   240511 300  013000-013500   00     368.22  741.4    390.19     1.64    -9999
LOMNICKY   240511 300  013500-014000   00     366.98  741.3    388.73     1.25    -9999
LOMNICKY   240511 300  014000-014500   00     372.13  741.3    394.20     2.68    -9999
LOMNICKY   240511 300  014500-015000   00     370.52  741.3    392.50     2.24    -9999
LOMNICKY   240511 300  015000-015500   00     369.67  741.3    391.56     1.99    -9999
LOMNICKY   240511 300  015500-020000   00     369.55  741.3    391.36     1.94    -9999
LOMNICKY   240511 300  020000-020500   00     372.90  741.3    394.82     2.84    -9999
LOMNICKY   240511 300  020500-021000   00     377.21  741.3    399.36     4.03    -9999
LOMNICKY   240511 300  021000-021500   00     366.31  741.3    387.80     1.01    -9999
LOMNICKY   240511 300  021500-022000   00     374.71  741.3    396.71     3.33    -9999
LOMNICKY   240511 300  022000-022500   00     372.25  741.3    394.10     2.66    -9999
LOMNICKY   240511 300  022500-023000   00     372.36  741.3    394.25     2.69    -9999
LOMNICKY   240511 300  023000-023500   00     374.64  741.2    396.56     3.29    -9999
LOMNICKY   240511 300  023500-024000   00     377.02  741.2    399.09     3.95    -9999
LOMNICKY   240511 300  024000-024500   00     377.00  741.2    399.03     3.94    -9999
LOMNICKY   240511 300  024500-025000   00     376.02  741.2    397.92     3.65    -9999
LOMNICKY   240511 300  025000-025500   00     379.57  741.2    401.69     4.63    -9999
LOMNICKY   240511 300  025500-030000   00     380.69  741.2    402.92     4.95    -9999
LOMNICKY   240511 300  030000-030500   00     376.96  741.2    399.05     3.94    -9999
