ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,188.49      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 240510 3600 000000-010000   00    1163.65  683.3   1271.39     6.98    -9999
ALMA-ATA-B 240510 3600 010000-020000   00    1164.51  683.4   1272.82     7.10    -9999
ALMA-ATA-B 240510 3600 020000-030000   00    1160.45  683.3   1268.17     6.70    -9999
ALMA-ATA-B 240510 3600 030000-040000   00    1162.77  683.1   1268.38     6.72    -9999
ALMA-ATA-B 240510 3600 040000-050000   00    1172.96  682.7   1275.80     7.35    -9999
ALMA-ATA-B 240510 3600 050000-060000   00    1180.39  682.6   1282.91     7.94    -9999
ALMA-ATA-B 240510 3600 060000-070000   00    1177.82  682.4   1278.97     7.61    -9999
ALMA-ATA-B 240510 3600 070000-080000   00    1178.33  682.3   1278.09     7.54    -9999
ALMA-ATA-B 240510 3600 080000-090000   00    1180.03  682.2   1278.84     7.60    -9999
ALMA-ATA-B 240510 3600 090000-100000   00    1180.46  681.9   1277.26     7.47    -9999
ALMA-ATA-B 240510 3600 100000-110000   00    1184.30  682.0   1281.49     7.83    -9999
ALMA-ATA-B 240510 3600 110000-120000   00    1186.23  681.9   1283.05     7.96    -9999
ALMA-ATA-B 240510 3600 120000-130000   00    1186.87  681.8   1282.81     7.94    -9999
ALMA-ATA-B 240510 3600 130000-140000   00    1188.30  681.9   1285.51     8.16    -9999
ALMA-ATA-B 240510 3600 140000-150000   00    1186.23  682.2   1285.49     8.16    -9999
ALMA-ATA-B 240510 3600 150000-160000   00    1183.70  682.4   1284.51     8.08    -9999
ALMA-ATA-B 240510 3600 160000-170000   00    1183.10  682.3   1283.34     7.98    -9999
ALMA-ATA-B 240510 3600 170000-180000   00    1177.03  682.2   1276.02     7.36    -9999
ALMA-ATA-B 240510 3600 180000-190000   00    1197.82  682.2   1298.23     9.23    -9999
ALMA-ATA-B 240510 3600 190000-200000   00    1200.26  681.9   1298.68     9.27    -9999
ALMA-ATA-B 240510 3600 200000-210000   00    1193.31  682.0   1291.43     8.66    -9999
ALMA-ATA-B 240510 300  210000-210500   00    1196.26  681.9   1293.82     8.86    -9999
ALMA-ATA-B 240510 300  210500-211000   00    1201.50  681.8   1299.20     9.31    -9999
ALMA-ATA-B 240510 300  211000-211500   00    1194.80  681.8   1292.02     8.71    -9999
ALMA-ATA-B 240510 300  211500-212000   00    1202.88  681.9   1300.98     9.46    -9999
ALMA-ATA-B 240510 300  212000-212500   00    1185.72  681.9   1282.36     7.90    -9999
ALMA-ATA-B 240510 300  212500-213000   00    1183.96  682.0   1281.26     7.81    -9999
ALMA-ATA-B 240510 300  213000-213500   00    1174.18  681.9   1270.28     6.88    -9999
ALMA-ATA-B 240510 300  213500-214000   00    1181.16  681.9   1277.48     7.49    -9999
ALMA-ATA-B 240510 300  214000-214500   00    1161.70  681.8   1255.88     5.67    -9999
ALMA-ATA-B 240510 300  214500-215000   00    1168.42  681.8   1263.06     6.27    -9999
ALMA-ATA-B 240510 300  215000-215500   00    1158.90  681.8   1252.48     5.38    -9999
ALMA-ATA-B 240510 300  215500-220000   00    1175.68  681.7   1270.14     6.87    -9999
ALMA-ATA-B 240510 300  220000-220500   00    1175.10  681.7   1269.58     6.82    -9999
ALMA-ATA-B 240510 300  220500-221000   00    1179.50  681.7   1274.02     7.20    -9999
ALMA-ATA-B 240510 300  221000-221500   00    1160.50  681.7   1253.48     5.47    -9999
ALMA-ATA-B 240510 300  221500-222000   00    1154.14  681.7   1246.88     4.91    -9999
ALMA-ATA-B 240510 300  222000-222500   00    1148.76  681.8   1241.38     4.45    -9999
ALMA-ATA-B 240510 300  222500-223000   00    1132.34  681.8   1224.22     3.01    -9999
ALMA-ATA-B 240510 300  223000-223500   00    1127.98  681.9   1220.26     2.67    -9999
ALMA-ATA-B 240510 300  223500-224000   00    1120.18  682.0   1212.18     1.99    -9999
ALMA-ATA-B 240510 300  224000-224500   00    1104.56  681.9   1194.86     0.54    -9999
ALMA-ATA-B 240510 300  224500-225000   00    1108.84  681.8   1198.94     0.88    -9999
ALMA-ATA-B 240510 300  225000-225500   00    1100.76  681.9   1190.36     0.16    -9999
ALMA-ATA-B 240510 300  225500-230000   00    1100.60  681.9   1190.52     0.17    -9999
ALMA-ATA-B 240510 300  230000-230500   00    1097.46  681.9   1187.18    -0.11    -9999
ALMA-ATA-B 240510 300  230500-231000   00    1097.36  681.9   1187.38    -0.09    -9999
ALMA-ATA-B 240510 300  231000-231500   00    1095.46  682.0   1185.88    -0.22    -9999
ALMA-ATA-B 240510 300  231500-232000   00    1097.52  682.0   1188.22    -0.02    -9999
ALMA-ATA-B 240510 300  232000-232500   00    1098.84  682.0   1189.78     0.11    -9999
ALMA-ATA-B 240510 300  232500-233000   00    1096.62  682.0   1187.28    -0.10    -9999
ALMA-ATA-B 240510 300  233000-233500   00    1098.52  682.0   1189.44     0.08    -9999
ALMA-ATA-B 240510 300  233500-234000   00    1095.76  682.1   1186.62    -0.16    -9999
ALMA-ATA-B 240510 300  234000-234500   00    1093.54  682.1   1184.70    -0.32    -9999
