MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    201.68      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     240511 300  021000-021500   00     203.64  983.4    204.12     1.21     0.78
MAWSON     240511 300  021500-022000   00     206.06  983.5    206.65     2.47     2.02
MAWSON     240511 300  022000-022500   00     205.62  983.5    206.26     2.27     1.81
MAWSON     240511 300  022500-023000   00     209.11  983.5    209.76     4.01     3.53
MAWSON     240511 300  023000-023500   00     210.85  983.6    211.67     4.95     4.47
MAWSON     240511 300  023500-024000   00     209.88  983.6    210.65     4.45     3.95
MAWSON     240511 300  024000-024500   00     211.17  983.6    211.99     5.11     4.60
MAWSON     240511 300  024500-025000   00     208.66  983.6    209.46     3.86     3.33
MAWSON     240511 300  025000-025500   00     209.64  983.7    210.49     4.37     3.82
MAWSON     240511 300  025500-030000   00     210.79  983.8    211.76     5.00     4.44
MAWSON     240511 300  030000-030500   00     209.05  983.9    210.17     4.21     3.64
MAWSON     240511 300  030500-031000   00     208.93  984.0    210.25     4.25     3.66
MAWSON     240511 300  031000-031500   00     208.55  984.0    209.83     4.04     3.44
MAWSON     240511 300  031500-032000   00     207.19  983.9    208.39     3.33     2.71
MAWSON     240511 300  032000-032500   00     207.92  983.9    209.12     3.69     3.06
MAWSON     240511 300  032500-033000   00     207.95  983.9    209.18     3.72     3.08
MAWSON     240511 300  033000-033500   00     205.25  984.0    206.62     2.45     1.80
MAWSON     240511 300  033500-034000   00     206.54  984.0    207.89     3.08     2.41
MAWSON     240511 300  034000-034500   00     205.08  984.0    206.34     2.31     1.63
MAWSON     240511 300  034500-035000   00     204.33  984.1    205.81     2.05     1.36
MAWSON     240511 300  035000-035500   00     203.63  984.2    205.19     1.74     1.03
MAWSON     240511 300  035500-040000   00     205.50  984.2    207.08     2.68     1.96
MAWSON     240511 300  040000-040500   00     205.97  984.2    207.55     2.91     2.18
MAWSON     240511 300  040500-041000   00     206.46  984.2    208.00     3.14     2.39
MAWSON     240511 300  041000-041500   00     204.63  984.2    206.23     2.26     1.50
MAWSON     240511 300  041500-042000   00     206.42  984.3    208.23     3.25     2.48
MAWSON     240511 300  042000-042500   00     204.16  984.5    206.11     2.20     1.41
MAWSON     240511 300  042500-043000   00     206.54  984.6    208.71     3.49     2.69
MAWSON     240511 300  043000-043500   00     205.74  984.7    208.10     3.19     2.38
MAWSON     240511 300  043500-044000   00     205.32  984.8    207.83     3.05     2.23
MAWSON     240511 300  044000-044500   00     204.55  984.9    207.09     2.68     1.85
