SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240511 300  004000-004500   00     246.25  671.3    230.76    -0.14    -9999
SOUTH-POLE 240511 300  004500-005000   00     248.41  671.3    232.73     0.71    -9999
SOUTH-POLE 240511 300  005000-005500   00     246.48  671.2    230.84    -0.10    -9999
SOUTH-POLE 240511 300  005500-010000   00     248.78  671.2    232.87     0.78    -9999
SOUTH-POLE 240511 300  010000-010500   00     248.36  671.1    232.37     0.56     0.27
SOUTH-POLE 240511 300  010500-011000   00     248.59  671.1    232.55     0.64     0.31
SOUTH-POLE 240511 300  011000-011500   00     248.41  671.1    232.38     0.56     0.21
SOUTH-POLE 240511 300  011500-012000   00     249.95  671.1    233.77     1.16     0.79
SOUTH-POLE 240511 300  012000-012500   00     248.55  671.1    232.43     0.59     0.18
SOUTH-POLE 240511 300  012500-013000   00     248.43  671.0    232.29     0.53     0.09
SOUTH-POLE 240511 300  013000-013500   00     248.24  671.1    232.14     0.46     0.00
SOUTH-POLE 240511 300  013500-014000   00     250.81  671.1    234.69     1.56     1.07
SOUTH-POLE 240511 300  014000-014500   00     249.46  671.1    233.42     1.01     0.50
SOUTH-POLE 240511 300  014500-015000   00     250.46  671.2    234.40     1.44     0.89
SOUTH-POLE 240511 300  015000-015500   00     250.96  671.2    234.90     1.65     1.08
SOUTH-POLE 240511 300  015500-020000   00     254.43  671.1    238.08     3.03     2.44
SOUTH-POLE 240511 300  020000-020500   00     255.50  671.1    239.09     3.47     2.85
SOUTH-POLE 240511 300  020500-021000   00     259.30  671.1    242.65     5.01     4.36
SOUTH-POLE 240511 300  021000-021500   00     257.91  671.2    241.40     4.47     3.79
SOUTH-POLE 240511 300  021500-022000   00     257.95  671.1    241.40     4.47     3.76
SOUTH-POLE 240511 300  022000-022500   00     260.73  671.2    244.06     5.62     4.89
SOUTH-POLE 240511 300  022500-023000   00     258.18  671.2    241.74     4.61     3.86
SOUTH-POLE 240511 300  023000-023500   00     261.98  671.2    245.30     6.15     5.38
SOUTH-POLE 240511 300  023500-024000   00     266.34  671.2    249.45     7.95     7.14
SOUTH-POLE 240511 300  024000-024500   00     263.03  671.3    246.44     6.65     5.82
