CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240511 300  011500-012000   00     277.96  885.4    253.73     3.22     2.77
CALGARY    240511 300  012000-012500   00     273.42  885.4    249.52     1.51     1.04
CALGARY    240511 300  012500-013000   00     280.29  885.4    255.75     4.04     3.55
CALGARY    240511 300  013000-013500   00     277.81  885.3    253.42     3.10     2.58
CALGARY    240511 300  013500-014000   00     277.37  885.3    252.96     2.91     2.37
CALGARY    240511 300  014000-014500   00     280.34  885.3    255.69     4.02     3.46
CALGARY    240511 300  014500-015000   00     275.82  885.3    251.55     2.34     1.75
CALGARY    240511 300  015000-015500   00     274.10  885.3    249.93     1.68     1.07
CALGARY    240511 300  015500-020000   00     271.15  885.3    247.21     0.57    -0.06
CALGARY    240511 300  020000-020500   00     274.12  885.2    249.74     1.60     0.95
CALGARY    240511 300  020500-021000   00     275.59  885.1    250.83     2.04     1.37
CALGARY    240511 300  021000-021500   00     280.99  885.0    255.72     4.03     3.34
CALGARY    240511 300  021500-022000   00     277.31  885.0    252.35     2.66     1.95
CALGARY    240511 300  022000-022500   00     280.17  885.0    254.90     3.70     2.97
CALGARY    240511 300  022500-023000   00     277.54  885.0    252.46     2.70     1.96
CALGARY    240511 300  023000-023500   00     280.40  884.9    254.95     3.72     2.95
CALGARY    240511 300  023500-024000   00     280.15  884.9    254.62     3.58     2.80
CALGARY    240511 300  024000-024500   00     278.78  884.9    253.38     3.08     2.28
CALGARY    240511 300  024500-025000   00     280.24  884.9    254.66     3.60     2.78
CALGARY    240511 300  025000-025500   00     277.79  884.8    252.33     2.65     1.81
CALGARY    240511 300  025500-030000   00     283.82  884.7    257.67     4.83     3.97
CALGARY    240511 300  030000-030500   00     279.25  884.7    253.44     3.11     2.23
CALGARY    240511 300  030500-031000   00     281.27  884.6    255.19     3.81     2.93
CALGARY    240511 300  031000-031500   00     281.92  884.7    255.79     4.06     3.15
CALGARY    240511 300  031500-032000   00     284.98  884.7    258.65     5.22     4.30
CALGARY    240511 300  032000-032500   00     279.69  884.7    253.87     3.28     2.34
CALGARY    240511 300  032500-033000   00     286.11  884.7    259.72     5.66     4.71
CALGARY    240511 300  033000-033500   00     283.38  884.7    257.28     4.67     3.70
CALGARY    240511 300  033500-034000   00     282.26  884.7    256.23     4.24     3.26
CALGARY    240511 300  034000-034500   00     282.72  884.7    256.65     4.41     3.41
CALGARY    240511 300  034500-035000   00     278.29  884.7    252.63     2.77     1.77
CALGARY    240511 300  035000-035500   00     278.17  884.7    252.55     2.74     1.72
CALGARY    240511 300  035500-040000   00     278.79  884.8    253.19     3.00     1.97
CALGARY    240511 300  040000-040500   00     278.88  884.8    253.34     3.06     2.02
CALGARY    240511 300  040500-041000   00     276.21  884.8    250.95     2.09     1.03
CALGARY    240511 300  041000-041500   00     277.16  884.9    251.89     2.47     1.40
CALGARY    240511 300  041500-042000   00     278.08  884.9    252.74     2.82     1.73
CALGARY    240511 300  042000-042500   00     278.34  884.8    252.92     2.89     1.79
CALGARY    240511 300  042500-043000   00     275.06  884.8    249.81     1.63     0.52
CALGARY    240511 300  043000-043500   00     278.37  884.8    252.78     2.84     1.72
CALGARY    240511 300  043500-044000   00     279.90  884.8    254.18     3.40     2.27
CALGARY    240511 300  044000-044500   00     275.56  884.7    250.19     1.78     0.64
CALGARY    240511 300  044500-045000   00     274.85  884.7    249.50     1.50     0.35
CALGARY    240511 300  045000-045500   00     275.84  884.7    250.28     1.82     0.66
CALGARY    240511 300  045500-050000   00     277.84  884.6    252.08     2.55     1.38
CALGARY    240511 300  050000-050500   00     273.47  884.7    248.18     0.96    -0.22
CALGARY    240511 300  050500-051000   00     275.04  884.6    249.54     1.52     0.33
CALGARY    240511 300  051000-051500   00     274.73  884.6    249.14     1.35     0.16
CALGARY    240511 300  051500-052000   00     275.35  884.5    249.45     1.48     0.28
CALGARY    240511 300  052000-052500   00     277.42  884.4    251.20     2.19     0.98
CALGARY    240511 300  052500-053000   00     279.48  884.4    253.14     2.98     1.76
CALGARY    240511 300  053000-053500   00     277.50  884.4    251.35     2.25     1.02
CALGARY    240511 300  053500-054000   00     275.93  884.4    249.87     1.65     0.42
CALGARY    240511 300  054000-054500   00     277.66  884.4    251.51     2.32     1.08
CALGARY    240511 300  054500-055000   00     277.49  884.4    251.27     2.22     0.97
CALGARY    240511 300  055000-055500   00     277.00  884.4    250.86     2.05     0.80
CALGARY    240511 300  055500-060000   00     274.43  884.4    248.59     1.13    -0.13
CALGARY    240511 300  060000-060500   00     274.53  884.4    248.69     1.17    -0.09
