KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.7  MB     COEFFICIENT   -0.721    % / MB
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    146.39      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KIEL       240511 300  021000-021500   00     136.52 1016.8    146.85     0.32    -9999
KIEL       240511 300  021500-022000   00     140.09 1016.8    150.70     2.95    -9999
KIEL       240511 300  022000-022500   00     139.37 1016.8    149.84     2.36    -9999
KIEL       240511 300  022500-023000   00     142.18 1016.7    152.80     4.38    -9999
KIEL       240511 300  023000-023500   00     143.26 1016.7    153.93     5.15    -9999
KIEL       240511 300  023500-024000   00     142.78 1016.7    153.44     4.82    -9999
KIEL       240511 300  024000-024500   00     143.65 1016.7    154.38     5.46    -9999
KIEL       240511 300  024500-025000   00     147.83 1016.6    158.79     8.47    -9999
KIEL       240511 300  025000-025500   00     143.12 1016.6    153.75     5.03    -9999
KIEL       240511 300  025500-030000   00     142.44 1016.7    153.05     4.55    -9999
KIEL       240511 300  030000-030500   00     139.16 1016.7    149.56     2.17    -9999
KIEL       240511 300  030500-031000   00     142.96 1016.7    153.65     4.96    -9999
KIEL       240511 300  031000-031500   00     144.12 1016.7    154.87     5.80    -9999
KIEL       240511 300  031500-032000   00     143.56 1016.8    154.35     5.44    -9999
KIEL       240511 300  032000-032500   00     141.53 1016.8    152.26     4.01    -9999
KIEL       240511 300  032500-033000   00     144.09 1016.8    155.01     5.89    -9999
KIEL       240511 300  033000-033500   00     142.29 1016.8    153.05     4.55    -9999
KIEL       240511 300  033500-034000   00     143.41 1016.8    154.20     5.34    -9999
KIEL       240511 300  034000-034500   00     140.63 1016.8    151.20     3.29    -9999
KIEL       240511 300  034500-035000   00     142.84 1016.8    153.59     4.92    -9999
KIEL       240511 300  035000-035500   00     143.38 1016.8    154.21     5.34    -9999
KIEL       240511 300  035500-040000   00     144.13 1016.8    155.07     5.93    -9999
KIEL       240511 300  040000-040500   00     140.86 1016.9    151.59     3.55    -9999
KIEL       240511 300  040500-041000   00     143.98 1016.9    154.98     5.87    -9999
KIEL       240511 300  041000-041500   00     139.46 1016.9    150.12     2.55    -9999
KIEL       240511 300  041500-042000   00     144.60 1016.9    155.65     6.33    -9999
KIEL       240511 300  042000-042500   00     141.18 1017.0    152.03     3.86    -9999
KIEL       240511 300  042500-043000   00     140.75 1017.0    151.59     3.55    -9999
KIEL       240511 300  043000-043500   00     138.63 1017.0    149.29     1.98    -9999
KIEL       240511 300  043500-044000   00     141.39 1017.0    152.27     4.02    -9999
KIEL       240511 300  044000-044500   00     138.04 1017.0    148.66     1.55    -9999
KIEL       240511 300  044500-045000   00     140.34 1017.0    151.18     3.28    -9999
KIEL       240511 300  045000-045500   00     140.97 1017.0    151.84     3.73    -9999
KIEL       240511 300  045500-050000   00     139.43 1017.0    150.23     2.63    -9999
KIEL       240511 300  050000-050500   00     138.81 1017.1    149.62     2.21    -9999
KIEL       240511 300  050500-051000   00     143.34 1017.2    154.60     5.61    -9999
KIEL       240511 300  051000-051500   00     139.75 1017.2    150.75     2.98    -9999
KIEL       240511 300  051500-052000   00     141.37 1017.3    152.59     4.24    -9999
KIEL       240511 300  052000-052500   00     137.25 1017.4    148.21     1.24    -9999
KIEL       240511 300  052500-053000   00     141.26 1017.4    152.57     4.22    -9999
KIEL       240511 300  053000-053500   00     139.39 1017.4    150.56     2.85    -9999
KIEL       240511 300  053500-054000   00     140.98 1017.4    152.34     4.07    -9999
KIEL       240511 300  054000-054500   00     140.09 1017.5    151.44     3.45    -9999
KIEL       240511 300  054500-055000   00     138.68 1017.6    149.99     2.46    -9999
KIEL       240511 300  055000-055500   00     137.27 1017.5    148.43     1.40    -9999
KIEL       240511 300  055500-060000   00     139.97 1017.6    151.36     3.39    -9999
KIEL       240511 300  060000-060500   00     138.94 1017.6    150.27     2.65    -9999
KIEL       240511 300  060500-061000   00     139.84 1017.6    151.24     3.31    -9999
KIEL       240511 300  061000-061500   00     136.81 1017.6    148.03     1.12    -9999
KIEL       240511 300  061500-062000   00     138.40 1017.7    149.79     2.32    -9999
KIEL       240511 300  062000-062500   00     137.45 1017.7    148.79     1.64    -9999
KIEL       240511 300  062500-063000   00     139.56 1017.7    151.11     3.23    -9999
KIEL       240511 300  063000-063500   00     136.84 1017.7    148.19     1.23    -9999
KIEL       240511 300  063500-064000   00     137.83 1017.7    149.24     1.95    -9999
KIEL       240511 300  064000-064500   00     138.10 1017.7    149.50     2.13    -9999
KIEL       240511 300  064500-065000   00     139.80 1017.7    151.33     3.37    -9999
KIEL       240511 300  065000-065500   00     138.31 1017.7    149.75     2.30    -9999
KIEL       240511 300  065500-070000   00     138.13 1017.7    149.51     2.13    -9999
KIEL       240511 300  070000-070500   00     138.51 1017.7    149.93     2.42    -9999
KIEL       240511 300  070500-071000   00     139.47 1017.7    150.99     3.15    -9999
KIEL       240511 300  071000-071500   00     140.47 1017.7    152.11     3.91    -9999
KIEL       240511 300  071500-072000   00     138.05 1017.8    149.51     2.13    -9999
KIEL       240511 300  072000-072500   00     137.85 1017.8    149.33     2.01    -9999
KIEL       240511 300  072500-073000   00     141.19 1017.8    152.97     4.49    -9999
KIEL       240511 300  073000-073500   00     138.43 1017.8    150.01     2.47    -9999
KIEL       240511 300  073500-074000   00     137.06 1017.9    148.54     1.47    -9999
KIEL       240511 300  074000-074500   00     138.95 1017.9    150.61     2.88    -9999
KIEL       240511 300  074500-075000   00     140.22 1017.9    152.04     3.86    -9999
KIEL       240511 300  075000-075500   00     135.09 1018.0    146.52     0.09    -9999
KIEL       240511 300  075500-080000   00     139.00 1018.0    150.78     3.00    -9999
KIEL       240511 300  080000-080500   00     139.24 1018.0    151.04     3.18    -9999
KIEL       240511 300  080500-081000   00     141.08 1018.0    153.05     4.55    -9999
KIEL       240511 300  081000-081500   00     141.78 1018.0    153.81     5.07    -9999
KIEL       240511 300  081500-082000   00     140.61 1018.0    152.53     4.20    -9999
KIEL       240511 300  082000-082500   00     140.37 1018.0    152.28     4.03    -9999
KIEL       240511 300  082500-083000   00     142.24 1018.0    154.28     5.39    -9999
KIEL       240511 300  083000-083500   00     141.72 1017.9    153.69     4.99    -9999
KIEL       240511 300  083500-084000   00     136.98 1018.0    148.59     1.50    -9999
KIEL       240511 300  084000-084500   00     140.02 1018.0    151.88     3.76    -9999
KIEL       240511 300  084500-085000   00     139.53 1018.0    151.37     3.41    -9999
KIEL       240511 300  085000-085500   00     141.95 1018.0    154.00     5.20    -9999
KIEL       240511 300  085500-090000   00     141.34 1018.0    153.39     4.78    -9999
KIEL       240511 300  090000-090500   00     136.33 1018.1    148.04     1.13    -9999
KIEL       240511 300  090500-091000   00     139.57 1018.1    151.58     3.55    -9999
KIEL       240511 300  091000-091500   00     138.56 1018.2    150.49     2.80    -9999
KIEL       240511 300  091500-092000   00     137.08 1018.2    148.89     1.71    -9999
KIEL       240511 300  092000-092500   00     138.81 1018.1    150.72     2.96    -9999
KIEL       240511 300  092500-093000   00     136.74 1018.1    148.43     1.40    -9999
KIEL       240511 300  093000-093500   00     136.15 1018.1    147.77     0.95    -9999
KIEL       240511 300  093500-094000   00     137.81 1018.1    149.57     2.18    -9999
KIEL       240511 300  094000-094500   00     137.85 1018.1    149.66     2.23    -9999
KIEL       240511 300  094500-095000   00     137.63 1018.1    149.40     2.06    -9999
KIEL       240511 300  095000-095500   00     140.33 1018.1    152.32     4.05    -9999
KIEL       240511 300  095500-100000   00     142.57 1018.0    154.71     5.68    -9999
KIEL       240511 300  100000-100500   00     139.80 1018.0    151.68     3.62    -9999
KIEL       240511 300  100500-101000   00     135.49 1018.0    146.99     0.41    -9999
KIEL       240511 300  101000-101500   00     135.96 1018.0    147.50     0.76    -9999
KIEL       240511 300  101500-102000   00     136.84 1018.1    148.55     1.47    -9999
KIEL       240511 300  102000-102500   00     137.77 1018.1    149.54     2.15    -9999
KIEL       240511 300  102500-103000   00     135.62 1018.1    147.20     0.56    -9999
KIEL       240511 300  103000-103500   00     137.35 1018.0    149.06     1.82    -9999
KIEL       240511 300  103500-104000   00     138.82 1018.0    150.63     2.90    -9999
KIEL       240511 300  104000-104500   00     137.45 1018.0    149.12     1.86    -9999
KIEL       240511 300  104500-105000   00     137.39 1018.0    149.05     1.82    -9999
KIEL       240511 300  105000-105500   00     138.10 1018.0    149.82     2.35    -9999
KIEL       240511 300  105500-110000   00     140.06 1018.0    151.96     3.81    -9999
KIEL       240511 300  110000-110500   00     138.75 1018.0    150.55     2.85    -9999
KIEL       240511 300  110500-111000   00     137.64 1018.0    149.36     2.03    -9999
KIEL       240511 300  111000-111500   00     137.83 1018.0    149.56     2.17    -9999
KIEL       240511 300  111500-112000   00     136.62 1018.0    148.23     1.26    -9999
KIEL       240511 300  112000-112500   00     139.15 1018.0    151.00     3.15    -9999
KIEL       240511 300  112500-113000   00     139.55 1018.1    151.46     3.47    -9999
KIEL       240511 300  113000-113500   00     139.31 1018.1    151.20     3.29    -9999
KIEL       240511 300  113500-114000   00     134.67 1018.1    146.18    -0.14    -9999
KIEL       240511 300  114000-114500   00     135.61 1018.1    147.20     0.55    -9999
KIEL       240511 300  114500-115000   00     138.36 1018.0    150.15     2.57    -9999
KIEL       240511 300  115000-115500   00     135.29 1018.0    146.82     0.30    -9999
KIEL       240511 300  115500-120000   00     136.21 1018.1    147.84     1.00    -9999
KIEL       240511 300  120000-120500   00     139.89 1018.1    151.86     3.74    -9999
KIEL       240511 300  120500-121000   00     137.92 1018.1    149.74     2.29    -9999
KIEL       240511 300  121000-121500   00     139.09 1018.1    151.03     3.17    -9999
KIEL       240511 300  121500-122000   00     136.35 1018.1    148.03     1.12    -9999
KIEL       240511 300  122000-122500   00     136.50 1018.1    148.21     1.24    -9999
KIEL       240511 300  122500-123000   00     135.44 1018.1    147.03     0.44    -9999
KIEL       240511 300  123000-123500   00     134.24 1018.1    145.71    -0.46    -9999
KIEL       240511 300  123500-124000   00     136.31 1018.1    147.93     1.06    -9999
KIEL       240511 300  124000-124500   00     138.75 1018.0    150.57     2.86    -9999
KIEL       240511 300  124500-125000   00     135.55 1018.0    147.05     0.45    -9999
KIEL       240511 300  125000-125500   00     136.14 1018.0    147.68     0.89    -9999
KIEL       240511 300  125500-130000   00     137.89 1018.0    149.57     2.18    -9999
KIEL       240511 300  130000-130500   00     137.24 1018.0    148.86     1.69    -9999
KIEL       240511 300  130500-131000   00     138.15 1017.9    149.82     2.35    -9999
KIEL       240511 300  131000-131500   00     137.22 1017.9    148.80     1.65    -9999
KIEL       240511 300  131500-132000   00     136.88 1017.9    148.44     1.40    -9999
KIEL       240511 300  132000-132500   00     137.29 1018.0    148.91     1.72    -9999
KIEL       240511 300  132500-133000   00     136.34 1018.0    147.92     1.05    -9999
KIEL       240511 300  133000-133500   00     138.69 1018.0    150.48     2.80    -9999
KIEL       240511 300  133500-134000   00     139.06 1018.0    150.86     3.05    -9999
KIEL       240511 300  134000-134500   00     135.78 1017.9    147.24     0.58    -9999
KIEL       240511 300  134500-135000   00     135.81 1017.9    147.22     0.57    -9999
KIEL       240511 300  135000-135500   00     136.10 1017.8    147.47     0.74    -9999
KIEL       240511 300  135500-140000   00     135.19 1017.8    146.47     0.05    -9999
KIEL       240511 300  140000-140500   00     136.17 1017.8    147.50     0.76    -9999
KIEL       240511 300  140500-141000   00     136.73 1017.8    148.09     1.16    -9999
KIEL       240511 300  141000-141500   00     137.58 1017.7    148.97     1.76    -9999
KIEL       240511 300  141500-142000   00     137.52 1017.7    148.86     1.69    -9999
KIEL       240511 300  142000-142500   00     137.06 1017.7    148.33     1.33    -9999
KIEL       240511 300  142500-143000   00     134.90 1017.7    146.01    -0.26    -9999
KIEL       240511 300  143000-143500   00     138.55 1017.6    149.92     2.41    -9999
KIEL       240511 300  143500-144000   00     135.44 1017.6    146.50     0.07    -9999
KIEL       240511 300  144000-144500   00     137.50 1017.6    148.72     1.60    -9999
KIEL       240511 300  144500-145000   00     136.88 1017.6    148.08     1.15    -9999
KIEL       240511 300  145000-145500   00     137.23 1017.6    148.42     1.39    -9999
KIEL       240511 300  145500-150000   00     135.86 1017.5    146.91     0.36    -9999
KIEL       240511 300  150000-150500   00     136.55 1017.5    147.61     0.83    -9999
KIEL       240511 300  150500-151000   00     136.99 1017.5    148.08     1.16    -9999
KIEL       240511 300  151000-151500   00     136.91 1017.4    147.94     1.06    -9999
KIEL       240511 300  151500-152000   00     137.89 1017.5    149.00     1.78    -9999
KIEL       240511 300  152000-152500   00     137.58 1017.5    148.69     1.57    -9999
KIEL       240511 300  152500-153000   00     140.20 1017.5    151.50     3.50    -9999
KIEL       240511 300  153000-153500   00     139.97 1017.4    151.22     3.30    -9999
KIEL       240511 300  153500-154000   00     137.91 1017.4    148.96     1.75    -9999
KIEL       240511 300  154000-154500   00     141.08 1017.4    152.38     4.10    -9999
KIEL       240511 300  154500-155000   00     140.72 1017.4    151.99     3.83    -9999
KIEL       240511 300  155000-155500   00     138.05 1017.4    149.09     1.84    -9999
KIEL       240511 300  155500-160000   00     141.14 1017.3    152.37     4.09    -9999
KIEL       240511 300  160000-160500   00     137.28 1017.3    148.17     1.22    -9999
KIEL       240511 300  160500-161000   00     140.33 1017.3    151.45     3.46    -9999
KIEL       240511 300  161000-161500   00     136.01 1017.3    146.78     0.27    -9999
KIEL       240511 300  161500-162000   00     138.47 1017.2    149.41     2.07    -9999
KIEL       240511 300  162000-162500   00     136.90 1017.2    147.69     0.89    -9999
KIEL       240511 300  162500-163000   00     139.70 1017.2    150.72     2.96    -9999
KIEL       240511 300  163000-163500   00     140.06 1017.3    151.14     3.25    -9999
KIEL       240511 300  163500-164000   00     138.46 1017.3    149.41     2.07    -9999
KIEL       240511 300  164000-164500   00     138.81 1017.3    149.80     2.33    -9999
KIEL       240511 300  164500-165000   00     138.56 1017.3    149.58     2.18    -9999
KIEL       240511 300  165000-165500   00     138.11 1017.3    149.09     1.85    -9999
KIEL       240511 300  165500-170000   00     138.40 1017.3    149.38     2.05    -9999
KIEL       240511 3600 170000-180000   00     138.32 1017.2    149.22     1.94    -9999
KIEL       240511 3600 180000-190000   00     137.63 1017.4    148.64     1.54    -9999
KIEL       240511 3600 190000-200000   00     137.05 1017.6    148.21     1.24    -9999
KIEL       240511 3600 200000-210000   00     136.31 1017.7    147.51     0.77    -9999
KIEL       240511 3600 210000-220000   00     136.67 1017.7    148.00     1.10    -9999
KIEL       240511 3600 220000-230000   00     136.65 1017.7    147.88     1.02    -9999
KIEL       240511 3600 230000-240000   00     136.38 1017.5    147.47     0.74    -9999
KIEL       240512 3600 000000-010000   00     136.13 1017.5    147.18     0.54    -9999
KIEL       240512 3600 010000-020000   00     136.93 1017.7    148.21     1.25    -9999
KIEL       240512 3600 020000-030000   00     137.91 1017.7    149.25     1.95    -9999
KIEL       240512 3600 030000-040000   00     138.94 1017.5    150.22     2.62    -9999
KIEL       240512 3600 040000-050000   00     138.41 1017.5    149.57     2.17    -9999
KIEL       240512 3600 050000-060000   00     139.05 1017.4    150.21     2.61    -9999
KIEL       240512 3600 060000-070000   00     139.70 1017.4    150.89     3.07    -9999
KIEL       240512 3600 070000-080000   00     140.90 1017.2    151.93     3.79    -9999
KIEL       240512 3600 080000-090000   00     140.42 1017.0    151.22     3.30    -9999
KIEL       240512 3600 090000-100000   00     141.64 1016.7    152.27     4.01    -9999
KIEL       240512 3600 100000-110000   00     141.47 1016.4    151.70     3.63    -9999
KIEL       240512 3600 110000-120000   00     141.86 1015.7    151.34     3.38    -9999
KIEL       240512 3600 120000-130000   00     142.50 1015.1    151.45     3.46    -9999
KIEL       240512 3600 130000-140000   00     143.18 1014.7    151.65     3.59    -9999
KIEL       240512 3600 140000-150000   00     142.98 1014.2    150.92     3.09    -9999
KIEL       240512 3600 150000-160000   00     143.39 1013.7    150.86     3.05    -9999
KIEL       240512 3600 160000-170000   00     144.06 1013.4    151.24     3.32    -9999
KIEL       240512 3600 170000-180000   00     144.56 1013.2    151.45     3.46    -9999
KIEL       240512 3600 180000-190000   00     144.25 1013.1    151.06     3.19    -9999
KIEL       240512 3600 190000-200000   00     144.17 1012.9    150.71     2.95    -9999
KIEL       240512 3600 200000-210000   00     144.59 1012.7    151.00     3.15    -9999
KIEL       240512 3600 210000-220000   00     143.71 1012.5    149.88     2.39    -9999
KIEL       240512 3600 220000-230000   00     145.27 1012.3    151.22     3.30    -9999
KIEL       240512 3600 230000-240000   00     145.81 1011.9    151.41     3.43    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074KIEL.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
