MAWSONB    LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSONB    INSTRUMENT   6NM64B    NEUTRON MONITOR
MAWSONB    STANDARD PRESSURE    990     MB     COEFFICIENT   -0.708    % / MB
MAWSONB    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MAWSONB    PRE-INCREASE AVERAGE COUNTING RATE     23.01      COUNTS PER SECOND
MAWSONB    TIME INTERVALS    300         3600     
MAWSONB    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSONB    240511 300  020000-020500   00      24.85  983.3     23.70     3.00    -9999
MAWSONB    240511 300  020500-021000   00      24.55  983.4     23.43     1.82    -9999
MAWSONB    240511 300  021000-021500   00      24.65  983.4     23.53     2.25    -9999
MAWSONB    240511 300  021500-022000   00      24.55  983.5     23.45     1.92    -9999
MAWSONB    240511 300  022000-022500   00      25.12  983.5     23.99     4.27    -9999
MAWSONB    240511 300  022500-023000   00      25.21  983.5     24.09     4.68    -9999
MAWSONB    240511 300  023000-023500   00      25.04  983.6     23.94     4.04    -9999
MAWSONB    240511 300  023500-024000   00      25.45  983.6     24.33     5.75    -9999
MAWSONB    240511 300  024000-024500   00      25.76  983.6     24.63     7.04    -9999
MAWSONB    240511 300  024500-025000   00      25.03  983.6     23.93     3.99    -9999
MAWSONB    240511 300  025000-025500   00      25.20  983.7     24.10     4.75    -9999
MAWSONB    240511 300  025500-030000   00      25.87  983.8     24.75     7.58    -9999
MAWSONB    240511 300  030000-030500   00      24.85  983.9     23.80     3.42    -9999
MAWSONB    240511 300  030500-031000   00      25.49  984.0     24.43     6.17    -9999
MAWSONB    240511 300  031000-031500   00      25.27  984.0     24.21     5.23    -9999
MAWSONB    240511 300  031500-032000   00      25.56  983.9     24.49     6.42    -9999
MAWSONB    240511 300  032000-032500   00      24.67  983.9     23.62     2.67    -9999
MAWSONB    240511 300  032500-033000   00      25.15  983.9     24.09     4.70    -9999
MAWSONB    240511 300  033000-033500   00      24.98  984.0     23.95     4.09    -9999
MAWSONB    240511 300  033500-034000   00      24.77  984.0     23.74     3.17    -9999
MAWSONB    240511 300  034000-034500   00      25.13  984.0     24.08     4.63    -9999
MAWSONB    240511 300  034500-035000   00      25.00  984.1     23.98     4.22    -9999
MAWSONB    240511 300  035000-035500   00      24.79  984.2     23.79     3.41    -9999
MAWSONB    240511 300  035500-040000   00      24.79  984.2     23.79     3.40    -9999
MAWSONB    240511 300  040000-040500   00      24.88  984.2     23.88     3.77    -9999
MAWSONB    240511 300  040500-041000   00      24.54  984.2     23.54     2.31    -9999
MAWSONB    240511 300  041000-041500   00      24.38  984.2     23.40     1.71    -9999
MAWSONB    240511 300  041500-042000   00      24.64  984.3     23.68     2.92    -9999
MAWSONB    240511 300  042000-042500   00      25.09  984.5     24.13     4.86    -9999
MAWSONB    240511 300  042500-043000   00      25.12  984.6     24.17     5.05    -9999
MAWSONB    240511 300  043000-043500   00      24.94  984.7     24.02     4.39    -9999
MAWSONB    240511 300  043500-044000   00      24.61  984.8     23.72     3.09    -9999
MAWSONB    240511 300  044000-044500   00      24.57  984.9     23.69     2.96    -9999
MAWSONB    240511 300  044500-045000   00      24.85  984.9     23.96     4.12    -9999
MAWSONB    240511 300  045000-045500   00      24.19  984.9     23.33     1.38    -9999
MAWSONB    240511 300  045500-050000   00      23.89  984.9     23.04     0.14    -9999
MAWSONB    240511 300  050000-050500   00      24.86  984.9     23.97     4.19    -9999
MAWSONB    240511 300  050500-051000   00      24.69  984.9     23.81     3.46    -9999
MAWSONB    240511 300  051000-051500   00      24.35  984.9     23.48     2.04    -9999
MAWSONB    240511 300  051500-052000   00      24.77  984.9     23.88     3.78    -9999
MAWSONB    240511 300  052000-052500   00      24.99  984.9     24.10     4.73    -9999
MAWSONB    240511 300  052500-053000   00      24.44  984.8     23.55     2.36    -9999
MAWSONB    240511 300  053000-053500   00      25.01  984.8     24.11     4.79    -9999
MAWSONB    240511 300  053500-054000   00      24.25  984.8     23.37     1.55    -9999
MAWSONB    240511 300  054000-054500   00      24.36  984.7     23.47     2.01    -9999
MAWSONB    240511 300  054500-055000   00      24.17  984.9     23.31     1.31    -9999
MAWSONB    240511 300  055000-055500   00      24.75  985.0     23.89     3.82    -9999
MAWSONB    240511 300  055500-060000   00      24.51  985.1     23.67     2.86    -9999
MAWSONB    240511 300  060000-060500   00      24.66  985.1     23.82     3.52    -9999
MAWSONB    240511 300  060500-061000   00      25.17  985.1     24.31     5.66    -9999
MAWSONB    240511 300  061000-061500   00      24.64  985.1     23.80     3.43    -9999
MAWSONB    240511 300  061500-062000   00      24.74  985.0     23.88     3.80    -9999
MAWSONB    240511 300  062000-062500   00      24.96  985.0     24.09     4.69    -9999
MAWSONB    240511 300  062500-063000   00      24.47  985.0     23.62     2.65    -9999
MAWSONB    240511 300  063000-063500   00      25.02  985.1     24.17     5.04    -9999
MAWSONB    240511 300  063500-064000   00      24.42  985.1     23.59     2.51    -9999
MAWSONB    240511 300  064000-064500   00      24.52  985.2     23.70     3.02    -9999
MAWSONB    240511 300  064500-065000   00      24.46  985.2     23.65     2.79    -9999
MAWSONB    240511 300  065000-065500   00      24.27  985.4     23.49     2.08    -9999
MAWSONB    240511 300  065500-070000   00      24.69  985.4     23.89     3.84    -9999
MAWSONB    240511 300  070000-070500   00      24.91  985.4     24.11     4.78    -9999
MAWSONB    240511 300  070500-071000   00      24.60  985.4     23.80     3.44    -9999
MAWSONB    240511 300  071000-071500   00      24.71  985.4     23.92     3.95    -9999
MAWSONB    240511 300  071500-072000   00      24.93  985.4     24.13     4.86    -9999
MAWSONB    240511 300  072000-072500   00      24.48  985.4     23.70     2.98    -9999
MAWSONB    240511 300  072500-073000   00      25.21  985.5     24.41     6.10    -9999
MAWSONB    240511 300  073000-073500   00      24.48  985.6     23.73     3.14    -9999
MAWSONB    240511 300  073500-074000   00      24.93  985.6     24.17     5.05    -9999
MAWSONB    240511 300  074000-074500   00      24.40  985.6     23.66     2.83    -9999
MAWSONB    240511 300  074500-075000   00      24.71  985.6     23.97     4.15    -9999
MAWSONB    240511 300  075000-075500   00      24.71  985.6     23.96     4.15    -9999
MAWSONB    240511 300  075500-080000   00      24.37  985.7     23.63     2.71    -9999
MAWSONB    240511 300  080000-080500   00      24.47  985.6     23.73     3.14    -9999
MAWSONB    240511 300  080500-081000   00      24.81  985.7     24.06     4.57    -9999
MAWSONB    240511 300  081000-081500   00      24.10  985.8     23.40     1.68    -9999
MAWSONB    240511 300  081500-082000   00      24.90  985.8     24.17     5.05    -9999
MAWSONB    240511 300  082000-082500   00      25.23  985.8     24.48     6.41    -9999
MAWSONB    240511 300  082500-083000   00      24.32  985.8     23.60     2.58    -9999
MAWSONB    240511 300  083000-083500   00      24.82  985.7     24.08     4.64    -9999
MAWSONB    240511 300  083500-084000   00      25.06  985.7     24.31     5.63    -9999
MAWSONB    240511 300  084000-084500   00      24.48  985.8     23.76     3.24    -9999
MAWSONB    240511 300  084500-085000   00      24.11  985.8     23.40     1.69    -9999
MAWSONB    240511 300  085000-085500   00      24.44  985.7     23.71     3.02    -9999
MAWSONB    240511 300  085500-090000   00      24.33  985.8     23.61     2.60    -9999
MAWSONB    240511 300  090000-090500   00      24.64  985.8     23.91     3.92    -9999
MAWSONB    240511 300  090500-091000   00      24.14  985.8     23.44     1.86    -9999
MAWSONB    240511 300  091000-091500   00      24.31  985.8     23.59     2.53    -9999
MAWSONB    240511 300  091500-092000   00      24.45  985.8     23.74     3.16    -9999
MAWSONB    240511 300  092000-092500   00      24.06  985.8     23.35     1.48    -9999
MAWSONB    240511 300  092500-093000   00      24.12  985.9     23.43     1.84    -9999
MAWSONB    240511 300  093000-093500   00      24.06  985.9     23.37     1.58    -9999
MAWSONB    240511 300  093500-094000   00      24.37  985.9     23.68     2.90    -9999
MAWSONB    240511 300  094000-094500   00      24.42  985.9     23.73     3.12    -9999
MAWSONB    240511 300  094500-095000   00      24.66  986.0     23.98     4.21    -9999
MAWSONB    240511 300  095000-095500   00      24.32  986.0     23.65     2.78    -9999
MAWSONB    240511 300  095500-100000   00      24.03  986.0     23.37     1.55    -9999
MAWSONB    240511 300  100000-100500   00      23.98  985.9     23.30     1.28    -9999
MAWSONB    240511 300  100500-101000   00      24.32  985.9     23.63     2.68    -9999
MAWSONB    240511 300  101000-101500   00      24.39  985.9     23.70     3.02    -9999
MAWSONB    240511 300  101500-102000   00      24.85  986.0     24.17     5.02    -9999
MAWSONB    240511 300  102000-102500   00      24.17  986.0     23.50     2.13    -9999
MAWSONB    240511 300  102500-103000   00      24.60  986.0     23.91     3.90    -9999
MAWSONB    240511 300  103000-103500   00      25.02  985.9     24.30     5.62    -9999
MAWSONB    240511 300  103500-104000   00      24.32  986.0     23.65     2.77    -9999
MAWSONB    240511 300  104000-104500   00      24.69  986.0     24.02     4.37    -9999
MAWSONB    240511 300  104500-105000   00      24.41  986.0     23.74     3.16    -9999
MAWSONB    240511 300  105000-105500   00      24.40  985.9     23.71     3.02    -9999
MAWSONB    240511 300  105500-110000   00      24.78  986.0     24.08     4.64    -9999
MAWSONB    240511 300  110000-110500   00      24.37  986.0     23.69     2.97    -9999
MAWSONB    240511 300  110500-111000   00      24.60  986.1     23.92     3.95    -9999
MAWSONB    240511 300  111000-111500   00      25.14  986.0     24.44     6.23    -9999
MAWSONB    240511 300  111500-112000   00      24.12  986.0     23.45     1.91    -9999
MAWSONB    240511 300  112000-112500   00      25.04  986.1     24.36     5.88    -9999
MAWSONB    240511 300  112500-113000   00      25.01  986.2     24.35     5.81    -9999
MAWSONB    240511 300  113000-113500   00      24.96  986.2     24.30     5.62    -9999
MAWSONB    240511 300  113500-114000   00      23.97  986.3     23.36     1.50    -9999
MAWSONB    240511 300  114000-114500   00      24.85  986.3     24.21     5.22    -9999
MAWSONB    240511 300  114500-115000   00      24.16  986.4     23.54     2.31    -9999
