BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     MB     COEFFICIENT   -0.73     % / MB
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.66      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
BAKSAN     240511 300  010500-011000   00     104.47  833.8    108.96     0.27    -9999
BAKSAN     240511 300  011000-011500   00     105.65  833.9    110.23     1.44    -9999
BAKSAN     240511 300  011500-012000   00     106.91  833.8    111.48     2.60    -9999
BAKSAN     240511 300  012000-012500   00     105.54  833.8    110.03     1.26    -9999
BAKSAN     240511 300  012500-013000   00     105.70  833.8    110.23     1.44    -9999
BAKSAN     240511 300  013000-013500   00     105.35  833.5    109.58     0.85    -9999
BAKSAN     240511 300  013500-014000   00     105.78  833.6    110.12     1.34    -9999
BAKSAN     240511 300  014000-014500   00     106.59  833.5    110.92     2.08    -9999
BAKSAN     240511 300  014500-015000   00     106.53  833.7    110.98     2.13    -9999
BAKSAN     240511 300  015000-015500   00     106.64  833.6    111.00     2.16    -9999
BAKSAN     240511 300  015500-020000   00     105.61  833.7    110.02     1.25    -9999
BAKSAN     240511 300  020000-020500   00     106.21  833.7    110.70     1.88    -9999
BAKSAN     240511 300  020500-021000   00     108.48  833.5    112.85     3.86    -9999
BAKSAN     240511 300  021000-021500   00     105.99  833.6    110.34     1.54    -9999
BAKSAN     240511 300  021500-022000   00     107.06  833.4    111.30     2.43    -9999
BAKSAN     240511 300  022000-022500   00     107.07  833.5    111.37     2.49    -9999
BAKSAN     240511 300  022500-023000   00     107.83  833.3    112.06     3.13    -9999
BAKSAN     240511 300  023000-023500   00     107.38  833.4    111.62     2.73    -9999
BAKSAN     240511 300  023500-024000   00     108.56  833.6    113.06     4.05    -9999
BAKSAN     240511 300  024000-024500   00     107.64  833.6    112.09     3.16    -9999
BAKSAN     240511 300  024500-025000   00     108.51  833.6    112.97     3.97    -9999
BAKSAN     240511 300  025000-025500   00     109.99  833.5    114.45     5.33    -9999
BAKSAN     240511 300  025500-030000   00     108.17  833.8    112.78     3.79    -9999
BAKSAN     240511 300  030000-030500   00     109.25  833.9    113.99     4.91    -9999
BAKSAN     240511 300  030500-031000   00     107.06  834.0    111.80     2.89    -9999
BAKSAN     240511 300  031000-031500   00     109.72  834.2    114.72     5.57    -9999
BAKSAN     240511 300  031500-032000   00     107.21  834.1    112.02     3.09    -9999
BAKSAN     240511 300  032000-032500   00     106.66  834.0    111.35     2.48    -9999
BAKSAN     240511 300  032500-033000   00     105.89  834.2    110.69     1.87    -9999
BAKSAN     240511 300  033000-033500   00     107.14  834.1    111.97     3.05    -9999
BAKSAN     240511 300  033500-034000   00     107.27  834.0    112.03     3.10    -9999
BAKSAN     240511 300  034000-034500   00     107.21  833.8    111.78     2.87    -9999
BAKSAN     240511 300  034500-035000   00     105.15  833.9    109.72     0.97    -9999
BAKSAN     240511 300  035000-035500   00     106.32  833.9    110.90     2.06    -9999
BAKSAN     240511 300  035500-040000   00     105.63  833.8    110.10     1.33    -9999
BAKSAN     240511 300  040000-040500   00     105.26  833.9    109.86     1.10    -9999
BAKSAN     240511 300  040500-041000   00     105.71  834.0    110.37     1.58    -9999
BAKSAN     240511 300  041000-041500   00     107.29  834.1    112.10     3.16    -9999
BAKSAN     240511 300  041500-042000   00     105.84  834.1    110.61     1.80    -9999
BAKSAN     240511 300  042000-042500   00     105.03  834.1    109.77     1.02    -9999
BAKSAN     240511 300  042500-043000   00     105.27  834.1    110.00     1.23    -9999
BAKSAN     240511 300  043000-043500   00     106.02  834.2    110.84     2.01    -9999
BAKSAN     240511 300  043500-044000   00     105.69  834.3    110.57     1.76    -9999
BAKSAN     240511 300  044000-044500   00     106.29  834.2    111.15     2.29    -9999
BAKSAN     240511 300  044500-045000   00     105.95  834.0    110.65     1.83    -9999
BAKSAN     240511 300  045000-045500   00     106.97  833.9    111.64     2.74    -9999
BAKSAN     240511 300  045500-050000   00     106.67  833.8    111.26     2.39    -9999
BAKSAN     240511 300  050000-050500   00     105.79  834.0    110.43     1.62    -9999
BAKSAN     240511 300  050500-051000   00     105.26  833.8    109.72     0.97    -9999
BAKSAN     240511 300  051000-051500   00     106.09  834.0    110.76     1.93    -9999
BAKSAN     240511 300  051500-052000   00     106.46  834.0    111.12     2.27    -9999
BAKSAN     240511 300  052000-052500   00     106.20  833.9    110.82     1.99    -9999
BAKSAN     240511 300  052500-053000   00     107.47  833.8    112.05     3.12    -9999
BAKSAN     240511 300  053000-053500   00     106.24  833.7    110.70     1.88    -9999
BAKSAN     240511 300  053500-054000   00     105.64  833.7    110.06     1.29    -9999
BAKSAN     240511 300  054000-054500   00     106.47  833.4    110.69     1.87    -9999
BAKSAN     240511 300  054500-055000   00     105.84  833.6    110.16     1.38    -9999
BAKSAN     240511 300  055000-055500   00     104.50  833.6    108.79     0.12    -9999
BAKSAN     240511 300  055500-060000   00     102.97  833.5    107.15    -1.39    -9999
BAKSAN     240511 300  060000-060500   00     104.67  833.6    109.02     0.33    -9999
BAKSAN     240511 300  060500-061000   00     105.16  833.2    109.18     0.48    -9999
BAKSAN     240511 300  061000-061500   00     104.71  833.3    108.81     0.13    -9999
BAKSAN     240511 300  061500-062000   00     104.77  833.1    108.65    -0.01    -9999
BAKSAN     240511 300  062000-062500   00     104.63  832.8    108.27    -0.36    -9999
BAKSAN     240511 300  062500-063000   00     106.44  832.9    110.23     1.44    -9999
BAKSAN     240511 300  063000-063500   00     105.15  832.8    108.81     0.14    -9999
BAKSAN     240511 300  063500-064000   00     103.90  832.9    107.62    -0.96    -9999
BAKSAN     240511 300  064000-064500   00     103.48  833.0    107.26    -1.29    -9999
BAKSAN     240511 300  064500-065000   00     103.73  832.9    107.47    -1.09    -9999
BAKSAN     240511 300  065000-065500   00     105.11  833.1    109.02     0.33    -9999
BAKSAN     240511 300  065500-070000   00     104.91  833.0    108.74     0.08    -9999
BAKSAN     240511 300  070000-070500   00     105.00  832.8    108.67     0.01    -9999
BAKSAN     240511 300  070500-071000   00     103.84  832.6    107.37    -1.19    -9999
BAKSAN     240511 300  071000-071500   00     106.25  832.9    110.07     1.30    -9999
BAKSAN     240511 300  071500-072000   00     105.76  832.8    109.47     0.74    -9999
BAKSAN     240511 300  072000-072500   00     106.03  832.8    109.78     1.03    -9999
BAKSAN     240511 300  072500-073000   00     105.26  832.9    109.00     0.32    -9999
BAKSAN     240511 300  073000-073500   00     104.63  832.5    108.11    -0.50    -9999
BAKSAN     240511 300  073500-074000   00     104.98  832.6    108.51    -0.14    -9999
BAKSAN     240511 300  074000-074500   00     106.45  832.6    110.05     1.28    -9999
BAKSAN     240511 300  074500-075000   00     106.69  832.6    110.25     1.46    -9999
BAKSAN     240511 300  075000-075500   00     106.77  832.6    110.33     1.54    -9999
BAKSAN     240511 300  075500-080000   00     107.00  832.4    110.47     1.66    -9999
BAKSAN     240511 300  080000-080500   00     106.84  832.3    110.23     1.45    -9999
BAKSAN     240511 300  080500-081000   00     105.95  832.5    109.47     0.75    -9999
BAKSAN     240511 300  081000-081500   00     106.43  832.4    109.86     1.11    -9999
BAKSAN     240511 300  081500-082000   00     106.49  832.4    109.91     1.15    -9999
BAKSAN     240511 300  082000-082500   00     106.91  832.3    110.26     1.48    -9999
BAKSAN     240511 300  082500-083000   00     107.90  832.1    111.11     2.26    -9999
