DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      3.83      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       240510 3600 000000-010000   00       4.30  640.7      4.57    19.24    -9999
DOMB       240510 3600 010000-020000   00       4.25  641.0      4.52    17.93    -9999
DOMB       240510 3600 020000-030000   00       4.23  641.1      4.50    17.50    -9999
DOMB       240510 3600 030000-040000   00       4.25  641.4      4.53    18.37    -9999
DOMB       240510 3600 040000-050000   00       4.23  641.5      4.52    17.93    -9999
DOMB       240510 3600 050000-060000   00       4.25  641.5      4.53    18.37    -9999
DOMB       240510 3600 060000-070000   00       4.27  641.5      4.53    18.37    -9999
DOMB       240510 3600 070000-080000   00       4.30  641.4      4.57    19.24    -9999
DOMB       240510 3600 080000-090000   00       4.28  641.4      4.55    18.80    -9999
DOMB       240510 3600 090000-100000   00       4.25  641.7      4.52    17.93    -9999
DOMB       240510 3600 100000-110000   00       4.28  641.6      4.55    18.80    -9999
DOMB       240510 3600 110000-120000   00       4.30  641.4      4.57    19.24    -9999
DOMB       240510 3600 120000-130000   00       4.30  641.5      4.57    19.24    -9999
DOMB       240510 3600 130000-140000   00       4.33  641.3      4.58    19.67    -9999
DOMB       240510 3600 140000-150000   00       4.27  641.2      4.53    18.37    -9999
DOMB       240510 3600 150000-160000   00       4.32  641.2      4.57    19.24    -9999
DOMB       240510 3600 160000-170000   00       4.35  641.1      4.60    20.11    -9999
DOMB       240510 3600 170000-180000   00       4.38  641.3      4.63    20.98    -9999
DOMB       240510 3600 180000-190000   00       4.15  641.5      4.40    14.89    -9999
DOMB       240510 3600 190000-200000   00       4.17  641.3      4.42    15.32    -9999
DOMB       240510 3600 200000-210000   00       4.07  641.1      4.30    12.27    -9999
DOMB       240510 300  210000-210500   00       4.20  641.0      4.43    15.76    -9999
DOMB       240510 300  210500-211000   00       4.02  641.0      4.25    10.97    -9999
DOMB       240510 300  211000-211500   00       3.98  641.0      4.20     9.66    -9999
DOMB       240510 300  211500-212000   00       4.03  641.0      4.25    10.97    -9999
DOMB       240510 300  212000-212500   00       3.95  641.0      4.17     8.79    -9999
DOMB       240510 300  212500-213000   00       3.80  641.1      4.02     4.88    -9999
DOMB       240510 300  213000-213500   00       3.80  641.1      4.00     4.44    -9999
DOMB       240510 300  213500-214000   00       3.83  641.1      4.05     5.75    -9999
DOMB       240510 300  214000-214500   00       3.83  641.2      4.03     5.31    -9999
DOMB       240510 300  214500-215000   00       3.73  641.2      3.93     2.70    -9999
DOMB       240510 300  215000-215500   00       3.73  641.1      3.93     2.70    -9999
DOMB       240510 300  215500-220000   00       3.73  641.1      3.93     2.70    -9999
DOMB       240510 300  220000-220500   00       3.63  641.1      3.83     0.09    -9999
DOMB       240510 300  220500-221000   00       3.80  641.1      4.00     4.44    -9999
DOMB       240510 300  221000-221500   00       3.83  641.1      4.05     5.75    -9999
DOMB       240510 300  221500-222000   00       3.87  641.1      4.08     6.62    -9999
DOMB       240510 300  222000-222500   00       3.85  641.1      4.05     5.75    -9999
DOMB       240510 300  222500-223000   00       3.78  641.1      3.98     4.01    -9999
DOMB       240510 300  223000-223500   00       3.72  641.2      3.92     2.27    -9999
DOMB       240510 300  223500-224000   00       3.95  641.2      4.18     9.23    -9999
DOMB       240510 300  224000-224500   00       3.73  641.2      3.93     2.70    -9999
DOMB       240510 300  224500-225000   00       3.57  641.2      3.77    -1.65    -9999
DOMB       240510 300  225000-225500   00       3.77  641.1      3.97     3.57    -9999
DOMB       240510 300  225500-230000   00       3.58  641.1      3.77    -1.65    -9999
DOMB       240510 300  230000-230500   00       3.70  641.1      3.90     1.83    -9999
DOMB       240510 300  230500-231000   00       3.68  641.1      3.90     1.83    -9999
DOMB       240510 300  231000-231500   00       3.77  641.1      3.98     4.01    -9999
DOMB       240510 300  231500-232000   00       3.72  641.1      3.92     2.27    -9999
DOMB       240510 300  232000-232500   00       3.78  641.1      4.00     4.44    -9999
DOMB       240510 300  232500-233000   00       3.75  641.0      3.97     3.57    -9999
DOMB       240510 300  233000-233500   00       3.70  641.0      3.90     1.83    -9999
DOMB       240510 300  233500-234000   00       3.62  640.9      3.82    -0.35    -9999
DOMB       240510 300  234000-234500   00       3.53  640.9      3.72    -2.96    -9999
DOMB       240510 300  234500-235000   00       3.48  640.9      3.65    -4.70    -9999
DOMB       240510 300  235000-235500   00       3.73  640.8      3.93     2.70    -9999
DOMB       240510 300  235500-240000   00       3.65  640.8      3.83     0.09    -9999
DOMB       240511 300  000000-000500   00       3.60  640.9      3.78    -1.22    -9999
DOMB       240511 300  000500-001000   00       3.47  640.9      3.65    -4.70    -9999
DOMB       240511 300  001000-001500   00       3.43  640.9      3.60    -6.00    -9999
DOMB       240511 300  001500-002000   00       3.62  640.9      3.80    -0.78    -9999
DOMB       240511 300  002000-002500   00       3.62  640.9      3.80    -0.78    -9999
DOMB       240511 300  002500-003000   00       3.57  640.9      3.77    -1.65    -9999
DOMB       240511 300  003000-003500   00       3.70  640.9      3.88     1.40    -9999
DOMB       240511 300  003500-004000   00       3.42  640.9      3.60    -6.00    -9999
DOMB       240511 300  004000-004500   00       3.55  640.9      3.75    -2.09    -9999
DOMB       240511 300  004500-005000   00       3.72  641.0      3.92     2.27    -9999
DOMB       240511 300  005000-005500   00       3.75  641.1      3.95     3.14    -9999
DOMB       240511 300  005500-010000   00       3.68  641.1      3.90     1.83    -9999
DOMB       240511 300  010000-010500   00       3.57  641.1      3.77    -1.65    -2.08
DOMB       240511 300  010500-011000   00       3.67  641.0      3.87     0.96     0.72
DOMB       240511 300  011000-011500   00       3.65  641.0      3.85     0.52     0.22
DOMB       240511 300  011500-012000   00       3.72  641.0      3.93     2.70     2.13
DOMB       240511 300  012000-012500   00       3.80  641.0      4.00     4.44     4.20
DOMB       240511 300  012500-013000   00       3.72  641.0      3.92     2.27     1.70
DOMB       240511 300  013000-013500   00       3.68  641.0      3.88     1.40     0.71
DOMB       240511 300  013500-014000   00       3.77  641.0      3.98     4.01     3.43
DOMB       240511 300  014000-014500   00       3.78  641.0      4.00     4.44     3.91
DOMB       240511 300  014500-015000   00       3.77  641.0      3.97     3.57     3.26
DOMB       240511 300  015000-015500   00       3.62  641.0      3.82    -0.35    -1.02
DOMB       240511 300  015500-020000   00       3.70  641.0      3.90     1.83     1.26
DOMB       240511 300  020000-020500   00       4.00  641.0      4.23    10.53     9.86
DOMB       240511 300  020500-021000   00       3.83  641.1      4.05     5.75     5.11
DOMB       240511 300  021000-021500   00       3.83  641.0      4.05     5.75     5.25
DOMB       240511 300  021500-022000   00       3.63  641.0      3.83     0.09    -0.67
DOMB       240511 300  022000-022500   00       3.95  641.0      4.18     9.23     8.45
DOMB       240511 300  022500-023000   00       3.57  641.0      3.77    -1.65    -2.49
DOMB       240511 300  023000-023500   00       3.87  641.0      4.08     6.62     5.90
DOMB       240511 300  023500-024000   00       4.05  640.9      4.28    11.84    11.13
DOMB       240511 300  024000-024500   00       3.92  640.9      4.13     7.92     7.06
DOMB       240511 300  024500-025000   00       4.05  640.9      4.28    11.84    11.09
DOMB       240511 300  025000-025500   00       3.92  641.0      4.13     7.92     7.33
DOMB       240511 300  025500-030000   00       4.15  641.0      4.38    14.45    13.82
DOMB       240511 300  030000-030500   00       3.98  641.1      4.22    10.10     9.28
DOMB       240511 300  030500-031000   00       4.02  641.1      4.25    10.97     9.94
DOMB       240511 300  031000-031500   00       3.98  641.0      4.20     9.66     8.93
DOMB       240511 300  031500-032000   00       3.82  641.0      4.03     5.31     4.39
DOMB       240511 300  032000-032500   00       4.02  641.1      4.25    10.97    10.04
DOMB       240511 300  032500-033000   00       3.85  641.1      4.08     6.62     5.50
DOMB       240511 300  033000-033500   00       3.95  641.1      4.18     9.23     8.23
