DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -999    MB     COEFFICIENT   -999      % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     92.99      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    240511 300  011500-012000   00      88.36  995.0     94.03     1.12    -9999
DOURBES    240511 300  012000-012500   00      87.98  994.9     93.59     0.64    -9999
DOURBES    240511 300  012500-013000   00      87.72  994.9     93.31     0.34    -9999
DOURBES    240511 300  013000-013500   00      88.96  994.9     94.64     1.77    -9999
DOURBES    240511 300  013500-014000   00      89.53  994.9     95.23     2.40    -9999
DOURBES    240511 300  014000-014500   00      87.91  994.9     93.51     0.55    -9999
DOURBES    240511 300  014500-015000   00      88.27  994.9     93.89     0.97    -9999
DOURBES    240511 300  015000-015500   00      89.52  994.9     95.23     2.40    -9999
DOURBES    240511 300  015500-020000   00      88.51  994.9     94.14     1.23    -9999
DOURBES    240511 300  020000-020500   00      89.12  994.9     94.79     1.93    -9999
DOURBES    240511 300  020500-021000   00      89.04  994.9     94.70     1.84    -9999
DOURBES    240511 300  021000-021500   00      89.57  994.9     95.25     2.43    -9999
DOURBES    240511 300  021500-022000   00      88.56  994.9     94.17     1.27    -9999
DOURBES    240511 300  022000-022500   00      90.03  994.9     95.74     2.95    -9999
DOURBES    240511 300  022500-023000   00      90.46  994.9     96.18     3.43    -9999
DOURBES    240511 300  023000-023500   00      88.21  994.9     93.79     0.85    -9999
DOURBES    240511 300  023500-024000   00      90.53  994.9     96.25     3.50    -9999
DOURBES    240511 300  024000-024500   00      89.42  994.9     95.07     2.24    -9999
DOURBES    240511 300  024500-025000   00      89.90  994.9     95.58     2.78    -9999
DOURBES    240511 300  025000-025500   00      91.09  994.8     96.82     4.12    -9999
DOURBES    240511 300  025500-030000   00     102.56  994.8    109.02    17.23    -9999
DOURBES    240511 300  030000-030500   00      90.86  994.8     96.58     3.85    -9999
DOURBES    240511 300  030500-031000   00      89.79  994.9     95.47     2.67    -9999
DOURBES    240511 300  031000-031500   00      90.24  994.9     95.95     3.18    -9999
DOURBES    240511 300  031500-032000   00      91.59  994.9     97.37     4.71    -9999
DOURBES    240511 300  032000-032500   00      90.37  994.9     96.09     3.33    -9999
DOURBES    240511 300  032500-033000   00      89.16  994.9     94.80     1.95    -9999
DOURBES    240511 300  033000-033500   00      92.01  994.9     97.83     5.20    -9999
DOURBES    240511 300  033500-034000   00      89.46  994.9     95.14     2.31    -9999
DOURBES    240511 300  034000-034500   00      89.39  994.9     95.07     2.24    -9999
DOURBES    240511 300  034500-035000   00      90.18  994.9     95.93     3.16    -9999
DOURBES    240511 300  035000-035500   00      89.72  995.0     95.48     2.68    -9999
DOURBES    240511 300  035500-040000   00      89.71  995.0     95.48     2.68    -9999
DOURBES    240511 300  040000-040500   00      90.03  995.0     95.79     3.00    -9999
DOURBES    240511 300  040500-041000   00      88.81  994.9     94.48     1.60    -9999
DOURBES    240511 300  041000-041500   00      90.73  994.9     96.50     3.77    -9999
DOURBES    240511 300  041500-042000   00      89.26  994.9     94.91     2.07    -9999
DOURBES    240511 300  042000-042500   00      88.54  994.9     94.14     1.24    -9999
DOURBES    240511 300  042500-043000   00      91.43  994.9     97.22     4.55    -9999
DOURBES    240511 300  043000-043500   00      89.48  994.9     95.15     2.32    -9999
DOURBES    240511 300  043500-044000   00      90.32  994.9     96.06     3.30    -9999
DOURBES    240511 300  044000-044500   00      88.53  994.9     94.17     1.27    -9999
DOURBES    240511 300  044500-045000   00      88.28  994.9     93.91     0.98    -9999
DOURBES    240511 300  045000-045500   00      89.82  995.0     95.57     2.77    -9999
DOURBES    240511 300  045500-050000   00      90.29  995.0     96.11     3.35    -9999
DOURBES    240511 300  050000-050500   00      89.24  995.0     94.97     2.13    -9999
DOURBES    240511 300  050500-051000   00      89.34  995.0     95.11     2.27    -9999
DOURBES    240511 300  051000-051500   00      89.01  995.1     94.79     1.93    -9999
DOURBES    240511 300  051500-052000   00      90.49  995.1     96.37     3.63    -9999
DOURBES    240511 300  052000-052500   00      90.72  995.1     96.60     3.88    -9999
